,open,high,low,close,volume
2009-05-20,587.42,624.34,580.28,613.3,630361.0
2009-05-21,607.27,618.22,584.45,589.96,499961.0
2009-05-22,595.36,596.95,559.64,578.77,985110.0
2009-05-25,575.56,585.0,571.55,574.76,223973.0
2009-05-26,576.31,584.25,558.33,565.28,355404.0
2009-05-27,579.25,579.25,548.69,564.48,844786.0
2009-05-28,564.4,584.96,562.82,577.5,929163.0
2009-05-29,571.47,638.9,563.61,621.16,1246640.0
2009-06-01,627.11,666.73,627.11,658.71,850250.0
2009-06-02,664.42,665.22,609.33,620.17,1365895.0
2009-06-03,629.02,654.9,628.62,650.81,1020571.0
2009-06-04,642.99,667.64,638.62,663.11,790526.0
2009-06-05,673.67,698.56,662.84,682.52,922986.0
2009-06-08,682.44,693.64,639.02,645.73,607076.0
2009-06-09,650.93,686.25,631.48,674.74,539891.0
2009-06-10,679.51,717.29,679.51,713.84,941408.0
2009-06-11,714.43,716.66,681.05,685.06,461009.0
2009-06-12,688.71,696.97,667.32,671.45,376920.0
2009-06-15,674.74,693.0,669.19,678.55,464216.0
2009-06-16,674.74,682.68,656.49,678.32,373310.0
2009-06-17,673.63,673.63,654.1,658.11,320412.0
2009-06-18,658.07,658.07,593.85,600.4,1181724.0
2009-06-19,611.24,618.38,579.53,594.65,671206.0
2009-06-22,595.36,613.62,581.27,588.18,424913.0
2009-06-23,579.49,595.36,562.02,591.99,632768.0
2009-06-24,592.23,612.83,590.6,609.97,477488.0
2009-06-25,603.74,631.08,603.74,621.72,975542.0
2009-06-26,615.21,637.43,613.26,634.34,443413.0
2009-06-29,639.02,644.5,620.76,629.42,415842.0
2009-06-30,636.64,642.2,603.3,607.86,378991.0
2009-07-01,607.27,611.79,589.81,605.8,581963.0
2009-07-02,618.1,618.1,596.24,605.32,287866.0
2009-07-03,599.33,613.62,595.36,610.21,334702.0
2009-07-06,611.24,614.97,567.66,574.6,619891.0
2009-07-07,575.91,613.98,575.6,607.27,967509.0
2009-07-08,599.33,642.83,585.84,625.21,1113731.0
2009-07-09,631.08,633.58,615.21,621.32,455715.0
2009-07-10,620.84,632.39,597.51,605.72,483763.0
2009-07-13,595.36,606.48,575.79,601.83,356085.0
2009-07-14,603.7,636.64,603.7,627.27,422666.0
2009-07-15,629.62,644.06,629.1,640.45,419833.0
2009-07-16,642.99,660.14,623.98,630.81,738917.0
2009-07-17,630.17,651.72,627.11,643.59,660577.0
2009-07-20,649.66,682.68,644.9,670.66,744795.0
2009-07-21,673.95,674.74,648.71,655.3,444360.0
2009-07-22,658.87,668.31,639.02,641.84,407385.0
2009-07-23,654.66,695.38,643.43,677.88,1361882.0
2009-07-24,682.68,694.35,667.68,671.01,808259.0
2009-07-27,679.51,683.44,662.88,673.47,313704.0
2009-07-28,676.37,689.03,667.6,687.09,526788.0
2009-07-29,689.91,700.94,650.21,682.44,1034607.0
2009-07-30,694.73,708.35,678.79,703.29,792738.0
2009-07-31,706.78,713.2,697.78,707.42,631338.0
2009-08-03,699.79,721.24,698.87,716.42,353015.0
2009-08-04,722.84,730.03,702.76,722.8,588848.0
2009-08-05,722.84,745.97,720.55,742.88,947850.0
2009-08-06,742.92,745.89,691.92,709.91,980522.0
2009-08-07,706.78,710.8,687.91,698.39,646893.0
2009-08-10,702.76,721.0,639.39,650.48,542149.0
2009-08-11,646.46,664.85,626.46,658.07,1074254.0
2009-08-12,648.95,668.39,638.51,665.42,862624.0
2009-08-13,671.44,686.7,668.63,681.64,686781.0
2009-08-14,681.08,694.57,662.89,667.02,624642.0
2009-08-17,664.21,664.21,620.84,636.66,1116647.0
2009-08-18,639.8,650.48,627.47,640.76,613158.0
2009-08-19,642.53,648.79,603.97,607.43,905405.0
2009-08-20,618.43,626.42,606.5,609.36,756383.0
2009-08-21,610.4,626.46,604.78,623.81,613739.0
2009-08-24,630.48,645.66,626.46,637.59,521671.0
2009-08-25,635.3,638.27,619.44,633.73,329066.0
2009-08-26,635.3,653.69,632.33,642.41,768119.0
2009-08-27,642.41,650.56,634.9,640.2,464606.0
2009-08-28,640.12,656.02,636.9,650.0,870200.0
2009-08-31,642.53,655.78,638.51,648.15,409500.0
2009-09-01,650.16,659.96,622.57,626.66,642926.0
2009-09-02,624.86,632.81,619.28,625.14,800547.0
2009-09-03,630.48,633.69,614.46,617.63,375176.0
2009-09-04,622.45,640.12,616.83,636.7,410359.0
2009-09-07,641.72,645.66,637.07,642.53,320977.0
2009-09-08,645.74,655.94,636.1,639.39,586694.0
2009-09-09,636.1,647.35,634.49,639.76,383975.0
2009-09-10,648.95,650.36,627.67,634.29,562210.0
2009-09-11,637.71,643.29,618.43,621.32,670935.0
2009-09-14,619.23,619.6,607.71,613.53,713676.0
2009-09-15,622.45,627.35,616.26,621.85,369881.0
2009-09-16,630.48,648.51,624.94,643.45,509999.0
2009-09-17,650.56,671.44,648.31,665.66,1395769.0
2009-09-18,662.61,685.82,662.61,678.95,935152.0
2009-09-22,667.63,685.5,667.63,680.32,403988.0
2009-09-23,682.68,686.7,666.74,669.47,310421.0
2009-09-24,668.23,673.85,654.57,661.12,603093.0
2009-09-25,658.59,664.93,652.97,656.34,336673.0
2009-09-29,663.41,664.93,651.84,654.53,244016.0
2009-09-30,654.53,663.33,653.05,658.79,293573.0
2009-10-01,660.6,676.66,659.51,664.01,609128.0
2009-10-05,658.59,658.59,644.13,653.69,510594.0
2009-10-06,657.79,660.04,630.88,637.71,445195.0
2009-10-07,642.53,648.79,631.28,634.94,520468.0
2009-10-08,637.71,646.54,634.49,641.4,247283.0
2009-10-09,640.92,646.54,635.3,638.79,360641.0
2009-10-12,638.51,646.42,632.89,639.76,428598.0
2009-10-14,645.74,647.35,628.07,632.69,417283.0
2009-10-15,636.58,648.87,633.77,638.47,396171.0
2009-10-16,639.31,640.12,626.66,629.27,255634.0
2009-10-20,648.95,648.95,626.62,628.55,277394.0
2009-10-21,629.19,629.68,614.42,619.03,337765.0
2009-10-22,615.22,623.97,611.2,614.9,575714.0
2009-10-23,621.64,625.66,611.2,613.17,366018.0
2009-10-26,616.83,621.64,610.8,614.38,363762.0
2009-10-27,605.58,614.42,603.25,609.64,320322.0
2009-10-28,607.19,617.63,592.97,598.71,668928.0
2009-10-29,590.32,610.52,583.13,590.12,689686.0
2009-10-30,600.76,609.6,594.34,602.89,462555.0
2009-11-03,597.51,600.76,546.55,561.61,625499.0
2009-11-04,570.24,589.6,563.82,585.5,299926.0
2009-11-05,588.71,588.71,563.82,577.99,387374.0
2009-11-06,583.9,586.31,572.25,576.55,321702.0
2009-11-09,576.67,580.28,568.72,577.99,300280.0
2009-11-10,582.29,597.47,573.45,577.19,616234.0
2009-11-11,580.28,590.0,577.47,588.31,288944.0
2009-11-12,586.31,599.04,585.66,592.17,650292.0
