,open,high,low,close,volume
2009-05-20,0.84,0.93,0.84,0.9,798400.0
2009-05-21,0.93,1.04,0.92,0.93,1201717.0
2009-05-22,0.94,1.04,0.94,1.02,1854750.0
2009-05-25,1.03,1.22,1.0,1.19,2690750.0
2009-05-26,1.22,1.26,1.09,1.1,938767.0
2009-05-27,1.15,1.22,1.13,1.17,648350.0
2009-05-28,1.16,1.2,1.13,1.14,266483.0
2009-05-29,1.17,1.21,1.05,1.15,650533.0
2009-06-01,1.24,1.24,1.14,1.16,429500.0
2009-06-02,1.18,1.21,1.12,1.14,483567.0
2009-06-03,1.15,1.18,1.15,1.15,205350.0
2009-06-04,1.17,1.25,1.17,1.23,1219900.0
2009-06-05,1.26,1.26,1.16,1.18,335400.0
2009-06-08,1.23,1.23,1.06,1.07,169683.0
2009-06-09,1.05,1.13,0.96,1.12,268217.0
2009-06-10,1.11,1.16,1.09,1.1,209767.0
2009-06-11,1.13,1.13,1.06,1.09,122217.0
2009-06-12,1.12,1.13,1.04,1.06,132867.0
2009-06-15,1.06,1.07,0.99,1.01,149217.0
2009-06-16,1.01,1.04,0.96,1.02,101267.0
2009-06-17,1.03,1.04,0.98,0.98,67400.0
2009-06-18,1.0,1.0,0.89,0.9,199433.0
2009-06-19,0.95,0.95,0.89,0.93,78950.0
2009-06-22,0.93,0.95,0.91,0.92,55717.0
2009-06-23,0.91,0.92,0.85,0.91,121217.0
2009-06-24,0.91,0.98,0.9,0.95,70733.0
2009-06-25,1.0,1.01,0.96,0.98,159100.0
2009-06-26,1.0,1.02,0.96,0.99,82750.0
2009-06-29,0.99,1.08,0.98,1.07,147883.0
2009-06-30,1.07,1.16,1.07,1.09,410917.0
2009-07-01,1.1,1.18,1.1,1.15,425650.0
2009-07-02,1.15,1.18,1.09,1.11,118400.0
2009-07-03,1.09,1.17,1.07,1.15,374300.0
2009-07-06,1.14,1.17,1.07,1.08,136950.0
2009-07-07,1.13,1.2,1.12,1.18,712500.0
2009-07-08,1.17,1.2,1.09,1.11,484967.0
2009-07-09,1.14,1.17,1.09,1.12,157567.0
2009-07-10,1.16,1.17,1.01,1.03,383800.0
2009-07-13,1.0,1.03,0.96,0.97,108200.0
2009-07-14,1.05,1.09,1.0,1.01,122317.0
2009-07-15,1.02,1.06,1.02,1.05,229917.0
2009-07-16,1.08,1.08,1.02,1.04,147917.0
2009-07-17,1.03,1.07,1.03,1.05,88767.0
2009-07-20,1.47,1.55,1.46,1.49,110400.0
2009-07-21,1.52,1.52,1.42,1.48,30883.0
2009-07-22,1.5,1.52,1.43,1.47,90800.0
2009-07-23,1.46,1.49,1.42,1.45,85933.0
2009-07-24,1.44,1.49,1.43,1.47,87983.0
2009-07-27,1.46,1.57,1.45,1.5,298000.0
2009-07-28,1.49,1.55,1.49,1.53,119900.0
2009-07-29,1.55,1.59,1.5,1.55,98517.0
2009-07-30,1.54,1.58,1.51,1.55,34883.0
2009-07-31,1.58,1.58,1.54,1.56,59050.0
2009-08-03,1.6,1.65,1.56,1.58,224583.0
2009-08-04,1.45,1.62,1.45,1.57,36133.0
2009-08-05,1.59,1.7,1.59,1.65,533550.0
2009-08-06,1.41,1.68,1.41,1.52,269217.0
2009-08-07,1.45,1.58,1.45,1.49,108950.0
2009-08-10,1.45,1.54,1.45,1.48,113083.0
2009-08-11,1.38,1.5,1.38,1.48,150583.0
2009-08-12,1.36,1.48,1.36,1.46,85667.0
2009-08-13,1.39,1.53,1.39,1.5,87950.0
2009-08-14,1.6,1.75,1.59,1.62,1229250.0
2009-08-17,1.55,1.58,1.48,1.5,353700.0
2009-08-18,1.44,1.53,1.44,1.53,133583.0
2009-08-19,1.41,1.56,1.41,1.53,210317.0
2009-08-20,1.42,1.55,1.42,1.53,163467.0
2009-08-21,1.46,1.55,1.46,1.52,182433.0
2009-08-24,1.46,1.6,1.46,1.56,165733.0
2009-08-25,1.47,1.58,1.47,1.57,102467.0
2009-08-26,1.5,1.72,1.5,1.64,442100.0
2009-08-27,1.6,1.73,1.6,1.64,182650.0
2009-08-28,1.42,1.7,1.42,1.63,153383.0
2009-08-31,1.56,1.66,1.56,1.65,119617.0
2009-09-01,1.6,1.97,1.6,1.96,6699317.0
2009-09-02,1.82,2.23,1.82,2.04,11697983.0
2009-09-03,2.06,2.11,1.92,1.94,2379083.0
2009-09-04,1.92,1.98,1.84,1.87,978450.0
2009-09-07,1.86,2.02,1.86,1.91,773267.0
2009-09-08,1.94,1.98,1.85,1.87,742550.0
2009-09-09,1.81,1.89,1.64,1.72,885700.0
2009-09-10,1.74,1.85,1.73,1.75,567150.0
2009-09-11,1.69,1.84,1.69,1.79,1064767.0
2009-09-14,1.79,1.91,1.79,1.87,985167.0
2009-09-15,1.79,1.92,1.79,1.88,433033.0
2009-09-16,1.82,1.97,1.82,1.9,1074100.0
2009-09-17,1.86,1.97,1.86,1.94,585600.0
2009-09-18,1.95,1.95,1.86,1.87,476000.0
2009-09-22,1.85,1.88,1.77,1.78,841100.0
2009-09-23,1.78,1.81,1.69,1.71,878367.0
2009-09-24,1.69,1.89,1.66,1.79,2495933.0
2009-09-25,1.79,1.85,1.77,1.78,619333.0
2009-09-29,1.78,1.82,1.75,1.78,1300967.0
2009-09-30,1.8,1.86,1.78,1.79,781317.0
2009-10-01,1.79,1.82,1.77,1.79,291667.0
2009-10-05,1.79,1.79,1.75,1.77,1356800.0
2009-10-06,1.79,1.8,1.73,1.74,352600.0
2009-10-07,1.81,1.81,1.75,1.77,343000.0
2009-10-08,1.77,1.8,1.75,1.78,1416817.0
2009-10-09,1.77,1.79,1.76,1.77,383900.0
2009-10-12,1.79,1.79,1.74,1.75,519733.0
2009-10-14,1.74,1.78,1.7,1.77,423250.0
2009-10-15,1.77,1.86,1.75,1.84,1299283.0
2009-10-16,1.95,1.97,1.8,1.81,651017.0
2009-10-20,1.87,1.87,1.81,1.82,223400.0
2009-10-21,1.8,1.93,1.8,1.85,870483.0
2009-10-22,1.82,1.93,1.82,1.84,699117.0
2009-10-23,1.89,1.97,1.84,1.86,3797433.0
2009-10-26,1.89,1.89,1.82,1.82,301167.0
2009-10-27,1.82,1.85,1.79,1.82,488217.0
2009-10-28,1.84,1.87,1.79,1.82,360783.0
2009-10-29,1.79,1.82,1.78,1.81,370633.0
2009-10-30,1.84,1.85,1.81,1.82,190933.0
2009-11-03,1.79,1.82,1.76,1.79,223967.0
2009-11-04,1.79,1.82,1.79,1.82,218300.0
2009-11-05,1.74,1.82,1.74,1.82,128667.0
2009-11-06,1.79,1.87,1.79,1.82,148267.0
2009-11-09,1.83,1.97,1.82,1.95,638900.0
2009-11-10,1.98,2.06,1.96,1.98,1208250.0
2009-11-11,1.92,2.01,1.92,2.0,268267.0
2009-11-12,1.86,2.02,1.86,1.96,145400.0
2009-11-13,1.82,1.95,1.82,1.9,96133.0
2009-11-16,1.89,1.94,1.88,1.91,154100.0
2009-11-17,1.92,1.92,1.88,1.9,97433.0
2009-11-18,1.87,1.98,1.87,1.94,146100.0
2009-11-19,1.92,2.06,1.92,2.0,645983.0
2009-11-20,1.98,2.15,1.94,2.1,3183333.0
2009-11-23,2.17,2.2,2.09,2.14,2944150.0
2009-11-24,2.14,2.23,2.1,2.2,2747050.0
2009-11-25,2.23,2.64,2.23,2.3,3652533.0
2009-11-26,2.32,2.44,2.31,2.38,3113333.0
2009-11-27,2.32,2.34,2.2,2.3,1029517.0
2009-11-30,2.33,2.38,2.3,2.31,495250.0
2009-12-01,2.33,2.36,2.3,2.34,503550.0
2009-12-02,2.38,2.44,2.37,2.38,1195350.0
2009-12-03,3.16,3.19,3.1,3.12,445067.0
2009-12-04,2.89,3.12,2.89,3.06,290133.0
2009-12-07,3.02,3.14,3.02,3.05,211833.0
2009-12-08,3.06,3.12,3.03,3.08,123400.0
2009-12-09,3.04,3.34,3.04,3.19,1512983.0
2009-12-10,3.24,3.29,3.17,3.21,514050.0
2009-12-11,3.23,3.27,3.15,3.17,285700.0
2009-12-14,3.16,3.29,3.14,3.2,502083.0
2009-12-15,3.23,3.23,3.11,3.12,97617.0
2009-12-16,3.09,3.19,3.06,3.16,119267.0
2009-12-17,3.12,3.18,3.09,3.11,141717.0
2009-12-18,3.12,3.2,3.07,3.14,197850.0
2009-12-21,3.14,3.22,3.11,3.15,206633.0
2009-12-22,3.33,3.71,3.24,3.49,11778783.0
2009-12-23,3.33,3.71,3.24,3.49,11778783.0
2009-12-24,3.33,3.71,3.24,3.49,11778783.0
2009-12-29,3.33,3.71,3.24,3.49,11778783.0
2009-12-30,3.33,3.71,3.24,3.49,11778783.0
2009-12-31,3.33,3.71,3.24,3.49,11778783.0
2010-01-04,3.48,3.83,3.43,3.77,3461017.0
2010-01-05,3.79,4.11,3.73,3.89,12282717.0
2010-01-06,3.97,3.97,3.77,3.8,1586200.0
2010-01-07,3.8,3.83,3.65,3.68,670683.0
2010-01-08,3.7,3.91,3.7,3.8,1591933.0
2010-01-11,3.84,3.93,3.81,3.84,1198950.0
2010-01-12,3.8,3.87,3.69,3.71,335650.0
2010-01-13,3.7,3.72,3.61,3.66,248183.0
2010-01-14,3.7,3.76,3.63,3.65,300217.0
2010-01-15,3.68,3.73,3.66,3.68,215633.0
2010-01-18,3.72,3.73,3.61,3.63,219517.0
2010-01-19,3.63,3.82,3.63,3.77,661167.0
2010-01-20,3.65,3.82,3.51,3.7,441267.0
2010-01-21,3.7,3.73,3.53,3.55,279117.0
2010-01-22,3.43,3.56,3.32,3.47,938017.0
2010-01-25,3.47,3.54,3.4,3.46,326100.0
2010-01-27,3.46,3.46,3.22,3.25,269067.0
2010-01-28,3.24,3.33,3.12,3.16,207750.0
2010-01-29,3.14,3.25,3.04,3.21,255800.0
2010-02-01,3.17,3.34,3.16,3.29,173500.0
2010-02-02,3.38,3.38,3.23,3.25,189033.0
2010-02-03,3.36,3.36,3.26,3.34,194500.0
2010-02-04,3.31,3.49,3.28,3.31,304017.0
2010-02-05,3.14,3.25,3.14,3.2,112250.0
2010-02-08,3.26,3.32,3.21,3.28,74767.0
2010-02-09,3.24,3.34,3.23,3.25,192067.0
2010-02-10,3.3,3.47,3.26,3.33,278183.0
2010-02-11,3.33,3.43,3.33,3.39,205267.0
2010-02-15,3.39,3.43,3.33,3.35,87767.0
2010-02-16,3.34,3.36,3.31,3.34,59017.0
2010-02-17,3.38,3.43,3.32,3.34,134800.0
2010-02-18,3.38,3.42,3.28,3.32,181783.0
2010-02-19,3.31,3.33,3.26,3.28,50900.0
2010-02-22,3.31,3.31,3.23,3.24,76150.0
2010-02-23,3.26,3.33,3.09,3.21,71550.0
2010-02-24,3.22,3.26,3.11,3.14,106250.0
2010-02-25,3.31,3.73,3.09,3.19,134467.0
2010-02-26,3.19,3.33,3.19,3.3,319683.0
2010-03-02,3.31,3.43,3.25,3.27,227383.0
2010-03-03,3.27,3.43,3.27,3.35,381617.0
2010-03-04,3.43,3.43,3.35,3.37,158167.0
2010-03-05,3.37,3.48,3.35,3.38,209783.0
2010-03-08,3.37,3.44,3.32,3.36,145217.0
2010-03-09,3.39,3.59,3.34,3.48,1429533.0
2010-03-10,3.48,3.66,3.48,3.51,1115100.0
2010-03-11,3.51,3.54,3.43,3.46,107117.0
2010-03-12,3.41,3.49,3.36,3.37,112317.0
2010-03-15,3.39,3.44,3.36,3.38,59817.0
2010-03-16,3.24,3.52,3.19,3.45,674600.0
2010-03-17,3.22,3.48,3.22,3.42,84300.0
2010-03-18,3.39,3.42,3.37,3.37,130833.0
2010-03-19,3.36,3.38,3.31,3.33,73217.0
2010-03-22,3.31,3.35,3.26,3.27,83533.0
2010-03-23,3.28,3.31,3.16,3.19,541117.0
2010-03-25,3.17,3.27,3.17,3.25,182683.0
2010-03-26,3.29,3.89,3.27,3.76,10550517.0
2010-03-29,3.79,3.87,3.65,3.74,6218083.0
2010-03-30,3.14,3.72,3.14,3.52,1168433.0
2010-03-31,3.56,3.8,3.46,3.7,1938500.0
2010-04-01,3.77,3.81,3.62,3.66,828117.0
2010-04-05,3.73,4.39,3.7,4.39,11386133.0
2010-04-06,4.51,4.64,4.22,4.27,8180883.0
2010-04-07,4.24,5.12,4.24,5.05,20820533.0
2010-04-08,5.01,5.5,5.01,5.29,24081217.0
2010-04-09,5.29,5.33,5.04,5.09,6325883.0
2010-04-12,5.12,5.13,4.85,4.87,1504950.0
2010-04-13,4.97,5.26,4.92,4.99,3693200.0
2010-04-15,5.04,5.12,4.87,4.9,733683.0
2010-04-16,4.92,5.01,4.81,4.84,803433.0
2010-04-19,4.75,5.32,4.57,5.23,8751767.0
