,open,high,low,close,volume
2009-05-20,4.65,4.82,4.51,4.74,367178.0
2009-05-21,4.91,5.58,4.67,5.4,879330.0
2009-05-22,5.73,5.73,5.47,5.61,1933980.0
2009-05-25,5.7,6.1,5.61,6.03,1422330.0
2009-05-26,6.09,6.2,5.42,5.63,663278.0
2009-05-27,5.87,6.21,5.51,5.89,641250.0
2009-05-28,5.94,6.75,5.84,6.06,941528.0
2009-05-29,6.0,6.25,5.95,6.0,272490.0
2009-06-01,6.1,6.54,5.8,6.39,657742.0
2009-06-02,6.5,6.5,6.08,6.3,144735.0
2009-06-03,6.27,6.58,6.25,6.33,359115.0
2009-06-04,6.35,6.93,6.25,6.68,706238.0
2009-06-05,6.4,6.83,6.4,6.43,138195.0
2009-06-08,6.58,6.59,5.8,5.85,216952.0
2009-06-09,5.67,6.41,5.67,6.07,180112.0
2009-06-10,6.41,6.41,5.88,5.95,40335.0
2009-06-11,5.97,6.06,5.74,5.79,26730.0
2009-06-12,6.07,6.07,5.6,5.74,24600.0
2009-06-15,5.77,5.87,5.57,5.68,20400.0
2009-06-16,5.53,5.74,5.4,5.74,32092.0
2009-06-17,5.54,5.74,5.53,5.74,30262.0
2009-06-18,5.73,5.73,5.34,5.34,12862.0
2009-06-19,5.6,5.61,5.46,5.47,20775.0
2009-06-22,5.46,5.74,5.2,5.74,40170.0
2009-06-23,5.21,5.38,5.21,5.33,8062.0
2009-06-24,5.35,5.38,5.25,5.25,4762.0
2009-06-25,5.26,5.74,5.26,5.74,7500.0
2009-06-26,5.36,5.48,5.36,5.4,9068.0
2009-06-29,5.48,5.74,5.43,5.74,11475.0
2009-06-30,7.03,7.36,6.8,7.36,14408.0
2009-07-01,6.91,6.92,6.9,6.9,1538.0
2009-07-02,6.71,6.88,6.68,6.68,1868.0
2009-07-03,6.67,6.84,6.67,6.67,1808.0
2009-07-06,7.07,7.07,6.81,6.81,12292.0
2009-07-07,6.84,6.92,6.67,6.67,6398.0
2009-07-08,6.58,6.88,6.58,6.58,5130.0
2009-07-09,6.33,6.56,6.33,6.33,20895.0
2009-07-10,6.38,6.75,6.33,6.33,20408.0
2009-07-13,6.32,6.49,6.32,6.32,2145.0
2009-07-14,6.58,6.8,6.58,6.58,10050.0
2009-07-15,7.14,7.36,7.14,7.36,3000.0
2009-07-16,7.5,7.5,7.14,7.36,23355.0
2009-07-17,7.14,7.47,7.14,7.29,13500.0
2009-07-20,7.53,7.53,7.11,7.19,6428.0
2009-07-21,7.1,7.44,7.1,7.13,6848.0
2009-07-22,7.44,7.44,6.91,6.91,12278.0
2009-07-23,6.69,7.25,6.69,7.25,11888.0
2009-07-24,7.44,7.62,7.36,7.62,40312.0
2009-07-27,7.37,7.98,7.37,7.63,29145.0
2009-07-28,7.55,7.96,7.55,7.63,7102.0
2009-07-29,7.55,7.78,7.55,7.57,14678.0
2009-07-30,7.51,7.7,7.36,7.66,7852.0
2009-07-31,7.55,7.74,7.46,7.55,24210.0
2009-08-03,7.49,7.69,7.29,7.5,18585.0
2009-08-04,7.42,7.84,7.42,7.66,57570.0
2009-08-05,7.62,7.69,7.49,7.69,2138.0
2009-08-06,7.36,7.74,7.36,7.4,93998.0
2009-08-07,7.3,7.3,7.2,7.2,4245.0
2009-08-10,7.07,7.34,7.07,7.26,2955.0
2009-08-11,7.34,7.35,7.14,7.35,13230.0
2009-08-12,7.27,7.36,7.1,7.36,5295.0
2009-08-13,7.36,7.67,7.36,7.67,72000.0
2009-08-14,7.39,7.7,7.39,7.53,8992.0
2009-08-17,7.41,7.6,7.36,7.36,10912.0
2009-08-18,7.36,7.36,7.36,7.36,0.0
2009-08-19,7.23,7.79,7.23,7.74,24165.0
2009-08-20,7.66,7.7,7.48,7.66,9952.0
2009-08-21,7.74,7.95,7.54,7.6,31575.0
2009-08-24,7.96,7.96,7.68,7.86,22785.0
2009-08-25,7.58,7.74,7.53,7.69,101722.0
2009-08-26,7.74,8.08,7.74,8.08,146198.0
2009-08-27,7.9,8.15,7.9,7.92,14235.0
2009-08-28,8.05,8.05,7.72,7.9,24660.0
2009-08-31,8.0,8.0,7.79,7.86,14175.0
2009-09-01,7.67,7.95,7.53,7.61,36375.0
2009-09-02,7.4,7.83,7.4,7.58,16845.0
2009-09-03,7.77,7.77,7.57,7.58,5498.0
2009-09-04,7.53,7.81,7.53,7.69,17062.0
2009-09-07,8.03,8.03,7.7,7.7,19230.0
2009-09-08,7.79,7.95,7.79,7.79,13680.0
2009-09-09,7.88,7.91,7.71,7.8,27532.0
2009-09-10,7.82,8.04,7.71,7.76,57758.0
2009-09-11,7.94,7.94,7.62,7.63,19605.0
2009-09-14,7.67,7.79,7.53,7.62,26288.0
2009-09-15,7.63,8.31,7.63,8.05,194138.0
2009-09-16,8.21,8.21,7.36,7.97,78022.0
2009-09-17,7.97,8.04,7.78,7.82,57892.0
2009-09-18,7.81,7.87,7.7,7.8,26160.0
2009-09-22,7.79,8.09,7.71,7.98,55320.0
2009-09-23,7.92,8.06,7.92,7.96,42570.0
2009-09-24,7.96,7.96,7.8,7.88,31778.0
2009-09-25,7.96,8.68,7.87,8.54,222180.0
2009-09-29,8.77,9.18,8.6,8.7,320182.0
2009-09-30,8.58,9.11,8.58,8.67,175620.0
2009-10-01,8.59,8.74,8.41,8.47,110085.0
2009-10-05,8.74,8.91,8.21,8.22,94755.0
2009-10-06,8.31,8.31,7.75,8.0,86820.0
2009-10-07,8.05,8.16,7.8,7.89,107550.0
2009-10-08,8.0,8.05,7.82,7.92,27892.0
2009-10-09,8.13,8.13,7.54,7.68,109665.0
2009-10-12,7.96,8.13,7.68,7.81,67920.0
2009-10-14,7.89,8.19,7.89,7.98,36570.0
2009-10-15,8.05,8.13,7.88,7.98,12240.0
2009-10-16,7.94,8.13,7.89,8.03,20100.0
2009-10-20,8.22,8.22,7.97,8.01,16522.0
2009-10-21,8.2,8.81,8.2,8.81,454132.0
2009-10-22,8.85,9.17,8.35,8.43,278662.0
2009-10-23,8.57,8.65,8.32,8.4,49238.0
2009-10-26,8.48,8.83,8.32,8.48,165578.0
2009-10-27,8.27,8.63,8.08,8.14,86722.0
2009-10-28,8.06,8.35,7.96,8.25,77355.0
2009-10-29,8.57,8.57,8.22,8.29,160485.0
2009-10-30,8.39,8.61,7.92,8.01,167145.0
2009-11-03,8.0,8.05,7.46,7.57,52028.0
2009-11-04,7.44,7.78,7.44,7.67,12615.0
2009-11-05,7.7,8.05,7.66,7.87,22965.0
2009-11-06,7.96,8.17,7.96,8.01,22522.0
2009-11-09,8.05,8.09,7.9,8.06,28185.0
2009-11-10,8.07,8.07,7.88,8.02,9075.0
2009-11-11,8.06,8.06,7.75,7.92,7410.0
