,open,high,low,close,volume
2009-05-20,66.39,66.7,64.48,65.31,100170.0
2009-05-21,66.77,67.77,65.1,66.27,85820.0
2009-05-22,67.46,67.46,59.52,61.7,112200.0
2009-05-25,61.89,63.72,61.05,62.35,77360.0
2009-05-26,63.34,63.34,60.13,61.31,90770.0
2009-05-27,64.03,64.03,59.91,61.06,435590.0
2009-05-28,62.2,62.96,60.9,61.33,67780.0
2009-05-29,61.81,63.62,58.99,62.29,83230.0
2009-06-01,62.96,62.96,60.3,61.24,80470.0
2009-06-02,61.66,61.81,60.52,61.05,431210.0
2009-06-03,62.2,63.18,61.13,62.02,118140.0
2009-06-04,64.17,64.87,63.48,64.03,82510.0
2009-06-05,64.41,65.35,63.09,64.15,340430.0
2009-06-08,64.56,64.56,63.38,63.78,83970.0
2009-06-09,64.17,64.96,63.78,64.12,742660.0
2009-06-10,64.02,64.3,57.6,63.01,100550.0
2009-06-11,64.29,64.95,61.52,63.4,180430.0
2009-06-12,68.42,68.42,62.91,62.99,399410.0
2009-06-15,63.22,63.22,58.58,59.95,91430.0
2009-06-16,60.94,66.92,60.78,64.1,83370.0
2009-06-17,64.17,64.7,62.59,62.59,777890.0
2009-06-18,61.18,64.09,61.02,62.43,83610.0
2009-06-19,62.99,66.77,62.2,64.06,79660.0
2009-06-22,67.08,69.92,61.81,62.51,139390.0
2009-06-23,59.84,63.3,59.84,62.14,84370.0
2009-06-24,63.15,66.14,62.2,63.57,82440.0
2009-06-25,63.07,64.72,63.07,64.49,881320.0
2009-06-26,63.62,64.48,63.38,63.69,77270.0
2009-06-29,63.46,64.04,62.99,63.11,91620.0
2009-06-30,63.15,63.93,62.99,63.0,79680.0
2009-07-01,65.74,65.74,62.59,63.2,82700.0
2009-07-02,63.54,64.32,63.01,63.54,74910.0
2009-07-03,63.62,64.17,62.91,63.2,80280.0
2009-07-06,63.78,64.09,62.99,63.37,78220.0
2009-07-07,63.93,64.01,62.99,64.01,82640.0
2009-07-08,63.78,63.78,62.59,62.96,79300.0
2009-07-09,62.99,63.38,62.67,63.07,77640.0
2009-07-10,62.99,64.48,61.83,62.72,86430.0
2009-07-13,62.99,63.78,59.09,59.53,79810.0
2009-07-14,61.41,61.41,60.43,61.02,78780.0
2009-07-15,62.2,62.59,61.33,61.58,676600.0
2009-07-16,66.85,73.22,61.41,61.86,79580.0
2009-07-17,61.81,62.52,60.63,62.29,123970.0
2009-07-20,61.81,62.91,61.43,62.34,79940.0
2009-07-21,62.59,62.98,61.41,62.89,77530.0
2009-07-22,64.17,64.56,62.29,63.56,79470.0
2009-07-23,63.15,64.48,62.59,63.07,77730.0
2009-07-24,63.22,63.78,62.28,62.37,76670.0
2009-07-27,64.48,64.48,62.2,62.69,77480.0
2009-07-28,63.22,63.32,62.59,63.03,76550.0
2009-07-29,62.59,63.38,61.81,61.81,76080.0
2009-07-30,61.18,62.91,61.02,61.53,79630.0
2009-07-31,63.38,64.25,61.89,62.37,82500.0
