,open,high,low,close,volume
2009-05-20,29.29,34.05,29.16,33.61,436800.0
2009-05-21,33.97,36.71,33.44,34.12,631172.0
2009-05-22,34.05,34.48,31.2,33.71,355750.0
2009-05-25,34.03,37.1,32.59,36.88,569892.0
2009-05-26,37.46,38.06,34.08,34.65,276792.0
2009-05-27,35.76,36.16,34.91,35.8,78238.0
2009-05-28,35.97,36.99,35.25,35.59,83930.0
2009-05-29,36.37,36.4,35.59,35.93,100934.0
2009-06-01,36.99,39.52,36.63,39.52,498216.0
2009-06-02,41.89,42.14,39.16,39.84,562458.0
2009-06-03,38.74,41.08,38.74,39.23,170124.0
2009-06-04,38.31,39.16,37.67,38.72,155496.0
2009-06-05,39.14,41.21,38.37,39.35,425366.0
2009-06-08,39.57,39.57,35.76,36.31,194298.0
2009-06-09,34.91,39.16,33.44,36.74,265840.0
2009-06-10,37.31,40.42,37.31,39.23,557988.0
2009-06-11,39.76,39.8,37.46,37.78,173076.0
2009-06-12,38.29,39.16,38.1,38.99,180868.0
2009-06-15,39.12,40.44,37.89,38.37,178942.0
2009-06-16,37.31,38.52,35.42,38.25,97030.0
2009-06-17,38.44,40.14,37.25,37.71,169330.0
2009-06-18,38.48,38.48,36.27,37.44,159856.0
2009-06-19,38.2,38.33,36.69,37.61,113782.0
2009-06-22,38.29,38.52,37.67,37.91,83218.0
2009-06-23,36.61,38.31,35.33,38.12,68622.0
2009-06-24,38.31,38.31,37.12,37.95,32214.0
2009-06-25,38.31,39.12,37.67,37.8,195056.0
2009-06-26,38.27,38.74,37.67,37.99,33760.0
2009-06-29,38.95,40.86,37.93,39.69,313418.0
2009-06-30,40.27,41.72,39.63,39.89,466280.0
2009-07-01,40.82,40.82,39.03,39.25,97912.0
2009-07-02,39.97,40.23,38.95,39.48,76746.0
2009-07-03,39.59,39.61,38.52,39.29,64260.0
2009-07-06,39.59,39.59,36.4,36.65,92170.0
2009-07-07,37.03,37.65,34.05,36.08,61630.0
2009-07-08,35.42,35.74,33.48,34.29,60580.0
2009-07-09,33.63,36.18,33.63,35.18,83042.0
2009-07-10,34.76,36.35,34.05,34.37,87542.0
2009-07-13,33.65,33.84,32.35,32.78,52282.0
2009-07-14,33.2,38.86,32.56,36.93,271292.0
2009-07-15,37.4,38.1,37.05,37.27,82762.0
2009-07-16,37.46,39.8,37.46,39.23,198602.0
2009-07-17,40.01,42.35,39.72,41.42,400422.0
2009-07-20,41.61,44.65,41.61,43.89,397230.0
2009-07-21,44.75,50.55,43.28,48.19,1201538.0
2009-07-22,51.02,51.02,46.72,48.84,598542.0
2009-07-23,49.29,50.16,47.13,49.05,190022.0
2009-07-24,49.05,50.16,47.56,48.08,148022.0
2009-07-27,48.86,52.08,47.99,50.89,337980.0
2009-07-28,50.91,52.62,49.72,50.46,339294.0
2009-07-29,49.75,51.13,47.56,48.43,210642.0
2009-07-30,48.64,55.13,48.64,53.05,2013808.0
2009-07-31,46.09,55.22,46.09,51.13,1561932.0
2009-08-03,51.89,52.32,49.27,50.61,792018.0
2009-08-04,51.41,53.7,50.61,52.15,1037210.0
2009-08-05,52.92,52.92,51.02,51.69,224006.0
2009-08-06,51.69,52.66,49.34,50.16,199142.0
2009-08-07,50.37,51.45,48.95,50.26,591204.0
2009-08-10,53.1,53.1,47.04,47.71,316080.0
2009-08-11,48.64,49.21,47.13,48.9,233882.0
2009-08-12,48.43,48.43,46.27,48.1,131718.0
2009-08-13,48.64,49.62,48.64,49.1,186392.0
2009-08-14,49.34,51.54,48.86,49.59,226834.0
2009-08-17,48.54,50.5,45.4,47.58,179990.0
2009-08-18,48.43,50.35,47.67,49.83,202646.0
2009-08-19,50.76,52.15,49.14,49.81,368310.0
2009-08-20,50.63,52.53,50.42,50.74,310892.0
2009-08-21,50.83,51.54,50.37,50.93,160916.0
2009-08-24,51.41,51.89,51.02,51.37,173334.0
2009-08-25,51.02,58.67,50.59,56.84,2096792.0
2009-08-26,57.85,58.46,54.7,56.51,942570.0
2009-08-27,54.96,57.9,54.96,55.65,266032.0
2009-08-28,56.58,58.07,55.32,56.04,459324.0
2009-08-31,55.78,56.64,54.07,54.78,192842.0
2009-09-01,55.52,58.8,55.37,55.86,787842.0
2009-09-02,55.78,57.46,54.48,55.6,331046.0
2009-09-03,56.21,58.37,55.6,56.69,893050.0
2009-09-04,57.36,57.72,55.56,55.84,219958.0
2009-09-07,56.64,56.92,55.82,56.19,154948.0
2009-09-08,56.9,62.7,56.23,60.75,1838864.0
2009-09-09,60.27,60.86,58.37,58.59,482910.0
2009-09-10,59.82,60.79,56.75,57.18,432832.0
2009-09-11,57.51,57.81,55.13,55.47,248234.0
2009-09-14,55.47,56.69,54.16,54.5,240046.0
2009-09-15,55.24,59.58,54.96,57.98,621726.0
2009-09-16,59.02,60.4,57.57,58.78,411070.0
2009-09-17,59.54,62.7,58.67,60.97,840274.0
2009-09-18,61.4,61.92,58.46,59.86,234158.0
2009-09-22,60.36,61.4,59.67,60.36,156856.0
2009-09-23,60.79,60.9,58.37,58.54,131262.0
2009-09-24,58.24,60.99,57.31,60.66,303706.0
2009-09-25,59.71,64.6,59.67,63.45,1435260.0
2009-09-29,63.78,64.36,61.44,62.57,269574.0
2009-09-30,62.48,62.87,61.18,61.85,167280.0
2009-10-01,61.18,62.26,60.97,61.12,107252.0
2009-10-05,61.01,61.4,58.37,58.72,198442.0
2009-10-06,60.49,60.49,56.43,58.52,209192.0
2009-10-07,58.8,60.32,58.37,58.83,127028.0
2009-10-08,59.89,61.29,58.8,59.73,276134.0
2009-10-09,60.53,62.5,59.89,61.03,360988.0
2009-10-12,61.03,64.14,61.03,63.63,350198.0
2009-10-14,64.81,67.0,63.26,64.1,509068.0
2009-10-15,64.45,67.37,63.56,65.33,674068.0
2009-10-16,64.88,67.19,64.88,66.65,514932.0
2009-10-20,68.32,68.75,64.9,67.0,484588.0
2009-10-21,65.33,70.39,65.33,67.86,813886.0
2009-10-22,67.86,68.6,67.02,67.21,771442.0
2009-10-23,68.04,69.83,67.67,68.04,319880.0
2009-10-26,67.56,68.66,67.24,68.08,102998.0
2009-10-27,67.24,67.45,64.12,64.73,306780.0
2009-10-28,64.86,69.16,62.74,67.41,718530.0
2009-10-29,68.1,70.65,66.59,68.51,976832.0
2009-10-30,69.4,70.26,63.99,66.03,324508.0
2009-11-03,64.73,65.72,59.76,60.51,206368.0
2009-11-04,60.99,65.94,60.99,64.38,399342.0
