,open,high,low,close,volume
2009-05-20,196.65,218.75,193.23,215.6,89436.0
2009-05-21,195.05,257.48,183.59,241.53,369990.0
2009-05-22,248.37,253.38,224.33,236.84,258338.0
2009-05-25,237.43,243.77,226.5,234.4,269116.0
2009-05-26,236.07,238.73,231.05,232.76,183488.0
2009-05-27,233.79,236.07,230.14,231.58,89996.0
2009-05-28,233.79,233.79,228.11,228.86,56658.0
2009-05-29,230.14,236.93,228.36,233.29,80562.0
2009-06-01,240.83,240.83,230.19,235.22,109176.0
2009-06-02,239.26,240.17,229.46,231.71,36516.0
2009-06-03,236.02,241.53,230.6,237.61,51678.0
2009-06-04,238.07,250.19,228.98,230.71,702378.0
2009-06-05,235.97,235.97,226.5,228.48,109390.0
2009-06-08,230.55,234.93,224.74,226.2,47112.0
2009-06-09,227.86,236.52,217.84,234.36,109760.0
2009-06-10,236.98,241.08,233.33,235.4,886098.0
2009-06-11,234.7,239.71,228.77,231.23,55294.0
2009-06-12,232.44,233.79,224.67,227.95,60044.0
2009-06-15,228.73,228.73,221.48,224.79,54378.0
2009-06-16,223.76,229.23,221.94,225.72,416284.0
2009-06-17,223.81,229.09,223.42,226.02,52462.0
2009-06-18,223.31,227.41,205.1,225.74,59932.0
2009-06-19,227.86,239.23,219.27,232.99,36028.0
2009-06-22,228.43,241.08,225.58,232.72,314294.0
2009-06-23,227.86,238.8,227.86,236.77,63208.0
2009-06-24,232.9,252.93,230.64,243.36,759610.0
2009-06-25,236.98,265.69,236.98,258.87,787484.0
2009-06-26,258.76,275.71,255.66,273.84,276922.0
2009-06-29,275.71,275.71,253.38,257.42,66830.0
2009-06-30,261.81,267.05,258.1,261.08,195384.0
2009-07-01,262.04,284.78,223.4,266.26,679130.0
2009-07-02,267.97,277.54,255.21,273.59,210490.0
2009-07-03,273.43,278.88,266.62,269.2,32142.0
2009-07-06,273.43,273.43,257.62,259.65,36390.0
2009-07-07,266.6,266.6,255.8,264.18,19250.0
2009-07-08,262.95,263.86,247.48,248.8,26060.0
2009-07-09,255.21,257.48,247.07,250.28,16094.0
2009-07-10,250.19,255.11,241.56,246.57,31518.0
2009-07-13,241.53,245.18,228.57,230.66,32656.0
2009-07-14,239.26,239.26,232.03,234.7,21130.0
2009-07-15,239.21,248.37,235.15,246.64,41300.0
2009-07-16,248.32,254.16,243.9,248.55,24292.0
2009-07-17,249.28,255.21,246.09,251.72,24108.0
2009-07-20,262.04,275.62,253.95,257.12,185996.0
2009-07-21,259.76,265.69,255.23,257.42,54134.0
2009-07-22,262.04,262.95,255.66,260.63,50192.0
2009-07-23,263.77,266.17,258.85,263.23,59560.0
2009-07-24,263.86,268.1,259.88,264.23,43212.0
2009-07-27,265.23,265.51,257.64,261.04,39316.0
2009-07-28,261.56,261.56,253.93,256.39,65254.0
2009-07-29,252.93,259.31,248.64,251.88,19894.0
2009-07-30,250.72,254.73,246.55,248.6,15728.0
2009-07-31,256.07,256.07,249.28,252.74,36492.0
2009-08-03,262.04,264.23,252.81,256.78,51216.0
2009-08-04,254.29,259.19,253.7,256.3,66526.0
2009-08-05,257.48,258.3,251.56,254.98,42536.0
2009-08-06,252.95,256.12,244.27,247.96,142686.0
2009-08-07,246.55,253.38,246.11,247.0,44718.0
2009-08-10,251.56,271.16,251.56,255.39,283638.0
2009-08-11,259.76,262.04,251.15,253.86,133270.0
2009-08-12,252.93,256.05,245.64,247.32,101418.0
2009-08-13,250.1,252.4,247.5,248.99,97324.0
2009-08-14,250.19,252.9,241.58,245.73,108602.0
2009-08-17,245.73,246.57,240.24,243.72,44198.0
2009-08-18,242.01,245.45,242.01,243.58,29140.0
2009-08-19,243.81,246.0,239.71,241.63,37716.0
2009-08-20,248.54,251.83,244.92,247.58,74174.0
2009-08-21,251.81,256.9,248.54,254.54,79636.0
2009-08-24,256.95,259.28,250.69,252.09,81328.0
2009-08-25,253.68,254.15,247.14,250.1,93890.0
2009-08-26,252.74,254.99,244.33,245.01,162688.0
2009-08-27,245.27,248.17,242.93,247.28,66348.0
2009-08-28,249.01,249.57,246.67,247.56,372804.0
2009-08-31,245.34,249.75,243.98,245.27,238574.0
2009-09-01,245.53,247.49,241.06,245.39,23986.0
2009-09-02,244.8,248.28,241.53,244.55,13244.0
2009-09-03,244.36,247.96,241.53,242.49,75226.0
2009-09-04,243.4,244.22,241.09,242.77,34812.0
2009-09-07,245.25,245.25,240.15,241.23,55174.0
2009-09-08,238.35,243.4,238.26,240.85,45340.0
2009-09-09,242.0,245.27,240.22,241.51,521828.0
2009-09-10,242.93,266.06,242.93,257.16,247596.0
2009-09-11,257.88,274.7,257.88,273.11,450678.0
2009-09-14,274.09,274.09,256.97,258.68,139376.0
2009-09-15,265.66,266.29,257.09,263.35,62608.0
2009-09-16,263.49,266.27,253.33,255.87,78960.0
2009-09-17,256.01,259.68,256.01,258.49,69130.0
2009-09-18,261.01,261.01,249.94,256.55,83942.0
2009-09-22,261.62,265.36,256.53,257.88,42002.0
2009-09-23,257.88,258.68,251.11,252.0,64618.0
2009-09-24,252.28,254.61,245.32,249.73,126926.0
2009-09-25,242.93,252.16,236.25,245.43,156072.0
2009-09-29,245.92,258.33,245.92,250.29,72708.0
2009-09-30,250.41,260.22,248.68,255.66,63420.0
2009-10-01,258.82,258.82,249.94,251.32,51428.0
2009-10-05,254.61,256.39,247.61,253.26,39692.0
2009-10-06,252.74,262.09,249.26,258.89,88636.0
2009-10-07,261.57,262.55,253.26,254.78,27026.0
2009-10-08,261.06,268.63,254.68,256.95,62566.0
2009-10-09,256.41,259.28,253.8,257.02,105872.0
2009-10-12,253.44,262.93,253.44,256.43,40388.0
2009-10-14,256.43,259.14,254.96,255.36,28802.0
2009-10-15,256.95,265.85,255.03,263.0,45566.0
2009-10-16,265.36,265.36,257.02,258.16,32538.0
2009-10-20,259.28,263.96,257.42,259.47,42360.0
2009-10-21,259.28,279.84,255.59,257.77,45244.0
2009-10-22,254.66,263.02,252.32,259.1,45600.0
2009-10-23,259.28,263.02,255.1,255.59,24402.0
2009-10-26,257.42,258.77,253.21,255.9,12118.0
2009-10-27,254.15,259.75,252.28,257.0,41002.0
2009-10-28,258.12,259.0,249.94,255.92,29856.0
2009-10-29,253.35,254.15,248.33,250.22,104434.0
2009-10-30,253.68,256.01,249.01,250.27,53908.0
2009-11-03,254.15,254.15,243.96,245.83,25932.0
2009-11-04,247.61,251.81,243.4,249.59,51412.0
2009-11-05,249.59,249.82,243.87,246.27,23792.0
2009-11-06,251.81,251.81,247.18,249.01,36854.0
2009-11-09,247.16,251.58,247.16,249.26,35138.0
2009-11-10,254.15,254.15,248.33,248.89,409800.0
2009-11-11,251.72,251.81,247.09,247.58,101994.0
2009-11-12,248.07,249.82,246.67,248.0,45432.0
2009-11-13,249.01,249.94,247.14,247.61,35100.0
2009-11-16,254.15,254.15,247.61,248.52,211270.0
2009-11-17,251.76,253.21,247.14,248.8,360882.0
2009-11-18,249.94,251.34,249.01,249.85,29216.0
2009-11-19,249.85,251.79,247.93,248.12,17630.0
2009-11-20,250.27,250.27,247.58,248.63,10912.0
2009-11-23,255.55,255.55,248.77,249.43,45292.0
2009-11-24,251.81,252.72,248.61,251.69,50178.0
2009-11-25,249.94,254.15,249.94,251.55,21278.0
2009-11-26,249.94,253.12,248.8,250.57,41638.0
2009-11-27,249.94,249.94,243.63,248.56,50756.0
2009-11-30,249.47,251.79,246.76,247.65,106506.0
2009-12-01,248.07,251.81,247.14,248.89,209602.0
2009-12-02,249.05,261.15,248.1,255.66,118040.0
2009-12-03,256.9,259.28,253.21,257.51,67002.0
2009-12-04,255.08,263.91,255.08,257.6,68346.0
2009-12-07,256.95,260.69,253.68,254.29,24020.0
2009-12-08,255.94,255.94,252.28,253.44,25062.0
2009-12-09,254.08,258.68,253.21,257.35,62782.0
2009-12-10,259.28,259.28,254.68,255.64,20890.0
2009-12-11,258.3,270.03,253.68,261.67,223018.0
2009-12-14,266.25,266.25,257.88,259.47,77908.0
2009-12-15,266.29,266.29,259.33,260.45,74074.0
2009-12-16,264.42,264.91,261.6,262.27,201306.0
2009-12-17,262.09,265.36,256.69,263.07,41570.0
2009-12-18,261.62,265.36,258.82,263.47,56420.0
2009-12-21,263.49,278.67,263.49,270.54,297666.0
2009-12-22,272.04,278.44,265.36,266.18,54952.0
2009-12-23,272.04,278.44,265.36,266.18,54952.0
2009-12-24,272.04,278.44,265.36,266.18,54952.0
2009-12-29,272.04,278.44,265.36,266.18,54952.0
2009-12-30,272.04,278.44,265.36,266.18,54952.0
2009-12-31,272.04,278.44,265.36,266.18,54952.0
2010-01-04,305.54,338.71,302.36,324.36,563604.0
2010-01-05,326.51,345.71,320.06,342.33,597476.0
2010-01-06,304.25,343.0,304.25,330.69,168942.0
2010-01-07,317.68,349.92,317.68,333.5,392410.0
2010-01-08,335.9,342.91,329.36,332.37,133122.0
2010-01-11,332.37,340.57,329.41,331.91,88576.0
2010-01-12,336.32,336.84,325.23,328.4,82990.0
