,open,high,low,close,volume
2009-05-20,25.67,25.67,24.28,24.74,1165582.0
2009-05-21,25.33,26.35,24.49,24.95,3099334.0
2009-05-22,25.33,25.54,24.57,24.95,1136944.0
2009-05-25,25.29,26.52,25.29,25.67,2456445.0
2009-05-26,26.18,26.6,23.98,24.62,1980730.0
2009-05-27,25.33,26.81,25.16,26.3,2485970.0
2009-05-28,27.87,28.25,26.6,27.02,3644676.0
2009-05-29,27.66,27.66,26.26,26.47,2406355.0
2009-06-01,27.02,27.28,26.09,26.26,1515981.0
2009-06-02,26.18,26.3,24.4,24.57,4063291.0
2009-06-03,25.29,25.84,24.66,24.91,2428789.0
2009-06-04,24.57,25.29,24.32,24.36,2919460.0
2009-06-05,24.83,25.67,24.66,24.95,5454229.0
2009-06-08,25.84,26.18,24.24,24.7,3606719.0
2009-06-09,24.15,25.5,23.9,25.08,3674482.0
2009-06-10,25.88,26.14,25.08,25.25,4247593.0
2009-06-11,25.67,28.2,23.86,27.36,10358784.0
2009-06-12,27.57,28.08,25.84,26.14,6016024.0
2009-06-15,26.14,27.15,25.76,26.85,3784721.0
2009-06-16,26.18,29.77,26.09,29.43,13682727.0
2009-06-17,30.19,31.58,26.18,26.77,24971314.0
2009-06-18,27.02,27.57,24.7,26.14,7448227.0
2009-06-19,26.35,27.19,25.76,26.39,3858813.0
2009-06-22,26.94,27.15,25.88,26.09,2746136.0
2009-06-23,25.33,25.97,24.7,25.63,2271956.0
2009-06-24,25.76,27.49,25.76,26.47,3598105.0
2009-06-25,26.6,27.32,26.52,26.68,2302378.0
2009-06-26,26.68,27.87,26.64,27.7,3268331.0
2009-06-29,27.48,28.13,26.97,27.48,1889482.0
2009-06-30,27.57,27.74,25.9,26.46,2501935.0
2009-07-01,26.54,27.78,26.16,27.53,2364769.0
2009-07-02,27.83,28.17,26.16,26.71,2448994.0
2009-07-03,27.06,27.57,25.94,26.63,1731163.0
2009-07-06,26.97,27.66,24.62,24.87,2110796.0
2009-07-07,24.83,26.33,24.49,26.16,1456101.0
2009-07-08,25.69,25.94,25.09,25.39,1928693.0
2009-07-09,23.97,26.97,23.97,26.63,2272162.0
2009-07-10,26.8,28.21,26.37,26.93,2992248.0
2009-07-13,26.54,26.63,25.56,26.24,1284407.0
2009-07-14,26.97,27.95,26.41,27.74,1656271.0
2009-07-15,28.04,29.07,27.23,28.43,3302922.0
2009-07-16,29.11,30.14,28.3,29.15,5696918.0
2009-07-17,30.1,31.47,29.67,30.74,5618252.0
