,open,high,low,close,volume
2009-05-20,9.48,10.44,9.14,10.26,12539224.0
2009-05-21,10.44,10.61,9.79,9.86,12630112.0
2009-05-22,9.79,10.35,9.66,10.18,11312034.0
2009-05-25,10.28,10.38,9.45,9.9,5767076.0
2009-05-26,9.94,9.94,9.02,9.25,7435612.0
2009-05-27,9.46,10.0,9.3,9.84,8275730.0
2009-05-28,9.87,9.95,9.46,9.77,6717690.0
2009-05-29,9.79,10.72,9.79,10.59,11882430.0
2009-06-01,10.61,11.14,10.51,11.06,10890646.0
2009-06-02,11.26,12.16,10.87,11.93,18204588.0
2009-06-03,12.16,12.38,11.6,11.85,14929840.0
2009-06-04,11.85,12.07,11.36,11.45,20775808.0
2009-06-05,11.59,12.5,11.59,11.85,22480222.0
2009-06-08,11.91,12.01,10.51,10.69,10894132.0
2009-06-09,9.81,11.03,9.66,10.92,14609722.0
2009-06-10,11.29,11.41,10.56,10.66,5543658.0
2009-06-11,10.77,10.92,10.15,10.66,5877100.0
2009-06-12,10.57,10.85,9.99,10.12,6453748.0
2009-06-15,10.2,10.26,9.46,9.66,5643640.0
2009-06-16,9.46,9.97,9.22,9.81,15113472.0
2009-06-17,9.63,10.15,9.46,9.56,10604748.0
2009-06-18,9.55,9.81,9.4,9.53,6906704.0
2009-06-19,9.59,10.18,9.58,10.07,6823732.0
2009-06-22,10.18,10.39,9.46,9.64,4586366.0
2009-06-23,9.46,9.87,9.3,9.53,7256312.0
2009-06-24,9.63,10.13,9.56,9.89,9092498.0
2009-06-25,9.99,10.57,9.9,10.38,12030784.0
2009-06-26,10.57,10.67,10.15,10.44,5780256.0
2009-06-29,10.61,10.61,10.25,10.3,3536648.0
2009-06-30,10.44,10.44,9.66,9.76,4134250.0
2009-07-01,9.79,10.17,9.51,10.02,3202706.0
2009-07-02,9.87,10.28,9.66,9.87,4452606.0
2009-07-03,9.71,10.51,9.53,10.41,9655588.0
2009-07-06,10.52,10.54,9.46,9.53,5887368.0
2009-07-07,9.71,10.12,9.55,9.97,5278486.0
2009-07-08,9.79,10.18,9.48,10.08,7167158.0
2009-07-09,10.04,11.49,9.3,11.03,40954708.0
2009-07-10,11.0,11.0,10.05,10.15,12052480.0
2009-07-13,10.08,10.64,9.68,9.68,10095458.0
2009-07-14,10.99,11.36,10.87,11.16,8818076.0
2009-07-15,11.23,11.37,11.13,11.3,5990716.0
2009-07-16,11.46,11.64,10.99,11.08,9108092.0
2009-07-17,11.15,12.06,11.13,11.9,14213518.0
2009-07-20,12.09,12.14,11.55,11.85,7528156.0
2009-07-21,11.97,12.07,11.37,11.67,8184264.0
2009-07-22,11.72,11.9,11.22,11.36,4982972.0
2009-07-23,11.55,11.69,11.22,11.55,6896756.0
2009-07-24,11.64,12.63,11.51,12.55,20314430.0
2009-07-27,12.42,12.6,11.99,12.23,10089292.0
2009-07-28,12.07,12.6,11.58,12.25,19419650.0
2009-07-29,12.25,12.6,11.72,12.16,13886886.0
2009-07-30,12.07,12.88,11.9,12.74,18806728.0
2009-07-31,12.91,13.12,12.72,12.77,9339638.0
2009-08-03,12.84,13.23,12.58,13.12,16705932.0
2009-08-04,13.12,13.23,12.63,12.72,13297756.0
2009-08-05,12.76,12.81,12.51,12.6,11002332.0
2009-08-06,12.62,12.63,11.67,11.79,14778910.0
2009-08-07,11.64,11.79,11.22,11.43,16029938.0
2009-08-10,11.65,11.76,11.27,11.44,21883754.0
2009-08-11,11.57,12.16,11.37,12.07,12686084.0
2009-08-12,11.76,12.07,11.57,11.95,5373730.0
2009-08-13,12.07,12.67,12.07,12.6,12746486.0
2009-08-14,12.6,12.9,12.42,12.83,8790574.0
2009-08-17,12.67,12.77,12.13,12.2,5787838.0
2009-08-18,12.25,12.63,12.0,12.55,5637948.0
2009-08-19,12.49,12.65,11.95,12.07,6960754.0
2009-08-20,12.21,12.42,12.21,12.3,3754766.0
2009-08-21,12.32,12.53,12.07,12.44,3489810.0
2009-08-24,12.14,13.44,12.14,13.25,10045912.0
2009-08-25,13.26,13.82,12.69,13.75,22430114.0
2009-08-26,13.96,13.96,13.47,13.65,11475468.0
2009-08-27,13.65,14.31,13.4,14.05,14542394.0
2009-08-28,14.05,14.21,13.82,14.12,8098876.0
2009-08-31,14.0,14.17,13.63,13.7,6915980.0
2009-09-01,13.72,14.14,13.6,13.75,13868084.0
2009-09-02,13.67,14.1,13.58,13.74,4751634.0
2009-09-03,13.89,14.07,13.4,13.51,3818852.0
2009-09-04,13.79,13.98,13.67,13.89,4425898.0
2009-09-07,14.02,14.7,13.98,14.44,8740278.0
2009-09-08,14.7,14.8,14.31,14.44,6365054.0
2009-09-09,14.35,14.38,14.07,14.12,3804988.0
2009-09-10,14.17,14.42,14.0,14.05,3841508.0
2009-09-11,14.24,14.28,13.65,13.75,3736488.0
2009-09-14,13.47,13.79,13.32,13.53,4905858.0
2009-09-15,13.58,13.95,13.51,13.79,2905450.0
2009-09-16,14.02,14.42,13.86,14.24,6323922.0
2009-09-17,14.35,14.42,13.7,13.95,6410306.0
2009-09-18,14.0,14.35,13.84,14.24,9501376.0
