,open,high,low,close,volume
2009-05-20,53.7,55.31,53.7,54.9,1057370.0
2009-05-21,55.31,63.09,55.31,59.03,201390.0
2009-05-22,58.59,59.07,56.66,57.17,49460.0
2009-05-25,58.82,58.82,55.96,56.18,117150.0
2009-05-26,57.14,57.46,54.78,56.68,103830.0
2009-05-27,56.68,59.07,56.68,58.65,1947660.0
2009-05-28,58.54,59.07,56.76,57.06,43340.0
2009-05-29,56.92,58.23,55.1,58.0,154400.0
2009-06-01,58.43,61.43,58.0,60.53,221460.0
2009-06-02,61.97,62.72,59.24,60.15,188580.0
2009-06-03,59.66,61.7,59.23,61.07,101800.0
2009-06-04,59.66,61.49,59.66,60.19,81140.0
2009-06-05,60.95,60.95,60.04,60.32,84260.0
2009-06-08,60.41,61.64,59.93,60.42,44680.0
2009-06-09,60.95,61.76,59.88,61.35,98520.0
2009-06-10,61.01,62.88,60.15,61.83,101030.0
2009-06-11,61.77,63.91,61.75,63.24,672200.0
2009-06-12,63.1,63.85,62.03,62.15,529480.0
2009-06-15,61.54,63.69,58.05,62.76,56960.0
2009-06-16,60.25,63.1,59.61,59.61,50520.0
2009-06-17,68.83,68.83,65.57,66.34,70790.0
2009-06-18,65.75,66.76,62.89,64.93,53730.0
2009-06-19,64.38,66.88,64.38,66.63,37520.0
2009-06-22,66.76,67.23,64.5,65.05,22130.0
2009-06-23,64.08,65.63,63.21,64.79,75670.0
2009-06-24,64.14,67.48,64.08,67.35,82180.0
2009-06-25,66.77,67.66,66.77,67.18,99130.0
2009-06-26,62.57,69.38,62.57,68.83,180210.0
2009-06-29,69.71,70.58,68.67,69.89,105300.0
2009-06-30,70.64,71.31,69.21,70.8,251610.0
2009-07-01,70.08,70.88,70.04,70.62,72420.0
2009-07-02,70.46,70.93,70.34,70.64,66410.0
2009-07-03,70.64,71.5,70.04,71.14,239870.0
2009-07-06,71.23,72.13,70.59,71.15,127550.0
2009-07-07,71.53,72.25,70.76,71.99,1591560.0
2009-07-08,71.53,71.53,70.82,71.1,47500.0
2009-07-09,71.23,71.39,69.3,70.18,221520.0
2009-07-10,70.93,70.93,69.15,69.82,35080.0
2009-07-13,70.34,70.34,65.69,67.01,702740.0
2009-07-14,67.69,69.8,67.69,69.44,432250.0
2009-07-15,70.03,77.16,68.61,69.75,35700.0
2009-07-16,72.13,72.13,69.74,70.99,61180.0
2009-07-17,70.93,71.41,70.52,70.9,38180.0
2009-07-20,70.93,72.41,70.25,72.17,321300.0
2009-07-21,71.83,74.93,71.41,74.54,101540.0
2009-07-22,74.51,77.49,73.92,77.29,240120.0
2009-07-23,77.25,78.68,75.76,76.79,420690.0
2009-07-24,77.49,79.27,76.67,78.07,1238050.0
2009-07-27,79.88,82.86,78.69,80.67,515920.0
2009-07-28,82.14,83.44,80.18,82.53,300380.0
2009-07-29,83.15,84.76,80.23,83.29,253980.0
2009-07-30,83.45,83.75,82.14,83.22,147410.0
2009-07-31,83.27,84.64,82.33,84.13,107850.0
2009-08-03,84.11,84.63,82.33,84.31,92730.0
2009-08-04,85.24,85.3,83.58,84.19,156960.0
2009-08-05,83.45,86.31,83.45,85.15,385260.0
2009-08-06,85.12,86.08,79.28,82.54,2057630.0
2009-08-07,82.32,84.45,79.28,79.78,119550.0
