,open,high,low,close,volume
2009-05-20,4.68,4.7,4.68,4.7,10838.0
2009-05-21,4.93,4.93,4.93,4.93,15612.0
2009-05-22,4.98,5.18,4.79,5.12,17050.0
2009-05-25,5.37,5.37,4.99,4.99,19938.0
2009-05-26,5.18,5.18,4.76,4.92,10412.0
2009-05-27,4.88,5.17,4.88,5.17,49100.0
2009-05-28,5.2,5.34,5.0,5.31,13575.0
2009-05-29,5.43,5.58,5.43,5.58,42475.0
2009-06-01,5.86,5.86,5.48,5.8,39138.0
2009-06-02,5.9,6.09,5.88,6.09,55288.0
2009-06-03,6.36,6.39,6.26,6.39,180038.0
2009-06-04,6.53,6.71,6.23,6.67,64825.0
2009-06-05,6.64,6.7,6.37,6.45,62338.0
2009-06-08,6.49,6.7,6.32,6.56,172875.0
2009-06-09,6.75,6.75,6.42,6.54,62438.0
2009-06-10,6.85,6.85,6.37,6.37,66312.0
2009-06-11,6.54,6.54,6.1,6.23,25800.0
2009-06-12,6.42,6.42,6.09,6.3,75738.0
2009-06-15,6.48,6.61,6.15,6.26,308362.0
2009-06-16,6.37,6.56,6.11,6.22,26862.0
2009-06-17,6.33,6.37,5.93,6.04,25350.0
2009-06-18,5.81,6.08,5.74,5.76,68250.0
2009-06-19,5.76,5.92,5.47,5.54,64812.0
2009-06-22,5.78,5.81,5.31,5.59,12775.0
2009-06-23,5.76,5.76,5.31,5.34,60700.0
2009-06-24,5.59,5.59,5.43,5.52,15125.0
2009-06-25,5.54,5.65,5.37,5.52,40262.0
2009-06-26,5.69,5.69,5.43,5.51,61125.0
2009-06-29,5.7,5.79,5.7,5.79,55275.0
2009-06-30,5.92,5.94,5.81,5.91,36075.0
2009-07-01,6.14,6.14,5.87,5.92,27688.0
2009-07-02,5.95,6.12,5.79,5.79,35962.0
2009-07-03,5.81,6.01,5.81,5.87,12525.0
2009-07-06,6.03,6.03,5.7,5.88,148012.0
2009-07-07,5.92,5.92,5.56,5.65,44312.0
2009-07-08,5.86,5.86,5.27,5.4,50600.0
2009-07-09,5.42,5.69,5.34,5.43,19250.0
2009-07-10,5.54,5.7,5.43,5.48,42000.0
2009-07-13,5.07,5.65,5.07,5.28,44862.0
2009-07-14,5.27,5.64,5.27,5.46,10062.0
2009-07-15,5.13,5.77,5.13,5.76,20725.0
2009-07-16,6.8,6.85,6.17,6.53,22788.0
2009-07-17,6.78,6.78,6.37,6.61,12262.0
2009-07-20,6.42,6.54,6.26,6.35,21700.0
2009-07-21,6.47,6.98,6.47,6.59,16462.0
2009-07-22,6.64,6.64,6.42,6.58,42675.0
2009-07-23,6.42,6.79,6.42,6.78,38512.0
2009-07-24,6.3,6.86,6.3,6.77,38850.0
2009-07-27,6.86,7.45,6.63,7.18,53738.0
2009-07-28,7.3,7.61,7.06,7.56,59850.0
2009-07-29,7.24,7.43,6.92,7.31,122125.0
2009-07-30,7.05,7.43,7.05,7.27,34450.0
2009-07-31,7.35,8.0,7.18,7.69,79600.0
2009-08-03,7.74,7.74,7.24,7.4,92375.0
2009-08-04,7.25,7.52,7.17,7.17,40012.0
2009-08-05,7.24,7.55,7.11,7.12,9438.0
2009-08-06,7.17,7.47,7.05,7.19,53862.0
2009-08-07,7.24,7.51,7.03,7.19,14200.0
2009-08-10,7.36,7.36,7.08,7.13,19275.0
2009-08-11,6.93,7.17,6.93,7.06,21962.0
2009-08-12,6.87,7.0,6.76,6.83,20225.0
2009-08-13,7.3,7.46,7.02,7.24,34512.0
2009-08-14,7.52,7.52,7.17,7.19,15262.0
2009-08-17,7.24,7.3,7.05,7.11,7562.0
2009-08-18,6.98,7.74,6.76,7.13,23250.0
2009-08-19,7.32,7.39,6.73,6.8,57488.0
2009-08-20,6.88,7.06,6.74,6.92,10662.0
2009-08-21,6.76,7.05,6.75,6.98,33212.0
2009-08-24,7.27,7.36,6.75,7.04,143288.0
2009-08-25,6.98,7.23,6.98,7.07,70275.0
2009-08-26,7.43,7.43,7.08,7.21,37838.0
2009-08-27,7.42,7.46,7.26,7.4,39875.0
2009-08-28,7.74,7.74,6.82,7.17,17550.0
2009-08-31,7.49,7.87,7.34,7.48,115450.0
2009-09-01,7.89,7.89,7.11,7.33,90200.0
2009-09-02,7.17,7.42,7.0,7.26,50138.0
