,open,high,low,close,volume
2009-05-20,514.7,547.97,514.7,546.21,556.0
2009-05-21,546.99,593.96,546.99,565.05,1349.0
2009-05-22,575.37,596.8,561.72,588.19,801.0
2009-05-25,577.33,606.68,568.71,606.68,783.0
2009-05-26,588.29,625.27,588.29,618.47,184.0
2009-05-27,618.42,631.14,607.66,628.6,497.0
2009-05-28,592.98,636.09,592.98,632.61,187.0
2009-05-29,637.95,637.95,618.42,632.37,158.0
2009-06-01,623.32,625.27,611.08,615.49,191.0
2009-06-02,598.95,611.53,598.95,601.45,445.0
2009-06-03,601.89,607.76,594.94,597.68,139.0
2009-06-04,592.98,645.82,592.98,629.19,355.0
2009-06-05,626.25,632.22,622.83,629.82,219.0
2009-06-08,626.25,654.63,606.68,629.68,7650.0
2009-06-09,629.68,640.93,617.64,640.88,490.0
2009-06-10,640.93,645.82,630.36,637.99,193.0
2009-06-11,615.49,636.04,614.51,635.74,185.0
2009-06-12,618.42,644.35,593.86,629.29,347.0
2009-06-15,621.36,621.36,593.77,595.18,150.0
2009-06-16,611.08,622.24,597.87,614.27,182.0
2009-06-17,601.98,634.08,593.77,593.77,106.0
2009-06-18,594.84,632.12,593.96,617.0,1244.0
2009-06-19,628.21,636.04,621.36,628.99,998.0
2009-06-22,619.89,754.83,601.79,625.27,865.0
2009-06-23,617.45,617.45,609.62,613.53,145.0
2009-06-24,609.62,609.62,609.62,609.62,0.0
2009-06-25,626.25,636.04,626.25,626.25,282.0
2009-06-26,613.63,636.04,613.63,635.74,110.0
2009-06-29,659.52,659.52,619.6,636.04,74.0
2009-06-30,636.04,636.04,636.04,636.04,0.0
2009-07-01,618.03,633.1,618.03,621.41,246.0
2009-07-02,612.11,612.11,610.6,610.6,246.0
2009-07-03,629.68,629.68,614.51,615.63,60.0
2009-07-06,636.04,636.04,568.52,595.33,1450.0
2009-07-07,592.0,596.9,592.0,594.84,76.0
2009-07-08,577.33,605.7,577.33,594.3,17.0
2009-07-09,576.35,595.92,576.35,584.18,165.0
2009-07-10,587.01,587.01,587.01,587.01,17.0
2009-07-13,569.5,575.37,560.79,568.27,88.0
2009-07-14,549.93,624.29,549.93,599.39,328.0
2009-07-15,611.48,611.48,590.05,590.05,33.0
2009-07-16,593.96,616.47,593.96,613.38,113.0
2009-07-17,620.38,632.12,620.38,620.38,229.0
2009-07-20,631.14,631.14,616.47,620.58,1369.0
2009-07-21,633.0,638.97,620.38,633.3,723.0
2009-07-22,621.46,632.56,621.46,632.56,150.0
2009-07-23,631.14,631.14,622.34,622.34,68.0
2009-07-24,622.34,625.18,614.12,616.47,187.0
2009-07-27,606.19,630.07,606.19,614.51,100.0
2009-07-28,611.82,649.74,611.82,637.9,1636.0
2009-07-29,647.78,662.46,645.82,653.65,737.0
2009-07-30,655.61,684.96,655.41,680.56,708.0
2009-07-31,683.98,684.96,667.45,684.47,1919.0
2009-08-03,683.89,694.8,677.13,685.94,604.0
2009-08-04,676.16,689.86,672.24,675.18,1390.0
2009-08-05,680.07,791.62,680.07,780.52,5600.0
2009-08-06,769.12,846.42,757.37,817.99,4490.0
2009-08-07,805.32,846.32,802.43,820.44,2613.0
2009-08-10,834.58,834.58,761.29,768.72,1027.0
2009-08-11,760.99,810.7,760.99,792.31,555.0
2009-08-12,752.48,821.96,752.48,773.23,281.0
2009-08-13,785.75,830.76,773.13,773.13,599.0
2009-08-14,784.77,812.66,782.81,800.48,808.0
2009-08-17,792.6,801.41,766.18,767.6,191.0
2009-08-18,771.22,797.0,769.12,792.6,303.0
2009-08-19,735.85,821.96,735.85,812.56,880.0
2009-08-20,821.76,944.27,815.69,866.82,9933.0
2009-08-21,879.69,880.57,852.29,857.38,633.0
2009-08-24,852.29,867.85,852.29,860.26,409.0
2009-08-25,859.14,860.12,838.59,840.55,881.0
2009-08-26,832.77,845.39,820.0,830.96,443.0
2009-08-27,814.23,864.91,814.23,837.91,706.0
2009-08-28,831.94,865.99,831.94,840.11,432.0
2009-08-31,832.23,848.28,801.41,813.83,2609.0
2009-09-01,831.64,831.64,792.6,806.64,730.0
2009-09-02,809.23,809.23,782.86,800.97,499.0
2009-09-03,790.74,841.53,783.99,811.58,3915.0
2009-09-04,800.53,821.96,792.31,793.68,2166.0
2009-09-07,792.6,820.98,790.64,795.19,332.0
2009-09-08,795.54,806.2,788.88,790.69,740.0
2009-09-09,797.49,806.3,770.09,784.28,749.0
2009-09-10,789.66,800.43,774.99,782.47,1135.0
2009-09-11,764.22,796.42,764.22,791.47,170.0
2009-09-14,736.04,817.06,736.04,796.51,699.0
2009-09-15,792.6,802.39,787.95,792.6,899.0
2009-09-16,798.47,802.39,796.51,797.15,561.0
2009-09-17,790.64,797.49,782.81,791.28,417.0
2009-09-18,804.34,807.18,794.75,797.69,135.0
2009-09-22,807.28,829.73,803.36,814.13,333.0
2009-09-23,800.72,817.06,794.56,803.41,327.0
2009-09-24,797.49,811.19,795.49,798.91,110.0
2009-09-25,797.49,820.0,792.7,816.57,327.0
2009-09-29,838.59,844.46,815.11,838.64,1594.0
2009-09-30,841.53,893.29,841.53,873.87,3710.0
2009-10-01,884.58,903.17,866.97,873.87,3120.0
2009-10-05,876.75,878.71,850.33,854.34,298.0
2009-10-06,841.53,847.4,829.88,842.94,737.0
2009-10-07,828.9,851.31,828.9,836.63,85.0
2009-10-08,836.63,850.33,836.63,836.73,378.0
2009-10-09,831.94,847.4,831.74,840.89,4184.0
2009-10-12,832.72,836.54,822.84,830.86,224.0
2009-10-14,821.96,838.49,820.0,833.11,417.0
2009-10-15,832.72,835.61,812.17,814.91,694.0
2009-10-16,831.64,890.35,817.21,868.97,2324.0
2009-10-20,871.86,885.56,870.88,878.37,324.0
2009-10-21,863.05,880.62,825.58,845.59,921.0
2009-10-22,866.97,976.56,866.97,910.66,24623.0
2009-10-23,911.0,1007.87,911.0,960.81,14606.0
2009-10-26,987.33,998.09,970.79,977.98,3303.0
2009-10-27,959.93,973.63,914.91,931.6,5139.0
2009-10-28,901.22,968.64,882.62,953.03,2512.0
2009-10-29,950.09,1071.48,944.27,1037.08,21885.0
2009-10-30,1074.41,1074.41,964.43,974.9,4536.0
2009-11-03,969.71,1007.87,960.91,962.67,1795.0
2009-11-04,988.3,988.3,944.32,970.84,1096.0
2009-11-05,968.73,1036.25,968.73,1017.9,6352.0
2009-11-06,1018.64,1055.48,1018.64,1034.83,4923.0
2009-11-09,1014.72,1055.67,1014.72,1034.34,1480.0
