,open,high,low,close,volume
2009-05-20,43.64,48.22,43.64,46.18,142051.0
2009-05-21,47.26,49.88,45.35,46.1,208541.0
2009-05-22,46.18,48.47,45.1,46.72,165849.0
2009-05-25,48.59,51.33,47.8,50.09,240157.0
2009-05-26,51.54,53.2,49.05,49.63,149850.0
2009-05-27,52.37,52.79,50.71,51.29,62142.0
2009-05-28,51.54,55.07,51.54,53.29,160076.0
2009-05-29,54.33,58.11,54.33,55.66,297959.0
2009-06-01,56.36,59.85,51.96,58.52,815433.0
2009-06-02,59.02,59.61,54.78,55.49,211211.0
2009-06-03,56.11,57.78,55.03,55.41,159149.0
2009-06-04,55.62,57.19,54.45,55.99,119212.0
2009-06-05,57.36,57.86,54.04,54.45,90265.0
2009-06-08,54.87,55.49,51.21,51.87,124256.0
2009-06-09,52.33,54.33,50.88,53.33,110899.0
2009-06-10,54.87,56.4,53.54,54.04,90650.0
2009-06-11,55.28,55.7,50.71,51.62,148834.0
2009-06-12,52.79,52.79,50.75,51.04,61387.0
2009-06-15,51.13,51.83,49.59,50.05,52823.0
2009-06-16,48.72,59.02,48.72,58.03,840004.0
2009-06-17,58.23,58.23,51.54,52.37,321575.0
2009-06-18,52.46,53.91,50.71,52.33,177824.0
2009-06-19,53.54,55.49,52.37,54.04,128165.0
2009-06-22,54.45,59.02,53.62,54.83,408332.0
2009-06-23,53.83,55.7,53.5,54.91,110827.0
2009-06-24,54.91,57.69,54.91,56.4,129616.0
2009-06-25,56.2,56.95,55.28,55.82,74618.0
2009-06-26,56.78,56.95,55.7,56.24,105703.0
2009-06-29,57.85,57.85,55.76,56.11,64544.0
2009-06-30,56.54,56.98,53.15,53.45,45858.0
2009-07-01,53.93,54.59,52.67,53.5,32676.0
2009-07-02,53.76,56.76,53.32,54.32,151590.0
2009-07-03,53.93,55.41,53.5,54.8,46714.0
2009-07-06,54.8,55.63,52.19,52.32,45202.0
2009-07-07,52.76,53.72,50.98,52.15,41904.0
2009-07-08,48.98,51.54,48.98,50.06,33976.0
2009-07-09,49.76,50.45,48.76,49.37,33402.0
2009-07-10,49.02,51.24,48.71,49.28,21027.0
2009-07-13,48.71,49.15,47.02,47.8,18057.0
2009-07-14,48.15,52.19,48.15,49.58,46990.0
2009-07-15,50.89,51.85,49.8,51.11,26587.0
2009-07-16,51.06,53.06,51.06,51.76,40471.0
2009-07-17,51.37,53.72,51.32,52.76,23620.0
2009-07-20,51.37,53.93,51.37,52.76,35623.0
2009-07-21,51.32,52.98,51.32,52.11,25777.0
2009-07-22,52.5,53.5,51.85,52.06,21779.0
