,open,high,low,close,volume
2009-05-20,24.5,25.25,24.12,24.62,679290.0
2009-05-21,24.65,26.27,24.65,25.98,6213510.0
2009-05-22,26.01,26.83,24.51,25.65,2399580.0
2009-05-25,25.41,27.96,25.41,27.57,5122720.0
2009-05-26,28.05,28.63,26.61,27.06,4363750.0
2009-05-27,27.51,29.09,27.28,28.96,3536360.0
2009-05-28,29.31,29.73,27.63,27.87,1841890.0
2009-05-29,28.11,29.61,28.11,29.24,2036400.0
2009-06-01,30.14,30.22,28.79,29.67,1790670.0
2009-06-02,29.93,30.08,28.19,28.98,863880.0
2009-06-03,28.79,29.99,28.79,29.71,2674860.0
2009-06-04,29.87,31.84,29.17,31.24,2957190.0
2009-06-05,31.74,33.16,31.74,32.5,2262740.0
2009-06-08,32.49,32.87,30.25,30.94,2548120.0
2009-06-09,30.37,32.14,29.12,31.86,1969280.0
2009-06-10,32.11,36.03,31.66,34.64,3917270.0
2009-06-11,34.9,37.99,34.07,36.24,3291340.0
2009-06-12,36.71,36.78,35.43,36.13,2379370.0
2009-06-15,34.67,37.49,34.44,36.75,935690.0
2009-06-16,35.8,36.76,34.98,36.19,1167280.0
2009-06-17,35.8,36.69,34.01,34.51,1418360.0
2009-06-18,34.51,35.46,33.99,34.76,1432130.0
2009-06-19,34.07,35.58,33.17,33.73,673070.0
2009-06-22,32.79,34.29,32.72,33.97,554300.0
2009-06-23,33.46,35.57,32.71,34.46,1180550.0
2009-06-24,35.04,36.53,34.67,36.24,5005180.0
2009-06-25,36.18,39.87,35.07,37.99,4717380.0
2009-06-26,38.65,39.03,37.16,37.82,1118560.0
2009-06-29,37.54,37.69,36.56,37.06,553100.0
2009-06-30,37.54,37.54,34.82,35.1,681880.0
2009-07-01,35.65,36.77,34.75,36.32,727400.0
2009-07-02,29.76,37.01,29.76,36.5,15670270.0
2009-07-03,36.03,39.1,35.95,37.82,4636920.0
2009-07-06,37.31,38.44,34.67,34.9,1174120.0
2009-07-07,34.69,35.8,33.01,34.89,1032490.0
2009-07-08,34.67,34.67,31.81,32.59,1579930.0
2009-07-09,32.49,34.14,32.04,33.88,889270.0
2009-07-10,33.92,34.27,32.18,32.79,565220.0
2009-07-13,32.4,32.63,30.64,32.02,1146760.0
2009-07-14,32.78,35.42,32.02,35.18,998310.0
2009-07-15,35.18,37.2,34.31,36.25,1761340.0
