,open,high,low,close,volume
2009-05-20,47.7,54.25,46.77,52.69,45603.0
2009-05-21,55.81,55.81,48.03,48.65,24843.0
2009-05-22,50.66,52.05,49.45,51.29,14072.0
2009-05-25,51.44,54.55,51.44,53.0,15937.0
2009-05-26,54.56,56.12,49.91,49.91,24377.0
2009-05-27,51.44,54.56,51.44,54.55,46223.0
2009-05-28,56.12,59.92,53.87,59.92,202995.0
2009-05-29,65.92,65.92,64.69,65.92,22973.0
2009-06-01,69.21,69.21,67.03,68.75,513885.0
2009-06-02,68.9,68.9,65.64,67.58,84420.0
2009-06-03,67.03,68.9,64.44,65.47,43455.0
2009-06-04,64.69,66.72,62.82,65.63,27370.0
2009-06-05,66.25,68.19,65.49,65.55,41211.0
2009-06-08,69.93,69.93,66.26,66.26,103043.0
2009-06-09,67.83,69.29,65.94,67.66,42354.0
2009-06-10,68.12,69.21,65.47,67.19,47201.0
2009-06-11,67.19,67.19,63.6,65.16,17864.0
2009-06-12,65.47,66.1,63.29,64.85,8363.0
2009-06-15,64.54,67.02,62.2,63.91,58818.0
2009-06-16,63.89,66.67,62.67,65.63,20933.0
2009-06-17,67.34,67.34,63.27,64.23,10787.0
2009-06-18,63.91,64.69,60.8,61.58,19478.0
2009-06-19,60.19,63.9,60.19,62.68,8133.0
2009-06-22,64.07,64.69,61.02,61.5,13636.0
2009-06-23,60.95,62.36,58.78,60.81,7482.0
2009-06-24,61.59,63.73,61.12,62.98,8589.0
2009-06-25,65.01,65.01,59.86,62.82,24029.0
2009-06-26,62.36,62.96,59.86,62.36,16265.0
2009-06-29,59.55,65.31,59.24,64.26,16450.0
2009-06-30,66.88,66.88,61.89,62.98,14231.0
2009-07-01,61.58,63.13,59.78,62.51,23050.0
2009-07-02,60.17,64.51,59.79,61.89,30562.0
2009-07-03,64.23,64.54,62.67,62.78,6764.0
2009-07-06,62.04,64.37,59.74,60.02,32433.0
2009-07-07,59.71,63.13,58.46,60.8,31838.0
2009-07-08,62.28,62.28,57.06,60.8,19596.0
2009-07-09,60.8,60.8,58.46,58.63,4884.0
2009-07-10,60.48,61.42,57.68,59.84,8686.0
2009-07-13,61.73,61.73,56.9,59.24,65742.0
2009-07-14,58.93,61.58,58.93,61.11,33832.0
2009-07-15,62.12,63.91,59.87,61.42,15327.0
2009-07-16,61.81,64.22,61.81,62.36,12647.0
2009-07-17,56.12,64.66,56.12,63.13,25776.0
2009-07-20,66.72,68.59,63.13,67.03,112313.0
2009-07-21,67.81,69.37,66.41,66.58,393312.0
2009-07-22,75.14,75.14,70.01,73.52,162871.0
2009-07-23,74.22,76.16,72.82,75.99,110355.0
2009-07-24,76.17,81.5,75.46,79.71,192905.0
2009-07-27,79.36,81.31,77.96,78.83,35682.0
2009-07-28,78.3,87.51,78.12,84.83,135065.0
2009-07-29,82.37,91.05,82.37,88.75,222847.0
2009-07-30,88.04,93.0,85.08,86.92,176701.0
2009-07-31,88.57,90.34,84.14,85.21,157464.0
2009-08-03,84.32,87.72,84.32,86.62,43537.0
2009-08-04,87.32,90.89,87.14,88.62,61704.0
2009-08-05,89.46,91.72,85.33,91.41,118836.0
2009-08-06,90.13,97.16,89.37,93.53,170624.0
2009-08-07,90.7,93.07,89.46,89.46,46258.0
2009-08-10,90.52,91.94,84.32,84.32,51434.0
2009-08-11,85.03,91.23,83.47,90.61,71368.0
2009-08-12,90.7,94.74,88.22,93.89,59633.0
2009-08-13,93.71,99.77,93.71,98.91,78522.0
2009-08-14,97.43,101.86,97.43,99.21,76447.0
2009-08-17,97.61,99.98,95.68,98.31,60622.0
2009-08-18,98.31,98.31,98.31,98.31,0.0
2009-08-19,98.31,98.31,98.31,98.31,0.0
2009-08-20,98.31,98.31,98.31,98.31,0.0
2009-08-21,98.31,98.31,98.31,98.31,0.0
