,open,high,low,close,volume
2009-05-20,251.13,251.13,247.22,251.13,62903.0
2009-05-21,263.68,263.73,263.68,263.73,5395.0
2009-05-22,276.96,276.96,276.96,276.96,11095.0
2009-05-25,290.81,290.81,290.81,290.81,465.0
2009-05-26,305.39,305.39,284.87,303.46,81531.0
2009-05-27,318.66,318.66,308.91,318.66,14250.0
2009-05-28,334.64,334.64,334.64,334.64,1527.0
2009-05-29,351.39,351.39,351.39,351.39,80614.0
2009-06-01,366.73,368.95,349.45,368.95,101785.0
2009-06-02,386.62,387.44,376.48,387.44,7634.0
2009-06-03,406.84,406.84,406.84,406.84,1832.0
2009-06-04,427.21,427.21,386.52,396.9,250244.0
2009-06-05,401.58,410.27,382.32,386.38,51085.0
2009-06-08,395.79,397.72,367.07,374.07,41524.0
2009-06-09,362.2,390.0,362.2,385.94,60409.0
2009-06-10,382.28,396.8,372.86,384.25,35831.0
2009-06-11,381.36,389.03,381.36,386.14,32571.0
2009-06-12,386.14,395.79,381.31,385.85,47094.0
2009-06-15,384.21,390.96,381.31,386.43,20377.0
2009-06-16,376.48,397.72,376.48,395.69,9985.0
2009-06-17,400.62,407.37,391.45,395.74,18398.0
2009-06-18,386.14,395.79,375.95,384.74,14612.0
2009-06-19,381.31,393.81,368.91,380.44,11212.0
2009-06-22,381.79,384.21,377.93,381.02,30075.0
2009-06-23,381.31,381.31,362.0,362.63,23679.0
2009-06-24,371.66,373.54,354.76,358.43,22132.0
2009-06-25,362.0,371.37,362.0,370.21,40049.0
2009-06-26,376.34,388.74,370.69,384.64,15720.0
2009-06-29,403.51,403.9,387.1,402.16,11805.0
2009-06-30,401.63,401.63,382.08,382.08,6718.0
2009-07-01,366.83,376.48,363.02,363.02,15777.0
2009-07-02,345.95,374.6,344.89,360.18,19424.0
2009-07-03,364.92,370.92,360.18,364.29,16382.0
2009-07-06,367.83,376.54,346.1,346.58,43940.0
2009-07-07,336.85,356.16,334.92,337.24,7951.0
2009-07-08,338.79,342.61,327.17,333.32,8902.0
2009-07-09,330.08,333.95,324.27,331.96,6311.0
2009-07-10,332.98,336.85,325.33,329.59,5928.0
2009-07-13,333.95,333.95,314.73,316.72,13037.0
2009-07-14,324.27,332.98,318.46,326.06,5769.0
2009-07-15,336.66,351.27,328.14,343.09,31266.0
2009-07-16,358.05,377.41,354.32,358.29,42280.0
