,open,high,low,close,volume
2009-05-20,287.93,301.32,279.74,293.73,40733.0
2009-05-21,293.88,302.81,288.67,295.37,104936.0
2009-05-22,292.39,303.55,285.73,297.49,58662.0
2009-05-25,294.62,301.24,283.61,288.75,50944.0
2009-05-26,290.16,293.06,273.05,278.22,48528.0
2009-05-27,269.51,285.69,269.51,277.44,37165.0
2009-05-28,282.72,286.44,271.56,274.46,69652.0
2009-05-29,276.77,300.5,269.33,271.15,169319.0
2009-06-01,279.74,303.55,279.74,300.8,248827.0
2009-06-02,303.92,340.01,303.92,337.22,324397.0
2009-06-03,345.96,373.49,321.48,327.54,512063.0
2009-06-04,327.36,364.56,327.36,332.83,445374.0
2009-06-05,334.8,348.93,324.57,331.45,279099.0
2009-06-08,325.87,341.05,316.2,321.37,108709.0
2009-06-09,307.27,341.49,306.53,336.44,122948.0
2009-06-10,338.44,348.15,334.8,342.83,198120.0
2009-06-11,342.98,357.12,338.97,350.16,206476.0
2009-06-12,353.4,357.08,326.09,343.32,117743.0
2009-06-15,342.24,342.24,325.16,329.18,25770.0
2009-06-16,320.1,330.33,314.19,326.69,25973.0
2009-06-17,330.22,330.22,304.18,306.49,44517.0
2009-06-18,311.73,312.48,267.84,289.38,936822.0
2009-06-19,298.34,303.44,284.95,290.27,79543.0
2009-06-22,291.72,300.54,273.79,276.73,68195.0
2009-06-23,263.37,275.28,261.29,267.65,170798.0
2009-06-24,267.09,288.67,256.9,264.49,161422.0
2009-06-25,267.76,275.28,266.35,269.48,122401.0
2009-06-26,271.56,271.56,267.88,270.0,78558.0
2009-06-29,270.07,274.27,267.13,270.93,208063.0
2009-06-30,274.53,278.25,268.58,272.53,342465.0
2009-07-01,268.88,304.52,261.78,261.78,239746.0
2009-07-02,307.84,320.82,291.75,317.94,368962.0
2009-07-03,322.35,333.87,313.96,317.29,209430.0
2009-07-06,322.0,326.98,300.94,306.69,96260.0
2009-07-07,306.69,306.69,287.28,291.03,281008.0
2009-07-08,290.99,294.01,280.8,287.28,45971.0
2009-07-09,287.16,287.16,278.81,281.72,116616.0
2009-07-10,283.33,295.58,278.01,282.64,112754.0
2009-07-13,278.74,285.63,268.78,278.05,90435.0
2009-07-14,284.1,291.75,283.33,286.66,47209.0
2009-07-15,290.99,298.65,287.93,294.13,73555.0
2009-07-16,302.48,310.9,298.69,307.18,96031.0
2009-07-17,330.12,363.7,315.07,327.9,167113.0
2009-07-20,336.48,346.77,332.38,336.71,157132.0
2009-07-21,333.91,343.06,327.75,333.26,185519.0
2009-07-22,336.02,340.76,321.62,327.02,129542.0
2009-07-23,326.21,336.36,322.46,326.44,63991.0
2009-07-24,327.75,335.71,327.75,329.97,101439.0
2009-07-27,333.11,343.02,331.61,333.8,88452.0
2009-07-28,336.86,338.47,332.34,334.1,42806.0
2009-07-29,331.61,338.47,325.6,332.99,57521.0
2009-07-30,326.41,342.22,326.41,340.04,51296.0
2009-07-31,340.76,365.11,338.85,358.91,128102.0
2009-08-03,359.91,403.4,356.84,382.31,248995.0
2009-08-04,384.41,388.24,356.08,383.42,55168.0
2009-08-05,382.88,386.56,367.57,375.11,74017.0
2009-08-06,364.62,375.22,353.97,360.9,33897.0
2009-08-07,349.65,359.91,340.76,344.48,43944.0
2009-08-10,349.19,355.2,331.0,347.27,72554.0
2009-08-11,349.95,351.33,335.48,337.78,31905.0
2009-08-12,334.75,351.33,333.76,343.86,40754.0
2009-08-13,351.48,356.08,346.93,350.91,85779.0
2009-08-14,353.78,353.78,336.4,338.01,43805.0
2009-08-17,337.7,366.49,330.81,349.8,224039.0
2009-08-18,355.31,355.7,343.86,344.82,64483.0
2009-08-19,350.6,350.6,341.53,342.75,29341.0
2009-08-20,344.21,347.66,338.85,341.8,36621.0
2009-08-21,343.06,359.91,340.8,358.22,172120.0
2009-08-24,360.02,366.76,348.54,357.27,51642.0
2009-08-25,357.27,366.8,350.11,361.13,35102.0
2009-08-26,362.97,367.34,360.1,365.04,16681.0
2009-08-27,367.49,367.49,355.27,357.92,32548.0
2009-08-28,354.74,364.89,354.74,360.64,15079.0
2009-08-31,360.64,363.74,356.08,359.41,16792.0
2009-09-01,362.97,363.74,354.55,356.0,22728.0
2009-09-02,356.84,356.84,346.89,354.51,6371.0
2009-09-03,365.27,365.65,348.57,359.45,17833.0
2009-09-04,360.1,363.81,357.23,361.59,10922.0
2009-09-07,362.97,376.37,359.95,373.27,44674.0
2009-09-08,379.05,379.05,369.9,371.59,21521.0
2009-09-09,372.16,374.42,366.03,368.64,10016.0
2009-09-10,367.57,376.33,367.57,374.27,22681.0
2009-09-11,371.59,376.33,363.05,366.42,29982.0
2009-09-14,362.97,367.34,357.65,358.91,24366.0
2009-09-15,360.9,374.3,360.9,366.72,29966.0
2009-09-16,371.39,374.46,359.98,362.4,44956.0
2009-09-17,366.76,371.28,360.67,362.47,33886.0
2009-09-18,369.79,371.39,361.44,365.23,400455.0
2009-09-22,367.57,393.49,363.74,373.23,403992.0
2009-09-23,379.05,389.73,368.33,371.51,603690.0
2009-09-24,369.86,390.5,367.57,384.76,167587.0
2009-09-25,382.88,390.54,376.75,381.66,167823.0
2009-09-29,390.54,396.66,383.65,386.4,52595.0
2009-09-30,390.54,394.37,386.71,391.84,60075.0
2009-10-01,390.54,435.6,388.78,413.24,229969.0
2009-10-05,406.89,428.83,400.65,404.7,83838.0
2009-10-06,407.38,415.04,393.6,397.28,64574.0
2009-10-07,396.66,411.67,394.37,397.43,86188.0
2009-10-08,395.9,405.24,391.3,394.41,48295.0
2009-10-09,396.74,411.98,391.34,396.17,133572.0
2009-10-12,404.32,409.68,388.78,396.47,102626.0
2009-10-14,399.73,408.76,392.87,398.5,320598.0
2009-10-15,403.86,415.04,394.75,398.39,206257.0
2009-10-16,409.68,424.19,404.44,408.04,468235.0
2009-10-20,419.25,422.55,409.68,412.21,64060.0
2009-10-21,409.68,415.81,406.08,407.0,37791.0
2009-10-22,405.85,409.68,396.66,399.77,37003.0
2009-10-23,404.32,405.78,397.05,398.5,25907.0
2009-10-26,402.71,402.71,391.46,393.14,39556.0
2009-10-27,390.54,395.71,372.43,375.95,51315.0
2009-10-28,372.93,389.01,369.44,383.65,32344.0
2009-10-29,380.58,382.88,372.16,376.87,46362.0
2009-10-30,398.2,451.8,369.4,372.85,53321.0
2009-11-03,372.85,379.05,354.55,356.39,43800.0
2009-11-04,359.91,373.23,358.41,368.41,37302.0
2009-11-05,368.41,380.58,366.03,375.3,78009.0
2009-11-06,382.0,386.67,376.75,378.52,21658.0
2009-11-09,374.46,385.94,374.46,382.96,15986.0
2009-11-10,383.84,396.66,380.58,389.35,80384.0
2009-11-11,388.24,394.37,382.88,387.9,26057.0
2009-11-12,387.9,390.42,379.89,383.38,14949.0
2009-11-13,386.25,387.36,380.58,381.85,12272.0
2009-11-16,382.88,386.56,378.98,379.7,34259.0
2009-11-17,388.24,388.24,379.82,385.71,28598.0
2009-11-18,386.71,386.71,380.58,381.73,20033.0
2009-11-19,381.54,385.18,379.43,380.81,14817.0
2009-11-20,376.75,390.5,375.3,385.98,28172.0
2009-11-23,385.94,392.07,382.11,385.94,27130.0
2009-11-24,388.13,404.32,385.68,401.91,236265.0
2009-11-25,402.79,414.28,402.02,402.45,35057.0
2009-11-26,402.02,408.11,399.27,402.18,21138.0
2009-11-27,391.3,405.85,386.9,404.59,70407.0
2009-11-30,405.85,407.23,400.53,404.55,101475.0
2009-12-01,404.32,413.51,401.64,411.48,52922.0
2009-12-02,409.68,413.4,407.42,408.92,39969.0
2009-12-03,410.6,413.51,406.16,410.33,18151.0
2009-12-04,403.86,427.87,403.21,420.59,177091.0
2009-12-07,418.91,433.69,418.87,426.41,80956.0
2009-12-08,426.41,430.36,423.96,428.94,28320.0
2009-12-09,428.06,428.06,421.28,423.47,17933.0
2009-12-10,421.17,434.95,421.17,425.38,32216.0
2009-12-11,425.23,433.19,421.17,425.19,35423.0
2009-12-14,425.0,427.29,421.4,425.95,25237.0
2009-12-15,431.81,452.95,426.53,440.93,253092.0
2009-12-16,443.68,451.8,436.6,446.59,96714.0
2009-12-17,446.71,478.6,446.71,466.77,133023.0
2009-12-18,465.58,506.28,462.29,496.6,248250.0
2009-12-21,496.6,513.06,468.07,475.77,160368.0
2009-12-22,482.43,490.32,476.72,482.85,56488.0
2009-12-23,482.43,490.32,476.72,482.85,56488.0
2009-12-24,482.43,490.32,476.72,482.85,56488.0
2009-12-29,482.43,490.32,476.72,482.85,56488.0
2009-12-30,482.43,490.32,476.72,482.85,56488.0
2009-12-31,482.43,490.32,476.72,482.85,56488.0
2010-01-04,480.13,511.53,474.77,494.22,288696.0
2010-01-05,507.66,507.66,493.92,498.01,93339.0
2010-01-06,500.04,503.03,487.41,491.04,73531.0
2010-01-07,493.92,495.45,478.68,481.01,68365.0
2010-01-08,484.34,489.09,476.3,478.75,49900.0
2010-01-11,482.47,487.02,474.01,481.82,135995.0
2010-01-12,486.18,492.35,470.94,474.89,152063.0
2010-01-13,474.01,486.22,467.11,471.75,170488.0
2010-01-14,488.56,497.59,476.23,477.68,237425.0
2010-01-15,480.9,485.38,470.94,473.74,121042.0
2010-01-18,477.07,477.07,468.65,471.59,45717.0
2010-01-19,473.24,486.26,471.71,473.01,211406.0
2010-01-20,478.6,484.73,473.05,475.54,128722.0
2010-01-21,475.54,478.6,468.65,469.99,51973.0
2010-01-22,478.6,478.6,451.8,453.9,180270.0
