,open,high,low,close,volume
2009-05-20,70.27,74.84,69.84,72.3,6731374.0
2009-05-21,72.38,75.98,70.27,71.96,5755013.0
2009-05-22,71.2,73.53,70.56,72.3,4304100.0
2009-05-25,72.3,77.21,71.62,76.41,5833147.0
2009-05-26,77.04,77.85,71.2,72.26,3358236.0
2009-05-27,63.54,73.65,63.54,69.72,5598368.0
2009-05-28,69.93,72.77,69.93,72.05,4282498.0
2009-05-29,72.81,75.35,72.38,73.95,5319012.0
2009-06-01,69.42,77.8,69.42,77.17,4724359.0
2009-06-02,78.31,80.6,75.35,79.41,6614798.0
2009-06-03,80.43,81.27,75.35,78.31,4945438.0
2009-06-04,77.04,80.85,75.52,80.43,5793391.0
2009-06-05,80.43,86.78,79.67,82.71,13334658.0
2009-06-08,83.81,88.89,80.89,82.8,12118670.0
2009-06-09,83.81,87.84,81.44,86.69,6991811.0
2009-06-10,88.05,88.72,82.25,85.42,5604300.0
2009-06-11,86.78,92.24,85.72,90.29,12117852.0
2009-06-12,93.13,93.51,87.88,88.85,8353675.0
2009-06-15,88.89,89.06,84.7,85.63,3930162.0
2009-06-16,86.35,90.12,83.43,88.39,6044065.0
2009-06-17,89.74,92.11,84.11,85.04,8319889.0
2009-06-18,85.68,88.51,82.29,86.73,7587722.0
2009-06-19,88.05,89.91,86.57,88.64,6809930.0
2009-06-22,90.42,90.97,85.51,86.1,4827959.0
2009-06-23,84.49,86.31,82.97,84.53,5177996.0
2009-06-24,85.08,91.18,85.08,89.91,7116274.0
2009-06-25,91.43,92.2,87.28,88.55,7582891.0
2009-06-26,89.32,94.14,89.32,92.79,10556953.0
2009-06-29,93.97,97.36,93.34,95.41,6328239.0
2009-06-30,96.94,97.15,87.2,89.15,5495784.0
2009-07-01,90.59,94.23,87.5,93.25,4990485.0
2009-07-02,94.57,94.57,89.4,92.58,3297617.0
2009-07-03,93.04,93.04,89.95,92.28,3366906.0
2009-07-06,92.7,93.3,85.72,87.28,2610606.0
2009-07-07,87.92,90.88,86.82,87.96,4275586.0
2009-07-08,87.96,89.11,84.87,86.06,4129597.0
2009-07-09,86.65,87.54,84.66,86.65,2883764.0
2009-07-10,87.2,88.47,83.81,84.96,2632566.0
2009-07-13,83.81,85.8,74.04,78.18,8648002.0
2009-07-14,80.43,83.73,80.43,82.71,4453355.0
2009-07-15,84.66,87.71,82.12,87.12,3461792.0
2009-07-16,88.72,89.57,85.51,86.14,2166538.0
2009-07-17,86.78,90.93,86.78,89.57,3511046.0
2009-07-20,90.16,91.77,88.68,90.5,2763476.0
2009-07-21,91.43,93.04,89.4,90.21,2843712.0
2009-07-22,91.01,91.22,87.37,89.36,2118328.0
2009-07-23,90.16,90.93,88.09,90.21,2401093.0
2009-07-24,91.31,92.03,88.98,91.43,5115035.0
2009-07-27,92.28,94.18,90.25,91.9,7684741.0
2009-07-28,91.81,94.99,89.78,93.08,12937574.0
2009-07-29,93.3,100.75,90.71,99.69,23075852.0
2009-07-30,99.05,101.17,97.19,99.94,8344770.0
2009-07-31,101.34,102.61,98.71,100.58,7145306.0
2009-08-03,101.38,104.81,100.75,104.26,7786450.0
2009-08-04,106.5,106.5,99.43,102.27,5827925.0
2009-08-05,103.12,108.03,103.07,106.63,9542971.0
2009-08-06,106.67,107.35,99.31,101.63,5582104.0
2009-08-07,101.38,103.79,99.35,102.19,6734053.0
2009-08-10,105.83,106.25,99.69,101.3,6635693.0
2009-08-11,102.35,104.85,99.98,101.76,7859834.0
2009-08-12,101.38,104.81,100.79,104.22,8027861.0
2009-08-13,106.21,107.94,105.44,107.1,6828396.0
2009-08-14,108.2,108.2,99.52,101.3,8104961.0
2009-08-17,98.67,102.02,97.15,98.29,7578544.0
