,open,high,low,close,volume
2009-05-20,62.96,66.46,61.9,66.02,497296.0
2009-05-21,66.02,67.39,60.32,61.41,254672.0
2009-05-22,60.46,65.58,60.46,64.05,291304.0
2009-05-25,66.06,70.05,63.85,67.57,311462.0
2009-05-26,68.72,72.98,59.46,61.14,889608.0
2009-05-27,64.62,67.48,63.25,64.22,562598.0
2009-05-28,65.09,65.84,63.2,64.11,297660.0
2009-05-29,65.49,67.39,64.09,65.93,309932.0
2009-06-01,68.72,69.79,66.51,67.79,402564.0
2009-06-02,67.39,69.12,63.51,64.91,494116.0
2009-06-03,66.22,68.06,64.51,64.89,622132.0
2009-06-04,64.96,71.74,64.29,70.65,1521184.0
2009-06-05,70.72,72.27,67.13,67.7,632738.0
2009-06-08,67.84,69.17,64.42,64.89,255498.0
2009-06-09,67.68,70.48,63.43,68.44,379864.0
2009-06-10,65.62,73.96,65.62,72.29,984862.0
2009-06-11,74.93,79.72,73.65,74.95,4245402.0
2009-06-12,74.49,76.71,70.21,71.52,609214.0
2009-06-15,73.07,78.59,72.32,73.03,1399708.0
2009-06-16,72.27,75.04,70.94,73.29,527602.0
2009-06-17,73.11,74.36,67.66,69.06,358220.0
2009-06-18,69.61,70.68,64.29,65.16,258822.0
2009-06-19,62.96,67.84,62.96,65.69,233404.0
2009-06-22,66.91,68.7,65.2,66.35,315446.0
2009-06-23,65.22,65.6,62.96,64.71,221802.0
2009-06-24,66.37,66.93,64.96,65.69,157450.0
2009-06-25,66.02,67.84,63.03,63.94,377726.0
2009-06-26,65.18,65.8,63.4,65.27,243746.0
2009-06-29,65.62,67.13,64.73,66.26,320734.0
2009-06-30,66.91,68.9,64.29,64.91,278410.0
2009-07-01,66.68,68.72,65.67,68.06,490190.0
2009-07-02,69.17,70.37,66.51,67.06,402184.0
2009-07-03,67.06,68.68,66.06,67.15,157888.0
2009-07-06,67.26,68.61,60.3,65.71,285452.0
2009-07-07,65.93,68.39,65.18,67.88,238742.0
2009-07-08,65.86,66.86,63.91,65.64,140112.0
2009-07-09,66.04,66.95,65.2,66.51,117500.0
2009-07-10,66.51,66.93,63.2,64.18,70322.0
2009-07-13,64.29,64.29,62.1,63.51,104128.0
2009-07-14,64.53,68.28,63.85,67.73,150344.0
2009-07-15,68.06,68.64,66.13,66.49,193532.0
2009-07-16,68.64,68.64,66.42,66.95,180310.0
2009-07-17,67.35,68.19,66.18,66.66,246030.0
2009-07-20,67.62,69.39,67.19,67.75,219602.0
2009-07-21,68.44,71.78,67.11,70.34,755284.0
2009-07-22,72.29,75.35,71.94,73.78,1032824.0
2009-07-23,75.33,76.71,74.82,75.69,861198.0
2009-07-24,76.48,77.5,74.11,75.49,301304.0
2009-07-27,76.26,76.57,73.6,74.18,137916.0
2009-07-28,74.84,76.55,73.6,75.84,217418.0
2009-07-29,76.0,76.04,72.71,73.34,104182.0
2009-07-30,74.05,75.6,73.62,74.27,76042.0
2009-07-31,75.15,75.64,74.09,74.36,81544.0
2009-08-03,75.35,77.15,75.24,76.22,209550.0
2009-08-04,76.31,78.92,74.64,75.38,544874.0
2009-08-05,76.11,76.68,74.27,74.64,99052.0
2009-08-06,74.71,75.38,71.01,71.94,344042.0
2009-08-07,72.27,72.72,69.61,70.08,150200.0
2009-08-10,70.1,74.05,68.55,69.48,153052.0
2009-08-11,69.17,71.16,68.72,69.63,106428.0
2009-08-12,68.9,69.61,67.48,68.95,68936.0
2009-08-13,69.92,72.45,69.92,71.81,128146.0
2009-08-14,72.05,72.71,70.96,71.7,92548.0
2009-08-17,71.61,71.61,68.41,68.95,70542.0
2009-08-18,69.61,71.83,68.77,70.54,72128.0
2009-08-19,70.94,71.34,67.84,68.44,89162.0
2009-08-20,69.59,70.03,68.97,69.23,45480.0
2009-08-21,68.39,75.82,68.39,73.31,431768.0
2009-08-24,75.38,76.71,72.8,73.85,361130.0
2009-08-25,73.56,75.77,73.16,74.29,226152.0
2009-08-26,74.93,75.33,73.69,74.0,100568.0
2009-08-27,73.6,76.46,72.71,74.29,413240.0
2009-08-28,74.89,77.33,74.49,75.22,553498.0
2009-08-31,74.49,75.82,73.16,75.11,118940.0
2009-09-01,75.6,77.5,73.27,73.76,381832.0
2009-09-02,73.16,75.73,73.16,74.53,199940.0
2009-09-03,74.71,75.38,72.8,73.42,81016.0
2009-09-04,74.05,74.44,73.2,73.51,83886.0
2009-09-07,73.6,76.66,73.6,75.29,239166.0
2009-09-08,75.93,76.4,73.65,74.11,142458.0
2009-09-09,74.16,74.62,72.49,72.78,168250.0
2009-09-10,73.2,74.58,71.87,72.27,173668.0
2009-09-11,72.38,74.58,72.27,72.45,155082.0
2009-09-14,72.98,74.58,72.09,74.2,146000.0
2009-09-15,73.82,76.48,72.49,75.18,845204.0
2009-09-16,75.8,76.31,74.05,74.71,319390.0
2009-09-17,78.81,84.6,74.07,81.09,2248104.0
2009-09-18,84.24,92.62,83.49,84.84,7145302.0
2009-09-22,84.58,86.22,84.24,84.8,1197448.0
2009-09-23,85.04,85.04,81.58,82.03,383016.0
2009-09-24,80.7,86.37,79.92,84.55,1764726.0
