,open,high,low,close,volume
2009-05-20,38.16,38.16,38.16,38.16,1100.0
2009-05-21,40.07,40.07,40.07,40.07,425.0
2009-05-22,42.07,42.07,42.07,42.07,170.0
2009-05-25,44.18,44.18,44.18,44.18,150.0
2009-05-26,46.39,46.39,44.0,45.57,5440.0
2009-05-27,45.57,46.93,45.57,46.93,650.0
2009-05-28,47.15,48.72,46.05,46.93,1050.0
2009-05-29,47.15,48.25,45.73,47.8,2160.0
2009-06-01,46.21,50.12,46.21,47.93,1850.0
2009-06-02,47.46,48.09,46.53,46.68,5105.0
2009-06-03,48.7,49.03,48.7,48.77,955.0
2009-06-04,48.91,51.08,47.97,51.07,6130.0
2009-06-05,52.96,53.22,49.82,50.6,3245.0
2009-06-08,51.55,51.55,48.07,48.07,1690.0
2009-06-09,46.05,47.78,45.76,47.78,3560.0
2009-06-10,46.05,50.09,46.05,48.42,3980.0
2009-06-11,47.46,49.43,47.32,47.47,2805.0
2009-06-12,47.3,48.4,45.99,45.99,15215.0
2009-06-15,44.47,44.79,43.7,44.21,4600.0
2009-06-16,43.69,46.36,43.69,45.9,6000.0
2009-06-17,45.97,47.13,43.69,43.85,6230.0
2009-06-18,43.23,44.52,43.23,43.7,2550.0
2009-06-19,44.0,45.57,44.0,45.32,1400.0
2009-06-22,43.46,44.0,43.06,43.81,3375.0
2009-06-23,43.23,43.99,42.75,43.99,605.0
2009-06-24,45.57,45.57,43.69,44.29,380.0
2009-06-25,44.79,44.79,43.23,43.23,1350.0
2009-06-26,44.73,44.79,43.29,44.35,1285.0
2009-06-29,42.9,46.2,42.43,43.16,8770.0
2009-06-30,44.0,44.0,41.01,41.02,5020.0
2009-07-01,41.02,41.02,39.13,39.52,4660.0
2009-07-02,39.92,41.33,39.92,40.86,1810.0
2009-07-03,39.62,40.7,39.45,39.6,1330.0
2009-07-06,40.07,40.07,38.66,38.79,8095.0
2009-07-07,38.66,38.66,38.5,38.58,3350.0
2009-07-08,37.56,39.29,36.3,36.38,7365.0
2009-07-09,35.07,36.59,35.05,35.05,2870.0
2009-07-10,40.18,40.18,36.65,36.66,1710.0
2009-07-13,36.97,36.97,34.08,34.81,19285.0
2009-07-14,36.17,36.97,36.01,36.65,7875.0
2009-07-15,36.49,38.9,36.49,38.53,1485.0
2009-07-16,37.14,37.61,36.17,36.69,19660.0
2009-07-17,35.59,39.71,35.59,37.67,3800.0
2009-07-20,38.26,39.39,37.46,39.23,3710.0
2009-07-21,37.94,37.94,36.81,37.26,1645.0
