,open,high,low,close,volume
2009-05-20,611.88,703.93,611.88,686.47,103249.0
2009-05-21,694.11,736.81,683.39,712.55,139339.0
2009-05-22,705.72,709.25,663.91,693.93,58436.0
2009-05-25,692.32,722.69,668.2,676.28,81623.0
2009-05-26,674.45,690.53,635.33,657.48,44003.0
2009-05-27,674.27,686.07,664.72,669.76,27801.0
2009-05-28,672.67,695.0,646.76,655.87,144814.0
2009-05-29,661.05,681.6,661.05,674.41,73995.0
2009-06-01,682.05,699.47,669.09,696.52,131342.0
2009-06-02,704.83,707.46,658.37,666.41,107978.0
2009-06-03,696.79,701.7,660.16,676.37,84038.0
2009-06-04,667.31,726.98,667.31,716.04,523315.0
2009-06-05,751.46,848.65,732.52,812.51,870963.0
2009-06-08,821.58,857.58,814.26,827.88,392581.0
2009-06-09,839.72,858.21,773.61,839.05,237593.0
2009-06-10,848.65,866.34,812.92,820.64,96679.0
2009-06-11,826.32,826.32,787.9,808.05,66972.0
2009-06-12,825.42,855.8,781.65,789.91,149984.0
2009-06-15,791.48,792.37,746.14,750.34,75285.0
2009-06-16,724.52,781.65,724.52,768.97,90171.0
2009-06-17,772.72,780.76,754.85,756.68,85496.0
2009-06-18,759.23,786.12,744.13,759.23,166888.0
2009-06-19,761.1,781.56,723.59,759.67,73593.0
2009-06-22,772.67,824.44,768.16,810.64,197907.0
2009-06-23,803.89,821.27,772.72,804.43,135271.0
2009-06-24,812.92,826.32,799.74,804.65,77762.0
2009-06-25,821.85,830.78,795.05,801.35,71399.0
2009-06-26,805.1,817.29,777.36,808.54,49379.0
2009-06-29,812.92,964.65,812.92,949.15,641347.0
2009-06-30,964.78,1029.99,939.77,955.53,965328.0
2009-07-01,960.31,995.15,938.43,980.95,343212.0
2009-07-02,996.05,1009.36,951.38,968.22,242943.0
2009-07-03,975.14,995.15,896.49,921.01,1417169.0
2009-07-06,924.58,946.91,857.58,871.74,447622.0
2009-07-07,872.77,883.49,811.84,849.94,321495.0
2009-07-08,839.72,932.62,812.92,894.12,674441.0
2009-07-09,897.78,945.84,888.94,932.22,447719.0
2009-07-10,942.45,959.42,870.98,883.0,433328.0
2009-07-13,895.1,903.14,849.63,858.16,178303.0
2009-07-14,864.64,929.05,864.64,917.79,234261.0
2009-07-15,924.58,957.1,898.67,915.92,185490.0
2009-07-16,924.58,955.85,906.8,914.71,148462.0
2009-07-17,870.98,942.98,870.98,931.82,120714.0
2009-07-20,939.77,951.38,925.47,934.45,94549.0
2009-07-21,943.25,973.71,929.27,947.23,189802.0
2009-07-22,946.02,964.65,917.43,926.41,95705.0
2009-07-23,928.15,946.74,896.75,927.84,53475.0
2009-07-24,934.32,961.12,931.01,948.03,92137.0
2009-07-27,954.06,967.46,940.71,946.42,48539.0
2009-07-28,948.7,982.65,939.77,955.22,109802.0
2009-07-29,946.02,971.93,916.54,929.9,80944.0
2009-07-30,927.26,950.75,922.17,944.81,144069.0
2009-07-31,948.7,962.9,942.45,952.5,301966.0
2009-08-03,951.38,978.18,946.91,970.59,64988.0
2009-08-04,982.65,1058.04,974.7,988.1,196739.0
2009-08-05,998.41,1001.85,964.78,979.07,79893.0
2009-08-06,981.75,990.37,939.86,949.37,50412.0
2009-08-07,905.69,976.44,905.69,965.0,119409.0
2009-08-10,973.71,996.05,947.05,968.35,149784.0
2009-08-11,943.52,982.65,943.52,964.33,94674.0
2009-08-12,946.91,966.25,915.65,956.92,118937.0
2009-08-13,960.31,989.79,957.63,979.88,61302.0
2009-08-14,982.65,1000.47,969.25,979.61,73947.0
2009-08-17,969.25,969.25,942.72,950.22,33438.0
2009-08-18,946.91,960.05,927.26,940.79,47994.0
2009-08-19,954.95,959.42,931.82,948.16,39426.0
2009-08-20,955.85,971.75,937.98,951.43,35476.0
2009-08-21,939.77,959.42,939.77,955.31,14813.0
2009-08-24,964.78,990.69,957.63,983.67,52944.0
2009-08-25,973.71,991.49,965.0,970.18,31930.0
2009-08-26,974.61,986.18,955.85,965.0,62798.0
2009-08-27,968.71,1004.98,962.1,984.48,105993.0
2009-08-28,998.73,1023.74,983.54,994.66,92742.0
2009-08-31,982.65,1009.45,978.27,992.79,34510.0
2009-09-01,918.33,1004.8,918.33,968.71,33854.0
2009-09-02,962.99,982.2,943.47,964.42,24369.0
2009-09-03,966.57,979.7,934.9,940.66,25074.0
2009-09-04,958.53,962.1,942.45,949.5,24603.0
2009-09-07,962.81,973.71,954.95,959.87,27389.0
2009-09-08,948.7,1089.58,948.7,1054.38,416267.0
2009-09-09,1045.22,1048.75,1005.29,1017.57,143279.0
2009-09-10,1026.42,1034.46,953.17,965.23,155720.0
2009-09-11,980.86,1004.89,966.57,985.06,105463.0
2009-09-14,1022.85,1022.85,971.93,980.73,37729.0
2009-09-15,982.65,987.11,966.66,972.24,81955.0
2009-09-16,936.1,1010.34,936.1,991.04,121556.0
2009-09-17,1013.26,1033.49,984.59,995.29,185558.0
2009-09-18,1005.99,1005.99,981.65,986.03,65500.0
2009-09-22,993.26,1001.07,986.03,994.79,49800.0
2009-09-23,997.91,1002.42,980.03,988.29,78273.0
2009-09-24,975.33,991.54,964.49,981.56,164060.0
2009-09-25,979.85,984.27,970.95,974.07,118941.0
2009-09-29,980.75,988.79,962.82,966.71,89745.0
2009-09-30,969.01,982.55,959.07,973.52,166757.0
2009-10-01,961.87,997.91,961.87,971.67,120118.0
2009-10-05,965.4,989.6,951.4,967.2,56923.0
2009-10-06,975.33,986.17,950.04,984.09,73570.0
2009-10-07,988.97,1014.61,971.85,980.84,102396.0
