,open,high,low,close,volume
2009-05-20,10.74,11.25,10.71,11.05,233472.0
2009-05-21,11.19,11.7,11.19,11.38,405507.0
2009-05-22,11.28,11.94,11.28,11.7,243720.0
2009-05-25,11.84,12.8,11.63,12.39,563951.0
2009-05-26,12.21,12.91,11.87,12.07,479514.0
2009-05-27,12.19,12.6,12.14,12.25,186458.0
2009-05-28,12.36,12.4,12.0,12.08,134238.0
2009-05-29,12.16,12.26,11.95,12.01,187732.0
2009-06-01,12.12,12.94,11.98,12.53,439337.0
2009-06-02,12.69,13.5,12.69,13.07,839975.0
2009-06-03,13.46,13.67,12.97,13.18,549881.0
2009-06-04,12.97,13.45,12.87,13.29,224518.0
2009-06-05,13.48,15.44,13.17,14.56,2550024.0
2009-06-08,14.94,14.94,12.83,13.11,643423.0
2009-06-09,12.91,13.24,12.43,13.15,232165.0
2009-06-10,13.36,13.63,12.87,12.88,225294.0
2009-06-11,12.9,13.0,12.28,12.47,248769.0
2009-06-12,12.66,13.25,12.29,12.42,268814.0
2009-06-15,12.26,12.62,11.93,12.02,109547.0
2009-06-16,11.91,12.29,11.84,12.12,139163.0
2009-06-17,12.15,12.64,12.07,12.38,289383.0
2009-06-18,12.07,12.66,11.29,11.4,219948.0
2009-06-19,11.93,11.98,11.36,11.63,168249.0
2009-06-22,12.0,12.04,11.28,11.33,143696.0
2009-06-23,11.3,11.53,11.02,11.43,106072.0
2009-06-24,11.38,11.64,11.28,11.52,91106.0
2009-06-25,11.42,11.7,11.28,11.36,102102.0
2009-06-26,11.42,11.6,11.36,11.49,88900.0
2009-06-29,11.35,11.84,11.35,11.4,103303.0
2009-06-30,11.46,11.56,11.39,11.43,68029.0
2009-07-01,11.42,11.49,11.05,11.23,66503.0
2009-07-02,11.56,11.56,11.11,11.19,65388.0
2009-07-03,11.18,11.25,10.94,11.09,102035.0
2009-07-06,11.33,11.42,11.01,11.09,142724.0
2009-07-07,11.09,11.47,10.71,11.26,97765.0
2009-07-08,11.11,11.53,10.71,11.28,209457.0
2009-07-09,11.42,11.45,11.14,11.28,87895.0
2009-07-10,11.45,11.47,11.15,11.26,90093.0
2009-07-13,11.04,11.39,10.91,11.29,101447.0
2009-07-14,11.28,11.47,11.14,11.3,61046.0
2009-07-15,11.28,11.63,11.28,11.53,72279.0
2009-07-16,11.7,11.78,11.35,11.45,46029.0
2009-07-17,11.5,11.7,11.36,11.42,70742.0
2009-07-20,11.84,11.84,11.45,11.53,107024.0
2009-07-21,11.71,11.8,11.5,11.64,58912.0
2009-07-22,12.2,12.2,11.75,11.81,68348.0
2009-07-23,11.95,12.11,11.8,12.03,60256.0
2009-07-24,12.0,12.28,12.0,12.15,164536.0
2009-07-27,12.14,12.58,12.14,12.27,136256.0
2009-07-28,12.31,12.84,12.25,12.58,171525.0
2009-07-29,12.52,13.3,12.34,13.06,254061.0
2009-07-30,13.14,13.87,12.93,13.03,399661.0
2009-07-31,13.05,13.43,12.65,12.75,170265.0
2009-08-03,11.81,12.96,11.81,12.9,71792.0
2009-08-04,12.84,13.22,12.67,12.81,74581.0
2009-08-05,12.84,13.08,12.64,12.68,131712.0
2009-08-06,12.71,13.09,12.64,12.71,144640.0
2009-08-07,12.64,12.84,12.34,12.49,130668.0
2009-08-10,12.93,13.37,12.42,12.68,368581.0
2009-08-11,12.7,12.7,12.31,12.43,120896.0
2009-08-12,12.34,12.56,11.77,12.31,84630.0
2009-08-13,12.34,13.56,12.34,13.21,462339.0
2009-08-14,13.37,14.84,13.22,14.08,1388321.0
2009-08-17,13.93,14.55,13.42,13.5,637129.0
2009-08-18,13.71,14.53,13.46,14.34,1421101.0
2009-08-19,14.4,14.74,14.14,14.53,993605.0
2009-08-20,14.43,15.4,14.43,14.86,1074091.0
2009-08-21,14.58,16.05,14.58,15.8,2617096.0
2009-08-24,16.22,16.44,15.87,15.99,1580555.0
2009-08-25,16.02,16.12,15.43,15.49,470148.0
2009-08-26,15.66,16.07,15.58,15.78,484879.0
2009-08-27,15.4,16.0,15.16,15.25,280297.0
2009-08-28,15.12,15.53,14.88,15.25,691670.0
2009-08-31,15.13,16.75,14.86,15.99,1151718.0
2009-09-01,16.31,19.19,16.31,19.19,6822931.0
2009-09-02,19.98,22.25,19.54,20.85,24570706.0
2009-09-03,21.23,21.85,18.95,19.22,13545636.0
2009-09-04,19.37,19.53,18.4,18.53,3774170.0
2009-09-07,17.63,19.78,17.63,19.09,4656576.0
2009-09-08,18.81,19.37,18.48,18.59,1201654.0
2009-09-09,18.25,18.66,17.99,18.09,1035611.0
