,open,high,low,close,volume
2009-05-20,393.98,393.98,362.38,370.59,24808182.0
2009-05-21,369.88,379.37,359.99,367.49,8420608.0
2009-05-22,367.49,373.24,363.8,370.57,9815396.0
2009-05-25,372.9,396.61,338.84,349.34,25828703.0
2009-05-26,352.21,357.81,326.56,332.46,29569666.0
2009-05-27,343.89,343.89,323.32,331.43,34159811.0
2009-05-28,335.39,347.77,329.79,343.11,38351986.0
2009-05-29,349.19,360.4,344.08,353.89,16170960.0
2009-06-01,375.05,375.05,336.26,346.95,18657686.0
2009-06-02,340.57,357.31,340.57,345.05,8928296.0
2009-06-03,338.15,353.07,338.15,344.21,11272598.0
2009-06-04,334.96,353.07,334.96,351.95,7357934.0
2009-06-05,352.64,359.97,347.72,356.41,9278851.0
2009-06-08,349.9,360.83,346.54,350.85,6095654.0
2009-06-09,350.05,352.08,342.38,350.24,8330882.0
2009-06-10,350.27,365.57,348.15,359.79,15584024.0
2009-06-11,359.79,373.29,359.79,368.33,13844247.0
2009-06-12,370.7,372.3,353.54,357.01,9200376.0
2009-06-15,353.93,356.95,349.23,353.26,5315645.0
2009-06-16,347.51,356.91,339.14,348.97,10444633.0
2009-06-17,346.95,355.78,342.29,346.15,7880136.0
2009-06-18,347.72,351.09,341.86,346.97,5578916.0
2009-06-19,347.9,352.16,341.13,347.98,6508783.0
2009-06-22,352.55,352.55,338.45,340.87,5805576.0
2009-06-23,339.58,342.59,323.75,339.02,6526307.0
2009-06-24,344.79,346.34,339.02,344.14,5782003.0
2009-06-25,345.33,350.48,339.4,342.23,10177600.0
2009-06-26,345.31,351.52,342.72,349.23,5877176.0
2009-06-29,352.83,352.83,344.94,348.0,2732162.0
2009-06-30,349.19,350.48,342.33,345.8,5513303.0
2009-07-01,346.24,357.72,344.9,355.33,6256898.0
2009-07-02,356.69,357.53,342.85,346.21,6456560.0
2009-07-03,347.9,354.73,343.54,353.09,2903665.0
2009-07-06,355.22,356.52,332.61,337.53,6174521.0
2009-07-07,338.45,355.05,337.79,350.2,6443844.0
2009-07-08,347.64,349.12,338.5,341.67,3858777.0
2009-07-09,344.92,348.3,339.27,343.02,3527613.0
2009-07-10,343.15,343.15,330.22,335.24,4294741.0
2009-07-13,334.1,337.08,328.15,330.37,4100883.0
2009-07-14,336.34,337.98,329.01,333.37,5112479.0
2009-07-15,337.98,342.29,334.1,336.38,4530320.0
2009-07-16,317.61,344.88,317.61,338.35,6137716.0
2009-07-17,339.75,360.4,339.75,356.19,9457618.0
2009-07-20,362.55,367.73,357.85,366.02,5371065.0
2009-07-21,365.57,372.68,357.23,361.22,7184545.0
2009-07-22,355.7,361.99,344.83,354.79,12590686.0
2009-07-23,375.05,375.05,342.9,350.96,16752629.0
2009-07-24,362.83,368.19,345.93,359.59,10505294.0
2009-07-27,359.72,370.36,359.72,366.12,6119454.0
2009-07-28,368.5,377.1,358.43,371.35,10001000.0
2009-07-29,371.57,375.2,358.94,367.16,6112065.0
2009-07-30,367.07,370.7,357.99,366.55,6449869.0
2009-07-31,370.31,372.6,349.26,354.53,7258614.0
2009-08-03,361.36,361.36,351.42,354.84,5332591.0
