,open,high,low,close,volume
2009-05-20,163.64,169.41,155.45,157.9,24667995.0
2009-05-21,158.94,160.72,151.19,152.36,11971102.0
2009-05-22,151.57,156.22,148.89,153.37,11436862.0
2009-05-25,155.06,156.21,151.4,155.4,5875762.0
2009-05-26,155.06,158.51,153.02,154.51,9344272.0
2009-05-27,156.61,162.04,155.84,161.49,9168285.0
2009-05-28,161.11,165.92,158.01,164.95,15635970.0
2009-05-29,165.14,172.03,164.37,168.88,9280380.0
2009-06-01,165.5,172.5,162.82,164.74,11662905.0
2009-06-02,165.92,168.55,162.3,164.4,7179750.0
2009-06-03,165.45,167.35,162.55,165.52,7045890.0
2009-06-04,164.34,169.59,161.65,168.95,7234282.0
2009-06-05,169.41,178.58,167.65,177.35,8472802.0
2009-06-08,176.16,177.93,171.73,172.89,4524300.0
2009-06-09,172.51,176.54,168.24,174.15,4308922.0
2009-06-10,174.45,185.15,174.45,182.27,12483218.0
2009-06-11,182.59,182.59,173.36,176.3,5798482.0
2009-06-12,176.77,180.65,170.03,171.5,10107825.0
2009-06-15,170.18,173.28,165.69,167.29,7564035.0
2009-06-16,164.75,173.8,163.93,167.4,11586172.0
2009-06-17,163.0,168.24,160.26,162.23,9958665.0
2009-06-18,162.12,162.66,155.14,157.41,9666548.0
2009-06-19,157.41,163.36,156.7,161.95,7520618.0
2009-06-22,164.37,165.92,160.67,162.34,8447048.0
2009-06-23,159.06,167.37,158.47,165.28,8646052.0
2009-06-24,166.87,171.19,164.18,170.12,7296728.0
2009-06-25,172.43,172.74,162.93,165.11,12663840.0
2009-06-26,168.48,171.73,166.23,170.86,5971200.0
2009-06-29,170.41,176.33,170.41,173.67,5309558.0
2009-06-30,175.22,175.84,169.02,170.88,9106080.0
2009-07-01,172.82,173.63,167.79,171.69,5267340.0
2009-07-02,172.28,172.51,165.37,166.97,7047158.0
2009-07-03,167.05,170.29,163.67,169.51,5107425.0
2009-07-06,171.73,172.1,159.72,162.86,8681505.0
2009-07-07,162.86,167.86,162.07,165.35,4869750.0
2009-07-08,163.2,164.75,158.16,158.78,6024465.0
2009-07-09,158.94,160.5,153.51,156.79,6507270.0
2009-07-10,156.85,159.23,152.19,153.97,6310665.0
2009-07-13,152.81,154.52,149.07,151.94,5564138.0
2009-07-14,155.84,160.41,154.05,158.75,5559248.0
2009-07-15,161.27,170.3,158.94,169.58,10014855.0
2009-07-16,165.53,172.07,165.53,170.6,7441778.0
2009-07-17,171.19,173.55,170.6,172.68,5235585.0
2009-07-20,173.59,177.39,172.91,176.51,4825132.0
2009-07-21,176.69,176.69,171.11,171.62,6322245.0
2009-07-22,174.45,174.45,164.55,166.43,10711185.0
2009-07-23,167.08,170.03,166.32,168.1,9216638.0
2009-07-24,169.33,172.51,168.63,171.39,5806432.0
2009-07-27,171.42,175.73,171.42,175.28,5487952.0
2009-07-28,174.91,178.01,173.44,175.5,5055338.0
2009-07-29,174.6,175.58,169.51,173.62,3647948.0
2009-07-30,173.44,173.67,170.0,170.63,14113290.0
2009-07-31,174.45,175.76,170.96,172.92,4815540.0
2009-08-03,174.45,182.78,173.67,181.94,7603732.0
2009-08-04,182.59,182.66,177.55,180.75,4880250.0
2009-08-05,181.11,182.97,176.62,179.09,4414515.0
2009-08-06,178.91,183.59,175.02,176.24,7274760.0
2009-08-07,175.61,176.24,168.17,169.27,8740740.0
2009-08-10,173.28,174.4,165.92,166.58,4313535.0
2009-08-11,165.44,168.25,164.13,166.5,4616700.0
2009-08-12,165.13,168.24,163.2,167.41,5648730.0
2009-08-13,169.64,173.1,169.27,172.55,4027860.0
2009-08-14,173.28,173.67,169.97,170.62,2985278.0
2009-08-17,167.75,172.43,167.27,169.12,7028122.0
2009-08-18,168.63,174.79,168.4,174.2,6038910.0
2009-08-19,174.83,175.92,170.18,171.72,5296268.0
2009-08-20,173.63,175.61,172.59,174.74,2593545.0
2009-08-21,173.28,180.11,172.21,178.46,8408265.0
2009-08-24,179.18,183.14,179.1,181.72,4337512.0
2009-08-25,179.95,182.1,176.54,178.59,4154925.0
2009-08-26,179.87,180.56,176.58,178.21,3771128.0
2009-08-27,178.32,182.39,176.45,181.06,5676045.0
2009-08-28,180.65,182.84,177.55,180.66,4840342.0
2009-08-31,178.5,180.75,177.0,179.06,3905288.0
2009-09-01,184.59,185.94,179.18,180.19,7623705.0
2009-09-02,179.1,181.35,174.73,175.18,8029012.0
2009-09-03,175.99,177.35,173.23,174.84,5847360.0
2009-09-04,175.25,176.87,174.45,176.08,5027978.0
2009-09-07,177.11,178.94,176.33,177.08,7042920.0
2009-09-08,177.83,179.08,177.03,178.45,9706590.0
2009-09-09,178.95,181.81,177.27,178.08,10004250.0
2009-09-10,179.5,182.5,179.1,180.5,7948088.0
2009-09-11,181.25,181.81,178.41,179.61,4486095.0
2009-09-14,179.09,181.07,178.38,179.47,4441725.0
2009-09-15,179.26,182.12,179.22,180.58,3373980.0
2009-09-16,182.28,185.23,179.37,181.5,7020202.0
2009-09-17,182.01,184.27,179.89,180.99,7456928.0
2009-09-18,180.61,182.08,179.72,181.01,4460880.0
2009-09-22,181.81,183.64,180.4,181.85,3284505.0
2009-09-23,182.04,182.24,179.97,180.87,4183538.0
2009-09-24,179.89,181.49,176.76,178.79,7414290.0
2009-09-25,178.3,180.57,177.51,178.51,3833602.0
2009-09-29,180.29,181.81,178.31,181.08,4158780.0
2009-09-30,181.41,186.18,181.39,185.38,7563660.0
2009-10-01,183.16,188.64,183.16,187.12,8080898.0
2009-10-05,185.07,190.38,183.51,186.44,9067882.0
2009-10-06,188.57,193.43,184.19,192.46,6450195.0
2009-10-07,193.43,200.81,193.43,195.3,11001728.0
2009-10-08,196.21,200.59,192.95,197.63,5689312.0
2009-10-09,198.2,198.68,192.13,193.37,4160595.0
2009-10-12,195.42,195.42,188.65,193.08,5182545.0
2009-10-14,193.51,200.18,193.51,198.82,5663002.0
2009-10-15,200.19,202.93,196.8,198.38,5989478.0
2009-10-16,197.82,201.38,197.41,200.61,3233228.0
2009-10-20,199.8,201.16,195.66,196.48,4517828.0
2009-10-21,195.89,196.77,193.04,194.08,5307615.0
2009-10-22,193.51,193.72,190.24,192.24,4229662.0
2009-10-23,193.76,196.08,187.95,189.83,9389805.0
2009-10-26,190.08,190.08,185.47,186.67,5751975.0
2009-10-27,187.48,188.53,184.76,186.77,5331825.0
2009-10-28,187.47,187.69,181.81,184.81,4112228.0
2009-10-29,183.08,185.46,177.19,177.77,9424972.0
2009-10-30,181.86,182.1,173.73,176.54,5991540.0
2009-11-03,175.91,179.1,170.44,171.47,5289458.0
2009-11-04,173.53,175.12,167.4,171.72,5760172.0
2009-11-05,172.41,177.43,171.53,176.49,5297790.0
2009-11-06,181.25,181.25,173.69,176.7,7541288.0
2009-11-09,179.1,179.1,173.61,178.61,4972320.0
2009-11-10,179.89,181.09,175.21,176.46,9357660.0
2009-11-11,176.88,179.76,175.31,178.89,4785788.0
2009-11-12,178.86,183.48,178.01,180.46,6496725.0
2009-11-13,180.05,182.27,179.74,180.74,3096998.0
2009-11-16,182.95,183.45,180.32,180.96,4352888.0
2009-11-17,181.49,182.12,179.26,181.16,5693565.0
2009-11-18,180.13,182.08,179.5,181.06,4580445.0
2009-11-19,179.1,181.06,179.1,180.1,4816935.0
2009-11-20,179.1,180.99,177.61,180.01,7593765.0
2009-11-23,180.77,181.25,178.19,179.44,6095115.0
2009-11-24,179.82,180.37,176.87,177.99,5714572.0
2009-11-25,179.09,182.84,177.67,179.5,3843682.0
2009-11-26,179.5,179.86,176.88,178.86,6910170.0
2009-11-27,178.3,178.94,174.88,177.35,5295720.0
2009-11-30,178.12,180.44,177.51,178.6,6590520.0
2009-12-01,179.08,179.71,175.99,177.53,10781992.0
2009-12-02,178.54,178.96,174.16,175.1,12921480.0
2009-12-03,175.12,176.47,174.4,175.74,6715440.0
2009-12-04,175.74,177.25,174.4,175.82,5014755.0
2009-12-07,176.15,177.83,175.13,176.15,4884645.0
2009-12-08,176.15,177.5,175.77,176.52,7740322.0
2009-12-09,175.92,178.98,175.2,177.42,9582502.0
2009-12-10,177.35,182.92,177.35,182.5,7613835.0
2009-12-11,184.67,189.48,183.8,188.75,12825398.0
2009-12-14,188.73,193.41,187.7,191.8,8622915.0
2009-12-15,191.83,192.15,186.29,187.38,4567028.0
2009-12-16,185.23,190.09,184.4,186.12,3901575.0
2009-12-17,186.66,189.25,185.24,185.63,3855322.0
2009-12-18,184.83,187.54,183.16,184.57,3980925.0
2009-12-21,184.67,185.79,180.37,182.69,5004240.0
2009-12-22,181.59,184.43,181.18,182.14,2335350.0
2009-12-23,181.59,184.43,181.18,182.14,2335350.0
2009-12-24,181.59,184.43,181.18,182.14,2335350.0
2009-12-29,181.59,184.43,181.18,182.14,2335350.0
2009-12-30,181.59,184.43,181.18,182.14,2335350.0
2009-12-31,181.59,184.43,181.18,182.14,2335350.0
2010-01-04,191.83,193.59,191.31,193.12,3718868.0
2010-01-05,194.06,194.94,192.63,193.86,1716788.0
2010-01-06,195.18,195.42,190.48,193.13,2585198.0
2010-01-07,193.43,193.74,189.63,191.8,2243850.0
2010-01-08,192.63,194.37,191.95,192.96,2077988.0
2010-01-11,193.82,194.78,189.96,190.8,3896992.0
2010-01-12,191.2,191.74,187.06,187.51,6679785.0
2010-01-13,186.98,186.98,184.67,185.4,6125782.0
2010-01-14,186.98,190.06,185.25,189.22,6756188.0
2010-01-15,189.85,190.07,187.3,188.7,2125545.0
2010-01-18,190.8,191.44,188.25,189.55,3377190.0
2010-01-19,189.55,192.98,188.01,190.81,4696058.0
2010-01-20,191.79,192.57,188.97,190.85,2438130.0
