,open,high,low,close,volume
2009-05-20,13.23,13.64,13.15,13.34,1582164.0
2009-05-21,13.34,14.72,13.34,13.91,7191570.0
2009-05-22,13.92,15.31,13.92,14.99,19835256.0
2009-05-25,15.23,16.43,15.13,16.3,12740238.0
2009-05-26,16.41,16.6,14.87,15.05,7883196.0
2009-05-27,15.37,16.65,15.29,16.52,6720654.0
2009-05-28,16.77,16.77,15.56,15.66,6176394.0
2009-05-29,15.93,16.29,15.4,15.52,4805790.0
2009-06-01,15.79,15.96,15.37,15.74,6932220.0
2009-06-02,15.96,16.11,14.94,15.25,6313770.0
2009-06-03,15.45,17.3,15.3,17.09,23854530.0
2009-06-04,17.24,17.58,16.67,17.32,15727560.0
2009-06-05,17.49,18.47,17.0,17.82,23114544.0
2009-06-08,17.84,18.74,17.39,17.69,18757038.0
2009-06-09,17.84,18.68,17.42,18.47,12879360.0
2009-06-10,17.93,19.35,17.93,18.25,14423964.0
2009-06-11,18.35,19.0,18.06,18.81,10059564.0
2009-06-12,19.17,19.17,18.1,18.25,6795336.0
2009-06-15,17.84,18.18,17.42,17.53,2884710.0
2009-06-16,17.21,17.84,16.75,17.71,2479278.0
2009-06-17,17.76,18.12,16.01,16.35,3978888.0
2009-06-18,16.22,17.24,15.81,16.85,5929716.0
2009-06-19,16.41,17.99,16.41,17.84,5777916.0
2009-06-22,18.09,18.09,17.29,17.67,3640578.0
2009-06-23,17.07,17.36,16.71,17.09,7024572.0
2009-06-24,17.33,18.78,17.27,18.57,7416648.0
2009-06-25,18.78,20.04,18.18,19.38,17325912.0
2009-06-26,19.63,19.78,18.8,19.37,5398422.0
2009-06-29,19.63,20.23,19.38,19.55,5157084.0
2009-06-30,19.76,19.97,18.4,18.7,3035718.0
2009-07-01,18.82,19.55,18.53,19.41,2951958.0
2009-07-02,19.63,19.63,18.51,18.94,2778528.0
2009-07-03,18.61,19.21,18.35,18.96,1524030.0
2009-07-06,19.16,19.2,17.42,17.91,2420142.0
2009-07-07,18.12,18.95,17.59,18.94,2754162.0
2009-07-08,20.04,20.72,19.32,20.3,3222174.0
2009-07-09,20.47,21.65,19.77,21.23,8109054.0
2009-07-10,21.37,21.83,19.19,19.53,6319788.0
2009-07-13,18.98,19.23,18.02,18.14,3789318.0
2009-07-14,18.46,19.86,18.16,19.5,6757434.0
2009-07-15,19.7,19.96,19.56,19.74,1792290.0
2009-07-16,19.89,20.43,19.71,20.01,2691498.0
2009-07-17,20.16,20.51,19.24,19.4,3783012.0
2009-07-20,19.51,19.97,19.25,19.4,4693926.0
2009-07-21,19.51,19.97,19.21,19.59,5698884.0
2009-07-22,19.84,20.23,19.51,19.71,5418300.0
2009-07-23,20.44,20.85,20.07,20.34,10737396.0
2009-07-24,20.72,21.22,20.44,20.72,7999326.0
2009-07-27,20.81,20.9,20.02,20.29,2481072.0
2009-07-28,20.25,20.65,19.97,20.12,2314236.0
2009-07-29,20.16,20.32,19.51,19.71,2609268.0
2009-07-30,19.8,20.51,19.6,19.89,5354658.0
2009-07-31,20.06,20.63,20.06,20.3,4779588.0
2009-08-03,20.36,22.58,19.61,22.42,17049522.0
2009-08-04,22.27,22.48,21.15,21.38,6569340.0
2009-08-05,21.46,22.42,21.46,21.8,6466164.0
2009-08-06,21.92,22.17,20.81,21.07,3271458.0
2009-08-07,20.81,21.65,20.65,21.3,5615718.0
2009-08-10,21.46,21.82,20.45,20.79,4827702.0
2009-08-11,20.89,21.02,20.1,20.29,3910572.0
2009-08-12,20.38,20.7,18.58,20.23,2938770.0
2009-08-13,20.44,20.97,20.42,20.85,3164868.0
2009-08-14,21.08,21.43,20.57,21.16,6374736.0
