,open,high,low,close,volume
2009-05-20,170.65,179.48,169.39,176.54,131026.0
2009-05-21,176.03,179.9,174.18,175.86,105214.0
2009-05-22,174.35,176.79,168.97,171.62,47498.0
2009-05-25,172.33,185.78,172.33,181.12,165075.0
2009-05-26,181.62,189.99,178.55,180.7,202455.0
2009-05-27,185.74,188.05,178.64,183.22,76272.0
2009-05-28,182.76,182.84,176.62,179.27,91921.0
2009-05-29,182.42,196.63,179.06,192.89,288837.0
2009-06-01,193.35,198.39,189.15,191.84,173169.0
2009-06-02,195.03,201.59,191.71,195.75,117879.0
2009-06-03,197.55,205.04,194.19,200.29,295845.0
2009-06-04,200.5,200.92,195.37,199.99,50713.0
2009-06-05,201.76,204.87,194.28,197.89,103695.0
2009-06-08,193.35,198.73,187.51,189.44,58958.0
2009-06-09,185.36,193.35,182.42,190.41,27845.0
2009-06-10,195.79,203.44,189.15,198.98,183998.0
2009-06-11,201.5,201.67,193.39,196.38,49884.0
2009-06-12,194.4,199.23,189.15,189.82,50997.0
2009-06-15,189.15,192.43,184.31,188.73,21605.0
2009-06-16,184.94,189.1,180.82,187.8,19485.0
2009-06-17,185.78,189.1,174.98,178.13,29044.0
2009-06-18,177.38,179.06,167.08,167.75,33034.0
2009-06-19,171.49,173.89,167.29,168.93,23892.0
2009-06-22,180.74,180.74,166.03,166.91,5135.0
2009-06-23,163.93,166.91,153.13,162.46,15943.0
2009-06-24,161.95,169.81,159.72,167.42,35784.0
2009-06-25,168.13,173.93,155.6,159.56,90932.0
2009-06-26,163.93,168.97,163.93,167.67,18336.0
2009-06-29,167.29,171.91,167.29,169.73,14319.0
2009-06-30,172.29,175.7,169.77,173.55,63005.0
2009-07-01,171.58,180.19,171.58,176.12,62668.0
2009-07-02,177.13,178.55,174.98,177.5,8241.0
2009-07-03,176.54,184.1,176.54,183.68,26353.0
2009-07-06,182.0,186.63,174.44,177.29,48540.0
2009-07-07,181.58,191.08,178.22,188.31,33197.0
2009-07-08,189.15,200.12,182.51,192.01,288539.0
2009-07-09,193.35,197.55,188.52,189.65,0.0
2009-07-10,191.75,192.95,180.13,183.18,20272.0
2009-07-13,180.3,189.57,178.54,187.04,22855.0
2009-07-14,185.75,193.81,185.75,192.22,28777.0
2009-07-15,196.34,203.29,191.28,201.79,61494.0
2009-07-16,204.49,204.83,199.3,201.57,82696.0
2009-07-17,201.57,212.73,199.09,207.24,124178.0
2009-07-20,207.62,212.73,204.92,210.62,35501.0
2009-07-21,210.15,226.02,208.44,221.17,221728.0
2009-07-22,221.3,234.94,217.19,232.45,305186.0
2009-07-23,233.31,261.36,232.71,257.84,225106.0
2009-07-24,260.76,265.91,248.75,258.44,146967.0
2009-07-27,261.62,277.06,249.61,259.04,209860.0
2009-07-28,258.19,263.33,253.04,254.93,38665.0
2009-07-29,257.33,279.63,257.33,264.58,342179.0
2009-07-30,261.62,268.48,258.23,264.06,71678.0
2009-07-31,265.91,269.64,262.95,264.71,139370.0
2009-08-03,264.19,269.17,262.48,267.71,34794.0
2009-08-04,265.99,273.63,265.99,271.61,46219.0
2009-08-05,268.48,274.48,268.48,270.71,40367.0
2009-08-06,266.76,270.2,264.19,265.95,27924.0
2009-08-07,265.05,265.05,248.75,255.74,39410.0
2009-08-10,251.32,261.62,248.75,251.5,21324.0
2009-08-11,249.61,257.33,243.0,249.87,32570.0
2009-08-12,255.96,257.11,240.6,253.47,18664.0
2009-08-13,256.47,260.55,250.55,255.4,35482.0
2009-08-14,253.04,261.62,246.18,249.78,32871.0
2009-08-17,248.75,248.75,236.74,238.42,39132.0
2009-08-18,238.46,244.46,232.58,240.09,16586.0
2009-08-19,244.46,244.46,232.45,235.07,24214.0
2009-08-20,237.6,242.66,235.07,240.35,14393.0
2009-08-21,233.31,256.3,233.31,249.05,57370.0
2009-08-24,250.51,255.1,243.6,246.18,15129.0
2009-08-25,243.95,258.96,243.18,251.28,62352.0
2009-08-26,252.1,255.23,244.89,246.26,12304.0
2009-08-27,248.75,255.61,242.83,251.37,10434.0
2009-08-28,249.61,264.83,247.89,253.6,123111.0
2009-08-31,253.0,261.19,251.75,258.57,26911.0
2009-09-01,258.4,263.12,247.89,253.47,40349.0
2009-09-02,257.33,257.33,247.89,250.21,37318.0
2009-09-03,256.81,256.81,244.63,247.16,9542.0
2009-09-04,248.75,253.9,246.26,252.27,12643.0
2009-09-07,255.87,260.76,249.78,253.25,11751.0
2009-09-08,256.47,259.04,250.47,253.38,45580.0
2009-09-09,253.04,256.47,249.91,251.41,11070.0
2009-09-10,253.04,253.04,247.04,249.65,11576.0
2009-09-11,229.62,256.47,229.62,251.54,26612.0
2009-09-14,252.95,252.95,247.46,248.15,3425.0
2009-09-15,248.32,252.14,243.6,246.65,13956.0
2009-09-16,247.04,252.95,238.89,241.55,412721.0
2009-09-17,244.46,247.04,229.45,233.01,118685.0
2009-09-18,233.01,250.47,233.01,244.46,254408.0
2009-09-22,246.26,248.75,242.02,244.72,27720.0
2009-09-23,248.41,248.41,240.26,244.55,92663.0
2009-09-24,234.86,245.32,234.86,244.51,15768.0
2009-09-25,246.95,246.95,239.32,246.09,32746.0
2009-09-29,244.98,250.77,241.89,249.35,64116.0
2009-09-30,252.57,265.05,244.21,256.0,85291.0
2009-10-01,240.17,258.96,240.17,255.48,61354.0
2009-10-05,253.9,254.76,248.84,253.9,43089.0
2009-10-06,252.23,260.03,251.32,257.29,183433.0
2009-10-07,261.62,262.48,256.47,257.41,45085.0
2009-10-08,254.97,259.9,252.27,252.27,24542.0
2009-10-09,257.93,258.96,254.33,256.69,29332.0
2009-10-12,259.0,262.05,254.88,260.85,31288.0
2009-10-14,257.33,265.01,257.33,258.36,50047.0
2009-10-15,261.27,261.27,256.9,258.19,13625.0
2009-10-16,258.23,264.83,256.51,259.95,47363.0
2009-10-20,257.41,265.05,257.41,260.29,23426.0
2009-10-21,257.46,264.62,255.61,257.67,28989.0
2009-10-22,257.33,261.53,256.6,257.33,48071.0
2009-10-23,259.56,261.79,252.27,258.23,77951.0
2009-10-26,263.25,274.48,260.76,263.68,112296.0
2009-10-27,259.26,264.19,241.29,244.08,56857.0
2009-10-28,249.82,251.75,238.72,240.73,37270.0
2009-10-29,240.17,265.73,240.17,257.33,84497.0
2009-10-30,264.62,274.48,257.33,257.46,48018.0
2009-11-03,253.9,260.59,249.05,257.16,26605.0
2009-11-04,258.27,263.25,256.47,258.32,28852.0
2009-11-05,264.76,264.76,258.62,260.17,11716.0
2009-11-06,264.46,264.46,259.48,259.66,16943.0
2009-11-09,264.33,264.67,246.51,259.7,13744.0
2009-11-10,263.81,263.81,258.19,259.48,24058.0
2009-11-11,258.62,261.65,256.02,259.92,21642.0
2009-11-12,259.48,261.04,255.24,256.97,38100.0
2009-11-13,257.15,257.15,254.29,255.63,11388.0
2009-11-16,257.28,259.48,250.88,255.55,7424.0
2009-11-17,259.31,262.08,255.16,260.48,45339.0
2009-11-18,259.92,262.86,255.37,256.84,7448.0
2009-11-19,256.89,261.17,256.02,257.1,17948.0
2009-11-20,257.75,262.03,255.16,259.7,20363.0
2009-11-23,259.48,259.48,255.16,255.42,7968.0
2009-11-24,259.4,264.24,256.89,263.68,35257.0
2009-11-25,263.81,276.78,260.39,273.8,107536.0
2009-11-26,276.78,288.89,274.19,278.08,141301.0
2009-11-27,278.51,279.85,263.81,273.02,82809.0
2009-11-30,274.62,288.37,273.32,274.79,34099.0
2009-12-01,329.63,329.63,264.67,277.56,60326.0
2009-12-02,280.16,281.11,274.19,276.83,24650.0
2009-12-03,271.29,298.41,271.29,290.06,134468.0
2009-12-04,288.03,293.22,284.65,288.33,32228.0
2009-12-07,279.38,289.71,275.66,277.78,12626.0
2009-12-08,275.92,281.8,269.04,273.37,34840.0
2009-12-09,276.65,276.78,270.77,272.59,17364.0
2009-12-10,271.2,275.92,270.81,271.85,23376.0
2009-12-11,276.52,276.74,268.35,270.38,21844.0
2009-12-14,271.51,284.39,271.29,278.47,46933.0
2009-12-15,272.46,288.03,272.46,279.55,53722.0
2009-12-16,287.98,287.98,271.68,274.62,13593.0
2009-12-17,275.92,276.74,272.46,274.36,6134.0
2009-12-18,272.89,285.65,272.46,272.89,8812.0
2009-12-21,271.59,272.89,265.11,266.75,17286.0
2009-12-22,274.19,274.84,263.76,266.62,26277.0
2009-12-23,274.19,274.84,263.76,266.62,26277.0
2009-12-24,274.19,274.84,263.76,266.62,26277.0
2009-12-29,274.19,274.84,263.76,266.62,26277.0
2009-12-30,274.19,274.84,263.76,266.62,26277.0
2009-12-31,274.19,274.84,263.76,266.62,26277.0
2010-01-04,288.93,303.68,278.51,299.49,130473.0
2010-01-05,300.18,310.26,300.18,306.06,65368.0
2010-01-06,310.51,315.23,298.41,313.5,72683.0
2010-01-07,319.73,320.03,310.6,311.64,70242.0
2010-01-08,298.41,319.94,284.22,318.17,90063.0
2010-01-11,324.09,337.33,309.69,335.99,153541.0
2010-01-12,337.33,337.33,324.48,330.41,96509.0
2010-01-13,324.83,340.7,312.29,335.9,44264.0
2010-01-14,341.22,349.44,333.95,335.08,60680.0
2010-01-15,337.33,341.48,326.95,332.18,38731.0
2010-01-18,332.14,339.92,329.59,335.77,31057.0
2010-01-19,338.97,340.79,326.08,327.29,98633.0
2010-01-20,328.68,340.79,324.35,326.95,65648.0
2010-01-21,327.04,328.68,313.97,316.4,41190.0
2010-01-22,292.65,321.54,292.35,319.51,129107.0
2010-01-25,310.51,321.76,307.23,309.74,33246.0
2010-01-27,308.01,312.24,298.58,307.01,54662.0
2010-01-28,307.01,315.27,294.08,304.89,22637.0
2010-01-29,324.35,332.83,298.49,315.53,23460.0
2010-02-01,313.15,330.41,304.63,308.7,94032.0
2010-02-02,316.57,320.03,311.38,314.06,47987.0
2010-02-03,324.35,327.81,315.79,318.04,65784.0
2010-02-04,312.29,317.69,304.46,308.14,14809.0
2010-02-05,303.6,324.35,297.58,311.51,20458.0
2010-02-08,336.46,345.93,313.97,317.26,7709.0
2010-02-09,310.95,317.43,306.19,309.43,52048.0
2010-02-10,312.24,324.09,308.09,315.44,97315.0
2010-02-11,309.69,322.45,309.69,317.43,53494.0
2010-02-15,327.81,327.81,311.38,312.85,9167.0
2010-02-16,315.44,327.64,310.69,322.88,12067.0
2010-02-17,326.95,326.95,314.49,317.56,15657.0
2010-02-18,320.03,323.36,313.97,314.45,5243.0
2010-02-19,312.24,320.07,304.59,319.03,20981.0
2010-02-22,320.03,321.5,309.91,315.23,28645.0
2010-02-23,313.11,319.86,309.87,317.13,43192.0
2010-02-24,310.56,313.97,308.14,311.55,48404.0
2010-02-25,313.11,318.65,307.96,313.28,138817.0
2010-02-26,316.57,321.46,310.51,311.6,62994.0
2010-03-02,317.26,329.98,313.11,323.1,32873.0
2010-03-03,324.35,328.42,314.84,317.82,76457.0
2010-03-04,322.58,324.35,314.19,316.74,142814.0
2010-03-05,320.03,329.54,318.3,320.68,144946.0
2010-03-08,323.88,327.64,319.16,319.94,33684.0
2010-03-09,321.76,325.22,315.92,321.2,120637.0
2010-03-10,320.03,324.35,311.94,319.77,32506.0
2010-03-11,321.98,322.62,314.93,319.38,25186.0
2010-03-12,321.72,322.54,312.37,317.09,66950.0
