,open,high,low,close,volume
2009-05-20,2838.08,3061.76,2838.08,3024.43,3334.0
2009-05-21,3047.02,3236.58,3047.02,3124.46,53576.0
2009-05-22,3212.96,3212.96,3118.46,3134.0,809.0
2009-05-25,3137.36,3232.8,3137.36,3193.96,4752.0
2009-05-26,3212.96,3246.03,3014.51,3061.24,2147.0
2009-05-27,3165.71,3278.16,3072.2,3117.14,25158.0
2009-05-28,3203.51,3203.51,3094.93,3110.99,1279.0
2009-05-29,3080.66,3211.78,3080.66,3176.06,2076.0
2009-06-01,3189.33,3222.36,3080.66,3100.88,7135.0
2009-06-02,3140.19,3203.51,3047.58,3061.99,3016.0
2009-06-03,3071.21,3116.57,3063.74,3097.05,1213.0
2009-06-04,3116.57,3307.36,3075.93,3270.18,4802.0
2009-06-05,3359.43,3383.05,3261.25,3278.63,4706.0
2009-06-08,3167.69,3401.01,3167.69,3196.18,7142.0
2009-06-09,3255.48,3255.48,3099.56,3137.55,7441.0
2009-06-10,3156.26,3334.86,3156.26,3262.8,3095.0
2009-06-11,3298.0,3331.08,3203.51,3265.36,1725.0
2009-06-12,3279.11,3291.39,3212.96,3236.53,1719.0
2009-06-15,3236.53,3250.76,3165.71,3188.91,1198.0
2009-06-16,3170.43,3183.66,3118.46,3141.52,468.0
2009-06-17,3175.06,3257.32,3037.57,3050.37,2088.0
2009-06-18,3046.64,3046.64,2929.46,2931.26,4058.0
2009-06-19,2990.88,2990.88,2929.46,2931.68,3662.0
2009-06-22,2976.71,3017.34,2939.9,2957.67,7708.0
2009-06-23,2929.46,3052.31,2929.46,3029.49,2520.0
2009-06-24,3041.91,3071.11,2975.76,3013.94,1058.0
2009-06-25,3065.54,3065.54,2977.65,3021.17,2050.0
2009-06-26,3052.31,3052.31,2978.69,3011.72,796.0
2009-06-29,3052.31,3071.21,3024.9,3034.73,1894.0
2009-06-30,3068.37,3149.93,3025.85,3037.47,1520.0
2009-07-01,3052.31,3052.31,3005.06,3031.94,2759.0
2009-07-02,3066.44,3066.48,3023.96,3037.43,1593.0
2009-07-03,3032.46,3059.87,3024.2,3053.77,550.0
2009-07-06,3004.11,3117.47,2938.96,2962.3,1240.0
2009-07-07,2963.53,3019.19,2963.53,2999.44,1742.0
2009-07-08,2950.58,3000.33,2950.58,2979.21,827.0
2009-07-09,3049.95,3049.95,2972.46,3020.13,1005.0
2009-07-10,3024.01,3126.02,3023.96,3117.89,3782.0
2009-07-13,3096.72,3156.26,3057.03,3120.21,1686.0
2009-07-14,3120.21,3165.66,3094.88,3144.07,1217.0
2009-07-15,3165.71,3236.58,3128.85,3217.16,2798.0
2009-07-16,3237.57,3265.88,3203.51,3224.11,1506.0
2009-07-17,3231.95,3274.38,3226.99,3234.79,2025.0
2009-07-20,3222.41,3250.76,3212.96,3225.38,339.0
2009-07-21,3119.4,3241.31,3119.4,3225.0,3522.0
2009-07-22,3227.18,3292.34,3213.95,3218.53,961.0
2009-07-23,3224.01,3316.9,3215.79,3278.77,2346.0
2009-07-24,3359.95,3401.01,3264.93,3359.05,11215.0
2009-07-27,3378.33,3378.33,3242.25,3347.19,1217.0
2009-07-28,3260.21,3487.0,3247.02,3474.34,2764.0
2009-07-29,3487.0,3581.5,3368.88,3524.33,2357.0
2009-07-30,3515.35,3632.53,3498.39,3584.86,1971.0
2009-07-31,3674.06,3718.52,3605.13,3695.99,2765.0
2009-08-03,3761.0,3775.22,3676.0,3702.51,1986.0
2009-08-04,3732.61,3764.73,3638.2,3638.2,1247.0
2009-08-05,3760.1,3775.22,3622.84,3685.59,2830.0
2009-08-06,3642.97,3704.3,3639.24,3657.1,3217.0
2009-08-07,3661.83,3682.62,3591.9,3654.74,4626.0
2009-08-10,3629.93,3638.2,3574.89,3609.57,2674.0
2009-08-11,3595.68,3619.3,3591.19,3607.44,3329.0
2009-08-12,3573.42,3636.31,3573.42,3622.32,1521.0
2009-08-13,3598.51,3702.46,3598.51,3685.92,2065.0
2009-08-14,3693.96,3709.08,3685.5,3695.85,979.0
2009-08-17,3591.94,3694.9,3591.94,3678.65,465.0
2009-08-18,3540.58,3690.18,3540.58,3675.06,675.0
2009-08-19,3676.0,3709.07,3642.93,3683.28,2207.0
2009-08-20,3704.35,3704.35,3654.83,3670.43,295.0
2009-08-21,3668.44,3693.77,3668.44,3686.54,851.0
2009-08-24,3685.45,3865.0,3668.44,3794.31,3091.0
2009-08-25,3754.91,3817.7,3733.64,3753.73,812.0
2009-08-26,3779.9,3779.9,3711.44,3760.29,554.0
2009-08-27,3770.5,3787.51,3754.06,3774.99,1809.0
2009-08-28,3788.45,3788.45,3752.54,3754.43,746.0
2009-08-31,3761.05,3778.91,3742.15,3747.63,506.0
2009-09-01,3751.6,3803.57,3737.47,3783.54,2385.0
2009-09-02,3779.95,3779.95,3747.11,3759.16,304.0
2009-09-03,3686.68,3779.95,3686.68,3773.29,497.0
2009-09-04,3754.48,3779.95,3734.59,3767.24,649.0
2009-09-07,3761.24,3803.57,3754.06,3796.25,716.0
2009-09-08,3797.9,3854.6,3754.06,3795.64,2424.0
2009-09-09,3869.72,3869.72,3694.99,3759.4,2189.0
2009-09-10,3863.11,3863.11,3733.64,3764.07,1319.0
2009-09-11,3821.53,4157.75,3754.06,4024.79,35438.0
2009-09-14,4055.89,4063.45,3936.34,3962.05,5577.0
2009-09-15,3941.54,4016.2,3874.45,3893.63,3983.0
2009-09-16,3964.22,3964.22,3836.65,3876.53,3457.0
2009-09-17,3874.45,3874.45,3790.34,3796.86,2397.0
2009-09-18,3827.15,3865.0,3798.85,3821.67,1348.0
2009-09-22,3950.05,3950.05,3828.66,3922.64,2149.0
2009-09-23,3931.15,3934.83,3874.45,3879.17,1479.0
2009-09-24,3840.43,3874.45,3761.05,3792.9,5190.0
2009-09-25,3907.52,3907.52,3761.99,3819.02,4006.0
2009-09-29,3874.45,4054.0,3799.84,3960.06,10202.0
2009-09-30,3882.01,3968.95,3882.01,3911.07,1091.0
2009-10-01,3871.61,3945.13,3855.55,3906.53,2400.0
2009-10-05,3912.25,3935.49,3856.49,3897.65,2330.0
2009-10-06,3921.7,3958.08,3831.97,3898.73,3572.0
2009-10-07,4013.36,4013.36,3754.06,3893.63,3152.0
2009-10-08,3958.55,3958.55,3829.09,3874.78,2798.0
2009-10-09,3813.02,3945.27,3813.02,3869.68,2709.0
2009-10-12,3959.5,3959.5,3848.93,3887.3,890.0
2009-10-14,3949.05,3954.63,3874.45,3897.17,3139.0
2009-10-15,3920.75,3950.05,3856.49,3876.43,1673.0
2009-10-16,3874.45,3969.09,3874.45,3931.1,9958.0
2009-10-20,3986.9,4190.97,3939.75,4107.1,11635.0
2009-10-21,4096.52,4155.11,3992.57,4008.35,2225.0
