,open,high,low,close,volume
2009-05-20,24.8,26.27,24.57,25.09,5765316.0
2009-05-21,24.93,28.04,24.87,27.59,17142504.0
2009-05-22,27.87,28.27,26.37,27.75,9995766.0
2009-05-25,26.71,29.39,26.71,28.85,11063478.0
2009-05-26,29.15,29.69,27.43,27.63,8163972.0
2009-05-27,27.91,28.8,27.49,28.44,4640586.0
2009-05-28,28.43,28.83,27.34,27.8,7217136.0
2009-05-29,27.78,32.02,27.35,28.82,36689016.0
2009-06-01,29.46,30.21,28.84,29.25,11236584.0
2009-06-02,29.27,29.76,27.91,29.21,7525428.0
2009-06-03,29.52,30.26,28.15,28.55,8280330.0
2009-06-04,28.53,29.27,28.22,28.56,6740160.0
2009-06-05,28.65,29.94,28.18,29.28,9777042.0
2009-06-08,30.05,30.51,27.91,28.73,7718190.0
2009-06-09,28.22,28.4,26.36,27.8,14102964.0
2009-06-10,28.83,28.83,26.76,27.77,10025916.0
2009-06-11,28.45,28.45,26.02,26.4,8352918.0
2009-06-12,26.85,27.21,25.69,25.84,5670474.0
2009-06-15,25.74,27.03,25.56,26.59,6242850.0
2009-06-16,26.89,28.03,26.44,27.78,5428302.0
2009-06-17,27.6,27.72,26.38,27.05,3439644.0
2009-06-18,26.92,27.91,25.3,26.4,5612808.0
2009-06-19,30.06,30.06,25.92,26.22,3475602.0
2009-06-22,26.36,27.04,25.56,26.05,4442640.0
2009-06-23,25.98,26.65,25.86,26.25,3405090.0
2009-06-24,26.36,26.7,26.05,26.57,2008152.0
2009-06-25,26.88,26.88,25.61,25.75,9079110.0
2009-06-26,25.92,26.29,25.47,26.13,2609982.0
2009-06-29,26.34,27.03,26.31,26.46,3230634.0
2009-06-30,26.52,27.03,26.17,26.67,4071540.0
2009-07-01,25.79,28.65,25.79,28.23,5906874.0
2009-07-02,28.56,29.33,27.91,28.18,9095244.0
2009-07-03,28.08,28.82,28.08,28.52,4914276.0
2009-07-06,28.53,29.0,27.17,27.6,5578128.0
2009-07-07,27.53,28.34,27.48,27.62,2554056.0
2009-07-08,27.45,29.39,27.29,28.85,4922778.0
2009-07-09,29.15,29.53,28.84,29.3,4737612.0
2009-07-10,29.59,29.77,27.11,28.05,3339150.0
2009-07-13,26.53,28.43,26.53,27.69,1922616.0
2009-07-14,27.6,28.22,26.8,27.97,3028770.0
2009-07-15,28.03,29.0,27.57,28.63,2241840.0
2009-07-16,29.06,29.06,28.15,28.48,1421664.0
2009-07-17,28.53,28.74,27.79,28.49,2276994.0
2009-07-20,28.28,28.77,27.64,28.29,3311358.0
2009-07-21,28.15,28.26,27.81,27.91,3638316.0
2009-07-22,28.09,28.09,26.99,27.33,7023438.0
2009-07-23,27.84,28.33,27.26,28.01,4880364.0
2009-07-24,27.91,28.27,27.62,28.06,1671186.0
2009-07-27,27.91,28.17,27.47,28.02,1922712.0
2009-07-28,28.84,28.99,28.02,28.66,2973408.0
2009-07-29,29.08,29.27,28.07,29.08,4353006.0
2009-07-30,29.27,30.94,29.27,30.2,7742226.0
2009-07-31,30.63,30.63,29.16,29.39,6125328.0
2009-08-03,29.49,29.64,28.53,28.81,3553548.0
2009-08-04,28.84,31.42,28.25,30.26,8550660.0
2009-08-05,30.63,31.44,30.14,31.07,8215500.0
2009-08-06,30.88,32.46,30.88,31.5,8426226.0
2009-08-07,31.29,33.05,30.26,32.38,6216468.0
2009-08-10,33.18,33.76,30.39,30.86,5073558.0
2009-08-11,30.75,31.5,29.78,30.73,2388168.0
2009-08-12,30.69,32.12,30.55,31.67,4878534.0
2009-08-13,31.75,32.02,31.23,31.76,2572956.0
2009-08-14,32.0,32.8,31.76,32.4,5558718.0
2009-08-17,32.37,33.16,30.83,31.39,5051100.0
2009-08-18,31.38,32.54,31.21,32.2,2678010.0
2009-08-19,32.1,32.4,31.45,32.15,3681762.0
2009-08-20,32.12,32.49,31.56,32.01,2193912.0
2009-08-21,32.06,33.11,31.5,32.9,2864778.0
2009-08-24,33.18,33.18,31.91,32.12,3008028.0
2009-08-25,31.94,32.31,30.94,31.18,4683576.0
2009-08-26,33.95,34.47,33.65,33.91,3683052.0
2009-08-27,34.17,34.29,33.16,33.42,5193090.0
2009-08-28,32.75,34.02,32.75,33.39,3408432.0
2009-08-31,33.0,34.54,32.48,34.35,3203124.0
2009-09-01,34.84,35.36,34.31,34.69,3573132.0
2009-09-02,34.82,37.21,34.82,36.58,7677216.0
2009-09-03,36.54,38.01,36.54,37.52,8684004.0
2009-09-04,38.5,38.84,37.09,37.82,4005264.0
2009-09-07,39.11,40.68,38.03,40.31,11176488.0
2009-09-08,40.45,40.45,38.91,39.81,4752060.0
2009-09-09,39.58,39.58,37.72,38.06,5707914.0
2009-09-10,38.06,39.16,38.06,38.9,3832824.0
2009-09-11,38.91,39.2,37.15,37.86,5026302.0
2009-09-14,38.25,38.89,38.1,38.36,5348646.0
2009-09-15,38.64,39.5,38.24,38.58,4505994.0
2009-09-16,38.91,39.62,37.71,38.14,3978804.0
2009-09-17,38.23,38.4,35.87,36.27,8330076.0
2009-09-18,36.2,37.21,36.06,36.79,5726370.0
2009-09-22,37.21,38.19,37.09,37.93,3992916.0
2009-09-23,37.89,38.23,37.42,37.65,2124132.0
2009-09-24,37.76,39.04,37.65,38.82,5389662.0
2009-09-25,39.24,40.23,39.05,39.33,2891652.0
2009-09-29,39.85,39.85,38.27,38.43,2322960.0
2009-09-30,38.75,39.49,37.84,38.84,3799884.0
2009-10-01,38.6,38.64,37.39,37.68,4103976.0
2009-10-05,37.55,38.3,37.49,38.11,1502220.0
2009-10-06,38.23,38.55,37.22,37.44,8114568.0
2009-10-07,38.84,38.84,37.22,37.48,1513860.0
2009-10-08,37.55,38.97,37.52,38.4,2890812.0
2009-10-09,38.16,38.4,37.64,38.1,2620722.0
2009-10-12,37.91,38.4,37.56,38.26,1696518.0
2009-10-14,38.16,38.16,36.78,36.97,4783794.0
2009-10-15,36.54,37.21,36.0,36.39,4105182.0
2009-10-16,35.52,36.2,35.29,35.55,3908862.0
2009-10-20,35.33,35.99,34.59,35.72,4754916.0
2009-10-21,35.93,36.43,34.95,35.34,3663072.0
2009-10-22,34.84,35.76,34.24,35.31,3606522.0
2009-10-23,35.25,36.07,34.91,35.12,2775666.0
2009-10-26,35.79,35.79,34.78,34.9,2057562.0
2009-10-27,34.91,35.32,33.91,34.7,4008540.0
2009-10-28,34.7,34.98,33.31,33.55,1584930.0
2009-10-29,33.16,34.91,32.6,34.2,3836538.0
2009-10-30,33.84,34.84,33.65,34.61,4109154.0
2009-11-03,34.44,35.31,33.88,34.14,2712534.0
2009-11-04,33.9,34.34,33.83,34.15,818682.0
2009-11-05,34.43,34.44,33.66,34.17,1435314.0
2009-11-06,34.51,34.9,34.08,34.53,1109694.0
2009-11-09,34.78,35.18,34.32,35.07,1926312.0
2009-11-10,35.25,36.19,34.74,35.68,3739992.0
2009-11-11,36.0,36.63,34.83,35.06,4208568.0
2009-11-12,35.24,35.24,34.42,34.78,2218974.0
2009-11-13,35.32,35.59,34.58,35.34,5353032.0
2009-11-16,35.56,35.86,35.0,35.39,1963494.0
2009-11-17,35.73,35.86,34.65,35.17,2399586.0
2009-11-18,35.11,35.19,34.51,34.84,4300092.0
2009-11-19,34.52,35.05,34.18,34.37,3374082.0
2009-11-20,34.64,35.35,34.36,35.24,1848312.0
2009-11-23,35.24,35.96,34.98,35.67,2216394.0
2009-11-24,36.46,36.7,35.76,36.54,3429990.0
2009-11-25,36.67,39.49,36.67,39.03,8733318.0
2009-11-26,39.24,39.24,38.37,38.66,5766336.0
2009-11-27,38.64,40.1,38.05,39.36,4920708.0
2009-11-30,39.11,40.34,39.11,39.93,6923376.0
2009-12-01,40.11,41.75,39.34,40.98,5974290.0
2009-12-02,41.07,41.07,39.82,40.23,6240744.0
2009-12-03,40.94,41.26,39.93,40.82,3198486.0
2009-12-04,40.93,42.66,40.9,41.79,6849696.0
2009-12-07,42.02,42.36,41.56,42.19,3389244.0
2009-12-08,42.42,43.37,42.28,43.17,4646136.0
2009-12-09,43.1,43.68,42.64,42.97,3409674.0
2009-12-10,43.17,43.63,42.39,42.9,2378604.0
2009-12-11,43.15,43.28,41.94,42.11,2819712.0
2009-12-14,42.02,42.86,41.7,41.99,2102052.0
2009-12-15,41.75,42.18,41.36,41.64,2548554.0
2009-12-16,41.61,41.88,40.83,41.24,1351008.0
2009-12-17,41.34,41.34,40.27,40.52,2739750.0
2009-12-18,40.26,40.79,39.92,40.29,1403694.0
2009-12-21,40.23,40.46,39.72,40.17,2560584.0
2009-12-22,40.4,41.55,40.11,41.15,1694730.0
2009-12-23,40.4,41.55,40.11,41.15,1694730.0
2009-12-24,40.4,41.55,40.11,41.15,1694730.0
2009-12-29,40.4,41.55,40.11,41.15,1694730.0
2009-12-30,40.4,41.55,40.11,41.15,1694730.0
2009-12-31,40.4,41.55,40.11,41.15,1694730.0
2010-01-04,43.0,44.5,42.76,44.03,4287246.0
2010-01-05,44.42,44.42,43.25,43.37,4828872.0
2010-01-06,43.44,43.87,42.5,42.72,5829396.0
2010-01-07,42.7,43.13,41.55,41.89,5536752.0
2010-01-08,41.88,43.03,41.88,42.6,3432888.0
2010-01-11,42.83,43.44,42.26,42.49,2999610.0
2010-01-12,42.53,43.23,42.06,42.46,4301226.0
2010-01-13,42.76,43.47,42.05,42.61,4819704.0
2010-01-14,43.03,43.16,42.16,42.34,5551356.0
2010-01-15,42.44,42.8,41.61,41.77,2885670.0
2010-01-18,42.52,42.52,41.64,41.84,1332720.0
2010-01-19,41.85,42.59,40.8,40.98,2699136.0
2010-01-20,40.94,41.41,38.93,39.08,5997810.0
2010-01-21,39.56,39.7,38.32,38.79,2744100.0
2010-01-22,37.89,38.9,36.81,38.69,2797518.0
2010-01-25,38.91,38.91,37.64,38.55,1261008.0
2010-01-27,38.21,38.37,37.0,37.52,2774964.0
2010-01-28,38.23,38.35,36.08,36.69,5295318.0
2010-01-29,36.54,37.08,35.66,36.6,3921006.0
2010-02-01,37.07,39.92,36.86,39.52,5537280.0
2010-02-02,39.77,40.08,37.47,38.27,6432054.0
2010-02-03,38.57,39.56,38.03,39.25,3585012.0
2010-02-04,39.66,40.59,39.11,39.45,7386228.0
2010-02-05,39.24,39.45,37.96,38.44,3577776.0
2010-02-08,39.52,39.62,37.9,38.78,2528280.0
2010-02-09,38.39,38.89,37.73,37.93,2120298.0
2010-02-10,38.13,39.21,37.92,38.75,4267194.0
2010-02-11,39.24,39.57,37.98,38.31,4800150.0
2010-02-15,38.23,38.35,37.35,37.73,1965420.0
2010-02-16,37.89,38.84,37.62,38.56,1417446.0
2010-02-17,38.85,38.9,38.05,38.17,2153418.0
2010-02-18,38.5,41.48,37.96,40.0,13337526.0
2010-02-19,39.24,40.66,38.92,39.45,5365896.0
2010-02-22,39.58,40.38,39.0,40.07,4283880.0
2010-02-23,39.85,40.6,39.11,39.19,5080734.0
2010-02-24,38.91,39.72,38.91,39.38,1961076.0
2010-02-25,39.38,39.58,38.03,38.36,5733114.0
2010-02-26,38.73,40.32,37.78,38.16,9383334.0
2010-03-02,38.64,38.64,36.44,36.6,5742396.0
2010-03-03,36.67,37.2,36.4,36.67,2789838.0
2010-03-04,36.61,36.81,36.04,36.19,5375784.0
2010-03-05,36.32,36.71,36.32,36.56,4533558.0
2010-03-08,36.74,37.34,36.27,36.67,3392796.0
2010-03-09,36.94,37.18,36.2,36.3,4935318.0
2010-03-10,36.34,36.81,36.28,36.35,3144120.0
2010-03-11,36.27,36.46,35.53,35.87,3544668.0
2010-03-12,36.27,36.27,35.39,35.64,2596452.0
2010-03-15,36.34,36.47,35.2,35.74,2337504.0
2010-03-16,35.86,37.01,35.79,36.89,3189732.0
2010-03-17,37.01,37.13,36.29,36.4,2990928.0
2010-03-18,35.52,36.73,35.36,35.64,2942634.0
2010-03-19,35.86,35.93,35.19,35.36,3409062.0
2010-03-22,34.91,35.84,34.85,35.02,3520938.0
2010-03-23,35.84,36.2,34.41,34.62,6258594.0
2010-03-25,34.98,34.98,33.98,34.18,6884730.0
2010-03-26,34.18,34.83,34.05,34.52,4744176.0
2010-03-29,35.19,35.94,34.46,35.65,5502078.0
2010-03-30,35.86,36.02,35.26,35.33,2482128.0
2010-03-31,35.59,35.59,34.54,35.05,2409612.0
2010-04-01,35.08,35.17,34.58,34.63,1165464.0
2010-04-05,34.71,34.85,34.24,34.41,4170486.0
2010-04-06,34.41,35.04,34.24,34.3,5442744.0
2010-04-07,33.9,35.04,33.9,34.2,2237664.0
2010-04-08,34.41,34.74,33.97,34.43,3743604.0
2010-04-09,34.64,34.64,34.18,34.23,2076030.0
2010-04-12,34.31,34.58,33.37,33.87,5032170.0
2010-04-13,34.12,34.43,33.85,34.36,2950170.0
2010-04-15,34.36,34.57,34.05,34.38,5057640.0
2010-04-16,34.37,34.54,33.63,33.8,2234502.0
2010-04-19,33.49,34.37,33.49,33.78,2068332.0
