,open,high,low,close,volume
2009-05-20,38.37,39.8,36.32,39.8,144732.0
2009-05-21,43.79,43.79,38.63,39.93,351600.0
2009-05-22,40.42,42.92,38.4,40.08,143991.0
2009-05-25,40.54,44.1,40.42,43.92,166168.0
2009-05-26,45.99,48.04,39.55,40.26,274095.0
2009-05-27,43.74,43.74,40.57,42.1,177308.0
2009-05-28,43.49,46.32,41.08,46.32,613724.0
2009-05-29,48.24,50.98,46.45,50.98,510714.0
2009-06-01,53.05,53.54,51.16,53.54,386814.0
2009-06-02,55.15,55.25,50.88,50.88,144326.0
2009-06-03,51.42,52.57,48.35,48.35,182550.0
2009-06-04,46.61,47.58,45.94,46.61,719853.0
2009-06-05,47.78,48.96,47.4,47.73,266841.0
2009-06-08,48.09,48.4,45.35,45.35,80272.0
2009-06-09,44.0,46.07,43.1,45.76,208298.0
2009-06-10,46.04,47.99,44.64,44.99,153422.0
2009-06-11,44.71,45.97,42.97,43.61,120939.0
2009-06-12,44.25,44.87,42.92,43.54,178078.0
2009-06-15,42.97,43.74,42.0,42.77,53204.0
2009-06-16,42.16,44.92,41.13,44.87,78406.0
2009-06-17,45.02,46.48,42.64,42.79,75849.0
2009-06-18,41.69,42.77,40.67,40.67,58071.0
2009-06-19,41.9,41.9,38.65,39.67,86331.0
2009-06-22,40.42,40.83,38.37,38.75,30678.0
2009-06-23,37.86,38.57,36.86,37.88,63746.0
2009-06-24,38.29,39.14,37.35,38.52,44044.0
2009-06-25,38.63,40.39,37.99,38.47,50871.0
2009-06-26,38.93,39.32,37.65,39.09,43371.0
2009-06-29,39.9,40.83,38.75,38.98,140492.0
2009-06-30,39.9,39.9,37.12,37.32,80954.0
2009-07-01,37.35,37.73,36.2,36.99,40244.0
2009-07-02,36.14,38.78,36.14,38.68,130587.0
2009-07-03,38.37,40.62,37.86,40.62,109418.0
2009-07-06,40.67,42.67,40.67,42.46,256132.0
2009-07-07,42.62,43.33,41.0,42.51,480420.0
2009-07-08,41.69,41.69,37.86,39.88,52374.0
2009-07-09,38.42,41.69,38.37,39.93,80775.0
2009-07-10,40.36,40.93,37.35,37.93,89284.0
2009-07-13,37.32,37.32,34.1,36.04,55905.0
2009-07-14,37.27,38.37,36.53,38.11,56854.0
2009-07-15,37.86,39.44,37.86,38.68,143496.0
2009-07-16,39.26,40.16,35.91,37.32,170354.0
2009-07-17,38.32,38.52,36.32,37.73,146853.0
2009-07-20,39.62,39.65,37.86,39.09,159891.0
2009-07-21,38.93,40.29,37.65,38.06,211066.0
2009-07-22,39.32,44.04,39.32,40.92,237796.0
2009-07-23,41.42,42.99,41.16,42.62,88552.0
2009-07-24,43.46,47.21,42.62,45.43,233211.0
2009-07-27,46.4,49.28,45.61,47.81,230680.0
2009-07-28,48.76,51.14,47.71,48.57,119442.0
2009-07-29,47.19,48.71,44.14,46.92,114394.0
2009-07-30,47.24,48.73,46.14,47.63,49326.0
2009-07-31,48.23,49.49,45.61,46.08,69208.0
2009-08-03,45.82,48.97,45.09,47.87,81244.0
2009-08-04,48.23,48.76,45.95,46.4,111548.0
2009-08-05,46.4,47.6,46.16,46.63,48392.0
2009-08-06,46.19,48.94,45.66,46.37,137244.0
2009-08-07,45.38,46.92,44.46,44.85,98930.0
2009-08-10,46.11,46.14,42.73,43.75,56346.0
2009-08-11,42.75,43.78,41.89,42.26,108114.0
2009-08-12,41.92,42.47,41.16,42.13,48946.0
2009-08-13,43.1,50.57,42.34,50.38,1077906.0
2009-08-14,51.9,54.71,48.55,49.28,2434593.0
2009-08-17,47.97,52.22,47.71,48.99,1761970.0
2009-08-18,49.7,54.21,49.15,53.61,2121468.0
2009-08-19,54.16,58.14,53.5,56.41,2947298.0
2009-08-20,57.41,57.51,54.18,54.81,699520.0
2009-08-21,54.58,58.19,54.39,55.81,1099491.0
2009-08-24,56.99,66.98,56.62,66.98,2796822.0
2009-08-25,69.2,72.82,66.37,67.84,2999894.0
2009-08-26,69.15,71.49,67.84,69.15,1045306.0
2009-08-27,69.2,73.4,68.63,69.13,1248172.0
2009-08-28,69.73,70.78,66.27,68.18,626906.0
2009-08-31,67.11,69.05,65.67,66.43,527790.0
2009-09-01,68.0,68.37,60.29,61.16,500535.0
2009-09-02,59.77,68.52,58.98,65.19,2901136.0
2009-09-03,65.9,67.58,62.13,62.76,1012120.0
2009-09-04,63.86,66.56,62.23,63.73,610270.0
2009-09-07,64.3,66.53,63.96,65.27,530802.0
2009-09-08,65.48,66.29,61.86,62.76,386008.0
2009-09-09,63.36,64.72,61.86,62.34,354000.0
2009-09-10,63.96,65.48,60.82,61.42,609633.0
2009-09-11,62.07,62.78,59.77,60.13,302414.0
2009-09-14,60.71,61.58,58.75,60.08,286178.0
2009-09-15,60.55,65.69,60.55,63.52,1389880.0
2009-09-16,64.22,65.35,63.02,63.96,498410.0
2009-09-17,64.22,64.75,61.6,62.44,231652.0
2009-09-18,62.44,64.17,61.92,63.23,282050.0
2009-09-22,63.44,65.64,62.7,63.57,576872.0
2009-09-23,64.12,66.53,62.28,63.78,744513.0
2009-09-24,63.02,64.96,62.18,63.1,231214.0
2009-09-25,62.81,64.91,62.39,62.89,304052.0
2009-09-29,63.75,65.22,62.81,63.1,271354.0
2009-09-30,63.18,69.36,63.18,68.37,2895408.0
2009-10-01,68.97,72.98,66.22,67.11,4968342.0
2009-10-05,65.59,67.63,63.96,64.85,557946.0
2009-10-06,65.48,65.48,62.13,63.39,393046.0
2009-10-07,63.94,65.77,62.28,62.52,431416.0
2009-10-08,63.28,63.96,61.45,62.21,287414.0
2009-10-09,62.39,63.7,60.82,61.16,247110.0
2009-10-12,61.79,62.02,60.42,60.97,242592.0
2009-10-14,61.39,63.96,61.34,61.92,348298.0
2009-10-15,62.36,63.57,62.23,62.78,326763.0
2009-10-16,62.91,64.83,62.55,63.59,365620.0
2009-10-20,64.49,69.47,64.49,68.29,1233825.0
2009-10-21,68.47,75.23,66.69,72.43,3030471.0
2009-10-22,72.72,75.39,69.26,70.73,1856211.0
2009-10-23,71.3,76.39,71.3,72.98,2549650.0
2009-10-26,74.34,74.6,70.31,71.83,973978.0
2009-10-27,71.77,71.77,62.94,64.43,681832.0
2009-10-28,63.96,66.58,58.69,66.01,943714.0
2009-10-29,61.86,63.44,58.82,61.86,887328.0
2009-10-30,63.39,64.8,60.29,60.66,328023.0
2009-11-03,61.1,62.36,55.73,56.62,260424.0
2009-11-04,58.19,59.77,56.31,57.07,283746.0
2009-11-05,57.15,59.69,56.62,58.77,386158.0
2009-11-06,60.24,65.3,59.53,64.04,660387.0
2009-11-09,64.49,66.85,62.94,65.9,448946.0
2009-11-10,68.1,78.62,67.63,71.01,1246540.0
2009-11-11,71.35,73.35,66.58,71.98,773240.0
2009-11-12,72.43,73.92,70.02,71.2,477957.0
2009-11-13,71.2,72.87,69.47,71.14,308020.0
2009-11-16,71.77,72.82,70.25,70.57,138994.0
2009-11-17,71.01,73.66,69.7,70.88,626763.0
2009-11-18,71.25,72.82,70.31,72.04,236532.0
2009-11-19,72.27,75.18,70.88,72.06,914982.0
2009-11-20,71.72,72.56,69.78,71.88,196640.0
2009-11-23,72.35,73.66,70.83,71.17,215344.0
2009-11-24,71.75,72.77,70.28,70.67,103766.0
2009-11-25,70.88,73.32,70.83,71.56,417042.0
2009-11-26,71.56,72.09,68.5,69.78,171090.0
2009-11-27,68.1,74.16,64.07,72.46,423330.0
2009-11-30,73.4,73.92,69.91,70.44,173544.0
2009-12-01,71.83,73.29,70.78,72.22,232548.0
2009-12-02,72.95,75.36,71.46,71.77,616498.0
2009-12-03,72.35,74.26,72.35,72.61,258004.0
2009-12-04,72.11,77.51,71.83,74.4,1627528.0
2009-12-07,74.97,74.97,68.68,69.6,676292.0
2009-12-08,69.73,72.09,68.94,69.73,717022.0
2009-12-09,68.68,71.43,68.68,69.57,405404.0
2009-12-10,69.62,70.52,69.23,69.49,129198.0
2009-12-11,69.76,71.56,68.89,69.2,199666.0
2009-12-14,68.68,70.07,67.68,67.95,219710.0
2009-12-15,66.71,68.89,66.16,66.53,123994.0
2009-12-16,67.11,68.65,65.59,67.13,237126.0
2009-12-17,68.05,68.37,66.53,66.79,82443.0
2009-12-18,66.61,68.08,65.64,66.16,86326.0
2009-12-21,66.01,66.74,63.75,65.59,69818.0
2009-12-22,65.53,67.32,65.53,66.45,63098.0
2009-12-23,65.53,67.32,65.53,66.45,63098.0
2009-12-24,65.53,67.32,65.53,66.45,63098.0
2009-12-29,65.53,67.32,65.53,66.45,63098.0
2009-12-30,65.53,67.32,65.53,66.45,63098.0
2009-12-31,65.53,67.32,65.53,66.45,63098.0
2010-01-04,69.65,70.73,68.44,68.81,148140.0
2010-01-05,69.7,70.65,68.18,68.37,107385.0
2010-01-06,68.68,69.94,67.89,68.34,191571.0
2010-01-07,68.58,72.98,68.08,69.83,910746.0
2010-01-08,70.25,73.35,69.91,71.54,952386.0
2010-01-11,72.35,76.54,72.35,75.26,1330437.0
2010-01-12,75.5,75.97,71.35,73.19,681148.0
2010-01-13,71.62,75.44,71.62,74.79,442268.0
2010-01-14,75.6,80.21,73.95,79.09,1810754.0
2010-01-15,80.06,94.89,78.38,90.75,5002478.0
2010-01-18,91.17,98.04,85.75,87.19,3142466.0
2010-01-19,87.53,89.52,83.12,83.81,1247818.0
2010-01-20,84.41,85.93,81.26,82.23,603480.0
2010-01-21,80.84,82.81,77.59,78.43,460586.0
2010-01-22,76.54,83.26,74.45,80.16,1120491.0
2010-01-25,78.27,81.97,77.15,78.35,383654.0
2010-01-27,78.48,79.17,72.48,73.29,230066.0
2010-01-28,75.5,76.02,73.4,73.66,190286.0
2010-01-29,72.35,77.33,70.78,76.41,293181.0
2010-02-01,76.28,80.08,74.5,78.01,262060.0
2010-02-02,79.53,83.75,78.38,81.21,692682.0
2010-02-03,82.84,83.88,78.64,80.74,352358.0
2010-02-04,81.79,81.79,76.1,76.68,129728.0
2010-02-05,74.45,75.65,72.35,73.45,301072.0
2010-02-08,74.19,76.81,73.4,74.05,148880.0
2010-02-09,74.29,75.5,73.53,74.08,80176.0
2010-02-10,74.97,78.01,73.4,75.18,352828.0
2010-02-11,76.02,77.12,73.98,74.34,181113.0
2010-02-15,74.95,79.11,74.5,76.52,555856.0
2010-02-16,77.07,77.86,74.5,75.84,173834.0
2010-02-17,77.04,77.78,74.19,74.68,197370.0
2010-02-18,74.29,76.02,74.29,74.5,118034.0
2010-02-19,73.92,74.45,73.19,74.03,143787.0
2010-02-22,75.94,75.94,72.4,73.11,111873.0
2010-02-23,72.87,74.4,71.98,72.43,128028.0
2010-02-24,72.35,72.56,70.78,71.12,143710.0
2010-02-25,71.7,72.09,69.73,71.41,110586.0
2010-02-26,70.83,76.18,70.75,73.63,185748.0
2010-03-02,72.87,75.5,71.3,74.79,197532.0
2010-03-03,74.71,75.92,73.98,74.76,64896.0
2010-03-04,75.42,77.28,74.76,76.07,197138.0
2010-03-05,76.54,79.9,76.36,78.17,312694.0
2010-03-08,79.69,80.08,77.33,78.2,133658.0
2010-03-09,77.7,79.17,76.54,76.78,114747.0
2010-03-10,77.51,79.17,76.13,77.2,141052.0
2010-03-11,76.54,78.48,76.05,76.41,153501.0
2010-03-12,76.31,77.17,74.6,74.95,40912.0
2010-03-15,74.34,74.45,68.42,72.38,398583.0
2010-03-16,71.38,75.18,71.38,72.51,221940.0
2010-03-17,72.64,74.19,70.78,71.12,236043.0
2010-03-18,71.12,72.77,71.12,71.7,61869.0
2010-03-19,71.83,73.92,71.12,72.3,103830.0
2010-03-22,71.35,73.61,70.78,71.2,151718.0
2010-03-23,72.19,73.61,71.62,72.59,135298.0
2010-03-25,71.93,73.82,71.88,73.4,123598.0
2010-03-26,73.43,74.42,70.93,71.83,85812.0
2010-03-29,71.85,74.42,71.83,72.3,141777.0
2010-03-30,73.08,73.45,72.19,72.48,36144.0
2010-03-31,72.35,73.4,71.35,72.09,50352.0
2010-04-01,71.88,74.32,71.88,73.24,138880.0
2010-04-05,73.37,76.02,70.33,75.29,271278.0
2010-04-06,75.52,77.07,74.6,75.71,109618.0
2010-04-07,76.28,77.44,74.5,75.08,65312.0
2010-04-08,74.58,79.17,74.53,77.65,414484.0
2010-04-09,78.59,80.21,78.14,79.24,163402.0
2010-04-12,79.82,81.39,79.17,79.48,158800.0
2010-04-13,78.72,80.63,77.33,77.65,80166.0
2010-04-15,78.59,83.83,78.59,79.38,547527.0
2010-04-16,80.0,81.53,77.72,79.24,316233.0
2010-04-19,77.86,78.38,73.66,75.44,206890.0
2010-04-20,75.23,77.96,75.0,76.2,70868.0
2010-04-21,76.7,79.69,76.54,77.1,223515.0
2010-04-22,76.6,78.01,76.02,76.28,36090.0
2010-04-23,76.91,77.49,74.45,75.26,57518.0
2010-04-26,75.76,76.44,73.95,74.34,36429.0
2010-04-27,74.19,77.07,73.95,75.36,72178.0
2010-04-28,73.92,77.02,73.61,74.58,211972.0
2010-04-29,75.02,75.99,74.19,74.5,36960.0
2010-04-30,75.39,76.54,74.03,74.34,71574.0
2010-05-03,74.89,75.5,73.66,74.81,61862.0
2010-05-04,75.23,75.47,71.41,73.08,85774.0
2010-05-05,72.3,73.92,70.78,73.29,87142.0
2010-05-06,72.77,76.54,72.4,72.72,263536.0
2010-05-07,71.88,73.66,71.04,73.29,116784.0
2010-05-10,73.87,74.92,73.4,73.87,53764.0
2010-05-11,74.19,74.97,72.48,72.9,57190.0
2010-05-12,73.56,75.02,72.19,73.14,104049.0
2010-05-13,73.87,74.32,72.87,73.01,37953.0
2010-05-14,72.9,74.21,71.41,71.7,36892.0
2010-05-17,71.51,73.92,70.25,73.19,98838.0
2010-05-18,72.35,73.66,71.9,72.32,19350.0
2010-05-19,72.04,73.37,70.36,70.96,51236.0
2010-05-20,71.77,72.3,69.47,70.25,19864.0
2010-05-21,69.26,71.56,67.63,70.59,87262.0
2010-05-24,70.8,71.83,68.37,68.79,31166.0
2010-05-25,69.47,71.56,67.16,70.23,73306.0
2010-05-26,69.73,71.72,69.1,70.96,39656.0
2010-05-27,70.33,73.06,70.15,71.07,80638.0
2010-05-28,71.25,72.77,71.25,71.77,18234.0
2010-05-31,71.72,72.38,69.78,70.65,17854.0
2010-06-01,70.28,71.51,68.68,68.89,54610.0
2010-06-02,69.7,73.08,68.79,72.32,238752.0
2010-06-03,72.82,73.92,71.62,73.01,132984.0
2010-06-04,72.43,73.53,70.99,71.77,45342.0
2010-06-07,70.31,72.3,69.26,71.85,61311.0
2010-06-08,72.09,72.72,70.41,72.06,227742.0
2010-06-09,72.3,73.56,70.73,71.07,30759.0
2010-06-10,71.56,72.77,71.35,72.09,43566.0
2010-06-11,72.35,72.87,71.51,71.88,17138.0
2010-06-14,72.82,73.71,71.9,72.98,64334.0
2010-06-15,73.08,75.63,72.69,74.42,91689.0
2010-06-16,74.45,74.92,72.38,72.74,24879.0
2010-06-17,72.14,73.4,71.83,72.35,12884.0
2010-06-18,72.04,72.46,72.04,72.46,464380.0
2010-06-21,73.08,74.45,71.9,72.3,72399.0
2010-06-22,72.87,73.11,71.3,71.64,41559.0
2010-06-23,71.3,72.61,69.28,70.73,65450.0
2010-06-24,71.75,72.59,70.8,71.04,35060.0
2010-06-25,71.3,72.19,70.78,71.09,34708.0
2010-06-28,71.3,72.04,70.91,71.43,27908.0
2010-06-29,71.56,72.69,70.73,70.96,57003.0
2010-06-30,70.54,71.96,69.81,70.54,68366.0
2010-07-01,70.25,71.28,69.73,70.23,35208.0
2010-07-02,69.99,71.04,69.2,69.57,44342.0
2010-07-05,68.84,69.99,68.42,68.68,31370.0
2010-07-06,68.73,71.2,68.73,69.99,72940.0
2010-07-07,70.36,71.43,69.2,69.91,66290.0
2010-07-08,70.73,71.17,70.1,70.25,22611.0
2010-07-09,70.33,72.61,69.99,71.2,210692.0
2010-07-12,71.72,73.92,71.43,72.3,172168.0
2010-07-13,72.83,76.02,72.35,74.93,278976.0
2010-07-14,77.03,77.03,72.83,73.28,79062.0
2010-07-15,72.78,73.79,72.3,72.59,30585.0
2010-07-16,73.07,73.2,71.98,72.38,26776.0
2010-07-19,69.7,73.28,69.7,71.95,53122.0
2010-07-20,72.35,73.31,72.24,72.38,25941.0
2010-07-21,71.74,73.15,71.74,72.43,31618.0
2010-07-22,72.99,73.28,71.74,72.83,78004.0
2010-07-23,73.84,74.32,71.71,71.93,86408.0
2010-07-26,72.48,75.96,72.48,73.23,314019.0
2010-07-27,73.57,75.17,71.98,72.62,193420.0
2010-07-28,73.31,73.31,71.71,71.79,46108.0
2010-07-29,71.71,72.43,70.68,71.21,37292.0
2010-07-30,71.45,72.19,70.7,71.08,23742.0
2010-08-02,71.66,72.72,70.76,71.79,68882.0
2010-08-03,71.71,72.78,71.34,71.66,54456.0
2010-08-04,71.45,73.31,71.45,72.24,73526.0
2010-08-05,72.3,72.7,70.23,70.97,42501.0
2010-08-06,70.41,72.78,69.06,70.44,38787.0
2010-08-09,73.65,74.37,71.71,72.35,256436.0
2010-08-10,72.72,73.25,71.18,71.63,81471.0
2010-08-11,71.18,72.91,70.7,71.08,145374.0
2010-08-12,70.81,71.45,70.39,70.92,58137.0
2010-08-13,70.97,72.51,70.97,71.34,72266.0
2010-08-16,71.34,73.15,71.34,71.77,164564.0
2010-08-17,72.4,72.72,71.45,71.47,30231.0
2010-08-18,71.85,72.19,70.97,71.29,23895.0
2010-08-19,70.7,71.98,70.65,71.16,45057.0
2010-08-20,71.18,81.46,71.18,76.2,2034009.0
2010-08-23,77.03,80.69,74.9,77.96,1201970.0
2010-08-24,78.41,79.1,75.43,76.07,208238.0
2010-08-25,76.23,80.96,72.43,77.72,1321844.0
2010-08-26,78.91,79.58,74.98,75.83,344226.0
2010-08-27,76.49,77.88,72.56,73.12,237933.0
2010-08-30,74.9,75.17,71.87,72.56,309327.0
2010-08-31,71.82,74.21,71.71,73.36,328884.0
2010-09-01,73.73,74.85,72.51,73.81,103620.0
2010-09-02,73.41,74.74,72.78,73.07,66417.0
2010-09-03,73.04,74.37,72.32,72.62,71966.0
2010-09-06,72.83,74.37,72.78,73.39,184014.0
2010-09-07,73.09,77.45,73.09,74.61,313056.0
2010-09-08,74.58,76.76,74.4,74.95,170030.0
2010-09-09,74.93,76.23,73.52,74.29,99996.0
2010-09-13,75.35,77.45,73.97,75.19,688972.0
2010-09-14,75.72,75.8,73.25,73.97,231098.0
2010-09-15,74.37,75.96,73.87,74.93,268029.0
2010-09-16,73.97,75.91,73.12,73.55,171442.0
2010-09-17,74.32,79.26,73.84,77.0,798008.0
2010-09-20,78.01,83.0,77.82,81.06,912656.0
2010-09-21,82.02,84.04,79.15,81.54,677256.0
2010-09-22,82.47,82.55,76.12,76.89,285078.0
2010-09-23,77.56,79.04,75.96,76.73,150813.0
2010-09-24,77.5,80.43,76.63,79.95,442882.0
2010-09-27,80.64,81.59,79.26,79.95,380906.0
2010-09-28,80.27,80.9,77.66,78.49,161666.0
2010-09-29,78.46,81.49,78.46,79.12,326292.0
2010-09-30,79.42,79.74,77.24,77.77,111116.0
2010-10-01,78.57,80.77,78.09,79.2,123584.0
2010-10-04,79.68,80.69,78.17,78.43,133887.0
2010-10-05,78.14,80.19,78.14,78.7,77656.0
2010-10-06,79.42,79.92,78.22,78.67,80054.0
2010-10-07,78.67,80.66,76.63,77.34,165440.0
2010-10-08,77.34,79.47,77.08,77.4,63748.0
2010-10-11,78.09,78.59,76.49,77.88,64264.0
2010-10-12,77.66,78.3,77.03,77.37,57752.0
2010-10-13,77.03,78.59,76.49,77.21,77912.0
2010-10-14,78.01,80.16,76.49,77.08,129387.0
2010-10-15,76.97,78.62,74.37,74.79,112306.0
2010-10-18,75.01,75.7,73.49,75.25,57177.0
2010-10-19,74.5,76.76,74.5,75.67,52342.0
2010-10-20,74.48,75.43,73.15,73.47,41108.0
2010-10-21,74.24,74.82,71.82,73.76,79300.0
2010-10-22,73.68,74.77,73.57,74.08,30840.0
2010-10-25,74.34,74.64,72.78,73.09,33266.0
2010-10-26,73.44,73.84,73.31,73.36,36154.0
2010-10-27,73.31,74.1,72.78,73.02,31934.0
2010-10-28,73.57,74.1,72.24,72.46,26358.0
2010-10-29,72.51,73.02,71.29,71.82,37226.0
