,open,high,low,close,volume
2009-05-20,90.55,96.42,89.69,93.45,214970.0
2009-05-21,94.0,96.15,92.38,93.55,45340.0
2009-05-22,92.66,93.73,91.14,91.69,6410.0
2009-05-25,92.92,92.92,89.96,91.56,9700.0
2009-05-26,91.74,92.92,90.23,91.47,64790.0
2009-05-27,96.96,107.73,92.11,93.68,278600.0
2009-05-28,106.77,106.77,89.22,91.49,327130.0
2009-05-29,96.69,96.69,89.42,92.35,80790.0
2009-06-01,92.06,92.83,89.42,90.65,70630.0
2009-06-02,88.61,91.29,88.61,89.93,26730.0
2009-06-03,91.25,91.25,87.57,88.31,33620.0
2009-06-04,87.87,89.63,87.26,87.9,43680.0
2009-06-05,88.86,89.04,88.17,88.52,75490.0
2009-06-08,88.99,90.5,88.07,88.28,31360.0
2009-06-09,115.94,116.15,109.31,115.26,43070.0
2009-06-10,114.59,117.15,114.02,114.23,21850.0
2009-06-11,114.8,116.44,112.66,114.29,15080.0
2009-06-12,114.94,114.96,111.17,111.53,18470.0
2009-06-15,113.02,114.02,110.82,113.1,14060.0
2009-06-16,111.52,112.79,110.81,112.45,23540.0
2009-06-17,114.01,114.73,113.09,114.0,20160.0
2009-06-18,113.95,115.43,112.63,114.05,16800.0
2009-06-19,114.02,114.02,110.82,111.56,10720.0
2009-06-22,110.45,113.95,108.74,111.56,9250.0
2009-06-23,110.1,111.49,108.82,111.16,43050.0
2009-06-24,111.17,112.23,111.17,111.82,10490.0
2009-06-25,111.17,112.22,110.45,110.51,10460.0
2009-06-26,111.17,112.59,110.1,111.12,15310.0
2009-06-29,112.23,116.15,110.53,114.73,72240.0
2009-06-30,114.72,115.79,112.1,113.68,57550.0
2009-07-01,114.02,114.37,111.26,111.89,43540.0
2009-07-02,112.59,114.02,112.23,112.69,18300.0
2009-07-03,113.3,113.87,112.23,112.79,32530.0
2009-07-06,112.67,113.94,110.85,112.71,45600.0
2009-07-07,113.23,118.22,111.21,115.86,53900.0
2009-07-08,113.3,115.44,113.02,114.34,13390.0
2009-07-09,114.03,114.03,112.6,113.57,4740.0
2009-07-10,113.77,113.77,111.89,112.5,3050.0
2009-07-13,113.23,115.8,111.88,114.7,43920.0
2009-07-14,114.7,115.01,112.98,113.89,4570.0
2009-07-15,114.62,115.05,112.88,113.53,4330.0
2009-07-16,114.37,114.37,112.42,112.86,5170.0
2009-07-17,112.59,114.01,112.59,112.96,3790.0
2009-07-20,113.94,120.07,113.52,118.16,252040.0
2009-07-21,119.36,119.36,114.37,118.4,15430.0
2009-07-22,118.4,123.28,118.4,122.14,46070.0
2009-07-23,122.57,127.91,121.57,126.97,182020.0
2009-07-24,127.91,130.76,127.56,129.7,83390.0
2009-07-27,129.65,131.83,128.27,131.36,36940.0
2009-07-28,131.83,131.83,126.06,128.52,17890.0
2009-07-29,126.84,130.75,124.35,129.99,24900.0
2009-07-30,128.35,130.4,128.34,129.47,5170.0
2009-07-31,130.76,134.97,129.84,133.17,82160.0
2009-08-03,134.68,134.68,130.05,130.87,132370.0
2009-08-04,130.9,131.83,126.7,127.18,15420.0
2009-08-05,129.69,131.01,128.05,128.68,17420.0
2009-08-06,128.98,130.05,122.02,124.43,29570.0
2009-08-07,124.71,124.71,121.14,121.46,16270.0
2009-08-10,124.63,127.73,119.72,120.5,198460.0
2009-08-11,121.85,122.92,117.54,118.08,9930.0
2009-08-12,119.33,119.33,116.65,117.32,47020.0
2009-08-13,118.36,120.43,116.51,119.44,12300.0
2009-08-14,120.43,124.7,120.43,122.85,78580.0
