,open,high,low,close,volume
2009-05-20,28.26,29.84,27.61,28.87,141810.0
2009-05-21,28.7,30.11,28.09,28.5,1717912.0
2009-05-22,28.97,29.72,28.18,28.63,289425.0
2009-05-25,28.79,29.64,28.53,28.73,230078.0
2009-05-26,28.88,29.41,28.31,28.57,167482.0
2009-05-27,29.41,29.84,28.65,29.65,1747320.0
2009-05-28,29.67,30.53,29.07,29.85,213172.0
2009-05-29,30.2,30.22,28.7,29.17,128220.0
2009-06-01,29.32,29.76,28.97,29.11,101498.0
2009-06-02,30.71,30.71,28.79,29.18,432098.0
2009-06-03,28.97,29.49,28.53,28.93,595515.0
2009-06-04,28.98,29.63,27.65,29.34,908032.0
2009-06-05,29.05,30.9,28.79,30.39,356175.0
2009-06-08,30.9,30.9,28.55,28.96,112732.0
2009-06-09,28.97,29.97,28.44,29.54,107925.0
2009-06-10,30.0,30.55,29.14,29.47,405622.0
2009-06-11,29.26,29.84,28.29,29.65,894248.0
2009-06-12,29.18,30.5,29.16,30.03,301028.0
2009-06-15,29.74,30.37,29.41,30.03,276908.0
2009-06-16,29.8,30.55,29.1,30.31,124912.0
2009-06-17,29.8,31.43,29.8,30.83,288578.0
2009-06-18,30.63,31.25,29.52,30.1,72660.0
2009-06-19,29.49,30.2,28.53,30.0,42382.0
2009-06-22,30.28,30.28,30.02,30.11,62235.0
2009-06-23,28.97,30.42,28.97,30.04,24818.0
2009-06-24,30.55,30.72,29.54,30.49,32835.0
2009-06-25,30.72,33.01,30.39,32.51,214650.0
2009-06-26,32.65,34.58,31.72,34.23,731242.0
2009-06-29,34.41,35.27,31.62,34.93,523402.0
2009-06-30,35.02,35.02,33.03,33.22,65392.0
2009-07-01,33.62,34.04,32.67,32.95,29438.0
2009-07-02,32.83,33.36,32.09,32.28,73358.0
2009-07-03,32.74,32.92,31.34,31.63,186735.0
2009-07-06,32.3,32.3,30.81,31.16,69878.0
2009-07-07,31.21,31.69,30.55,30.93,39915.0
2009-07-08,30.72,30.89,29.58,30.29,290992.0
2009-07-09,30.02,31.23,30.02,30.74,165442.0
2009-07-10,30.74,31.16,30.72,30.76,62730.0
2009-07-13,30.9,31.34,30.48,31.09,4107382.0
2009-07-14,31.21,32.04,31.01,31.8,1102012.0
2009-07-15,31.8,33.27,31.69,31.69,139522.0
2009-07-16,36.03,36.41,35.15,35.54,46898.0
2009-07-17,37.08,37.08,35.55,35.88,42998.0
2009-07-20,35.88,36.69,35.48,35.75,55095.0
2009-07-21,35.15,36.66,34.86,36.56,67140.0
2009-07-22,35.92,37.47,35.92,37.28,72188.0
2009-07-23,36.8,37.37,35.85,36.26,60375.0
2009-07-24,37.47,38.25,36.51,37.72,157095.0
2009-07-27,37.76,38.93,37.18,38.9,643920.0
2009-07-28,38.73,46.38,38.73,42.7,2609040.0
