,open,high,low,close,volume
2009-05-20,213.27,233.65,213.27,218.76,747566.0
2009-05-21,218.6,226.13,211.89,213.42,812783.0
2009-05-22,211.7,215.62,207.27,214.05,1019335.0
2009-05-25,213.27,221.11,211.74,213.15,609456.0
2009-05-26,213.97,218.56,209.42,213.27,718733.0
2009-05-27,215.62,223.58,215.62,222.56,985136.0
2009-05-28,218.09,228.95,218.09,226.91,1446296.0
2009-05-29,228.01,230.44,219.23,222.52,1304581.0
2009-06-01,226.36,226.6,214.17,221.54,1477029.0
2009-06-02,224.24,225.58,216.79,218.28,635521.0
2009-06-03,219.46,220.64,214.44,215.89,363147.0
2009-06-04,215.62,221.89,210.56,220.44,539144.0
2009-06-05,225.03,229.5,219.81,221.34,576772.0
2009-06-08,221.89,223.38,204.8,208.09,330484.0
2009-06-09,205.5,211.31,201.82,204.29,1077334.0
2009-06-10,207.78,210.13,201.9,203.19,887350.0
2009-06-11,205.03,206.56,190.33,191.55,1407126.0
2009-06-12,194.8,195.86,188.18,188.72,709489.0
2009-06-15,182.22,189.74,182.22,185.31,1189677.0
2009-06-16,185.82,196.64,184.18,195.82,960655.0
2009-06-17,197.78,201.27,188.22,190.1,1113276.0
2009-06-18,191.27,195.15,188.22,192.8,1552744.0
2009-06-19,194.45,202.29,194.45,200.56,1177067.0
2009-06-22,202.29,210.13,199.31,201.15,1423178.0
2009-06-23,201.11,207.74,196.8,206.52,931873.0
2009-06-24,208.56,210.13,198.64,200.09,1577500.0
2009-06-25,201.54,205.03,201.27,202.33,943212.0
2009-06-26,201.98,209.82,201.98,208.76,928077.0
2009-06-29,210.13,214.8,209.11,212.29,572637.0
2009-06-30,213.27,219.42,204.37,205.82,548289.0
2009-07-01,207.7,209.27,202.29,206.72,267601.0
2009-07-02,207.78,216.72,206.25,213.42,844589.0
2009-07-03,210.91,216.4,210.13,215.42,351715.0
2009-07-06,214.05,220.09,203.07,206.41,966130.0
2009-07-07,207.78,211.46,201.51,208.56,426197.0
2009-07-08,211.74,211.74,190.54,192.68,815564.0
2009-07-09,192.56,202.19,190.94,200.45,419182.0
2009-07-10,208.74,208.74,192.44,197.25,268791.0
2009-07-13,196.61,196.61,190.14,192.4,214657.0
2009-07-14,193.37,203.85,193.37,202.55,300848.0
2009-07-15,203.97,210.08,199.88,208.22,302512.0
2009-07-16,211.98,213.44,201.95,205.59,387686.0
2009-07-17,206.32,223.23,204.86,221.33,1295978.0
2009-07-20,223.31,228.16,220.96,225.09,901381.0
2009-07-21,227.35,231.32,216.47,217.72,1199234.0
2009-07-22,233.74,233.74,211.62,212.99,1476504.0
2009-07-23,218.45,222.42,216.83,220.35,864777.0
2009-07-24,223.31,224.84,219.34,222.3,489255.0
2009-07-27,222.5,224.93,219.22,221.81,453524.0
2009-07-28,221.69,223.63,218.45,220.31,190132.0
2009-07-29,219.26,222.9,214.29,219.75,426604.0
2009-07-30,220.07,227.76,216.83,225.86,548785.0
2009-07-31,227.55,233.5,226.26,231.32,764239.0
2009-08-03,234.47,237.71,229.21,232.57,660457.0
2009-08-04,233.74,242.69,228.81,230.91,443766.0
2009-08-05,233.02,233.02,227.35,229.94,435249.0
2009-08-06,228.16,233.74,227.43,229.94,546100.0
2009-08-07,227.35,230.51,214.45,216.27,632009.0
2009-08-10,219.38,221.61,210.44,219.34,475702.0
