,open,high,low,close,volume
2009-05-20,4.74,5.01,4.74,4.96,51587.0
2009-05-21,5.01,5.14,4.93,4.94,99315.0
2009-05-22,5.07,5.18,4.87,4.96,45267.0
2009-05-25,5.05,5.53,4.87,5.47,203208.0
2009-05-26,5.45,5.53,5.23,5.47,360163.0
2009-05-27,5.4,5.72,5.4,5.65,196676.0
2009-05-28,5.72,6.32,5.54,5.96,449751.0
2009-05-29,5.98,7.05,5.98,6.85,1612017.0
2009-06-01,7.28,7.28,6.32,6.39,476669.0
2009-06-02,5.38,6.68,5.38,6.26,122477.0
2009-06-03,6.2,6.38,6.13,6.15,143249.0
2009-06-04,6.13,6.78,6.06,6.44,266749.0
2009-06-05,6.43,6.5,6.28,6.4,167760.0
2009-06-08,6.39,6.39,5.91,6.02,131627.0
2009-06-09,5.9,6.5,5.76,6.23,172583.0
2009-06-10,6.2,6.55,6.14,6.38,284810.0
2009-06-11,6.28,6.42,6.09,6.32,205870.0
2009-06-12,6.35,6.35,6.01,6.35,50596.0
2009-06-15,6.13,6.28,6.01,6.12,106821.0
2009-06-16,6.13,6.35,6.02,6.35,252395.0
2009-06-17,6.09,6.35,6.06,6.35,51974.0
2009-06-18,5.98,6.06,5.91,5.91,44484.0
2009-06-19,5.85,6.04,5.85,6.04,9292.0
2009-06-22,5.98,6.35,5.98,6.35,12052.0
2009-06-23,5.76,5.98,5.76,5.76,9989.0
2009-06-24,6.04,6.35,6.04,6.35,25029.0
2009-06-25,6.2,6.35,5.99,6.35,31855.0
2009-06-26,6.12,6.15,6.0,6.1,48648.0
2009-06-29,6.05,6.35,6.04,6.35,26591.0
2009-06-30,6.14,6.35,5.91,6.35,19841.0
2009-07-01,5.83,5.84,5.83,5.83,572.0
2009-07-02,5.85,6.35,5.85,6.35,15296.0
2009-07-03,6.0,6.35,5.92,6.35,62381.0
2009-07-06,6.2,6.25,5.91,5.91,110893.0
2009-07-07,5.83,5.98,5.79,5.79,26286.0
2009-07-08,5.81,5.94,5.79,5.79,15955.0
2009-07-09,5.83,5.98,5.82,5.82,6129.0
2009-07-10,6.01,6.01,5.82,5.83,102804.0
2009-07-13,5.83,5.89,5.79,5.79,82500.0
2009-07-14,5.82,5.98,5.82,5.82,29824.0
2009-07-15,6.26,6.35,5.98,6.35,14153.0
2009-07-16,6.19,6.35,5.91,6.35,15715.0
2009-07-17,5.98,6.13,5.97,6.13,49992.0
2009-07-20,5.99,6.13,5.99,6.06,38441.0
2009-07-21,5.92,6.06,5.91,5.94,70743.0
2009-07-22,5.98,6.05,5.91,5.91,13374.0
2009-07-23,5.85,6.05,5.85,5.88,7066.0
2009-07-24,6.05,6.05,5.95,5.97,14839.0
2009-07-27,6.12,6.23,5.99,6.03,20979.0
2009-07-28,6.2,6.2,6.06,6.08,11763.0
2009-07-29,6.18,6.28,5.92,6.11,40151.0
2009-07-30,6.1,6.13,5.99,6.0,11850.0
2009-07-31,6.02,6.05,5.91,6.0,2177.0
2009-08-03,6.01,6.2,5.91,5.98,4817.0
2009-08-04,5.87,5.94,5.87,5.9,13843.0
2009-08-05,5.85,5.98,5.85,5.85,16368.0
2009-08-06,5.94,6.12,5.91,6.05,12144.0
2009-08-07,5.98,5.98,5.83,5.85,58958.0
2009-08-10,5.85,5.89,5.83,5.83,7893.0
2009-08-11,5.83,5.93,5.83,5.83,9646.0
2009-08-12,5.83,5.84,5.72,5.84,47532.0
2009-08-13,5.83,5.9,5.83,5.9,11932.0
2009-08-14,5.84,6.03,5.84,5.9,27184.0
2009-08-17,5.9,5.9,5.85,5.85,23352.0
2009-08-18,5.85,5.85,5.85,5.85,0.0
2009-08-19,5.84,5.95,5.84,5.95,19961.0
2009-08-20,5.84,5.95,5.84,5.94,8764.0
2009-08-21,6.2,6.2,5.92,5.95,25306.0
2009-08-24,6.89,7.06,6.89,7.01,83034.0
2009-08-25,6.89,7.01,6.86,6.93,17707.0
2009-08-26,6.85,7.09,6.84,7.01,91956.0
2009-08-27,7.05,7.05,6.85,6.86,39873.0
2009-08-28,6.77,7.01,6.77,6.81,3642.0
2009-08-31,6.8,6.89,6.75,6.83,15552.0
2009-09-01,6.83,6.88,6.75,6.84,35888.0
2009-09-02,6.84,6.88,6.75,6.82,12052.0
2009-09-03,6.9,6.91,6.75,6.76,3048.0
2009-09-04,6.75,6.83,6.75,6.82,10506.0
2009-09-07,6.91,6.91,6.75,6.82,32720.0
2009-09-08,6.77,6.88,6.77,6.78,41343.0
2009-09-09,6.76,6.86,6.75,6.84,70748.0
2009-09-10,6.92,6.92,6.76,6.79,32927.0
2009-09-11,6.9,6.9,6.77,6.84,18464.0
2009-09-14,6.92,6.92,6.81,6.82,28083.0
2009-09-15,6.78,7.03,6.78,6.94,124834.0
2009-09-16,7.18,7.18,6.98,7.07,230387.0
2009-09-17,7.05,7.39,6.97,7.13,249760.0
2009-09-18,7.1,7.14,6.97,7.03,31806.0
2009-09-22,7.1,7.4,6.97,7.23,266809.0
2009-09-23,7.36,7.4,7.1,7.17,154119.0
2009-09-24,7.18,7.31,6.94,7.19,41032.0
2009-09-25,7.07,7.51,7.07,7.22,111410.0
2009-09-29,7.43,7.43,7.11,7.2,72011.0
2009-09-30,7.31,7.31,7.15,7.22,57907.0
2009-10-01,7.41,7.41,7.11,7.14,22062.0
2009-10-05,7.29,7.29,6.97,7.04,25056.0
2009-10-06,7.12,7.12,6.79,7.03,67792.0
2009-10-07,7.05,7.1,7.01,7.02,27576.0
2009-10-08,7.1,7.1,6.97,7.06,20696.0
2009-10-09,7.05,7.52,6.94,7.29,652551.0
2009-10-12,7.36,7.55,7.36,7.41,215298.0
2009-10-14,7.48,7.96,7.45,7.84,1397345.0
2009-10-15,7.95,7.95,7.47,7.65,405605.0
2009-10-16,7.5,7.91,7.5,7.66,271626.0
2009-10-20,7.86,7.86,7.63,7.69,145339.0
2009-10-21,7.64,7.83,7.62,7.65,25535.0
2009-10-22,7.62,7.79,7.54,7.59,47439.0
2009-10-23,7.62,7.7,7.54,7.58,50689.0
2009-10-26,7.62,7.75,7.51,7.57,61581.0
2009-10-27,7.61,7.62,7.36,7.38,50635.0
2009-10-28,7.44,7.44,7.16,7.23,30565.0
2009-10-29,7.18,7.36,7.15,7.22,15225.0
2009-10-30,7.52,7.53,7.14,7.18,24517.0
2009-11-03,7.01,7.1,6.85,6.88,29367.0
2009-11-04,6.88,7.1,6.85,6.93,28181.0
2009-11-05,6.93,7.1,6.88,7.09,27125.0
2009-11-06,7.34,7.44,7.2,7.33,65773.0
2009-11-09,7.49,7.65,6.93,7.53,137822.0
2009-11-10,7.61,7.61,7.37,7.48,29917.0
2009-11-11,7.3,7.55,7.3,7.48,39067.0
2009-11-12,7.44,7.58,7.3,7.35,28572.0
2009-11-13,7.36,7.44,7.31,7.35,21082.0
2009-11-16,7.49,7.49,7.37,7.44,33619.0
