,open,high,low,close,volume
2009-05-20,48.97,53.12,47.69,50.76,40046.0
2009-05-21,52.59,54.4,50.25,51.1,33698.0
2009-05-22,49.4,52.38,49.4,51.35,10842.0
2009-05-25,53.23,56.21,51.61,55.38,87560.0
2009-05-26,55.36,56.55,51.52,51.84,10764.0
2009-05-27,54.48,55.36,52.16,53.4,204210.0
2009-05-28,52.38,52.8,51.14,52.27,6278.0
2009-05-29,51.95,56.21,51.31,55.76,232668.0
2009-06-01,56.21,59.57,55.14,56.23,201460.0
2009-06-02,56.68,56.68,54.72,55.1,8708.0
2009-06-03,55.49,55.49,53.48,53.99,24442.0
2009-06-04,52.8,55.36,51.95,52.91,77602.0
2009-06-05,54.51,55.14,53.23,54.08,13072.0
2009-06-08,54.08,54.08,52.1,53.23,10182.0
2009-06-09,52.4,53.8,51.95,53.23,3224.0
2009-06-10,53.87,55.78,53.19,53.46,50256.0
2009-06-11,53.65,54.72,53.23,53.23,25104.0
2009-06-12,52.8,55.36,52.8,53.23,21142.0
2009-06-15,53.23,54.08,53.23,53.48,5536.0
2009-06-16,53.44,54.08,53.23,53.38,3570.0
2009-06-17,53.27,53.87,49.12,53.23,9426.0
2009-06-18,52.7,53.61,51.1,53.23,73890.0
2009-06-19,53.65,54.51,53.23,53.46,30166.0
2009-06-22,54.08,54.08,46.88,52.4,7320.0
2009-06-23,52.8,59.62,52.36,54.12,48418.0
2009-06-24,54.51,54.93,52.44,53.65,33504.0
2009-06-25,53.23,53.91,52.46,53.21,7454.0
2009-06-26,52.91,57.44,52.44,56.29,20818.0
2009-06-29,56.4,56.4,53.4,53.85,13352.0
2009-06-30,53.4,54.93,53.23,53.38,6042.0
2009-07-01,53.23,54.51,52.8,52.99,4336.0
2009-07-02,52.8,54.51,52.38,53.19,6670.0
2009-07-03,53.23,53.85,52.8,52.93,6668.0
2009-07-06,53.65,53.65,47.08,51.4,8378.0
2009-07-07,48.25,52.78,48.25,51.31,6056.0
2009-07-08,51.84,51.84,49.82,50.65,1486.0
2009-07-09,50.29,50.29,47.29,48.5,2310.0
2009-07-10,48.37,48.76,47.69,47.84,4788.0
2009-07-13,48.33,48.33,43.43,44.2,5544.0
2009-07-14,48.97,48.97,44.71,44.71,4364.0
2009-07-15,48.32,50.44,47.63,48.45,4524.0
2009-07-16,49.14,49.58,48.25,48.7,4588.0
2009-07-17,48.25,50.64,47.81,49.36,7128.0
2009-07-20,54.67,54.67,48.85,50.87,7240.0
2009-07-21,51.13,53.34,50.51,52.88,7976.0
2009-07-22,53.12,56.18,52.26,53.39,10026.0
2009-07-23,53.3,55.78,52.7,53.28,10234.0
2009-07-24,53.57,55.47,53.57,55.36,9588.0
2009-07-27,56.22,56.66,54.07,55.36,4466.0
2009-07-28,56.51,57.24,54.47,55.25,22818.0
2009-07-29,55.34,60.54,55.34,59.43,184438.0
2009-07-30,60.43,61.45,58.55,58.88,15282.0
2009-07-31,59.32,60.21,57.55,58.21,11570.0
2009-08-03,51.35,59.32,51.35,57.95,6810.0
2009-08-04,56.22,57.55,54.94,55.62,10708.0
2009-08-05,50.91,56.97,50.91,56.33,8062.0
2009-08-06,55.34,57.33,55.34,56.38,14330.0
2009-08-07,55.34,57.11,55.34,56.24,16022.0
2009-08-10,55.34,56.66,55.34,56.22,7828.0
2009-08-11,55.34,57.06,55.34,56.33,10926.0
2009-08-12,52.02,57.73,52.02,56.47,39652.0
2009-08-13,52.19,64.19,52.19,63.08,255568.0
2009-08-14,61.8,63.7,58.88,59.54,35830.0
2009-08-17,58.88,59.76,56.73,57.42,14740.0
2009-08-18,54.43,59.74,54.43,57.73,25052.0
2009-08-19,54.63,61.29,54.63,58.97,32000.0
2009-08-20,56.66,61.49,56.66,57.95,9280.0
2009-08-21,56.24,60.56,56.24,59.83,11912.0
2009-08-24,56.29,61.93,56.29,61.51,119572.0
2009-08-25,59.76,62.82,59.76,60.8,17478.0
2009-08-26,56.22,61.58,56.22,59.94,9992.0
2009-08-27,55.78,62.2,55.78,61.27,8330.0
2009-08-28,57.11,61.98,57.11,61.09,30848.0
2009-08-31,56.44,61.87,56.44,60.65,83736.0
2009-09-01,56.66,62.86,56.66,60.91,27676.0
2009-09-02,57.11,62.64,57.11,61.89,62536.0
2009-09-03,57.55,65.52,57.55,62.66,89396.0
2009-09-04,60.65,63.84,60.65,62.44,25418.0
2009-09-07,62.82,63.97,62.42,63.04,15630.0
2009-09-08,62.86,64.01,62.07,62.46,49826.0
2009-09-09,62.11,63.7,62.11,63.13,45486.0
2009-09-10,64.06,67.24,62.86,63.75,141904.0
2009-09-11,60.65,65.52,60.65,63.02,59148.0
2009-09-14,62.42,62.86,61.27,61.67,15604.0
2009-09-15,61.53,61.98,60.25,60.83,151010.0
2009-09-16,61.98,63.17,60.89,62.0,38756.0
2009-09-17,61.98,62.77,61.76,62.11,25520.0
2009-09-18,61.67,63.75,61.6,62.86,12244.0
2009-09-22,62.2,63.3,61.31,61.98,34776.0
