,open,high,low,close,volume
2009-05-20,5.33,5.33,5.33,5.33,25510.0
2009-05-21,5.52,5.6,5.52,5.6,35910.0
2009-05-22,5.84,5.87,5.46,5.62,104570.0
2009-05-25,5.78,5.9,5.5,5.9,74740.0
2009-05-26,6.2,6.2,5.61,5.65,50200.0
2009-05-27,5.93,5.93,5.85,5.93,24900.0
2009-05-28,6.18,6.23,5.77,6.22,106590.0
2009-05-29,6.23,6.53,6.23,6.46,56380.0
2009-06-01,6.52,6.78,6.52,6.59,26990.0
2009-06-02,6.56,6.56,6.26,6.38,99460.0
2009-06-03,6.38,6.42,6.06,6.1,37860.0
2009-06-04,5.94,6.32,5.94,6.12,39790.0
2009-06-05,6.09,6.4,6.09,6.3,53550.0
2009-06-08,6.28,6.28,5.99,5.99,61960.0
2009-06-09,5.99,6.07,5.7,5.85,55820.0
2009-06-10,6.07,6.13,5.61,5.67,69110.0
2009-06-11,5.45,5.6,5.45,5.5,26430.0
2009-06-12,5.6,5.78,5.47,5.64,28220.0
2009-06-15,5.6,5.79,5.58,5.59,24150.0
2009-06-16,5.42,5.87,5.4,5.87,32060.0
2009-06-17,5.99,6.16,5.61,5.81,164340.0
2009-06-18,5.75,5.84,5.55,5.61,73740.0
2009-06-19,5.6,5.9,5.55,5.89,32390.0
2009-06-22,6.19,6.19,5.96,6.13,93360.0
2009-06-23,5.9,6.16,5.86,6.05,36040.0
2009-06-24,5.96,6.09,5.85,5.93,190700.0
2009-06-25,6.01,6.03,5.65,5.81,40980.0
2009-06-26,5.66,5.94,5.66,5.85,148220.0
2009-06-29,5.73,5.89,5.6,5.71,69280.0
2009-06-30,5.76,5.89,5.7,5.75,89300.0
2009-07-01,5.79,6.03,5.75,6.03,203300.0
2009-07-02,6.33,6.33,6.32,6.33,40770.0
2009-07-03,6.65,6.65,6.65,6.65,19990.0
2009-07-06,6.99,6.99,6.33,6.41,364410.0
2009-07-07,6.89,7.05,6.01,6.93,224100.0
2009-07-08,7.01,7.63,6.65,7.62,264120.0
2009-07-09,7.74,7.74,7.24,7.24,200250.0
2009-07-10,7.25,7.4,6.88,6.91,155580.0
2009-07-13,6.67,6.72,6.56,6.58,23250.0
2009-07-14,6.65,6.74,6.38,6.56,34870.0
2009-07-15,6.79,6.89,6.57,6.85,77950.0
2009-07-16,7.19,7.19,6.61,6.77,47890.0
2009-07-17,6.5,6.77,6.48,6.6,42000.0
2009-07-20,6.59,6.94,6.57,6.93,112990.0
2009-07-21,7.04,7.27,6.96,7.27,47980.0
2009-07-22,7.55,7.64,7.21,7.38,68520.0
2009-07-23,7.36,7.58,7.22,7.52,92090.0
2009-07-24,7.43,7.89,7.43,7.83,115140.0
2009-07-27,8.03,8.03,7.61,7.9,48070.0
2009-07-28,7.77,8.08,7.68,8.0,1179200.0
2009-07-29,7.8,8.25,7.64,7.79,67770.0
2009-07-30,7.79,8.13,7.72,8.09,62460.0
2009-07-31,7.81,7.99,7.69,7.78,32100.0
2009-08-03,7.45,7.93,7.39,7.46,66260.0
2009-08-04,7.54,7.83,7.54,7.83,67940.0
2009-08-05,7.45,7.82,7.45,7.78,1006240.0
2009-08-06,7.58,7.79,7.5,7.66,17150.0
2009-08-07,7.51,7.79,7.37,7.39,53700.0
2009-08-10,7.4,7.55,7.06,7.14,94440.0
2009-08-11,6.84,7.34,6.78,7.03,42560.0
2009-08-12,6.69,7.11,6.68,7.04,209350.0
2009-08-13,6.79,7.39,6.69,7.39,195300.0
2009-08-14,7.64,7.76,7.3,7.51,102420.0
2009-08-17,7.35,7.35,7.14,7.14,23330.0
2009-08-18,6.94,7.2,6.94,7.09,11720.0
2009-08-19,7.4,7.4,6.74,6.74,44510.0
2009-08-20,6.75,6.82,6.58,6.66,33070.0
2009-08-21,6.59,6.99,6.55,6.99,42530.0
2009-08-24,7.28,7.34,7.28,7.34,134440.0
2009-08-25,7.36,7.62,7.12,7.24,43930.0
2009-08-26,7.25,7.43,7.11,7.13,129560.0
2009-08-27,7.63,7.98,7.63,7.76,65130.0
2009-08-28,7.63,7.94,7.63,7.67,23710.0
2009-08-31,7.84,7.91,7.6,7.66,31950.0
2009-09-01,7.63,7.99,7.39,7.5,49590.0
2009-09-02,7.28,7.68,7.28,7.46,19680.0
2009-09-03,7.37,7.68,7.37,7.68,5690.0
2009-09-04,7.68,8.07,7.42,8.07,355760.0
2009-09-07,8.1,8.41,7.76,8.04,52700.0
2009-09-08,8.2,8.26,7.69,7.77,24930.0
2009-09-09,7.64,8.05,7.64,7.74,44400.0
2009-09-10,7.74,8.52,7.59,8.41,308680.0
2009-09-11,8.41,8.78,8.03,8.34,236400.0
2009-09-14,7.84,8.82,7.84,8.3,467600.0
2009-09-15,8.25,8.46,8.16,8.22,95930.0
2009-09-16,8.32,8.36,8.2,8.25,45920.0
2009-09-17,8.1,8.36,7.87,7.98,54190.0
2009-09-18,7.95,8.13,7.84,7.99,17120.0
2009-09-22,7.94,8.0,7.78,7.83,27480.0
2009-09-23,7.81,8.51,7.74,8.06,348560.0
2009-09-24,8.0,8.46,8.0,8.12,152760.0
2009-09-25,8.15,8.3,8.03,8.09,24480.0
2009-09-29,8.06,8.14,8.0,8.1,37600.0
2009-09-30,8.0,8.36,8.0,8.1,92800.0
2009-10-01,8.1,8.3,8.07,8.12,255860.0
