,open,high,low,close,volume
2009-05-20,30.66,32.67,30.66,32.15,22821.0
2009-05-21,33.24,38.54,29.21,33.55,15827.0
2009-05-22,35.04,35.04,31.8,33.2,12718.0
2009-05-25,33.29,39.77,33.29,37.58,34273.0
2009-05-26,38.98,41.08,35.91,36.96,26662.0
2009-05-27,36.7,38.1,36.22,37.53,10645.0
2009-05-28,35.12,38.54,35.12,36.18,11106.0
2009-05-29,38.93,38.93,36.48,37.71,14029.0
2009-06-01,35.65,39.37,35.65,38.63,12239.0
2009-06-02,37.62,39.42,37.45,37.71,6914.0
2009-06-03,39.33,39.33,37.71,38.15,4631.0
2009-06-04,37.53,39.42,37.53,38.5,14050.0
2009-06-05,39.37,40.51,38.37,39.07,22973.0
2009-06-08,38.98,41.17,36.96,37.93,15103.0
2009-06-09,35.91,38.41,35.91,37.23,9509.0
2009-06-10,37.66,38.67,36.83,37.23,6610.0
2009-06-11,36.79,39.15,36.79,38.41,30552.0
2009-06-12,40.07,40.07,31.66,35.87,23790.0
2009-06-15,36.48,36.48,33.72,34.86,3806.0
2009-06-16,34.16,36.35,33.29,35.47,3002.0
2009-06-17,35.91,36.7,34.16,34.2,9039.0
2009-06-18,33.64,34.69,32.67,33.29,4520.0
2009-06-19,34.16,34.73,31.62,31.84,11402.0
2009-06-22,32.06,34.86,31.53,32.41,2335.0
2009-06-23,30.74,36.79,30.74,35.21,24132.0
2009-06-24,35.21,36.79,34.16,34.29,2466.0
2009-06-25,34.16,37.23,34.16,36.66,59110.0
2009-06-26,36.39,39.42,35.04,39.07,104146.0
2009-06-29,39.07,43.8,38.89,39.68,113985.0
2009-06-30,40.29,40.29,37.88,37.97,197041.0
2009-07-01,36.96,38.98,34.2,35.26,108549.0
2009-07-02,35.91,39.42,34.69,37.88,150889.0
2009-07-03,36.79,36.79,34.25,34.42,189543.0
2009-07-06,35.83,35.83,32.85,33.42,16541.0
2009-07-07,33.55,34.51,32.5,32.8,5107.0
2009-07-08,32.58,33.15,31.27,31.84,7408.0
2009-07-09,32.02,35.83,32.02,32.67,46347.0
2009-07-10,34.16,34.16,32.06,32.41,5771.0
2009-07-13,33.94,34.07,32.19,32.41,10567.0
2009-07-14,32.02,35.47,32.02,33.42,30028.0
2009-07-15,33.46,35.65,33.02,34.86,61201.0
2009-07-16,35.87,37.75,34.77,36.66,32248.0
2009-07-17,37.23,39.37,36.35,36.83,35578.0
2009-07-20,35.21,36.7,35.21,36.18,12401.0
2009-07-21,37.97,37.97,35.47,36.57,6990.0
2009-07-22,35.65,37.31,35.65,36.75,10057.0
2009-07-23,36.39,36.96,36.39,36.57,2508.0
2009-07-24,37.23,37.84,36.04,37.27,12293.0
2009-07-27,37.66,38.28,37.1,37.53,4012.0
2009-07-28,37.66,38.32,35.65,36.44,27751.0
2009-07-29,37.31,38.5,35.17,36.7,15463.0
2009-07-30,35.91,36.57,35.04,35.91,7268.0
2009-07-31,37.14,37.14,35.91,36.31,17107.0
2009-08-03,37.4,37.4,35.34,36.13,3879.0
2009-08-04,36.0,36.7,35.12,35.74,3866.0
2009-08-05,36.04,36.35,35.39,36.04,1540.0
2009-08-06,34.56,36.61,34.47,34.82,11640.0
2009-08-07,35.91,35.91,33.85,34.16,5556.0
2009-08-10,33.37,34.86,33.29,33.29,8020.0
2009-08-11,33.37,35.26,31.62,33.33,2520.0
