,open,high,low,close,volume
2009-05-20,39.27,45.09,38.9,44.1,13228892.0
2009-05-21,44.36,46.07,42.03,42.9,11240480.0
2009-05-22,43.85,46.39,42.9,45.85,15147643.0
2009-05-25,46.14,47.19,44.87,46.83,11414697.0
2009-05-26,47.78,47.81,44.1,45.12,9735125.0
2009-05-27,45.81,46.79,44.36,46.18,7606260.0
2009-05-28,46.9,47.99,44.98,45.56,4607197.0
2009-05-29,46.14,47.27,44.43,46.36,5872071.0
2009-06-01,47.99,49.81,46.54,49.56,10939930.0
2009-06-02,50.18,51.41,48.87,50.58,9730529.0
2009-06-03,50.98,51.16,48.43,49.48,6537907.0
2009-06-04,49.81,52.58,48.72,51.81,9217693.0
2009-06-05,52.21,52.54,49.27,49.81,4968820.0
2009-06-08,50.9,50.9,40.5,45.89,3845892.0
2009-06-09,45.63,50.03,43.74,49.45,6219387.0
2009-06-10,49.99,51.23,48.43,49.45,5795035.0
2009-06-11,47.67,53.52,47.67,52.18,8137065.0
2009-06-12,53.99,54.83,48.76,49.67,14931000.0
2009-06-15,47.67,52.54,47.67,51.63,13941793.0
2009-06-16,51.23,51.99,49.81,50.9,9556445.0
2009-06-17,49.63,51.88,47.09,47.7,7177269.0
2009-06-18,45.74,48.07,43.7,44.58,6375936.0
2009-06-19,45.19,46.83,43.7,45.52,7785508.0
2009-06-22,46.14,46.69,44.72,45.19,6173031.0
2009-06-23,43.63,46.72,43.3,46.29,5861277.0
2009-06-24,46.69,47.7,45.59,47.05,4103586.0
2009-06-25,47.89,48.18,45.45,46.03,7445387.0
2009-06-26,46.79,47.52,46.25,47.3,4240160.0
2009-06-29,46.61,49.41,46.61,48.47,6162849.0
2009-06-30,48.87,50.43,47.3,48.76,6070798.0
2009-07-01,49.99,49.99,47.09,47.96,6265975.0
2009-07-02,48.36,49.09,47.34,47.74,4289596.0
2009-07-03,47.85,52.65,46.94,51.59,11637322.0
2009-07-06,52.1,52.87,46.58,47.09,11260682.0
2009-07-07,46.69,47.56,42.79,43.81,8884809.0
2009-07-08,42.9,43.56,39.3,40.1,9163156.0
2009-07-09,40.61,41.52,38.43,38.83,8555118.0
2009-07-10,39.23,39.56,35.74,36.4,8341975.0
2009-07-13,35.2,36.83,34.25,36.36,6207501.0
2009-07-14,36.72,38.98,36.72,38.61,5468594.0
2009-07-15,40.65,40.65,39.12,39.67,5495400.0
2009-07-16,40.0,41.99,39.81,40.61,9000101.0
2009-07-17,40.72,42.07,40.72,41.56,4546996.0
2009-07-20,41.81,42.39,41.09,41.78,3856365.0
2009-07-21,41.78,43.19,40.9,41.52,7887492.0
2009-07-22,41.7,42.07,39.38,39.89,5341340.0
2009-07-23,40.72,41.01,39.34,40.03,5924064.0
2009-07-24,42.18,42.18,40.03,41.23,6334148.0
2009-07-27,41.38,41.96,40.9,41.41,3598995.0
2009-07-28,41.74,43.12,41.2,42.58,6058922.0
2009-07-29,42.83,42.83,40.4,41.99,4767506.0
2009-07-30,41.56,42.58,41.45,42.21,3901893.0
2009-07-31,43.34,43.49,41.35,42.51,5149681.0
2009-08-03,42.18,43.41,41.73,43.19,3953567.0
2009-08-04,43.49,43.49,41.8,42.25,3001259.0
2009-08-05,42.03,43.34,41.09,43.04,6542121.0
2009-08-06,43.15,43.34,41.35,41.58,5312232.0
2009-08-07,39.96,41.09,39.4,39.66,4073185.0
2009-08-10,39.21,40.79,36.28,36.88,4417701.0
2009-08-11,35.72,37.86,35.72,37.26,3966541.0
2009-08-12,36.4,36.96,35.5,36.28,4643670.0
2009-08-13,37.9,38.65,36.43,38.35,3786470.0
2009-08-14,37.94,39.21,37.75,38.84,3254852.0
2009-08-17,37.67,38.61,37.15,37.41,3362976.0
2009-08-18,38.16,38.65,37.0,37.71,3375072.0
2009-08-19,37.9,38.2,36.4,36.66,3091621.0
2009-08-20,37.15,37.45,35.53,35.72,3705544.0
2009-08-21,35.65,36.92,34.67,36.36,5856386.0
2009-08-24,37.15,37.41,36.51,36.96,5043444.0
2009-08-25,36.55,37.94,36.47,37.56,3774343.0
2009-08-26,37.45,38.12,37.19,37.67,2788455.0
2009-08-27,37.79,40.52,37.37,40.04,8207470.0
2009-08-28,40.34,40.71,38.8,39.62,5023394.0
2009-08-31,39.02,40.26,38.84,39.85,3371364.0
2009-09-01,39.77,40.45,38.35,38.65,3146615.0
2009-09-02,37.52,39.02,37.52,38.57,2255960.0
2009-09-03,38.65,40.67,38.57,40.3,5461427.0
2009-09-04,40.9,41.54,40.41,41.09,9977610.0
2009-09-07,41.35,42.66,41.35,42.06,5515378.0
2009-09-08,42.59,42.74,41.39,41.73,3680838.0
2009-09-09,40.71,42.03,40.34,40.56,2399609.0
2009-09-10,40.67,41.99,40.52,40.75,3895647.0
2009-09-11,40.52,41.16,39.06,39.29,3482012.0
2009-09-14,39.02,40.67,39.02,39.96,1989170.0
2009-09-15,39.81,40.9,39.81,40.52,2059870.0
2009-09-16,40.71,41.8,40.52,40.79,2095739.0
2009-09-17,41.35,41.61,40.15,41.2,2486650.0
2009-09-18,41.05,41.95,40.75,41.05,2749712.0
2009-09-22,41.58,41.58,40.86,40.97,1524013.0
2009-09-23,40.9,41.12,39.89,40.0,1312738.0
2009-09-24,39.21,39.92,39.21,39.59,1759474.0
2009-09-25,39.17,42.51,39.17,42.03,7777514.0
2009-09-29,43.45,43.83,42.44,42.66,8500779.0
2009-09-30,42.78,42.96,41.69,41.88,3840342.0
2009-10-01,41.39,42.7,41.39,41.73,2839514.0
2009-10-05,40.94,41.95,39.81,40.0,3126894.0
2009-10-06,40.3,40.49,38.16,39.25,4064857.0
2009-10-07,39.4,40.64,39.17,39.55,2947753.0
2009-10-08,39.77,40.45,39.14,40.0,2628867.0
2009-10-09,40.15,40.79,39.06,39.21,2073013.0
2009-10-12,39.02,40.26,39.02,39.85,1683199.0
2009-10-14,40.22,41.24,39.77,40.94,3094288.0
2009-10-15,40.94,41.54,40.41,40.52,3369178.0
2009-10-16,40.15,42.21,40.15,41.95,4568346.0
2009-10-20,41.99,42.7,41.01,42.1,4541704.0
2009-10-21,42.33,43.15,40.71,41.01,8370820.0
2009-10-22,41.2,41.24,39.17,39.55,2748132.0
2009-10-23,39.92,40.67,39.44,39.62,1764436.0
2009-10-26,39.77,39.96,38.46,38.57,1475752.0
2009-10-27,39.25,39.25,36.66,36.77,2063074.0
2009-10-28,36.77,37.0,35.5,36.51,1930383.0
2009-10-29,35.95,36.88,35.16,35.5,3254852.0
2009-10-30,35.91,37.15,35.35,35.65,2691704.0
2009-11-03,35.65,36.28,34.56,34.93,1804660.0
2009-11-04,35.35,36.13,35.16,35.87,1859399.0
2009-11-05,35.8,37.3,35.5,37.0,2000469.0
2009-11-06,37.52,39.1,37.45,38.8,3799450.0
2009-11-09,39.14,39.21,38.01,38.57,1828220.0
2009-11-10,38.99,39.51,37.9,39.06,2371136.0
2009-11-11,38.76,39.47,38.35,38.69,2550507.0
2009-11-12,38.72,39.29,38.01,38.42,2119938.0
2009-11-13,38.65,38.87,38.09,38.5,1525586.0
2009-11-16,38.91,39.36,38.35,38.95,1474082.0
2009-11-17,39.02,40.52,38.65,40.34,3316538.0
2009-11-18,40.56,40.86,39.85,40.04,2146327.0
2009-11-19,40.11,40.3,38.31,38.54,2022934.0
2009-11-20,38.65,39.36,38.2,38.99,904670.0
2009-11-23,39.21,39.77,38.61,39.62,2119613.0
2009-11-24,39.89,42.89,39.62,42.36,6109341.0
2009-11-25,42.33,42.74,40.9,41.16,3582317.0
2009-11-26,41.28,41.65,40.9,41.05,2101055.0
2009-11-27,40.37,40.9,38.31,39.59,2117263.0
2009-11-30,38.72,41.58,38.72,41.24,2041072.0
2009-12-01,41.73,42.7,40.97,42.25,3868154.0
2009-12-02,41.5,43.15,41.5,42.48,4614722.0
2009-12-03,42.63,43.3,41.39,41.8,3029590.0
2009-12-04,40.75,42.89,40.75,42.18,2512673.0
2009-12-07,42.78,42.78,41.35,41.73,1992224.0
2009-12-08,41.28,42.78,41.28,42.66,2005519.0
2009-12-09,42.25,44.28,42.14,43.3,6133192.0
2009-12-10,43.45,46.04,42.7,45.4,8382036.0
2009-12-11,45.89,46.68,44.43,45.1,9946467.0
2009-12-14,45.1,46.08,44.35,44.91,5188973.0
2009-12-15,44.95,45.33,42.93,43.34,3205231.0
2009-12-16,43.3,44.73,42.55,44.31,3440079.0
2009-12-17,44.09,45.03,43.41,44.43,2000525.0
2009-12-18,44.2,45.03,43.83,44.13,2306960.0
2009-12-21,44.28,44.35,42.78,42.93,1373941.0
2009-12-22,42.96,43.6,42.96,43.3,1036736.0
2009-12-23,42.96,43.6,42.96,43.3,1036736.0
2009-12-24,42.96,43.6,42.96,43.3,1036736.0
2009-12-29,42.96,43.6,42.96,43.3,1036736.0
2009-12-30,42.96,43.6,42.96,43.3,1036736.0
2009-12-31,42.96,43.6,42.96,43.3,1036736.0
2010-01-04,43.53,48.14,43.41,47.77,9085510.0
2010-01-05,48.44,48.7,47.28,47.47,5559944.0
2010-01-06,47.54,49.3,46.23,48.74,6263224.0
2010-01-07,48.63,49.19,47.77,48.33,4380670.0
2010-01-08,48.07,48.85,47.39,48.1,2446100.0
2010-01-11,48.1,49.64,48.1,49.27,3036847.0
2010-01-12,49.19,49.91,47.43,47.88,3515986.0
2010-01-13,47.8,48.55,47.02,48.25,2173395.0
2010-01-14,48.03,49.23,48.03,48.48,1694209.0
2010-01-15,48.4,49.46,48.37,49.0,2337389.0
2010-01-18,48.52,51.14,48.48,50.84,6720926.0
2010-01-19,51.03,54.26,49.83,53.13,17520364.0
2010-01-20,53.73,53.73,50.66,50.92,9114184.0
2010-01-21,51.03,52.61,49.64,51.89,9505061.0
2010-01-22,50.96,50.96,48.18,50.36,5932172.0
2010-01-25,49.53,51.59,49.19,50.43,5628746.0
2010-01-27,49.49,50.43,45.7,46.38,4805086.0
2010-01-28,46.9,47.95,46.15,46.42,4049523.0
2010-01-29,46.42,49.15,44.91,48.7,4827761.0
2010-02-01,48.63,50.21,47.84,49.68,3331888.0
2010-02-02,50.06,52.23,48.82,50.43,7499453.0
2010-02-03,50.36,52.61,50.09,50.81,5511544.0
2010-02-04,51.33,52.38,50.06,50.28,5320970.0
2010-02-05,49.46,49.46,47.73,48.22,2892521.0
2010-02-08,50.69,54.56,49.23,54.0,9821379.0
2010-02-09,54.22,55.83,53.36,54.22,11496614.0
2010-02-10,54.22,54.97,51.26,51.67,5504468.0
2010-02-11,51.93,53.77,51.78,52.61,5642152.0
2010-02-15,52.72,53.21,51.29,51.56,3093459.0
2010-02-16,51.78,52.46,50.77,52.27,2904088.0
2010-02-17,52.16,53.13,51.78,52.12,4377606.0
2010-02-18,52.16,55.12,51.07,53.51,8090973.0
2010-02-19,54.6,55.72,50.73,51.14,18876706.0
2010-02-22,52.16,52.16,48.07,48.37,7015401.0
2010-02-23,48.4,48.4,45.85,46.57,8939116.0
