,open,high,low,close,volume
2009-05-20,6.71,6.81,6.71,6.81,31555.0
2009-05-21,7.15,7.15,7.15,7.15,631305.0
2009-05-22,7.52,7.52,7.48,7.52,79435.0
2009-05-25,7.9,7.9,7.63,7.9,222095.0
2009-05-26,8.29,8.29,7.5,7.5,158705.0
2009-05-27,7.76,7.88,7.13,7.88,88270.0
2009-05-28,8.02,8.26,7.63,8.06,76380.0
2009-05-29,8.27,8.4,7.66,8.02,153195.0
2009-06-01,8.02,8.27,7.67,7.76,180150.0
2009-06-02,8.01,8.01,7.37,7.52,71345.0
2009-06-03,7.37,7.9,7.37,7.81,114210.0
2009-06-04,7.9,8.23,7.63,8.09,69115.0
2009-06-05,8.43,8.45,7.89,8.02,525580.0
2009-06-08,8.09,8.27,7.76,7.76,160435.0
2009-06-09,7.52,8.03,7.49,7.73,256865.0
2009-06-10,8.02,8.12,7.38,8.12,109590.0
2009-06-11,8.03,8.53,8.03,8.53,128085.0
2009-06-12,8.8,8.95,8.34,8.65,158420.0
2009-06-15,8.38,9.09,8.38,9.09,190805.0
2009-06-16,9.43,9.55,9.07,9.55,191630.0
2009-06-17,10.03,10.03,9.46,9.89,274520.0
2009-06-18,9.96,10.03,9.4,9.4,160110.0
2009-06-19,9.55,9.55,8.93,8.93,56680.0
2009-06-22,8.93,8.93,8.49,8.49,100495.0
2009-06-23,8.49,8.49,8.07,8.18,43075.0
2009-06-24,8.28,8.6,8.09,8.6,67095.0
2009-06-25,9.03,9.03,8.31,8.4,91010.0
2009-06-26,8.57,8.82,8.29,8.8,125005.0
2009-06-29,9.0,9.24,8.56,9.19,99650.0
2009-06-30,9.07,9.53,8.73,8.73,62265.0
2009-07-01,8.32,8.47,8.3,8.32,65590.0
2009-07-02,8.53,8.74,8.4,8.74,50720.0
2009-07-03,8.6,9.18,8.41,9.01,160995.0
2009-07-06,9.25,9.42,8.56,8.56,107740.0
2009-07-07,8.56,8.56,7.71,8.05,113810.0
2009-07-08,7.68,8.0,7.51,7.59,140930.0
2009-07-09,7.39,7.75,7.01,7.67,29115.0
2009-07-10,7.74,7.78,6.92,7.23,70555.0
2009-07-13,6.99,6.99,6.55,6.59,48375.0
2009-07-14,6.93,7.22,6.77,7.06,89045.0
2009-07-15,7.24,7.76,6.99,7.71,54475.0
2009-07-16,8.09,8.27,7.63,7.95,186795.0
2009-07-17,8.06,8.38,7.96,8.21,105325.0
2009-07-20,8.28,8.41,8.15,8.29,50240.0
2009-07-21,8.09,8.27,8.02,8.06,26030.0
2009-07-22,8.15,8.15,7.67,7.96,40900.0
2009-07-23,7.57,8.15,7.57,8.02,41905.0
2009-07-24,8.42,8.42,8.09,8.23,50170.0
2009-07-27,8.38,8.47,7.99,8.09,35655.0
2009-07-28,8.02,8.2,7.88,8.01,98555.0
2009-07-29,8.14,8.15,7.61,7.65,123770.0
2009-07-30,7.5,7.62,7.27,7.39,104645.0
2009-07-31,7.57,7.77,7.39,7.5,329960.0
2009-08-03,7.76,7.88,7.66,7.81,166055.0
2009-08-04,7.77,8.09,7.7,7.95,135350.0
2009-08-05,8.09,8.14,7.89,7.95,80865.0
2009-08-06,7.84,8.13,7.65,7.77,59935.0
2009-08-07,7.77,7.88,7.39,7.46,114940.0
2009-08-10,7.72,7.72,7.1,7.13,44370.0
2009-08-11,6.99,7.37,6.79,7.21,59860.0
2009-08-12,7.12,7.28,6.86,7.2,33990.0
2009-08-13,7.31,7.56,7.23,7.56,30895.0
2009-08-14,7.67,7.94,7.63,7.94,102525.0
2009-08-17,7.68,8.09,7.57,7.76,103145.0
2009-08-18,7.64,8.1,7.42,7.94,87965.0
2009-08-19,7.77,7.87,7.54,7.72,50360.0
2009-08-20,7.8,7.82,7.61,7.65,31925.0
2009-08-21,7.53,7.88,7.53,7.78,48960.0
2009-08-24,7.71,8.02,7.7,7.77,122585.0
2009-08-25,7.79,7.87,7.52,7.63,37805.0
2009-08-26,7.61,7.87,7.59,7.75,130505.0
2009-08-27,7.76,7.84,7.57,7.65,55115.0
2009-08-28,7.66,7.76,7.63,7.68,42635.0
2009-08-31,7.5,7.76,7.5,7.56,59320.0
2009-09-01,7.56,7.73,7.37,7.42,62405.0
2009-09-02,7.45,7.56,7.35,7.52,27470.0
2009-09-03,7.41,7.66,7.41,7.54,34610.0
2009-09-04,7.57,7.61,7.44,7.48,18910.0
2009-09-07,7.63,8.23,7.41,8.23,113870.0
2009-09-08,9.06,9.06,9.06,9.06,85775.0
2009-09-09,9.96,9.96,9.96,9.96,163050.0
2009-09-10,10.46,10.46,10.46,10.46,202600.0
2009-09-11,10.98,10.98,9.94,9.94,676900.0
2009-09-14,9.45,9.45,9.45,9.45,11325.0
2009-09-15,8.98,8.98,8.98,8.98,44230.0
2009-09-16,8.53,9.43,8.53,9.43,933520.0
2009-09-17,9.9,9.9,9.19,9.5,617790.0
2009-09-18,9.44,9.97,9.44,9.97,584805.0
2009-09-22,10.22,10.34,9.73,9.86,659315.0
2009-09-23,9.92,9.95,9.37,9.39,271980.0
2009-09-24,9.06,9.86,9.06,9.79,338480.0
2009-09-25,9.95,10.14,9.48,9.62,459040.0
2009-09-29,10.1,10.1,9.14,9.2,702210.0
2009-09-30,9.42,9.42,8.82,9.09,149940.0
2009-10-01,9.06,9.13,8.79,8.92,153505.0
2009-10-05,8.54,9.3,8.54,8.81,218015.0
2009-10-06,8.6,9.01,8.37,8.87,229560.0
2009-10-07,8.8,8.99,8.56,8.65,141440.0
2009-10-08,8.67,8.93,8.57,8.67,117510.0
2009-10-09,8.68,9.12,8.41,8.5,317705.0
2009-10-12,8.93,8.93,8.47,8.62,66480.0
2009-10-14,9.03,9.03,8.29,8.47,87215.0
2009-10-15,8.42,8.77,8.31,8.36,117215.0
2009-10-16,8.49,8.54,8.15,8.42,123680.0
2009-10-20,8.6,8.67,8.41,8.49,87970.0
2009-10-21,8.41,8.6,8.09,8.56,88640.0
2009-10-22,8.41,8.54,8.13,8.16,164235.0
2009-10-23,8.25,8.25,7.76,7.95,186760.0
2009-10-26,7.9,8.06,7.77,7.78,98865.0
2009-10-27,7.76,7.87,7.44,7.52,87645.0
2009-10-28,7.5,7.9,7.19,7.74,239675.0
2009-10-29,7.63,7.75,7.36,7.43,166890.0
2009-10-30,7.47,7.47,7.06,7.08,174165.0
2009-11-03,6.99,6.99,6.73,6.73,78475.0
2009-11-04,6.73,6.74,6.39,6.58,188300.0
2009-11-05,6.71,6.84,6.48,6.68,144875.0
2009-11-06,6.73,7.02,6.73,7.02,37945.0
2009-11-09,7.24,7.37,7.13,7.37,129495.0
2009-11-10,7.37,7.61,7.12,7.15,87040.0
