,open,high,low,close,volume
2009-05-20,213.7,219.7,211.12,213.89,1611019.0
2009-05-21,213.7,216.42,200.72,202.92,1693352.0
2009-05-22,203.86,209.77,203.16,208.97,1047957.0
2009-05-25,209.02,214.64,207.19,209.72,1271789.0
2009-05-26,210.42,215.44,206.3,207.14,1240539.0
2009-05-27,208.55,212.39,204.8,208.03,1380404.0
2009-05-28,208.08,211.92,206.2,209.72,1774391.0
2009-05-29,211.36,212.95,207.24,208.83,1208599.0
2009-06-01,210.89,211.55,203.2,205.31,1208658.0
2009-06-02,205.88,209.91,204.33,208.83,1670492.0
2009-06-03,209.48,219.56,209.02,217.97,2348217.0
2009-06-04,217.45,223.36,215.67,219.7,1915931.0
2009-06-05,220.26,222.09,216.51,219.28,1652934.0
2009-06-08,220.26,221.95,214.69,216.28,1093239.0
2009-06-09,215.58,220.26,214.64,218.53,1047468.0
2009-06-10,220.17,226.82,217.5,224.9,2065515.0
2009-06-11,238.77,238.77,220.64,225.0,1939658.0
2009-06-12,229.64,237.56,226.82,235.31,3370917.0
2009-06-15,236.57,243.18,232.12,239.15,3914176.0
2009-06-16,238.92,246.88,237.13,244.4,1836688.0
2009-06-17,245.85,245.85,236.38,241.26,1315892.0
2009-06-18,243.41,246.69,237.32,240.7,2275192.0
2009-06-19,241.82,250.35,241.82,248.8,1535067.0
2009-06-22,250.26,252.6,239.01,245.2,1197637.0
2009-06-23,242.76,248.38,240.42,243.04,1149328.0
2009-06-24,245.1,250.26,239.24,248.43,1266971.0
2009-06-25,248.85,251.1,237.18,240.88,3066838.0
2009-06-26,242.29,247.44,234.98,245.15,1844693.0
2009-06-29,246.51,247.91,241.4,246.32,1098444.0
2009-06-30,246.04,248.38,235.78,237.46,615453.0
2009-07-01,237.46,242.76,224.95,229.64,2629804.0
2009-07-02,232.92,235.21,227.81,232.54,1634637.0
2009-07-03,227.9,246.32,227.9,244.4,1667915.0
2009-07-06,244.4,249.32,233.67,241.45,1827762.0
2009-07-07,242.9,249.32,235.59,240.88,1009388.0
2009-07-08,236.2,244.87,236.2,240.18,1195576.0
2009-07-09,241.12,247.91,239.95,245.57,2006892.0
2009-07-10,247.44,248.38,243.74,245.99,1244718.0
2009-07-13,243.7,253.91,241.82,250.82,2295629.0
2009-07-14,253.07,257.29,251.19,255.04,1549807.0
2009-07-15,257.75,257.75,250.73,255.08,2301979.0
2009-07-16,257.01,261.5,249.32,259.02,1407264.0
2009-07-17,260.57,264.32,259.72,262.02,1631171.0
2009-07-20,261.97,271.53,258.13,265.39,1100253.0
2009-07-21,267.92,270.69,258.27,264.83,1046706.0
2009-07-22,266.66,267.03,251.66,254.47,1587892.0
2009-07-23,255.88,267.92,254.57,266.52,1103766.0
2009-07-24,265.25,269.0,260.85,266.05,783440.0
2009-07-27,266.19,269.94,261.6,265.58,879575.0
2009-07-28,265.58,268.96,262.44,265.3,753266.0
2009-07-29,265.96,273.69,251.19,256.86,2818963.0
2009-07-30,257.75,265.25,253.77,262.49,1895716.0
2009-07-31,263.38,268.07,255.88,257.8,967349.0
2009-08-03,259.63,266.19,255.51,265.11,785440.0
2009-08-04,267.03,268.16,253.4,255.32,1429794.0
2009-08-05,257.76,259.44,253.07,257.99,980009.0
2009-08-06,256.82,264.5,255.04,258.46,1524252.0
2009-08-07,257.75,260.94,254.47,256.44,615978.0
2009-08-10,259.65,278.91,259.65,266.03,4232630.0
2009-08-11,267.68,275.61,262.72,264.89,2130603.0
2009-08-12,263.43,270.23,260.6,269.0,1448299.0
2009-08-13,270.04,272.82,267.3,269.71,1457364.0
2009-08-14,270.98,272.31,265.37,266.45,916213.0
2009-08-17,266.45,267.21,248.32,251.25,2287657.0
2009-08-18,251.16,252.48,244.78,249.31,1393169.0
2009-08-19,252.1,258.05,241.9,243.74,2376305.0
2009-08-20,246.43,249.41,242.61,243.37,2383191.0
2009-08-21,242.66,246.06,236.99,244.69,1218824.0
2009-08-24,246.43,248.79,243.7,244.59,2622902.0
2009-08-25,245.49,249.6,243.65,246.06,2224091.0
2009-08-26,247.9,249.27,244.55,246.91,1610401.0
2009-08-27,269.05,269.05,247.71,254.13,3170917.0
2009-08-28,255.88,261.73,253.56,256.96,2045676.0
2009-08-31,253.99,258.66,252.95,255.73,926006.0
2009-09-01,255.88,258.57,250.21,253.66,1160201.0
2009-09-02,253.04,256.82,249.27,255.31,1009112.0
2009-09-03,255.88,257.48,250.21,251.16,828488.0
2009-09-04,252.1,254.46,247.47,252.85,578967.0
2009-09-07,254.84,257.48,251.2,253.66,865382.0
2009-09-08,256.16,257.76,250.68,251.63,780464.0
2009-09-09,252.1,253.99,249.03,252.48,801537.0
2009-09-10,254.84,254.84,247.38,250.26,839271.0
2009-09-11,251.06,253.47,248.65,250.31,557919.0
2009-09-14,249.27,253.89,248.32,248.79,943282.0
2009-09-15,251.53,256.35,249.74,250.26,1832179.0
2009-09-16,251.16,253.33,246.34,247.43,1424089.0
2009-09-17,248.56,250.21,243.74,244.69,1064576.0
2009-09-18,243.6,246.86,239.87,244.59,2067841.0
2009-09-22,244.5,250.12,244.22,249.55,1183678.0
2009-09-23,252.1,253.04,243.89,245.35,1353793.0
2009-09-24,238.98,248.32,238.98,244.26,1850343.0
2009-09-25,244.07,253.99,240.82,252.29,1845830.0
2009-09-29,254.65,265.79,253.04,264.0,4496535.0
2009-09-30,265.32,273.82,259.32,264.28,2069916.0
2009-10-01,267.21,267.21,255.88,257.29,1080950.0
2009-10-05,254.93,264.23,252.19,259.32,3295032.0
2009-10-06,260.6,264.37,256.02,261.21,1620699.0
2009-10-07,262.3,268.15,261.07,266.03,2940978.0
2009-10-08,267.21,282.69,266.73,277.26,6365283.0
2009-10-09,283.26,287.88,273.2,276.84,1705069.0
2009-10-12,278.58,287.03,273.34,281.61,1559836.0
2009-10-14,282.31,290.24,282.31,286.0,1654034.0
2009-10-15,286.09,287.98,274.81,277.73,1162905.0
2009-10-16,276.65,281.28,275.23,276.37,575469.0
2009-10-20,274.29,277.59,268.15,270.98,845624.0
2009-10-21,270.98,276.65,267.4,268.86,1352893.0
2009-10-22,267.91,273.16,264.52,268.39,908330.0
2009-10-23,269.09,273.58,266.36,269.19,1005868.0
2009-10-26,270.04,281.28,269.85,279.58,2248816.0
2009-10-27,280.43,281.37,273.96,279.43,2557843.0
2009-10-28,282.5,287.03,279.48,283.97,2415433.0
2009-10-29,283.26,286.18,269.38,273.72,3056127.0
2009-10-30,276.65,281.37,265.65,271.08,2156950.0
2009-11-03,268.34,274.57,258.94,272.07,1730240.0
2009-11-04,274.85,285.15,272.49,275.99,1368786.0
2009-11-05,277.59,278.54,269.09,277.07,721641.0
2009-11-06,287.88,287.88,272.16,275.37,1109355.0
2009-11-09,284.2,284.2,275.23,277.97,788401.0
2009-11-10,282.12,286.09,274.81,283.78,2306767.0
2009-11-11,286.94,291.24,284.72,287.74,2583042.0
2009-11-12,289.21,293.64,285.19,287.6,1277996.0
2009-11-13,287.98,290.34,285.62,287.08,870060.0
2009-11-16,288.21,291.76,286.09,287.08,1111240.0
2009-11-17,287.98,291.28,285.62,287.37,1934555.0
2009-11-18,288.83,296.48,288.55,291.85,2343633.0
2009-11-19,292.7,295.39,283.54,287.13,1360520.0
2009-11-20,287.13,293.46,286.09,291.52,1570372.0
2009-11-23,292.7,306.39,292.37,304.5,2720130.0
2009-11-24,308.18,313.38,306.86,309.55,3148997.0
2009-11-25,309.7,313.0,306.86,307.9,1478099.0
2009-11-26,308.75,309.41,296.1,300.06,2109028.0
