,open,high,low,close,volume
2009-05-20,109.0,114.95,106.33,110.99,628720.0
2009-05-21,112.05,113.51,108.37,109.04,25233.0
2009-05-22,109.09,111.96,102.98,105.88,98100.0
2009-05-25,106.09,109.57,105.97,108.73,202373.0
2009-05-26,108.97,111.36,108.97,110.66,42530.0
2009-05-27,110.64,116.15,110.64,111.48,550730.0
2009-05-28,114.95,114.95,108.97,111.74,39586.0
2009-05-29,108.97,114.95,108.97,112.34,65100.0
2009-06-01,113.51,117.23,110.18,110.6,306802.0
2009-06-02,112.55,113.15,110.76,112.03,25669.0
2009-06-03,112.55,116.03,110.93,114.25,83555.0
2009-06-04,112.68,123.82,112.68,117.38,688312.0
2009-06-05,119.15,120.68,115.55,117.32,127144.0
2009-06-08,109.25,121.3,109.25,117.01,64636.0
2009-06-09,116.75,119.74,116.15,118.94,108928.0
2009-06-10,118.94,120.7,115.22,117.73,1401638.0
2009-06-11,117.95,119.48,117.21,119.04,118964.0
2009-06-12,119.14,123.34,118.43,121.94,175659.0
2009-06-15,123.72,131.7,122.15,122.68,192872.0
2009-06-16,118.55,121.89,116.42,117.86,76472.0
2009-06-17,118.55,125.06,112.68,116.42,138867.0
2009-06-18,116.39,118.22,111.24,111.96,74058.0
2009-06-19,112.81,116.15,111.84,114.93,56212.0
2009-06-22,115.43,130.52,111.61,113.54,272527.0
2009-06-23,111.36,113.16,109.57,111.63,208617.0
2009-06-24,113.75,114.95,110.17,113.15,148702.0
2009-06-25,108.05,117.34,108.05,113.83,71705.0
2009-06-26,114.0,115.19,113.16,114.55,98123.0
2009-06-29,114.55,116.75,113.76,114.74,112612.0
2009-06-30,115.55,118.55,114.06,116.87,86527.0
2009-07-01,118.55,123.32,115.2,116.27,260227.0
2009-07-02,118.55,119.74,115.6,116.45,115200.0
2009-07-03,118.98,125.11,116.75,122.82,1097227.0
2009-07-06,123.82,123.82,117.36,119.23,325144.0
2009-07-07,119.22,119.74,116.15,117.33,68438.0
2009-07-08,116.75,117.35,114.95,116.13,146484.0
2009-07-09,116.3,116.77,113.16,114.43,143147.0
2009-07-10,116.74,116.74,111.61,112.63,106406.0
2009-07-13,111.6,111.6,108.73,110.73,167962.0
2009-07-14,113.15,113.16,110.64,110.99,25078.0
2009-07-15,111.02,112.97,111.02,112.52,169003.0
2009-07-16,113.75,113.75,112.44,113.16,198783.0
2009-07-17,114.35,116.75,113.76,115.56,144520.0
2009-07-20,116.15,119.86,114.49,119.46,39291.0
2009-07-21,118.55,121.54,118.19,120.24,351188.0
