,open,high,low,close,volume
2009-05-20,55.55,59.09,55.55,57.82,109606.0
2009-05-21,58.34,61.98,57.2,58.2,107554.0
2009-05-22,59.17,60.0,56.73,57.66,63764.0
2009-05-25,60.0,61.61,58.44,59.62,250702.0
2009-05-26,62.06,71.56,62.06,71.56,1361554.0
2009-05-27,72.45,78.72,70.96,76.81,981188.0
2009-05-28,76.75,78.47,72.82,76.28,262654.0
2009-05-29,78.2,82.75,77.41,79.13,530672.0
2009-06-01,82.96,84.7,76.55,78.55,390742.0
2009-06-02,78.61,79.86,73.24,75.28,202738.0
2009-06-03,76.55,78.18,75.72,77.08,120356.0
2009-06-04,77.79,79.24,74.48,76.86,121422.0
2009-06-05,77.79,82.75,76.98,79.65,332994.0
2009-06-08,79.96,80.44,75.72,76.65,93646.0
2009-06-09,74.91,77.13,72.45,76.19,96028.0
2009-06-10,77.0,79.4,76.34,77.52,104324.0
2009-06-11,78.2,79.4,76.17,78.06,93586.0
2009-06-12,78.61,79.4,75.93,76.63,39106.0
2009-06-15,75.76,76.48,70.96,71.48,72958.0
2009-06-16,71.54,71.58,67.86,70.4,43148.0
2009-06-17,71.17,73.65,69.51,70.13,71524.0
2009-06-18,70.55,70.75,65.39,68.83,115306.0
2009-06-19,68.87,71.54,67.13,68.11,58590.0
2009-06-22,69.84,72.2,67.71,71.48,51860.0
2009-06-23,67.44,76.21,67.44,75.43,728240.0
2009-06-24,75.39,81.8,75.39,80.39,153014.0
2009-06-25,81.2,82.34,76.69,81.22,164854.0
2009-06-26,81.1,81.1,77.5,78.28,31278.0
2009-06-29,78.2,80.27,77.08,77.97,50304.0
2009-06-30,80.27,80.64,76.61,76.92,76336.0
2009-07-01,78.12,78.41,74.06,76.13,118626.0
2009-07-02,77.33,79.36,75.26,76.11,393512.0
2009-07-03,76.13,78.2,75.72,76.65,24658.0
2009-07-06,76.13,79.44,70.82,72.14,55926.0
2009-07-07,72.41,74.77,70.75,74.52,94104.0
2009-07-08,74.23,74.23,67.86,69.3,57836.0
2009-07-09,69.55,75.26,68.68,73.4,45816.0
2009-07-10,73.61,73.61,69.51,69.9,15306.0
2009-07-13,70.34,70.34,67.61,69.78,14472.0
2009-07-14,71.35,76.39,71.35,76.12,50700.0
2009-07-15,77.06,80.19,76.2,79.56,103356.0
2009-07-16,81.6,81.6,77.71,78.72,244666.0
2009-07-17,76.85,80.17,76.01,77.76,145408.0
2009-07-20,76.6,79.92,76.6,79.6,122752.0
2009-07-21,78.07,81.93,77.23,77.9,256478.0
2009-07-22,79.33,82.27,77.86,79.22,1223680.0
2009-07-23,80.59,83.53,80.59,81.53,331624.0
2009-07-24,82.62,83.19,78.49,80.55,86196.0
2009-07-27,80.55,81.64,78.91,80.17,163414.0
2009-07-28,79.5,80.59,78.07,78.36,93614.0
2009-07-29,78.07,79.33,77.23,78.72,956918.0
2009-07-30,79.67,80.38,78.74,79.77,80644.0
2009-07-31,80.46,84.3,77.29,78.53,2097050.0
2009-08-03,78.49,81.05,76.81,79.88,314126.0
2009-08-04,79.88,82.69,79.88,81.01,528662.0
2009-08-05,81.85,88.94,81.01,85.35,1144842.0
2009-08-06,87.16,92.34,86.88,88.58,1473198.0
2009-08-07,88.19,89.76,84.79,87.39,292524.0
2009-08-10,88.14,90.24,85.21,85.98,205244.0
2009-08-11,85.84,86.44,83.11,84.6,129956.0
2009-08-12,83.53,84.98,79.12,80.86,142012.0
2009-08-13,82.27,87.26,81.51,85.29,351810.0
2009-08-14,86.05,89.15,85.73,86.78,151476.0
2009-08-17,84.79,86.76,82.27,82.75,83084.0
2009-08-18,83.25,87.72,81.47,85.42,157376.0
2009-08-19,85.84,87.05,83.95,86.0,58858.0
2009-08-20,87.22,89.19,83.53,84.47,94830.0
2009-08-21,84.35,85.96,84.35,84.74,70590.0
2009-08-24,86.05,88.98,85.67,88.56,121016.0
2009-08-25,88.98,99.06,88.58,93.47,2091802.0
2009-08-26,94.44,95.15,89.82,90.35,544526.0
2009-08-27,89.82,94.84,88.98,91.29,363930.0
2009-08-28,91.88,94.23,90.03,90.81,201272.0
2009-08-31,90.24,91.5,88.56,90.37,199946.0
2009-09-01,91.44,94.02,84.83,88.61,141962.0
2009-09-02,87.3,91.88,87.3,90.49,193208.0
2009-09-03,91.82,92.34,88.63,89.4,159966.0
2009-09-04,90.22,91.04,88.98,89.66,73016.0
2009-09-07,92.34,92.76,86.88,91.46,123056.0
2009-09-08,91.73,92.3,89.05,89.68,65922.0
2009-09-09,89.4,90.58,88.31,88.86,52510.0
2009-09-10,90.39,94.44,89.93,90.85,323622.0
2009-09-11,89.89,92.34,88.61,89.17,149716.0
2009-09-14,88.56,89.78,87.75,88.98,68116.0
2009-09-15,89.42,89.82,86.17,87.49,248348.0
2009-09-16,88.56,91.5,86.51,87.01,245180.0
2009-09-17,88.14,92.34,87.09,88.61,512522.0
2009-09-18,89.4,89.4,86.38,86.93,164064.0
2009-09-22,88.04,88.52,86.05,86.55,156282.0
2009-09-23,86.47,86.47,82.29,82.77,367692.0
2009-09-24,81.43,84.07,81.09,82.75,259504.0
2009-09-25,83.32,87.64,82.73,86.74,496110.0
2009-09-29,88.14,97.97,88.14,95.43,4131130.0
2009-09-30,95.15,114.52,94.04,107.39,13297114.0
2009-10-01,108.59,108.59,101.3,101.68,2896368.0
2009-10-05,98.7,102.79,96.66,99.41,858044.0
2009-10-06,100.97,101.74,95.28,99.58,818708.0
2009-10-07,102.0,102.79,98.68,99.56,657780.0
2009-10-08,102.04,102.04,96.98,97.82,276308.0
2009-10-09,98.22,98.53,93.81,95.78,341998.0
2009-10-12,97.84,101.45,96.64,97.63,703194.0
2009-10-14,98.66,98.83,95.7,96.6,1042544.0
2009-10-15,97.8,104.3,94.94,102.31,1961148.0
2009-10-16,103.25,104.89,101.2,103.17,644694.0
2009-10-20,105.31,110.81,100.99,109.17,1574404.0
2009-10-21,109.97,111.1,103.4,104.09,335506.0
2009-10-22,104.72,106.82,100.76,101.32,243936.0
2009-10-23,102.62,109.55,102.62,108.77,1125320.0
2009-10-26,109.55,111.23,104.62,109.51,760874.0
2009-10-27,109.13,109.82,104.14,106.93,430138.0
2009-10-28,106.61,111.15,104.16,105.04,420664.0
2009-10-29,104.51,106.95,102.0,102.46,169992.0
2009-10-30,102.83,106.61,98.01,98.53,180806.0
2009-11-03,97.84,97.84,85.21,88.61,1620040.0
2009-11-04,80.4,91.84,80.4,91.36,189330.0
2009-11-05,92.32,94.02,89.91,90.47,195242.0
2009-11-06,92.11,94.4,90.66,91.94,683168.0
2009-11-09,92.93,95.28,91.54,93.39,442600.0
2009-11-10,94.27,94.38,90.39,91.46,157064.0
2009-11-11,92.3,96.45,91.61,92.38,530840.0
2009-11-12,93.03,95.05,90.01,91.33,601334.0
2009-11-13,90.66,93.6,89.21,89.84,295412.0
2009-11-16,90.91,93.6,90.77,91.19,492476.0
2009-11-17,91.8,93.37,90.03,91.84,568448.0
2009-11-18,91.9,94.36,91.71,92.4,466388.0
2009-11-19,92.4,97.08,92.38,93.68,630168.0
2009-11-20,93.81,94.4,90.2,90.6,434614.0
2009-11-23,91.33,94.02,91.08,92.17,241170.0
2009-11-24,92.17,95.7,92.01,94.73,450862.0
2009-11-25,95.2,97.38,91.61,93.06,542270.0
2009-11-26,93.5,95.57,90.87,91.69,442064.0
2009-11-27,90.66,91.46,88.19,90.05,273872.0
2009-11-30,91.08,92.55,91.08,91.82,125488.0
2009-12-01,91.5,94.92,91.08,93.06,224446.0
2009-12-02,94.23,98.2,93.83,96.92,680922.0
2009-12-03,98.07,99.67,95.95,97.11,340014.0
2009-12-04,96.56,101.58,96.54,98.91,803304.0
2009-12-07,99.48,100.67,96.12,97.15,322302.0
2009-12-08,98.22,99.27,96.41,97.65,196242.0
