,open,high,low,close,volume
2009-05-20,33.45,37.0,33.05,36.32,81597.0
2009-05-21,37.08,42.72,36.68,37.97,87782.0
2009-05-22,39.1,39.5,36.88,38.57,67095.0
2009-05-25,37.48,41.47,37.48,41.11,101967.0
2009-05-26,41.92,42.64,37.32,37.93,56466.0
2009-05-27,38.45,39.02,36.6,36.88,64992.0
2009-05-28,37.52,38.29,33.86,37.69,56218.0
2009-05-29,37.89,39.86,36.44,39.02,112714.0
2009-06-01,42.64,42.93,42.52,42.93,191220.0
2009-06-02,47.2,47.2,42.72,43.85,205880.0
2009-06-03,46.59,46.75,44.01,45.18,235012.0
2009-06-04,48.33,49.74,46.67,49.74,461864.0
2009-06-05,52.24,52.24,47.64,47.88,350373.0
2009-06-08,47.56,48.37,45.51,45.59,102922.0
2009-06-09,45.14,46.59,43.61,46.19,94658.0
2009-06-10,47.8,47.84,44.34,44.82,76421.0
2009-06-11,42.76,47.04,42.76,46.19,92856.0
2009-06-12,45.95,48.49,45.95,48.09,128175.0
2009-06-15,46.51,47.76,45.95,46.31,73389.0
2009-06-16,46.92,47.64,44.74,45.75,187491.0
2009-06-17,45.75,45.75,43.49,43.49,56988.0
2009-06-18,42.0,44.22,41.31,41.31,52417.0
2009-06-19,41.23,42.24,39.26,39.62,68357.0
2009-06-22,40.23,41.64,39.5,39.78,32191.0
2009-06-23,39.46,39.66,38.09,39.3,28181.0
2009-06-24,39.5,41.27,38.9,41.03,60237.0
2009-06-25,41.52,42.24,40.06,40.55,25647.0
2009-06-26,41.88,42.6,41.72,42.6,50438.0
2009-06-29,44.3,44.74,43.53,44.74,106717.0
2009-06-30,45.95,46.71,42.52,42.52,45253.0
2009-07-01,42.52,42.93,41.11,42.56,24378.0
2009-07-02,42.36,44.09,41.6,42.32,36094.0
2009-07-03,42.72,44.46,42.72,44.01,96849.0
2009-07-06,44.09,44.74,41.84,41.84,63114.0
2009-07-07,41.15,43.01,41.11,41.76,29463.0
2009-07-08,40.75,43.33,39.74,41.8,47577.0
2009-07-09,43.05,47.08,42.4,43.09,216216.0
2009-07-10,43.53,43.89,40.35,41.52,50475.0
2009-07-13,39.54,40.67,38.69,39.1,43095.0
2009-07-14,41.11,41.84,39.5,41.39,33470.0
2009-07-15,41.96,43.33,41.6,42.89,34505.0
2009-07-16,43.49,44.34,42.72,43.13,41404.0
2009-07-17,43.53,43.93,42.97,43.49,56279.0
2009-07-20,44.98,45.83,43.81,44.82,55814.0
2009-07-21,45.79,47.36,44.34,44.78,245189.0
2009-07-22,46.27,47.96,45.42,45.95,188850.0
2009-07-23,45.99,47.36,45.99,47.36,64570.0
2009-07-24,48.83,48.99,47.03,47.97,49247.0
2009-07-27,44.13,48.79,43.11,47.2,68703.0
2009-07-28,46.99,49.03,46.99,48.3,43893.0
2009-07-29,48.26,48.71,45.97,47.36,88898.0
2009-07-30,48.75,48.75,46.3,46.66,37837.0
2009-07-31,47.4,48.05,46.34,46.71,52062.0
2009-08-03,47.28,47.4,46.58,47.32,29302.0
2009-08-04,48.87,49.93,47.24,47.73,99040.0
2009-08-05,44.13,48.3,44.13,48.14,65004.0
2009-08-06,47.81,50.67,46.99,48.14,194214.0
2009-08-07,48.91,49.65,46.17,46.66,77687.0
2009-08-10,48.71,48.71,47.2,47.85,41961.0
2009-08-11,48.22,50.67,46.99,49.77,236902.0
2009-08-12,51.57,57.21,51.57,53.49,1483249.0
2009-08-13,54.18,57.94,54.18,56.39,941887.0
2009-08-14,55.98,57.53,53.86,54.27,334423.0
2009-08-17,51.9,55.9,51.57,52.26,264152.0
2009-08-18,52.55,54.18,51.9,52.43,102993.0
2009-08-19,52.96,54.35,50.06,50.38,97304.0
2009-08-20,51.32,51.49,49.24,50.1,156214.0
2009-08-21,49.85,50.83,49.2,50.02,49511.0
2009-08-24,51.04,51.2,49.85,50.42,62083.0
2009-08-25,49.93,50.55,48.83,49.53,72496.0
2009-08-26,49.2,50.67,49.16,50.02,69921.0
2009-08-27,49.85,51.49,49.48,50.02,112538.0
2009-08-28,50.06,51.16,50.06,50.47,63018.0
2009-08-31,49.08,52.3,49.08,51.9,101322.0
