,open,high,low,close,volume
2009-05-20,29.13,34.29,29.13,33.23,511380.0
2009-05-21,34.64,39.87,34.64,36.9,955854.0
2009-05-22,37.12,37.4,34.99,35.84,238960.0
2009-05-25,36.06,40.12,34.99,39.57,536392.0
2009-05-26,39.94,41.71,36.8,37.93,399938.0
2009-05-27,39.24,40.62,38.0,39.8,252208.0
2009-05-28,39.94,42.35,37.91,38.46,465098.0
2009-05-29,38.88,46.16,38.88,46.16,1536870.0
2009-06-01,48.3,50.8,48.3,50.8,907402.0
2009-06-02,52.32,55.25,47.05,48.37,799322.0
2009-06-03,49.05,49.84,45.32,47.12,397608.0
2009-06-04,45.95,49.66,45.46,48.87,359626.0
2009-06-05,49.49,53.73,49.05,49.98,1116434.0
2009-06-08,51.18,51.61,45.42,45.9,274562.0
2009-06-09,45.25,50.5,42.95,50.5,310968.0
2009-06-10,51.61,53.73,49.52,51.31,559276.0
2009-06-11,51.64,52.67,48.8,49.42,369288.0
2009-06-12,50.37,52.24,49.38,49.52,221924.0
2009-06-15,49.49,49.49,45.95,46.41,129560.0
2009-06-16,44.54,50.51,44.29,49.2,241558.0
2009-06-17,49.47,53.38,47.54,48.83,1026492.0
2009-06-18,49.05,49.82,44.89,46.48,325880.0
2009-06-19,47.33,49.45,46.31,47.26,178478.0
2009-06-22,47.37,49.84,47.01,48.41,213592.0
2009-06-23,46.13,48.85,46.06,48.0,180562.0
2009-06-24,48.92,52.81,47.72,52.81,917544.0
2009-06-25,54.44,56.38,52.0,54.47,1600820.0
2009-06-26,54.86,55.71,53.38,55.02,322372.0
2009-06-29,55.64,58.25,55.57,56.7,789158.0
2009-06-30,57.97,58.32,51.31,53.92,447860.0
2009-07-01,54.07,54.08,50.32,51.91,257668.0
2009-07-02,52.33,55.32,51.11,53.92,384268.0
2009-07-03,53.02,54.97,51.73,53.29,281626.0
2009-07-06,53.73,55.11,47.97,48.3,402040.0
2009-07-07,49.13,49.66,45.99,47.17,196016.0
2009-07-08,45.63,45.85,41.36,42.01,179192.0
2009-07-09,41.87,43.76,39.94,42.31,234904.0
2009-07-10,42.77,43.12,40.05,40.6,202520.0
2009-07-13,39.24,40.97,36.13,37.15,158320.0
2009-07-14,38.16,39.4,37.84,38.46,244764.0
2009-07-15,39.18,41.52,39.18,39.18,408996.0
2009-07-16,43.79,46.46,43.72,44.05,312314.0
2009-07-17,45.03,46.53,44.51,45.98,237738.0
2009-07-20,47.38,47.66,46.27,47.2,176664.0
2009-07-21,46.31,47.01,44.81,45.11,85640.0
2009-07-22,45.53,48.94,45.35,45.92,249226.0
2009-07-23,47.53,47.53,45.9,46.25,122498.0
2009-07-24,47.53,47.53,45.75,47.11,167074.0
2009-07-27,47.38,47.94,46.31,46.57,89866.0
2009-07-28,47.35,53.64,47.35,51.92,1136876.0
2009-07-29,50.46,52.23,47.2,50.59,533530.0
2009-07-30,51.08,51.29,48.86,50.57,114426.0
2009-07-31,51.75,52.38,48.62,49.64,193088.0
2009-08-03,51.08,51.08,49.31,50.2,57060.0
2009-08-04,50.7,52.57,50.16,50.49,319822.0
2009-08-05,51.07,51.62,48.97,49.99,334968.0
2009-08-06,50.31,50.31,48.22,48.77,123314.0
2009-08-07,48.85,50.51,46.64,47.85,500996.0
2009-08-10,48.46,49.16,46.64,46.88,61498.0
2009-08-11,46.46,47.59,46.12,46.49,43506.0
2009-08-12,46.61,47.01,45.18,46.2,136706.0
2009-08-13,46.99,48.12,46.83,47.72,82636.0
2009-08-14,48.12,49.03,46.4,47.24,81236.0
2009-08-17,46.27,47.01,44.64,45.14,54236.0
2009-08-18,45.46,46.83,44.85,45.72,78432.0
2009-08-19,46.27,47.27,44.42,44.68,66318.0
2009-08-20,45.85,48.12,44.83,47.11,310368.0
2009-08-21,47.73,49.97,46.88,48.77,620816.0
2009-08-24,49.59,52.57,48.49,51.23,1004294.0
2009-08-25,51.58,52.01,50.55,51.47,508860.0
2009-08-26,52.53,52.75,50.07,50.7,168912.0
2009-08-27,51.83,52.38,50.46,50.75,395784.0
2009-08-28,51.44,51.83,50.46,50.68,93204.0
2009-08-31,50.51,51.05,49.47,50.44,255074.0
2009-09-01,50.49,51.42,49.29,49.64,175164.0
2009-09-02,49.75,52.2,49.23,50.4,521616.0
2009-09-03,51.05,52.2,49.81,50.18,308708.0
2009-09-04,51.07,52.2,49.72,51.18,606142.0
2009-09-07,51.83,52.38,50.2,51.38,1183928.0
2009-09-08,51.38,52.38,49.62,50.21,336878.0
2009-09-09,50.16,50.42,48.9,49.53,103972.0
2009-09-10,50.51,51.07,47.24,48.53,191798.0
2009-09-11,49.23,49.6,47.81,48.7,104020.0
2009-09-14,47.96,49.94,47.96,49.07,88456.0
2009-09-15,49.77,52.38,49.33,51.99,721714.0
2009-09-16,52.38,53.68,52.23,52.57,1011828.0
2009-09-17,53.27,53.38,50.9,51.2,249358.0
2009-09-18,51.27,52.57,50.2,51.42,683350.0
2009-09-22,51.71,53.4,50.42,50.97,1629308.0
2009-09-23,51.51,52.01,50.44,50.66,731820.0
2009-09-24,49.79,52.75,49.33,52.33,584946.0
2009-09-25,52.75,52.94,50.79,51.12,254818.0
2009-09-29,51.47,55.53,51.08,54.73,2887544.0
2009-09-30,54.93,54.93,53.68,53.86,467876.0
2009-10-01,54.01,56.71,52.57,54.29,2986110.0
2009-10-05,52.23,55.43,52.23,52.88,567324.0
2009-10-06,53.97,54.49,50.71,54.03,804374.0
2009-10-07,54.05,56.43,53.49,54.56,1451952.0
2009-10-08,55.53,55.82,53.57,54.47,257224.0
2009-10-09,55.32,63.19,54.79,60.99,6880848.0
2009-10-12,61.69,63.78,61.65,63.04,2747638.0
2009-10-14,63.12,75.66,62.01,75.61,8560258.0
2009-10-15,77.37,78.26,71.57,73.61,4897640.0
2009-10-16,73.93,80.29,71.67,74.07,3829954.0
2009-10-20,76.29,81.29,75.52,77.11,4063430.0
2009-10-21,77.74,79.18,73.78,74.44,1036462.0
2009-10-22,73.93,76.59,71.7,74.63,885996.0
2009-10-23,75.55,76.42,72.19,72.63,542408.0
2009-10-26,69.59,72.89,68.52,69.82,766522.0
2009-10-27,68.85,70.33,67.37,68.84,658872.0
2009-10-28,68.21,73.39,66.63,71.57,731740.0
2009-10-29,71.07,71.07,68.19,69.93,894604.0
2009-10-30,72.54,73.3,62.95,63.82,1955682.0
2009-11-03,62.93,65.17,58.86,60.23,879894.0
2009-11-04,61.45,63.12,60.34,62.69,454842.0
2009-11-05,62.56,63.45,61.19,63.06,541842.0
2009-11-06,63.82,65.8,63.67,65.0,1468812.0
2009-11-09,65.86,66.93,65.24,66.0,1618578.0
2009-11-10,66.15,70.32,63.76,64.5,1924298.0
2009-11-11,64.78,65.39,62.93,63.63,961486.0
2009-11-12,62.56,63.67,61.82,62.15,646754.0
2009-11-13,62.19,65.82,60.34,64.74,788630.0
2009-11-16,65.37,66.6,64.78,65.11,352514.0
2009-11-17,64.43,65.34,63.71,64.91,274698.0
2009-11-18,64.82,65.41,62.19,64.63,192470.0
2009-11-19,64.06,66.6,64.06,65.11,472610.0
2009-11-20,64.78,68.48,64.04,67.71,679582.0
2009-11-23,68.11,68.3,65.97,66.26,424236.0
2009-11-24,66.56,71.76,66.26,69.21,1664624.0
2009-11-25,69.76,70.33,67.41,68.46,306052.0
2009-11-26,68.82,68.82,66.26,66.8,197806.0
2009-11-27,65.89,66.45,63.87,65.43,206556.0
2009-11-30,65.71,75.89,65.43,73.85,1437158.0
2009-12-01,74.41,77.37,71.57,72.44,2633332.0
2009-12-02,72.87,73.48,70.04,70.54,740616.0
2009-12-03,69.59,72.52,69.59,70.32,353602.0
2009-12-04,70.5,70.7,68.3,68.8,270230.0
2009-12-07,68.85,74.26,68.85,71.65,1826726.0
2009-12-08,72.37,72.37,69.67,70.83,367080.0
2009-12-09,73.67,73.67,70.33,70.65,729986.0
2009-12-10,71.41,72.56,69.83,71.04,373862.0
2009-12-11,72.17,72.74,69.63,71.96,751690.0
2009-12-14,71.96,72.89,70.89,71.19,661418.0
2009-12-15,71.78,72.52,70.63,71.19,471974.0
2009-12-16,71.78,71.78,70.15,70.52,120826.0
2009-12-17,71.04,71.54,70.7,71.19,97086.0
2009-12-18,70.89,72.11,68.56,69.41,354210.0
2009-12-21,68.91,70.15,68.32,69.48,254986.0
2009-12-22,70.87,70.93,68.69,69.06,864438.0
2009-12-23,70.87,70.93,68.69,69.06,864438.0
2009-12-24,70.87,70.93,68.69,69.06,864438.0
2009-12-29,70.87,70.93,68.69,69.06,864438.0
2009-12-30,70.87,70.93,68.69,69.06,864438.0
2009-12-31,70.87,70.93,68.69,69.06,864438.0
2010-01-04,70.3,75.09,69.67,72.74,851868.0
2010-01-05,73.93,77.07,72.93,76.31,1143302.0
2010-01-06,76.63,78.63,75.2,77.03,1766822.0
2010-01-07,77.07,79.77,76.46,78.18,1187726.0
2010-01-08,78.11,81.07,77.0,77.9,863808.0
2010-01-11,78.11,80.42,76.96,79.26,532156.0
2010-01-12,79.85,79.85,75.89,76.28,317576.0
2010-01-13,74.44,76.53,74.44,76.09,193784.0
2010-01-14,77.66,81.59,76.81,78.68,712920.0
2010-01-15,79.22,79.59,76.33,77.05,221140.0
2010-01-18,77.4,79.51,75.15,78.03,259142.0
2010-01-19,78.63,79.96,77.55,78.37,574228.0
2010-01-20,77.74,81.79,77.31,79.5,1245732.0
2010-01-21,79.74,80.66,76.28,76.74,224926.0
2010-01-22,74.04,76.92,71.22,75.05,586338.0
2010-01-25,74.04,79.37,72.63,76.98,442276.0
2010-01-27,75.37,76.63,70.33,71.85,875350.0
2010-01-28,72.19,74.39,69.32,70.8,250686.0
