,open,high,low,close,volume
2009-05-20,204.21,225.65,204.21,222.78,921228.0
2009-05-21,212.32,237.56,212.32,233.91,1049612.0
2009-05-22,234.54,240.41,229.53,234.49,504020.0
2009-05-25,233.17,237.58,227.67,231.31,363784.0
2009-05-26,231.31,232.72,220.79,227.14,279432.0
2009-05-27,227.47,235.35,220.44,232.16,380760.0
2009-05-28,234.34,243.62,229.75,233.01,1034160.0
2009-05-29,237.58,238.38,228.74,232.71,393724.0
2009-06-01,238.59,239.54,218.57,228.98,370180.0
2009-06-02,230.9,233.05,223.62,227.03,174864.0
2009-06-03,225.24,236.97,224.84,229.45,809072.0
2009-06-04,235.35,248.7,229.69,245.5,1581688.0
2009-06-05,248.7,256.68,232.98,240.84,1030392.0
2009-06-08,251.69,262.65,234.95,240.41,1370140.0
2009-06-09,240.61,249.69,232.95,241.49,688180.0
2009-06-10,245.08,253.75,241.52,245.54,610916.0
2009-06-11,242.65,249.71,242.65,244.35,322464.0
2009-06-12,248.29,251.06,235.86,237.87,300036.0
2009-06-15,245.21,250.75,229.11,231.3,337728.0
2009-06-16,230.55,236.32,228.28,235.07,244164.0
2009-06-17,235.3,237.26,223.74,226.4,245464.0
2009-06-18,229.1,229.1,217.96,220.35,321780.0
2009-06-19,224.98,230.97,221.06,228.36,302376.0
2009-06-22,233.24,236.13,217.96,218.86,213180.0
2009-06-23,215.69,221.88,210.53,220.94,225528.0
2009-06-24,218.79,226.63,218.79,224.75,147500.0
2009-06-25,227.04,236.52,226.01,230.39,609080.0
2009-06-26,223.36,241.84,223.36,237.2,829124.0
2009-06-29,237.36,245.62,237.36,239.98,375808.0
2009-06-30,240.49,243.31,228.3,229.92,239028.0
2009-07-01,229.31,236.02,222.92,230.61,364188.0
2009-07-02,233.65,244.38,227.58,232.64,185196.0
2009-07-03,231.17,234.25,228.49,231.72,160844.0
2009-07-06,231.58,233.21,221.88,224.58,350024.0
2009-07-07,224.98,225.73,218.41,221.72,232016.0
2009-07-08,225.8,225.8,210.59,212.01,165320.0
2009-07-09,211.56,212.99,208.67,210.3,289764.0
2009-07-10,209.21,212.55,204.96,206.25,219960.0
2009-07-13,206.4,208.41,196.52,199.04,218548.0
2009-07-14,200.84,205.44,200.84,202.44,196348.0
2009-07-15,204.96,220.85,202.74,217.8,460672.0
2009-07-16,217.76,221.88,211.56,218.39,306588.0
2009-07-17,219.2,225.91,215.75,218.77,290344.0
2009-07-20,222.71,228.06,220.25,227.13,321584.0
2009-07-21,228.9,230.88,221.33,223.98,292968.0
2009-07-22,226.01,228.08,219.82,221.87,257868.0
2009-07-23,233.19,233.19,226.0,227.01,1055932.0
2009-07-24,229.11,235.92,228.39,233.96,419204.0
2009-07-27,235.3,244.38,234.27,240.43,694360.0
2009-07-28,242.32,242.32,235.3,236.0,280972.0
2009-07-29,234.37,238.4,226.84,228.81,447572.0
2009-07-30,257.59,257.59,219.61,226.69,763722.0
2009-07-31,229.05,231.58,216.72,221.28,629556.0
2009-08-03,222.09,222.09,186.22,211.23,1261278.0
2009-08-04,212.6,212.97,204.36,206.13,900490.0
2009-08-05,208.26,210.08,204.75,205.83,682824.0
2009-08-06,206.53,207.64,199.47,200.6,843048.0
2009-08-07,205.99,205.99,194.58,196.08,1075218.0
2009-08-10,198.15,200.62,187.83,188.78,818546.0
2009-08-11,185.76,192.78,185.76,191.75,533504.0
2009-08-12,189.89,196.41,189.89,194.29,736796.0
2009-08-13,194.89,200.09,194.89,199.1,503102.0
2009-08-14,200.54,202.23,196.52,200.15,350520.0
2009-08-17,198.15,201.57,195.81,196.54,714044.0
2009-08-18,196.95,200.58,195.46,196.5,311756.0
2009-08-19,198.15,198.48,193.23,196.02,267764.0
2009-08-20,197.73,201.8,196.12,199.28,354270.0
2009-08-21,199.43,201.61,196.08,198.64,513990.0
2009-08-24,199.39,204.17,199.39,200.89,750946.0
2009-08-25,200.89,203.1,198.97,199.51,470732.0
2009-08-26,200.05,205.33,200.05,203.08,491926.0
2009-08-27,202.28,221.76,202.28,219.18,2548706.0
2009-08-28,222.92,224.98,216.31,217.96,1237200.0
2009-08-31,216.72,222.59,214.68,217.32,512786.0
2009-09-01,218.79,221.12,211.36,212.57,369654.0
2009-09-02,211.36,215.05,210.45,211.85,246046.0
2009-09-03,211.21,214.25,210.68,211.83,243132.0
2009-09-04,212.6,214.21,209.31,212.45,183708.0
2009-09-07,212.6,218.7,212.6,216.39,321560.0
2009-09-08,217.55,220.4,210.59,212.76,1056510.0
2009-09-09,213.63,218.37,207.35,213.15,762972.0
2009-09-10,216.72,219.53,210.65,214.37,924594.0
2009-09-11,215.48,218.58,213.01,214.31,744684.0
2009-09-14,214.66,216.27,210.16,211.52,504824.0
2009-09-15,214.25,214.66,211.36,212.31,273404.0
2009-09-16,213.34,215.73,211.44,212.64,671526.0
2009-09-17,214.66,226.92,213.42,223.39,3198132.0
2009-09-18,225.8,232.1,223.43,228.36,2118402.0
2009-09-22,229.11,231.13,222.94,224.42,454998.0
2009-09-23,224.98,230.2,219.2,221.68,798974.0
2009-09-24,219.98,224.15,216.72,220.54,689882.0
2009-09-25,215.13,235.63,210.94,234.35,2263702.0
2009-09-29,238.66,238.66,230.76,232.08,1221762.0
2009-09-30,233.24,237.78,230.59,233.71,804820.0
2009-10-01,234.47,234.47,226.22,228.08,788860.0
2009-10-05,225.17,232.62,223.74,226.07,789854.0
2009-10-06,228.03,228.26,219.2,223.72,410174.0
2009-10-07,227.6,231.69,224.15,229.15,913348.0
2009-10-08,231.17,241.29,231.17,236.54,2517754.0
2009-10-09,239.43,242.65,236.13,237.71,1237742.0
2009-10-12,239.43,243.35,238.19,241.33,697458.0
2009-10-14,242.32,257.18,242.32,255.05,1829246.0
2009-10-15,257.18,260.07,244.01,246.47,807102.0
2009-10-16,250.16,254.29,247.11,250.61,503338.0
2009-10-20,250.99,255.53,245.74,247.15,495920.0
2009-10-21,250.99,250.99,232.0,234.31,1023088.0
2009-10-22,234.31,239.34,228.28,230.88,510976.0
2009-10-23,236.95,238.21,229.93,233.11,603644.0
2009-10-26,235.3,241.04,233.11,234.27,718634.0
2009-10-27,234.27,234.87,222.09,224.55,435260.0
2009-10-28,224.98,227.5,220.89,223.56,362886.0
2009-10-29,220.85,226.14,217.8,222.59,505668.0
2009-10-30,227.04,229.31,217.96,220.17,411208.0
2009-11-03,219.2,219.2,213.9,215.67,488552.0
2009-11-04,219.82,226.01,214.68,224.71,379562.0
2009-11-05,224.57,230.35,220.95,228.65,352250.0
2009-11-06,229.79,233.69,226.63,227.93,573522.0
2009-11-09,229.11,235.09,227.87,233.69,339202.0
2009-11-10,235.32,239.39,234.58,235.46,546718.0
2009-11-11,239.43,241.08,233.85,239.74,284058.0
2009-11-12,239.43,242.48,235.34,239.49,437752.0
2009-11-13,239.51,242.69,235.96,237.2,382048.0
2009-11-16,240.01,242.73,236.7,237.63,266882.0
2009-11-17,235.79,241.41,234.16,235.16,350952.0
2009-11-18,235.3,236.54,232.1,233.61,237548.0
