,open,high,low,close,volume
2009-05-20,540.12,586.5,540.12,573.18,819622.0
2009-05-21,573.18,598.19,571.5,580.46,530147.0
2009-05-22,582.96,614.7,563.72,601.1,666266.0
2009-05-25,602.15,602.15,577.68,591.73,603848.0
2009-05-26,595.69,612.97,595.55,601.28,512383.0
2009-05-27,609.33,619.79,601.24,613.29,480125.0
2009-05-28,612.97,618.15,594.05,602.06,567299.0
2009-05-29,609.33,612.97,577.68,588.87,1025725.0
2009-06-01,589.32,599.96,573.86,578.55,1053153.0
2009-06-02,583.28,585.69,552.99,560.27,644144.0
2009-06-03,563.86,579.96,541.58,565.63,629324.0
2009-06-04,570.23,591.1,558.45,586.82,1018625.0
2009-06-05,591.14,636.62,583.87,624.16,1284944.0
2009-06-08,624.79,635.71,615.7,623.61,600940.0
2009-06-09,623.88,658.31,620.24,647.35,641181.0
2009-06-10,650.26,697.55,647.53,683.59,1117227.0
2009-06-11,683.72,697.5,658.44,673.95,339521.0
2009-06-12,682.09,682.09,636.62,641.25,215252.0
2009-06-15,635.71,656.53,611.24,641.66,415984.0
2009-06-16,636.61,677.54,631.16,648.35,563854.0
2009-06-17,643.12,670.99,632.07,650.48,459822.0
2009-06-18,650.26,677.45,648.48,662.44,654352.0
2009-06-19,663.9,677.54,663.9,668.17,1042628.0
2009-06-22,668.45,682.91,654.76,668.31,352066.0
2009-06-23,659.35,680.18,656.3,677.27,246364.0
2009-06-24,683.0,690.73,673.08,676.31,249637.0
2009-06-25,686.73,704.91,677.59,688.41,938107.0
2009-06-26,682.09,717.56,682.09,700.46,743913.0
2009-06-29,706.64,720.28,703.01,711.92,230680.0
2009-06-30,718.47,727.56,700.55,709.23,141313.0
2009-07-01,709.37,726.56,703.0,715.96,496492.0
2009-07-02,727.29,735.29,705.92,716.06,414694.0
2009-07-03,726.05,738.42,726.05,731.04,447202.0
2009-07-06,729.71,729.71,694.88,702.81,244662.0
2009-07-07,706.11,728.34,706.11,719.45,389784.0
2009-07-08,719.86,747.32,719.86,739.39,403187.0
2009-07-09,742.32,755.38,735.44,741.17,396044.0
2009-07-10,735.22,747.13,724.26,732.24,430649.0
2009-07-13,730.63,730.63,697.4,702.72,113104.0
2009-07-14,705.88,714.13,698.09,705.28,119826.0
2009-07-15,704.96,711.98,691.21,702.08,314944.0
2009-07-16,709.55,712.34,688.46,692.45,140515.0
2009-07-17,697.63,712.21,687.55,704.6,137363.0
2009-07-20,716.88,731.55,705.88,724.44,77768.0
2009-07-21,728.8,747.09,720.78,725.68,222133.0
2009-07-22,732.47,752.45,684.43,688.51,1012173.0
2009-07-23,692.13,726.96,667.42,719.58,916285.0
2009-07-24,724.21,754.47,722.43,747.09,700047.0
2009-07-27,751.72,756.3,729.85,748.05,355371.0
2009-07-28,755.25,755.25,724.31,735.77,248466.0
2009-07-29,735.22,749.84,726.05,738.24,174276.0
2009-07-30,742.55,766.29,735.31,756.07,543619.0
2009-07-31,763.63,765.47,744.38,751.99,266310.0
2009-08-03,749.15,762.72,738.97,746.31,252364.0
2009-08-04,748.97,754.01,735.58,749.38,156324.0
2009-08-05,754.47,755.84,739.8,753.46,64195.0
2009-08-06,743.97,751.53,728.89,735.08,108233.0
2009-08-07,737.69,742.27,718.16,721.97,211094.0
2009-08-10,726.96,737.78,707.71,715.0,247352.0
2009-08-11,722.38,739.8,704.14,733.38,301483.0
2009-08-12,727.88,742.55,715.05,733.79,146523.0
2009-08-13,735.22,751.72,733.29,736.96,220759.0
2009-08-14,738.88,738.88,727.88,736.09,90992.0
2009-08-17,726.32,735.86,724.35,726.28,136695.0
2009-08-18,722.11,731.55,709.32,723.99,256333.0
2009-08-19,729.67,741.54,724.49,732.97,222318.0
2009-08-20,724.21,737.87,724.21,735.77,121334.0
2009-08-21,728.8,743.47,718.71,737.46,134911.0
2009-08-24,738.88,746.17,733.57,738.52,158175.0
2009-08-25,734.53,749.88,728.8,742.0,107500.0
2009-08-26,749.88,760.88,735.22,757.03,288075.0
2009-08-27,757.45,766.38,738.01,747.04,317723.0
2009-08-28,747.18,751.67,734.39,749.33,167425.0
2009-08-31,742.59,742.59,723.3,726.87,276141.0
2009-09-01,726.05,737.87,715.96,719.36,298487.0
2009-09-02,715.14,725.09,710.65,713.99,107500.0
2009-09-03,710.46,716.88,699.46,702.72,362565.0
2009-09-04,683.15,715.96,683.15,708.45,447191.0
2009-09-07,703.68,732.51,703.68,727.97,278251.0
2009-09-08,732.46,736.13,726.23,728.84,126879.0
2009-09-09,736.41,737.97,721.92,727.01,734019.0
2009-09-10,735.22,780.13,731.46,752.68,1063686.0
2009-09-11,753.55,764.92,733.38,742.27,629416.0
2009-09-14,746.22,759.78,730.95,751.44,540826.0
2009-09-15,758.41,764.55,750.98,759.51,687523.0
2009-09-16,760.01,770.92,756.71,761.39,934451.0
2009-09-17,761.8,774.63,749.88,765.51,624743.0
2009-09-18,774.63,798.93,769.13,793.89,894661.0
2009-09-22,795.72,805.53,778.12,790.49,405928.0
2009-09-23,794.8,808.09,778.3,796.64,397783.0
2009-09-24,810.39,821.39,793.06,817.95,669242.0
2009-09-25,836.06,920.12,836.06,905.31,2147820.0
2009-09-29,915.81,933.32,890.37,905.82,1262602.0
2009-09-30,898.39,931.12,856.73,910.08,1930048.0
2009-10-01,900.23,900.23,870.89,872.91,862270.0
2009-10-05,869.06,869.06,840.23,844.08,791545.0
2009-10-06,850.49,868.74,830.1,860.49,744009.0
2009-10-07,863.56,880.06,857.14,869.19,867249.0
2009-10-08,869.97,900.68,854.3,896.47,847666.0
2009-10-09,902.98,907.56,870.89,878.87,464891.0
2009-10-12,884.55,896.33,870.89,882.26,378330.0
2009-10-14,885.56,904.81,885.56,901.14,302504.0
2009-10-15,907.56,910.17,880.15,886.11,298696.0
2009-10-16,886.48,890.14,859.11,862.27,339491.0
2009-10-20,867.96,874.47,852.74,856.13,163308.0
2009-10-21,854.39,866.31,830.19,836.19,426786.0
2009-10-22,833.95,844.99,815.89,827.48,235669.0
2009-10-23,838.81,884.55,836.06,879.69,1129229.0
2009-10-26,861.72,909.26,861.72,894.36,759752.0
2009-10-27,894.36,917.96,892.89,908.57,856851.0
2009-10-28,902.98,925.89,902.98,916.36,440803.0
2009-10-29,905.73,952.48,863.56,931.58,752733.0
2009-10-30,942.3,948.81,918.56,927.18,589920.0
2009-11-03,953.21,1004.27,931.39,948.35,1782113.0
2009-11-04,971.64,986.12,950.65,975.86,610329.0
2009-11-05,975.86,990.98,956.65,981.59,540374.0
2009-11-06,994.65,996.76,973.61,980.21,248850.0
2009-11-09,990.07,1026.6,976.31,1008.26,432244.0
2009-11-10,1013.17,1025.82,992.49,1000.38,376828.0
2009-11-11,1012.07,1040.49,990.16,1034.89,561161.0
2009-11-12,1037.74,1044.61,1005.65,1016.42,362540.0
2009-11-13,1014.82,1027.61,1004.73,1016.33,162748.0
2009-11-16,1017.57,1030.95,990.52,1010.55,711035.0
2009-11-17,1017.48,1026.55,1003.86,1018.25,511877.0
2009-11-18,1018.25,1031.23,1011.2,1015.41,319970.0
2009-11-19,1013.9,1015.41,992.17,1007.39,365055.0
2009-11-20,1003.82,1032.23,993.0,1024.49,957466.0
2009-11-23,965.63,1050.57,965.63,1012.2,603665.0
2009-11-24,1026.23,1026.23,971.82,1016.97,331496.0
2009-11-25,1025.54,1025.54,1002.17,1008.63,227834.0
2009-11-26,1008.03,1032.88,999.23,1021.42,297688.0
2009-11-27,1017.57,1031.32,999.42,1016.7,379219.0
2009-11-30,1024.81,1048.37,1017.61,1034.94,821236.0
2009-12-01,1048.74,1061.43,1032.28,1049.65,340673.0
2009-12-02,1060.01,1061.39,1025.41,1030.54,517104.0
2009-12-03,1035.9,1040.44,1022.15,1030.4,196149.0
2009-12-04,1039.48,1042.23,1008.49,1027.06,574929.0
2009-12-07,1017.57,1028.57,991.49,1003.45,1260454.0
2009-12-08,1007.48,1013.81,990.07,1005.74,233516.0
2009-12-09,1033.79,1033.79,973.88,987.32,267555.0
2009-12-10,994.65,1023.07,980.9,1014.31,403617.0
2009-12-11,1022.15,1026.64,997.4,1011.2,269216.0
2009-12-14,1016.65,1016.65,998.5,1011.79,191760.0
2009-12-15,1017.57,1039.34,1017.57,1030.22,280924.0
2009-12-16,1035.63,1057.86,1034.07,1048.69,378332.0
