,open,high,low,close,volume
2009-05-20,64.92,65.16,64.92,65.16,1304.0
2009-05-21,68.43,68.43,66.49,66.79,4536.0
2009-05-22,69.94,70.13,63.78,68.75,31262.0
2009-05-25,65.46,72.2,65.46,71.92,8416.0
2009-05-26,73.49,75.24,70.34,71.16,2900.0
2009-05-27,71.39,74.19,71.39,73.04,3242.0
2009-05-28,71.39,71.39,69.41,70.55,5578.0
2009-05-29,69.99,73.84,67.89,72.56,7440.0
2009-06-01,76.19,76.2,74.28,76.12,6986.0
2009-06-02,77.69,79.23,73.49,76.71,4146.0
2009-06-03,78.74,78.74,74.23,77.2,3938.0
2009-06-04,78.01,78.39,75.24,77.38,3720.0
2009-06-05,77.34,81.19,77.34,78.57,14100.0
2009-06-08,77.34,82.5,74.89,82.5,14012.0
2009-06-09,84.58,86.63,83.99,86.63,4194.0
2009-06-10,90.97,90.97,90.97,90.97,3906.0
2009-06-11,95.52,95.52,87.84,93.72,27298.0
2009-06-12,93.88,96.94,92.77,96.05,9654.0
2009-06-15,94.84,97.64,91.34,91.44,7424.0
2009-06-16,91.34,96.03,91.34,95.52,5514.0
2009-06-17,92.74,99.39,92.04,93.16,3242.0
2009-06-18,90.67,97.27,88.5,90.04,8194.0
2009-06-19,94.14,94.14,88.92,89.54,9900.0
2009-06-22,93.09,93.68,87.89,90.01,121008.0
2009-06-23,89.24,89.24,86.84,88.71,3296.0
2009-06-24,92.35,92.35,87.52,88.77,2286.0
2009-06-25,91.93,92.04,88.54,88.57,1204.0
2009-06-26,88.61,92.04,85.74,91.01,276618.0
2009-06-29,95.5,95.56,95.5,95.56,2276.0
2009-06-30,97.99,100.33,94.87,95.56,11734.0
2009-07-01,94.59,99.72,90.78,97.36,7498.0
2009-07-02,96.59,100.33,94.49,95.22,1320.0
2009-07-03,94.49,96.17,91.46,92.13,5906.0
2009-07-06,92.07,93.79,87.93,89.59,1486.0
2009-07-07,89.62,91.69,88.21,90.24,2826.0
2009-07-08,90.95,90.95,83.99,85.27,3604.0
2009-07-09,84.34,87.05,82.24,85.86,6830.0
