,open,high,low,close,volume
2009-05-20,220.41,245.16,220.41,239.83,36128.0
2009-05-21,238.73,252.37,231.39,244.79,24404.0
2009-05-22,239.88,270.41,239.88,266.05,31656.0
2009-05-25,263.52,287.86,263.39,273.94,54143.0
2009-05-26,271.19,282.81,255.4,260.17,17663.0
2009-05-27,257.55,273.35,257.55,264.58,112571.0
2009-05-28,269.95,269.95,252.5,263.11,9530.0
2009-05-29,263.52,269.95,257.1,261.04,9516.0
2009-06-01,266.23,268.11,266.23,267.06,12600.0
2009-06-02,264.44,270.87,258.15,260.63,9239.0
2009-06-03,261.69,284.55,250.81,272.29,96339.0
2009-06-04,257.19,277.76,257.19,274.4,18881.0
2009-06-05,280.05,281.84,266.74,271.24,18326.0
2009-06-08,266.32,273.58,260.77,261.64,6625.0
2009-06-09,246.63,269.77,246.63,266.51,9920.0
2009-06-10,270.87,278.44,270.87,275.87,19156.0
2009-06-11,280.05,280.05,266.28,267.84,9534.0
2009-06-12,252.55,295.66,252.55,280.33,121990.0
2009-06-15,280.97,293.64,275.46,282.94,23669.0
2009-06-16,277.3,286.98,277.3,285.19,6634.0
2009-06-17,287.4,291.02,282.81,287.58,17987.0
2009-06-18,282.81,290.79,279.41,289.28,16557.0
2009-06-19,290.15,291.99,277.3,279.87,7486.0
2009-06-22,280.88,283.72,277.3,282.62,8999.0
2009-06-23,275.46,284.37,275.46,283.08,4176.0
2009-06-24,278.21,286.34,278.21,284.55,22636.0
2009-06-25,283.91,295.66,283.91,289.37,24686.0
2009-06-26,295.66,344.32,276.42,289.32,4921.0
2009-06-29,303.01,303.01,286.52,291.9,6857.0
2009-06-30,289.23,306.49,283.72,286.11,18822.0
2009-07-01,287.86,316.69,287.63,310.26,53928.0
2009-07-02,307.6,314.02,292.26,294.24,13104.0
2009-07-03,292.4,298.37,288.54,295.34,9377.0
2009-07-06,307.6,308.51,274.54,277.43,6588.0
2009-07-07,284.64,294.74,280.05,290.29,6871.0
2009-07-08,291.9,292.91,284.64,287.26,6732.0
2009-07-09,287.26,291.07,285.56,288.27,5785.0
2009-07-10,293.82,298.41,280.05,288.22,5573.0
2009-07-13,281.89,295.11,275.46,289.42,6622.0
2009-07-14,289.23,297.5,287.95,294.88,3362.0
2009-07-15,296.03,301.17,290.15,294.42,10538.0
2009-07-16,292.91,310.26,290.66,299.88,32452.0
2009-07-17,298.78,307.14,297.04,303.19,13797.0
2009-07-20,304.8,310.35,294.79,303.51,12776.0
2009-07-21,295.71,305.67,295.66,303.05,5259.0
2009-07-22,304.93,304.93,301.17,303.56,4789.0
2009-07-23,303.01,307.6,300.34,302.41,1757.0
2009-07-24,298.69,312.19,297.5,306.59,11498.0
2009-07-27,312.19,330.55,312.19,324.58,30421.0
2009-07-28,330.14,345.2,326.51,338.49,34136.0
2009-07-29,337.67,339.69,326.19,336.8,12350.0
2009-07-30,339.27,344.32,334.22,337.02,3978.0
2009-07-31,340.56,356.26,336.98,346.44,11425.0
2009-08-03,352.59,363.15,342.76,358.24,10500.0
2009-08-04,349.93,374.63,349.93,373.71,25835.0
2009-08-05,373.71,381.97,358.33,362.78,14566.0
2009-08-06,354.52,392.07,354.52,380.5,120697.0
2009-08-07,375.54,383.26,365.44,375.45,57174.0
2009-08-10,375.54,383.81,368.2,368.24,16007.0
2009-08-11,371.87,378.3,364.94,376.97,9940.0
2009-08-12,376.42,376.42,367.28,371.23,5648.0
2009-08-13,376.46,390.23,374.63,387.43,66754.0
2009-08-14,387.48,405.84,383.9,388.9,92729.0
2009-08-17,381.05,382.89,373.71,376.42,11885.0
2009-08-18,373.94,394.5,373.71,389.91,16302.0
2009-08-19,390.23,400.79,385.69,394.23,17498.0
2009-08-20,393.91,408.6,385.64,395.38,25960.0
2009-08-21,394.41,402.17,390.33,395.1,8260.0
2009-08-24,399.42,407.63,397.58,404.47,16859.0
2009-08-25,402.17,410.44,387.48,408.41,9677.0
2009-08-26,404.01,415.03,404.01,409.38,8493.0
2009-08-27,400.33,413.19,396.66,406.67,4969.0
2009-08-28,395.84,408.6,392.99,397.35,3818.0
2009-08-31,396.66,410.44,393.08,408.19,7737.0
2009-09-01,410.44,412.27,404.47,408.92,12041.0
2009-09-02,411.35,417.78,404.15,413.92,18927.0
2009-09-03,413.92,419.62,406.17,409.29,8193.0
2009-09-04,405.98,415.99,405.98,413.6,14218.0
2009-09-07,417.78,449.0,415.12,440.55,42548.0
2009-09-08,447.76,468.28,438.9,442.94,27957.0
2009-09-09,445.33,446.24,432.52,439.91,11417.0
2009-09-10,445.1,461.4,440.74,445.14,57110.0
2009-09-11,456.35,466.45,445.33,461.17,88565.0
2009-09-14,463.69,468.19,451.85,459.97,20163.0
2009-09-15,463.69,482.97,452.72,478.38,45265.0
2009-09-16,482.15,493.99,477.46,490.13,45810.0
2009-09-17,495.78,514.15,488.53,501.02,37453.0
2009-09-18,509.6,513.27,482.05,497.62,25819.0
2009-09-22,491.24,502.99,486.74,498.67,11421.0
2009-09-23,495.83,509.6,495.83,505.7,14702.0
2009-09-24,499.5,506.85,496.52,505.56,32264.0
2009-09-25,503.17,523.33,500.42,518.14,20722.0
2009-09-29,521.54,529.8,488.62,509.46,27440.0
2009-09-30,502.26,560.1,492.25,533.24,33878.0
2009-10-01,532.56,532.56,511.44,515.34,12098.0
2009-10-05,532.46,532.46,497.89,503.68,8610.0
2009-10-06,505.01,505.1,468.51,497.25,28780.0
2009-10-07,500.42,509.6,486.83,491.33,9725.0
2009-10-08,490.32,490.32,473.33,480.45,11275.0
2009-10-09,475.63,482.97,468.28,470.12,10939.0
2009-10-12,471.04,486.65,454.97,469.7,6368.0
2009-10-14,481.96,500.33,463.0,474.75,51072.0
2009-10-15,465.99,486.65,465.99,475.76,8358.0
2009-10-16,472.46,479.85,470.12,473.65,6805.0
2009-10-20,481.14,481.14,468.37,474.25,5965.0
2009-10-21,469.2,495.74,469.2,487.15,25236.0
2009-10-22,488.48,500.42,475.63,478.06,3924.0
2009-10-23,478.06,491.24,478.06,487.79,10016.0
2009-10-26,486.65,494.91,473.01,486.0,7429.0
2009-10-27,475.63,488.48,474.71,483.39,16155.0
2009-10-28,472.87,479.76,466.63,468.56,4750.0
2009-10-29,460.11,472.87,442.66,462.13,11483.0
2009-10-30,486.65,486.65,454.51,459.74,7549.0
2009-11-03,459.1,466.45,433.62,440.83,5068.0
2009-11-04,447.16,468.19,438.95,464.65,5887.0
2009-11-05,465.53,480.22,465.53,472.37,8412.0
2009-11-06,472.78,494.73,472.78,491.93,14368.0
2009-11-09,492.15,518.78,478.75,505.33,18385.0
2009-11-10,506.07,527.96,506.07,513.0,12283.0
2009-11-11,513.27,539.76,506.43,529.2,49194.0
2009-11-12,532.56,537.15,516.03,532.23,13832.0
2009-11-13,532.23,538.94,521.58,523.51,14749.0
2009-11-16,556.38,556.38,518.78,532.97,23188.0
2009-11-17,533.47,539.86,529.8,537.01,14335.0
2009-11-18,528.97,550.92,528.97,539.21,13297.0
2009-11-19,538.52,555.51,537.65,546.83,29766.0
2009-11-20,541.74,553.58,527.96,550.55,15812.0
2009-11-23,550.92,557.35,537.61,539.95,2879.0
2009-11-24,547.15,547.15,535.31,537.05,3110.0
2009-11-25,537.15,545.32,506.52,522.23,5619.0
2009-11-26,521.54,536.23,515.2,518.19,2677.0
2009-11-27,514.19,518.74,500.88,511.53,4650.0
2009-11-30,516.3,541.42,516.3,536.69,6912.0
2009-12-01,550.92,552.76,532.56,539.67,12167.0
2009-12-02,539.9,550.83,533.47,546.51,8159.0
2009-12-03,549.82,615.19,534.39,574.01,264601.0
2009-12-04,552.99,592.24,551.93,554.91,75976.0
2009-12-07,564.6,582.05,544.49,549.59,54559.0
2009-12-08,547.25,554.59,535.31,546.01,33630.0
2009-12-09,550.64,563.77,525.67,544.31,19481.0
2009-12-10,545.78,550.55,532.88,536.04,14824.0
2009-12-11,541.46,550.92,532.92,546.47,17030.0
2009-12-14,537.15,582.14,537.15,556.47,132532.0
2009-12-15,560.1,568.37,542.98,563.32,48207.0
2009-12-16,572.04,572.04,546.65,551.15,14961.0
2009-12-17,550.92,561.94,544.03,549.22,8131.0
2009-12-18,550.83,564.69,538.2,542.98,9491.0
2009-12-21,538.98,564.6,538.98,559.46,21934.0
2009-12-22,560.15,569.28,544.63,551.24,16847.0
2009-12-23,560.15,569.28,544.63,551.24,16847.0
2009-12-24,560.15,569.28,544.63,551.24,16847.0
2009-12-29,560.15,569.28,544.63,551.24,16847.0
2009-12-30,560.15,569.28,544.63,551.24,16847.0
2009-12-31,560.15,569.28,544.63,551.24,16847.0
2010-01-04,604.18,633.51,593.29,620.38,41006.0
2010-01-05,611.75,628.97,596.88,599.68,23517.0
2010-01-06,603.26,610.6,589.76,594.67,12871.0
2010-01-07,601.42,601.42,583.97,586.36,8583.0
2010-01-08,606.47,628.97,585.81,594.26,98800.0
2010-01-11,596.83,605.09,584.71,590.54,114746.0
2010-01-12,578.6,591.23,560.61,564.97,21310.0
2010-01-13,569.28,570.84,553.72,557.99,12666.0
2010-01-14,577.0,577.0,555.51,558.22,17299.0
2010-01-15,568.37,591.32,564.69,577.04,45464.0
2010-01-18,577.55,606.01,573.87,588.93,130697.0
2010-01-19,589.48,596.83,574.84,580.39,17752.0
2010-01-20,584.94,587.46,564.97,568.0,7347.0
2010-01-21,566.53,582.05,556.47,559.92,10150.0
2010-01-22,561.94,561.94,542.93,553.67,9966.0
2010-01-25,557.35,563.64,542.75,546.83,8317.0
2010-01-27,508.36,550.92,508.36,522.09,7206.0
2010-01-28,523.37,541.74,489.08,528.93,61829.0
2010-01-29,542.2,542.2,512.36,521.4,5347.0
2010-02-01,527.96,551.38,518.78,540.68,6219.0
2010-02-02,565.61,565.61,519.79,525.12,6294.0
2010-02-03,527.96,539.76,524.84,528.65,3864.0
2010-02-04,523.37,532.56,505.93,508.41,6452.0
2010-02-05,497.66,505.93,468.28,483.16,39379.0
2010-02-08,532.56,541.74,496.01,500.19,15638.0
2010-02-09,504.96,514.19,498.58,503.36,7899.0
2010-02-10,511.35,511.35,491.37,496.98,5293.0
2010-02-11,495.83,517.86,491.24,494.73,7859.0
2010-02-15,504.92,512.91,472.41,476.09,28660.0
2010-02-16,481.0,493.03,480.17,484.35,116500.0
2010-02-17,491.1,568.96,482.97,542.84,385461.0
2010-02-18,540.04,557.35,525.49,531.27,190142.0
2010-02-19,527.05,532.05,516.95,523.65,26458.0
2010-02-22,541.65,546.33,525.21,534.39,37573.0
2010-02-23,525.21,537.15,524.57,531.18,12630.0
2010-02-24,526.4,535.95,526.4,528.84,5618.0
2010-02-25,532.33,535.31,509.6,524.38,8827.0
2010-02-26,518.92,547.15,518.09,536.23,22221.0
2010-03-02,550.92,585.81,550.92,578.37,72360.0
2010-03-03,616.11,622.45,578.47,614.96,113119.0
2010-03-04,613.36,613.36,598.67,601.47,23102.0
2010-03-05,610.7,618.13,585.27,590.28,16584.0
2010-03-08,630.05,630.05,584.71,586.06,15232.0
2010-03-09,599.56,601.79,577.99,581.56,22051.0
2010-03-10,582.86,592.14,571.4,579.66,7813.0
2010-03-11,586.57,592.14,574.04,581.93,7281.0
2010-03-12,584.71,588.43,570.79,582.25,8050.0
2010-03-15,588.8,588.8,566.62,577.34,4490.0
2010-03-16,578.22,589.35,569.86,583.51,7444.0
2010-03-17,590.98,590.98,579.15,580.44,3005.0
2010-03-18,577.29,589.31,577.29,581.05,5982.0
2010-03-19,580.03,584.71,575.48,579.7,5877.0
2010-03-22,589.31,589.31,561.51,570.84,12859.0
2010-03-23,556.87,586.43,556.87,575.8,9108.0
2010-03-25,569.86,580.07,564.53,573.34,5478.0
2010-03-26,557.8,582.86,557.8,575.43,5089.0
2010-03-29,571.95,580.07,567.17,577.38,4395.0
2010-03-30,573.58,607.92,573.58,598.73,16327.0
2010-03-31,586.8,614.41,586.8,604.53,12973.0
2010-04-01,604.53,617.11,598.64,613.21,20453.0
2010-04-05,625.09,643.19,612.56,631.77,31648.0
2010-04-06,635.48,635.48,618.13,631.58,20858.0
2010-04-07,640.4,640.4,629.26,631.68,3758.0
2010-04-08,634.83,635.3,619.98,634.04,6338.0
2010-04-09,635.2,635.67,622.77,627.92,37615.0
2010-04-12,635.67,635.67,622.86,627.87,2377.0
2010-04-13,626.48,630.15,619.05,620.63,3134.0
2010-04-15,626.48,638.54,619.61,635.16,10576.0
2010-04-16,628.8,637.62,623.83,632.51,3757.0
2010-04-19,630.19,643.19,618.68,635.81,6741.0
2010-04-20,640.4,640.4,626.71,631.77,2740.0
2010-04-21,633.9,647.83,628.52,633.12,5930.0
2010-04-22,648.75,649.68,627.64,642.4,16787.0
2010-04-23,644.07,648.75,638.54,639.94,14520.0
2010-04-26,647.83,649.68,641.33,647.83,6584.0
2010-04-27,641.65,649.68,631.35,647.41,28976.0
