,open,high,low,close,volume
2009-05-20,96.38,108.69,96.09,106.64,314612.0
2009-05-21,102.43,106.33,96.6,97.92,164616.0
2009-05-22,98.45,101.96,96.86,99.26,49180.0
2009-05-25,101.21,107.9,98.06,105.19,182580.0
2009-05-26,103.18,106.92,98.84,99.93,58254.0
2009-05-27,98.49,108.67,98.49,105.8,227370.0
2009-05-28,107.51,110.23,105.54,107.59,171234.0
2009-05-29,104.4,109.48,103.22,103.92,138386.0
2009-06-01,105.89,116.17,101.44,103.83,94356.0
2009-06-02,104.44,111.45,100.46,109.28,380948.0
2009-06-03,108.34,112.55,105.62,107.55,235844.0
2009-06-04,100.42,111.84,100.42,108.91,132304.0
2009-06-05,106.76,113.42,106.33,106.74,409730.0
2009-06-08,104.77,108.34,103.59,105.3,170742.0
2009-06-09,105.54,108.69,102.39,108.04,135948.0
2009-06-10,107.53,111.37,105.54,106.9,205546.0
2009-06-11,105.97,107.88,103.96,105.03,231004.0
2009-06-12,103.22,109.08,102.39,103.24,197566.0
2009-06-15,103.22,103.22,97.66,98.31,57102.0
2009-06-16,96.9,100.42,94.55,99.32,37692.0
2009-06-17,98.47,100.42,94.59,95.1,82834.0
2009-06-18,86.74,97.25,86.74,94.49,90702.0
2009-06-19,94.53,98.45,94.53,97.6,112772.0
2009-06-22,96.52,98.39,95.3,96.66,86432.0
2009-06-23,93.76,98.84,92.56,97.57,530882.0
2009-06-24,97.68,105.52,97.68,102.35,66736.0
2009-06-25,102.19,105.15,102.19,102.49,259464.0
2009-06-26,100.46,107.86,100.46,105.03,54342.0
2009-06-29,104.79,107.88,102.8,103.98,282966.0
2009-06-30,104.18,107.51,99.63,104.73,93976.0
2009-07-01,102.41,105.13,101.21,102.03,16178.0
2009-07-02,101.62,104.08,99.63,101.15,23486.0
2009-07-03,98.49,107.49,98.49,106.9,84030.0
2009-07-06,109.04,113.02,100.03,104.3,51828.0
2009-07-07,104.77,104.77,104.77,104.77,59864.0
2009-07-08,108.09,109.7,107.27,108.38,41302.0
2009-07-09,106.46,110.11,106.46,108.94,66800.0
2009-07-10,107.68,111.76,107.68,109.0,63184.0
2009-07-13,106.42,108.46,103.18,107.76,41610.0
2009-07-14,107.29,110.94,107.23,109.41,62598.0
2009-07-15,107.68,117.49,107.68,115.99,286574.0
2009-07-16,113.45,118.32,113.45,115.29,70886.0
2009-07-17,114.69,116.3,111.78,113.1,43492.0
2009-07-20,113.0,116.26,112.19,114.69,35356.0
2009-07-21,111.41,116.22,111.41,114.01,346384.0
2009-07-22,113.04,116.71,112.98,113.72,37296.0
2009-07-23,112.22,116.98,112.22,116.53,261760.0
2009-07-24,112.22,122.88,112.22,119.97,160596.0
2009-07-27,117.97,122.9,117.97,121.72,87716.0
2009-07-28,121.29,129.5,121.29,125.56,197346.0
2009-07-29,122.94,129.5,119.21,121.27,274852.0
2009-07-30,125.78,129.76,121.25,122.81,244380.0
2009-07-31,122.94,125.74,120.83,121.7,71184.0
2009-08-03,120.44,124.96,120.44,124.05,91124.0
2009-08-04,121.7,140.01,111.99,132.77,528038.0
2009-08-05,131.14,136.92,131.14,135.15,863024.0
2009-08-06,132.4,139.27,128.67,130.9,348276.0
2009-08-07,128.71,132.59,124.18,126.69,205142.0
2009-08-10,127.85,142.65,123.31,137.29,967556.0
2009-08-11,134.44,146.2,134.44,141.5,790454.0
2009-08-12,138.2,147.85,134.55,137.19,665782.0
2009-08-13,138.96,144.63,137.39,139.15,683042.0
2009-08-14,140.22,140.96,130.73,132.13,323808.0
2009-08-17,131.66,135.89,127.85,128.86,317934.0
2009-08-18,125.82,135.04,125.82,131.78,372434.0
2009-08-19,128.69,133.04,123.97,127.66,243618.0
2009-08-20,128.71,131.43,125.0,127.02,340250.0
2009-08-21,125.06,129.02,124.13,125.62,309282.0
2009-08-24,125.99,136.09,125.99,135.17,294926.0
2009-08-25,132.84,134.24,129.5,130.26,188626.0
2009-08-26,128.46,132.38,124.81,130.38,171904.0
2009-08-27,127.95,136.92,127.85,133.5,490270.0
2009-08-28,133.62,135.68,130.77,133.76,165736.0
2009-08-31,128.73,137.08,128.73,135.15,292904.0
2009-09-01,136.92,143.0,134.36,136.59,508140.0
2009-09-02,133.66,139.83,133.66,137.64,173020.0
2009-09-03,134.07,140.14,129.99,131.56,179716.0
2009-09-04,130.11,134.34,130.11,131.33,117694.0
2009-09-07,130.53,136.92,130.53,135.78,177058.0
2009-09-08,136.14,138.9,132.38,133.95,158522.0
2009-09-09,134.44,134.44,130.16,131.25,134346.0
2009-09-10,129.5,133.68,127.85,130.09,267656.0
2009-09-11,129.08,131.95,128.67,131.33,75628.0
2009-09-14,129.7,134.84,129.7,132.13,119360.0
2009-09-15,131.97,133.99,130.77,131.76,85084.0
2009-09-16,131.19,138.16,131.19,136.24,314654.0
2009-09-17,138.16,140.22,131.17,131.97,154946.0
2009-09-18,130.73,133.87,130.32,131.43,88552.0
2009-09-22,131.56,132.73,130.73,131.76,95698.0
2009-09-23,133.21,135.48,128.4,129.6,130294.0
2009-09-24,128.36,131.91,127.85,129.95,86282.0
2009-09-25,128.46,131.97,127.89,128.26,55650.0
2009-09-29,128.88,131.54,128.26,128.59,69760.0
2009-09-30,128.92,131.56,126.61,128.16,191726.0
2009-10-01,126.48,130.24,125.52,126.42,166100.0
2009-10-05,127.43,127.43,123.02,123.74,119678.0
2009-10-06,125.78,125.78,119.52,125.23,229458.0
2009-10-07,125.37,131.43,125.37,128.61,152444.0
2009-10-08,128.67,131.35,128.67,129.56,136400.0
2009-10-09,128.05,131.97,128.05,129.31,115772.0
2009-10-12,131.14,135.97,130.13,130.9,230690.0
2009-10-14,132.79,133.62,131.21,132.73,158108.0
2009-10-15,135.23,138.9,132.79,135.0,323860.0
2009-10-16,133.29,136.84,133.29,134.07,73050.0
2009-10-20,133.41,139.81,132.79,137.35,176620.0
2009-10-21,134.86,139.27,132.86,133.87,91072.0
2009-10-22,134.44,134.86,130.53,131.19,63058.0
2009-10-23,129.93,135.91,129.93,135.35,69088.0
2009-10-26,132.2,138.94,132.2,136.49,118822.0
2009-10-27,132.46,136.09,129.06,129.56,71704.0
2009-10-28,127.91,134.03,124.96,130.09,147780.0
2009-10-29,127.02,131.56,125.82,129.14,42542.0
2009-10-30,129.95,133.0,126.2,127.45,133280.0
2009-11-03,127.02,129.08,123.04,124.11,82552.0
2009-11-04,126.2,129.06,124.13,126.13,50584.0
2009-11-05,125.37,131.14,124.96,130.51,63606.0
2009-11-06,129.08,133.62,129.08,131.52,55826.0
2009-11-09,130.94,133.21,128.07,130.2,34170.0
2009-11-10,131.97,133.0,129.52,130.65,39580.0
2009-11-11,129.99,139.56,129.99,137.41,192670.0
2009-11-12,137.29,141.04,130.73,131.58,241066.0
2009-11-13,131.62,134.44,128.26,132.22,98530.0
2009-11-16,131.14,136.09,131.14,135.04,92784.0
2009-11-17,135.68,135.68,132.44,133.0,38364.0
2009-11-18,134.03,136.3,131.8,135.97,110378.0
2009-11-19,135.68,135.97,131.97,132.67,50682.0
2009-11-20,132.36,133.21,127.43,129.91,154972.0
2009-11-23,131.14,133.21,127.85,129.19,158692.0
2009-11-24,129.29,131.56,128.05,129.72,106008.0
2009-11-25,128.28,132.3,128.28,131.27,79636.0
2009-11-26,131.97,138.71,128.26,136.28,297964.0
2009-11-27,134.03,135.21,130.11,134.49,120782.0
2009-11-30,134.03,140.59,134.03,138.47,218254.0
2009-12-01,138.16,148.47,136.98,143.35,631128.0
2009-12-02,143.91,146.4,140.63,141.6,119804.0
2009-12-03,141.6,147.23,141.6,142.55,176638.0
2009-12-04,141.46,145.13,140.3,141.1,91816.0
2009-12-07,140.26,143.43,135.68,137.81,61582.0
2009-12-08,135.68,140.22,135.68,139.25,63044.0
2009-12-09,137.56,142.2,137.56,141.17,122686.0
2009-12-10,141.74,143.74,140.22,142.28,58186.0
2009-12-11,142.24,143.52,138.98,141.39,45430.0
2009-12-14,139.39,142.28,136.96,138.09,22776.0
2009-12-15,139.81,139.95,134.09,135.83,59548.0
2009-12-16,134.44,138.96,133.85,137.56,119376.0
2009-12-17,136.14,140.2,136.14,137.72,44446.0
2009-12-18,134.49,146.16,134.49,141.15,247082.0
2009-12-21,142.2,148.47,141.04,142.42,190386.0
2009-12-22,140.67,146.45,140.67,144.42,108676.0
2009-12-23,140.67,146.45,140.67,144.42,108676.0
2009-12-24,140.67,146.45,140.67,144.42,108676.0
2009-12-29,140.67,146.45,140.67,144.42,108676.0
2009-12-30,140.67,146.45,140.67,144.42,108676.0
2009-12-31,140.67,146.45,140.67,144.42,108676.0
2010-01-04,153.81,163.27,152.18,159.89,749700.0
2010-01-05,160.01,162.9,154.69,155.56,275684.0
2010-01-06,157.93,162.51,156.3,160.28,282276.0
2010-01-07,159.27,166.53,159.27,163.46,307482.0
2010-01-08,162.53,166.2,157.58,158.36,105974.0
2010-01-11,160.82,163.73,159.62,162.08,171860.0
2010-01-12,159.27,163.62,155.6,157.06,57010.0
2010-01-13,153.44,158.36,152.05,153.6,95540.0
2010-01-14,154.73,160.01,154.65,156.76,111656.0
2010-01-15,157.21,170.74,157.21,165.35,464790.0
2010-01-18,161.7,172.8,161.7,166.36,414880.0
2010-01-19,161.75,167.42,158.9,160.26,152352.0
2010-01-20,160.88,162.88,156.76,159.66,96154.0
2010-01-21,158.78,160.01,149.7,152.69,143310.0
2010-01-22,152.47,155.68,145.17,154.65,126732.0
2010-01-25,153.83,156.22,153.41,154.9,89640.0
2010-01-27,153.41,158.73,149.41,154.76,192394.0
2010-01-28,156.67,161.54,154.73,156.47,122326.0
2010-01-29,156.3,158.78,150.53,154.28,70064.0
2010-02-01,156.67,157.54,153.83,154.57,90190.0
2010-02-02,155.48,157.04,151.04,152.47,121090.0
2010-02-03,152.61,154.65,150.16,153.13,83802.0
2010-02-04,155.58,158.5,150.12,151.87,65180.0
2010-02-05,147.07,155.56,143.66,148.1,137050.0
2010-02-08,147.05,149.16,142.37,143.15,80794.0
2010-02-09,142.79,145.16,140.64,144.6,248672.0
2010-02-10,143.64,148.74,143.24,146.86,57504.0
2010-02-11,147.86,148.72,143.64,145.14,83228.0
2010-02-15,145.33,146.58,142.77,144.18,192144.0
2010-02-16,143.2,146.78,142.73,143.96,29666.0
2010-02-17,142.9,147.03,142.9,145.75,67956.0
2010-02-18,146.58,147.03,141.49,142.15,35366.0
2010-02-19,142.19,145.54,140.68,143.3,29490.0
2010-02-22,142.81,145.73,140.0,140.89,26318.0
2010-02-23,139.4,140.28,136.8,137.25,123246.0
2010-02-24,136.42,141.92,136.42,140.89,61152.0
2010-02-25,140.21,144.82,140.21,143.73,313968.0
2010-02-26,143.03,147.07,142.83,144.47,64754.0
2010-03-02,142.81,146.95,142.81,144.73,257382.0
2010-03-03,142.81,147.03,142.81,144.65,204718.0
2010-03-04,143.22,152.15,143.22,148.14,171476.0
2010-03-05,149.14,152.57,149.14,151.87,121500.0
2010-03-08,151.31,161.95,151.08,160.75,340802.0
2010-03-09,160.24,163.82,155.68,158.3,158874.0
2010-03-10,156.43,158.94,152.57,153.96,93562.0
2010-03-11,152.15,153.42,146.35,147.18,379568.0
2010-03-12,141.34,153.42,141.34,151.51,266452.0
2010-03-15,147.05,153.42,147.03,151.04,105380.0
2010-03-16,151.04,153.32,149.57,151.57,66568.0
2010-03-17,150.97,153.3,147.91,148.78,47702.0
2010-03-18,147.07,149.99,144.47,146.05,109804.0
2010-03-19,143.24,148.74,139.51,141.58,144556.0
2010-03-22,142.19,145.33,139.79,143.41,689102.0
2010-03-23,143.43,144.9,139.81,140.45,56856.0
2010-03-25,141.47,141.47,136.44,137.46,49418.0
2010-03-26,137.23,140.13,135.95,137.51,98044.0
2010-03-29,136.42,142.34,136.42,141.02,63190.0
2010-03-30,139.06,146.18,138.91,143.49,57570.0
2010-03-31,144.94,147.67,143.2,145.63,129566.0
2010-04-01,143.64,146.16,141.92,145.31,45274.0
2010-04-05,143.64,147.88,141.49,143.24,82786.0
2010-04-06,141.94,146.82,141.94,144.05,68692.0
2010-04-07,142.79,148.33,142.77,144.92,64088.0
2010-04-08,142.81,147.01,142.81,146.65,42854.0
2010-04-09,144.47,149.16,144.47,145.45,44218.0
2010-04-12,142.13,147.42,142.13,143.77,45914.0
2010-04-13,143.62,145.75,142.34,144.67,62442.0
2010-04-15,143.2,148.23,143.2,147.01,45902.0
2010-04-16,143.88,150.46,143.88,149.06,53290.0
2010-04-19,147.03,149.01,147.03,148.31,35334.0
2010-04-20,151.25,155.49,148.31,154.7,71998.0
2010-04-21,154.7,157.26,151.93,152.98,725672.0
2010-04-22,153.4,159.35,151.76,156.9,75762.0
2010-04-23,155.6,158.52,155.56,156.19,25374.0
2010-04-26,155.04,168.34,154.7,155.43,191658.0
2010-04-27,156.39,156.41,147.03,149.97,349202.0
2010-04-28,149.8,152.12,147.07,151.29,141652.0
2010-04-29,151.72,157.54,150.87,155.32,184134.0
2010-04-30,155.81,159.82,153.51,158.58,89306.0
2010-05-03,157.73,159.82,155.15,155.9,17222.0
2010-05-04,155.15,159.35,151.12,152.02,18570.0
2010-05-05,149.21,151.29,147.03,147.5,57458.0
2010-05-06,147.16,149.59,144.13,148.12,79736.0
2010-05-07,147.03,148.2,144.9,145.6,28472.0
2010-05-10,147.03,149.14,144.09,145.58,127848.0
2010-05-11,145.39,148.72,144.9,146.44,68160.0
2010-05-12,144.94,147.24,144.92,145.63,71692.0
2010-05-13,145.45,152.36,145.41,150.29,139782.0
2010-05-14,151.29,157.26,150.23,155.77,165282.0
2010-05-17,153.42,158.09,152.61,156.9,119154.0
2010-05-18,158.94,161.44,156.22,156.64,52958.0
2010-05-19,157.64,158.94,150.46,153.19,36470.0
2010-05-20,153.42,155.53,151.38,153.89,54218.0
2010-05-21,152.17,155.11,150.48,154.43,55842.0
2010-05-24,153.45,156.77,153.04,156.24,61662.0
2010-05-25,156.39,157.22,149.18,150.72,62714.0
2010-05-26,150.02,151.51,148.91,150.4,43062.0
2010-05-27,149.4,150.82,148.4,150.38,69354.0
2010-05-28,151.72,152.12,150.46,151.31,108028.0
2010-05-31,150.02,152.55,149.18,151.78,56002.0
2010-06-01,149.21,153.85,149.21,152.96,45012.0
2010-06-02,151.34,159.35,151.34,158.35,129306.0
2010-06-03,158.13,160.67,155.15,159.11,99022.0
2010-06-04,159.39,159.39,155.15,155.83,18396.0
2010-06-07,153.47,156.17,152.19,154.13,39666.0
2010-06-08,155.13,155.56,152.17,154.64,34166.0
2010-06-09,154.68,154.89,150.51,153.45,31632.0
2010-06-10,150.68,154.23,150.68,151.87,15590.0
2010-06-11,150.48,154.49,150.48,153.64,35582.0
2010-06-14,152.76,153.85,152.61,153.7,16706.0
2010-06-15,153.47,162.37,151.85,160.24,58508.0
2010-06-16,159.86,162.35,157.69,159.65,42730.0
2010-06-17,156.86,161.95,156.86,160.75,83384.0
2010-06-18,158.99,161.48,158.56,160.8,121972.0
2010-06-21,158.99,166.21,158.96,164.46,120136.0
2010-06-22,162.48,171.32,162.48,167.32,222232.0
2010-06-23,166.23,170.9,166.23,170.28,118342.0
2010-06-24,170.05,170.47,164.08,166.34,68012.0
2010-06-25,166.21,170.05,166.21,167.47,70392.0
2010-06-28,168.36,190.5,168.36,181.23,594582.0
2010-06-29,181.77,181.77,171.6,172.54,169034.0
2010-06-30,170.73,179.34,169.62,176.27,237492.0
2010-07-01,171.75,177.63,170.96,172.67,57856.0
2010-07-02,170.9,176.82,170.9,172.62,82602.0
2010-07-05,170.73,176.44,169.43,171.77,20096.0
2010-07-06,171.96,176.14,171.92,175.5,32208.0
2010-07-07,177.74,182.54,177.33,181.5,90056.0
2010-07-08,181.26,186.37,181.26,184.58,66110.0
2010-07-09,185.19,191.21,182.98,185.15,165058.0
2010-07-12,186.43,191.02,184.89,186.58,68022.0
2010-07-13,183.22,192.52,183.22,191.71,130960.0
2010-07-14,191.71,192.97,187.67,188.21,85890.0
2010-07-15,186.93,189.37,185.8,186.41,9912.0
2010-07-16,186.89,186.93,182.54,183.04,28306.0
2010-07-19,182.54,185.56,179.39,180.69,33050.0
2010-07-20,181.32,183.82,179.13,180.06,21648.0
2010-07-21,180.39,182.41,174.98,175.98,183028.0
2010-07-22,171.91,177.7,171.91,175.04,64756.0
2010-07-23,176.02,177.24,171.94,172.98,277262.0
2010-07-26,171.72,176.87,171.72,174.04,252566.0
2010-07-27,172.59,178.2,172.59,175.31,48218.0
2010-07-28,174.28,177.09,170.15,172.83,40612.0
2010-07-29,169.5,171.68,163.42,165.74,179566.0
2010-07-30,165.16,168.09,163.03,167.42,39692.0
2010-08-02,169.48,169.94,165.83,166.53,32058.0
2010-08-03,169.02,172.55,167.33,170.42,54718.0
2010-08-04,171.89,178.63,168.42,174.91,922678.0
2010-08-05,176.0,176.44,172.11,174.02,129998.0
2010-08-06,174.28,174.72,168.63,172.2,321784.0
2010-08-09,172.37,172.37,168.68,170.2,98688.0
2010-08-10,168.68,170.7,163.27,166.22,60324.0
2010-08-11,165.63,167.22,163.42,164.03,95952.0
2010-08-12,162.11,166.9,162.11,164.14,135754.0
2010-08-13,166.03,167.33,163.11,165.2,36288.0
2010-08-16,166.03,175.98,165.16,172.46,280132.0
2010-08-17,174.7,174.7,171.13,173.04,93140.0
2010-08-18,174.63,186.89,172.98,176.07,434180.0
2010-08-19,178.17,179.67,175.2,176.3,36338.0
2010-08-20,178.09,180.37,175.15,178.85,93562.0
2010-08-23,179.89,182.5,176.46,177.04,82028.0
2010-08-24,177.76,178.04,174.33,175.87,71404.0
2010-08-25,177.76,177.76,172.55,173.59,34822.0
2010-08-26,174.28,176.0,171.24,172.2,16140.0
2010-08-27,171.24,176.02,168.05,174.04,81622.0
2010-08-30,175.15,176.24,171.02,173.63,34898.0
2010-08-31,174.28,174.28,168.33,170.29,49622.0
2010-09-01,170.59,177.3,170.59,175.09,37482.0
2010-09-02,176.22,183.8,174.28,180.39,187874.0
2010-09-03,180.8,184.71,180.8,181.5,66292.0
2010-09-06,183.39,187.71,181.67,182.72,128026.0
2010-09-07,181.24,184.24,179.11,182.41,100878.0
2010-09-08,180.37,194.36,180.15,191.23,330340.0
2010-09-09,193.15,208.38,190.8,196.86,605058.0
2010-09-13,201.93,203.36,197.32,199.17,308976.0
2010-09-14,199.93,199.93,189.5,191.08,149410.0
2010-09-15,189.58,194.49,186.91,188.84,92984.0
2010-09-16,187.43,192.26,184.85,185.34,40174.0
2010-09-17,186.84,190.34,180.91,182.39,323482.0
2010-09-20,184.67,197.12,182.54,190.58,384768.0
2010-09-21,191.21,193.36,183.06,185.24,143520.0
2010-09-22,185.24,188.8,183.54,184.52,68210.0
2010-09-23,183.67,186.89,182.54,183.22,47206.0
2010-09-24,181.5,185.11,181.5,183.35,47586.0
2010-09-27,184.06,192.93,184.06,186.67,181744.0
2010-09-28,187.32,188.63,185.8,186.56,38008.0
2010-09-29,187.74,188.63,184.06,186.37,127264.0
2010-09-30,187.74,192.08,184.28,186.11,211886.0
2010-10-01,187.74,192.06,185.58,186.47,209468.0
2010-10-04,186.93,188.47,184.28,185.71,83564.0
2010-10-05,187.28,187.76,184.35,184.93,45348.0
2010-10-06,186.84,194.45,185.37,189.84,245956.0
2010-10-07,189.1,194.06,186.02,186.5,168510.0
2010-10-08,188.6,189.02,185.65,187.71,31048.0
2010-10-11,190.34,191.65,186.24,187.34,103908.0
2010-10-12,187.74,190.8,187.32,188.5,190762.0
