,open,high,low,close,volume
2009-05-20,16.74,17.75,16.24,17.42,74090.0
2009-05-21,17.75,18.97,17.38,17.65,100084.0
2009-05-22,17.75,18.14,16.93,17.3,33620.0
2009-05-25,16.51,19.4,16.51,18.33,126818.0
2009-05-26,18.58,22.0,18.58,20.15,656124.0
2009-05-27,21.05,21.05,17.13,20.04,164154.0
2009-05-28,18.76,20.39,18.76,19.42,45250.0
2009-05-29,19.98,20.64,19.4,20.04,138866.0
2009-06-01,20.33,20.64,19.13,19.69,149178.0
2009-06-02,20.02,20.23,19.44,19.53,45390.0
2009-06-03,19.82,20.02,18.62,19.42,177904.0
2009-06-04,20.35,20.85,19.03,20.25,195994.0
2009-06-05,21.86,21.86,20.19,20.64,165718.0
2009-06-08,20.64,21.47,19.26,19.59,72012.0
2009-06-09,19.61,19.82,19.09,19.4,85344.0
2009-06-10,19.4,20.85,19.4,19.82,173544.0
2009-06-11,20.54,21.47,19.53,20.7,129904.0
2009-06-12,20.85,24.27,20.64,23.35,570980.0
2009-06-15,23.14,24.46,22.31,24.01,283368.0
2009-06-16,22.83,25.1,22.83,23.59,405080.0
2009-06-17,23.88,24.85,21.88,21.98,45126.0
2009-06-18,21.67,22.25,20.15,20.25,100360.0
2009-06-19,20.43,20.85,20.04,20.27,57406.0
2009-06-22,20.13,20.62,19.86,20.0,9952.0
2009-06-23,20.27,20.27,19.61,19.84,7616.0
2009-06-24,19.92,22.71,19.92,21.32,216608.0
2009-06-25,22.62,22.62,20.66,20.99,29846.0
2009-06-26,21.3,21.3,20.33,20.66,22504.0
2009-06-29,21.32,21.34,20.35,20.6,23790.0
2009-06-30,20.37,20.83,20.23,20.33,29638.0
2009-07-01,20.13,20.6,19.44,20.46,19378.0
2009-07-02,20.52,20.93,20.25,20.54,9994.0
2009-07-03,20.54,20.81,20.27,20.62,12966.0
2009-07-06,20.64,21.05,19.82,20.02,43446.0
2009-07-07,20.23,20.35,19.69,19.86,14750.0
2009-07-08,17.19,20.64,17.17,19.44,29192.0
2009-07-09,19.22,19.49,18.78,19.01,10834.0
2009-07-10,19.03,19.59,18.99,19.4,28932.0
2009-07-13,20.15,20.52,19.45,19.71,14040.0
2009-07-14,20.08,20.3,19.69,20.01,9020.0
2009-07-15,19.66,20.54,19.66,20.5,11208.0
