,open,high,low,close,volume
2009-05-20,29.14,30.9,28.09,30.44,227420.0
2009-05-21,31.31,33.07,30.98,31.48,364227.0
2009-05-22,31.9,33.32,30.85,31.36,117604.0
2009-05-25,31.82,34.62,31.82,32.49,718851.0
2009-05-26,33.49,33.99,32.03,32.7,993939.0
2009-05-27,33.07,36.17,33.07,33.91,1313963.0
2009-05-28,34.33,35.08,32.65,33.49,936539.0
2009-05-29,34.24,34.62,32.24,32.7,289896.0
2009-06-01,33.49,34.12,31.9,33.7,256894.0
2009-06-02,33.66,39.73,32.49,37.89,3515694.0
2009-06-03,39.69,41.61,38.98,39.39,6279957.0
2009-06-04,39.31,39.31,37.68,38.39,971465.0
2009-06-05,38.81,38.93,35.25,35.71,787599.0
2009-06-08,35.25,36.34,32.53,33.07,615306.0
2009-06-09,32.65,33.99,32.4,33.57,396880.0
2009-06-10,34.41,35.46,33.49,33.7,434732.0
2009-06-11,33.7,33.91,32.74,33.2,220491.0
2009-06-12,33.24,35.08,32.65,33.28,391895.0
2009-06-15,32.91,36.63,32.65,36.0,1128224.0
2009-06-16,36.71,37.59,35.08,35.42,1752725.0
2009-06-17,35.17,36.59,33.74,34.2,640648.0
2009-06-18,34.71,34.87,32.74,33.16,394986.0
2009-06-19,34.29,34.29,33.07,33.74,259890.0
2009-06-22,33.49,34.66,33.11,33.45,170312.0
2009-06-23,32.74,33.91,32.7,33.74,227834.0
2009-06-24,34.16,39.48,33.57,36.76,777786.0
2009-06-25,36.8,36.8,34.08,34.45,385044.0
2009-06-26,34.91,36.38,34.54,35.25,304736.0
2009-06-29,35.25,36.67,34.96,35.38,348810.0
2009-06-30,35.29,35.92,33.2,33.49,147415.0
2009-07-01,33.49,35.12,33.24,34.08,273593.0
2009-07-02,33.74,34.75,33.57,33.7,151859.0
2009-07-03,33.49,34.83,33.49,33.7,234675.0
2009-07-06,33.7,34.33,33.03,33.45,282705.0
2009-07-07,33.49,33.78,33.11,33.45,194765.0
2009-07-08,32.78,33.99,32.32,32.53,197273.0
2009-07-09,32.65,33.74,32.32,33.41,283607.0
2009-07-10,33.91,33.91,32.74,33.11,134016.0
2009-07-13,32.65,32.91,31.9,32.7,181475.0
2009-07-14,32.82,34.33,32.36,33.53,211984.0
2009-07-15,33.91,34.2,33.49,33.95,80997.0
2009-07-16,34.33,34.75,33.28,33.41,112675.0
2009-07-17,33.45,34.66,33.45,33.66,130240.0
2009-07-20,33.74,34.5,33.57,33.87,116476.0
2009-07-21,34.16,34.2,33.62,33.7,81440.0
2009-07-22,33.7,36.38,33.7,35.0,577854.0
2009-07-23,36.04,36.63,35.25,35.71,532086.0
2009-07-24,36.63,36.63,35.08,35.29,242319.0
2009-07-27,35.17,35.84,34.62,35.5,162851.0
2009-07-28,35.75,36.3,34.83,35.88,245429.0
2009-07-29,35.58,36.59,34.54,35.29,189537.0
2009-07-30,35.38,35.5,34.83,34.91,71989.0
2009-07-31,36.0,36.59,35.42,36.09,460076.0
2009-08-03,35.58,37.59,35.58,35.88,106938.0
2009-08-04,36.13,36.46,35.38,35.46,171588.0
2009-08-05,36.38,36.38,35.33,35.63,147937.0
2009-08-06,35.67,36.55,35.67,35.75,259547.0
2009-08-07,35.25,36.34,34.66,34.83,103272.0
2009-08-10,35.17,35.54,33.99,34.5,81717.0
2009-08-11,34.54,35.33,33.7,34.33,122509.0
2009-08-12,34.33,35.92,33.62,35.04,222428.0
2009-08-13,35.21,38.01,35.21,37.09,934986.0
2009-08-14,37.68,37.68,36.09,36.71,332834.0
2009-08-17,37.06,37.06,35.77,35.94,157887.0
2009-08-18,35.98,36.76,35.85,36.2,90780.0
2009-08-19,35.98,37.58,35.77,35.9,152895.0
2009-08-20,36.2,36.54,35.51,35.64,105126.0
2009-08-21,35.34,36.84,35.34,36.59,166189.0
2009-08-24,36.63,37.62,36.37,37.36,208871.0
2009-08-25,36.97,40.38,36.71,38.57,577121.0
2009-08-26,39.26,39.56,37.62,37.84,294203.0
2009-08-27,37.36,41.54,37.36,40.33,1519448.0
2009-08-28,40.33,40.89,38.87,39.17,339272.0
2009-08-31,38.83,41.28,38.52,40.77,502150.0
2009-09-01,41.5,41.67,38.96,39.21,328064.0
2009-09-02,38.83,40.29,38.83,39.52,179529.0
2009-09-03,40.16,41.67,39.73,40.42,615076.0
2009-09-04,40.94,42.96,40.16,41.5,1359028.0
2009-09-07,42.23,43.7,41.93,42.36,716227.0
2009-09-08,42.66,43.01,40.72,40.98,356070.0
2009-09-09,41.67,46.37,40.85,44.43,3471821.0
2009-09-10,44.77,45.16,41.58,41.8,1097753.0
2009-09-11,42.14,42.14,40.51,40.85,374528.0
2009-09-14,40.85,42.88,40.51,42.45,458447.0
2009-09-15,42.62,44.04,42.23,43.18,618653.0
2009-09-16,43.09,43.7,42.23,42.45,224041.0
2009-09-17,42.32,43.52,41.37,41.63,441341.0
2009-09-18,41.84,42.45,41.2,41.58,228753.0
2009-09-22,41.8,41.8,41.02,41.41,123593.0
2009-09-23,41.71,44.21,41.07,43.01,753884.0
2009-09-24,42.27,43.95,41.89,43.31,394608.0
2009-09-25,43.09,46.28,42.75,45.72,1047209.0
2009-09-29,45.25,46.45,44.47,44.9,396112.0
2009-09-30,45.16,45.68,44.08,45.12,493572.0
2009-10-01,44.82,45.2,44.13,44.86,274493.0
2009-10-05,43.95,44.82,43.57,44.43,288167.0
2009-10-06,43.61,44.56,42.1,43.65,207801.0
2009-10-07,44.17,44.21,42.49,42.75,88327.0
2009-10-08,42.83,44.08,42.49,43.09,186306.0
2009-10-09,43.09,43.7,42.66,43.09,187856.0
2009-10-12,42.58,44.64,42.58,43.52,163463.0
2009-10-14,43.18,44.64,43.18,44.39,195510.0
2009-10-15,43.95,45.07,43.95,44.9,301384.0
2009-10-16,43.44,45.16,43.44,44.82,163118.0
2009-10-20,44.0,45.03,44.0,44.82,102046.0
2009-10-21,44.82,44.82,43.95,44.26,91763.0
2009-10-22,38.87,45.25,38.87,44.64,210295.0
2009-10-23,44.73,46.28,44.13,44.69,466803.0
2009-10-26,44.21,45.89,44.21,45.68,197016.0
2009-10-27,46.07,46.37,44.64,45.12,222643.0
2009-10-28,44.26,45.59,44.26,45.33,83728.0
2009-10-29,43.31,45.89,43.31,45.16,139319.0
2009-10-30,46.24,49.77,46.24,49.3,1037207.0
2009-11-03,50.42,50.76,45.89,46.41,768147.0
2009-11-04,47.62,48.44,46.97,47.66,163487.0
2009-11-05,47.83,47.83,46.88,47.27,80766.0
2009-11-06,47.62,48.35,47.23,47.4,110574.0
2009-11-09,47.83,48.48,47.44,48.26,120400.0
2009-11-10,48.26,50.16,48.26,48.78,179509.0
2009-11-11,48.74,51.19,48.26,49.38,553634.0
2009-11-12,49.77,50.16,48.87,49.17,110142.0
2009-11-13,49.13,49.73,48.69,49.0,107261.0
2009-11-16,50.59,50.59,48.95,49.3,87867.0
2009-11-17,49.81,50.42,49.25,50.07,112341.0
2009-11-18,49.99,50.94,49.64,49.9,205354.0
2009-11-19,50.33,50.42,49.17,49.38,104078.0
2009-11-20,48.69,50.38,48.69,49.21,48634.0
2009-11-23,49.99,50.85,49.25,50.07,133108.0
2009-11-24,50.33,50.33,49.81,50.12,53241.0
2009-11-25,50.12,52.83,50.07,51.15,299188.0
2009-11-26,51.71,52.06,50.63,50.98,128756.0
2009-11-27,50.42,51.28,49.99,50.72,161709.0
2009-11-30,51.71,52.31,50.85,51.28,93571.0
2009-12-01,51.71,55.46,51.37,54.68,905736.0
2009-12-02,55.16,56.24,53.56,55.37,410011.0
2009-12-03,55.85,56.58,54.51,54.9,230700.0
2009-12-04,55.12,58.17,54.94,57.14,663928.0
2009-12-07,57.57,58.43,56.06,56.28,202005.0
2009-12-08,56.15,57.27,56.11,56.93,184495.0
2009-12-09,57.31,58.17,56.28,57.83,258963.0
2009-12-10,57.92,59.04,57.05,57.49,155871.0
2009-12-11,58.05,58.61,56.11,56.45,164211.0
2009-12-14,56.19,56.97,55.46,55.72,80286.0
2009-12-15,55.76,55.93,54.21,54.64,91639.0
2009-12-16,55.16,55.98,54.17,55.55,115237.0
2009-12-17,55.59,55.89,54.55,55.16,59842.0
2009-12-18,54.73,56.71,54.38,54.73,126702.0
2009-12-21,54.99,56.02,54.99,55.59,91938.0
2009-12-22,55.37,57.49,55.33,56.54,164588.0
2009-12-23,55.37,57.49,55.33,56.54,164588.0
2009-12-24,55.37,57.49,55.33,56.54,164588.0
2009-12-29,55.37,57.49,55.33,56.54,164588.0
2009-12-30,55.37,57.49,55.33,56.54,164588.0
2009-12-31,55.37,57.49,55.33,56.54,164588.0
2010-01-04,55.37,56.97,55.37,55.98,107557.0
2010-01-05,56.02,56.62,55.76,56.15,99134.0
2010-01-06,57.23,61.02,56.71,59.55,1062317.0
2010-01-07,60.07,61.62,59.9,60.29,868613.0
2010-01-08,60.67,62.01,58.91,61.02,394674.0
2010-01-11,61.71,62.48,60.8,61.28,278422.0
2010-01-12,61.58,61.58,59.21,59.42,149059.0
2010-01-13,58.05,61.62,57.83,61.28,312847.0
2010-01-14,61.79,62.48,60.33,62.05,181380.0
2010-01-15,62.4,63.52,60.76,61.02,237777.0
2010-01-18,61.19,62.48,59.08,59.6,174036.0
2010-01-19,59.47,60.76,57.96,58.35,96480.0
2010-01-20,58.61,63.39,58.26,60.16,629717.0
2010-01-21,58.95,61.06,58.69,59.3,222841.0
2010-01-22,57.18,59.04,56.24,58.05,137345.0
2010-01-25,58.05,59.47,57.36,57.87,61167.0
2010-01-27,57.87,58.17,56.19,56.54,151412.0
2010-01-28,58.09,61.54,58.09,60.07,561201.0
2010-01-29,60.16,61.97,57.74,61.45,182511.0
2010-02-01,60.11,67.66,60.11,66.15,1007114.0
2010-02-02,66.71,66.92,62.18,62.83,238537.0
