,open,high,low,close,volume
2009-05-20,6.28,6.77,6.19,6.6,13905760.0
2009-05-21,6.5,7.08,6.44,6.89,24304460.0
2009-05-22,6.99,7.24,6.25,6.32,36060530.0
2009-05-25,6.46,6.6,6.25,6.57,12594380.0
2009-05-26,6.58,6.83,6.55,6.63,11109130.0
2009-05-27,6.77,6.94,6.72,6.91,7768490.0
2009-05-28,6.91,6.97,6.78,6.9,5609040.0
2009-05-29,6.96,6.97,6.71,6.87,3777090.0
2009-06-01,6.91,7.02,6.72,6.75,1443550.0
2009-06-02,6.83,6.94,6.75,6.82,7410050.0
2009-06-03,6.91,6.97,6.77,6.89,7796150.0
2009-06-04,6.88,7.13,6.77,7.01,5319700.0
2009-06-05,7.05,7.19,6.88,6.97,6465380.0
2009-06-08,6.91,6.97,6.65,6.74,9050530.0
2009-06-09,6.86,6.88,6.62,6.68,3827070.0
2009-06-10,6.83,7.03,6.72,6.96,5037490.0
2009-06-11,7.0,7.02,6.87,6.97,4507300.0
2009-06-12,6.98,7.02,6.77,6.8,1387270.0
2009-06-15,6.76,7.05,6.7,6.92,3340890.0
2009-06-16,6.83,7.04,6.83,6.94,2579710.0
2009-06-17,7.05,7.43,6.81,6.9,16633810.0
2009-06-18,6.94,6.99,6.55,6.68,4886530.0
2009-06-19,6.69,6.85,6.63,6.72,1353400.0
2009-06-22,6.81,6.83,6.66,6.69,1664210.0
2009-06-23,6.63,6.76,6.56,6.71,1398480.0
2009-06-24,6.72,6.84,6.72,6.82,1073740.0
2009-06-25,6.82,6.88,6.66,6.68,2825060.0
2009-06-26,6.77,6.86,6.73,6.79,2085560.0
2009-06-29,6.86,7.17,6.8,7.04,3677170.0
2009-06-30,7.27,7.35,6.88,6.94,3401650.0
2009-07-01,6.97,6.97,6.81,6.89,4071810.0
2009-07-02,6.91,7.02,6.86,6.87,991130.0
2009-07-03,6.81,6.91,6.8,6.85,684960.0
2009-07-06,6.88,6.99,6.39,6.49,2202800.0
2009-07-07,6.5,6.71,6.19,6.3,1807900.0
2009-07-08,6.25,6.3,6.03,6.22,3993500.0
2009-07-09,6.26,6.35,6.01,6.14,1530380.0
2009-07-10,6.15,6.27,6.09,6.1,1012970.0
2009-07-13,6.08,6.14,5.9,5.94,983960.0
2009-07-14,6.14,6.19,5.97,6.12,4651690.0
2009-07-15,6.16,6.3,6.16,6.23,1884070.0
2009-07-16,6.31,6.44,6.31,6.36,3208370.0
2009-07-17,6.41,6.48,6.36,6.4,1614270.0
2009-07-20,6.52,6.71,6.47,6.67,1573200.0
2009-07-21,6.64,6.75,6.55,6.58,633440.0
2009-07-22,6.76,6.76,6.61,6.65,1200020.0
2009-07-23,6.69,6.85,6.5,6.8,4041070.0
2009-07-24,6.91,6.96,6.72,6.8,927940.0
2009-07-27,6.86,6.9,6.77,6.81,791850.0
2009-07-28,6.86,6.89,6.7,6.82,1457170.0
2009-07-29,6.8,6.84,6.58,6.61,2486790.0
2009-07-30,6.5,6.61,6.45,6.58,1972570.0
2009-07-31,6.63,6.88,6.61,6.64,6239030.0
2009-08-03,6.68,6.75,6.63,6.69,2723000.0
2009-08-04,6.71,6.74,6.57,6.61,5242810.0
2009-08-05,6.61,6.66,6.44,6.52,3001970.0
2009-08-06,6.39,6.5,6.24,6.31,11688890.0
2009-08-07,6.3,6.34,6.11,6.22,9541890.0
2009-08-10,6.41,6.41,6.05,6.12,6707960.0
2009-08-11,7.81,7.86,7.68,7.74,10834180.0
2009-08-12,7.63,7.81,7.63,7.76,1201380.0
2009-08-13,7.82,8.03,7.82,7.94,3691680.0
2009-08-14,8.0,8.16,7.96,8.11,1913760.0
2009-08-17,7.77,8.19,7.66,7.75,5488730.0
2009-08-18,7.66,8.0,7.66,7.9,3036750.0
2009-08-19,8.01,8.01,7.64,7.66,2270670.0
2009-08-20,7.76,7.87,7.7,7.77,1436070.0
2009-08-21,7.61,7.81,7.61,7.78,2595340.0
2009-08-24,7.93,7.96,7.82,7.86,2090440.0
2009-08-25,7.84,7.87,7.64,7.8,4285370.0
2009-08-26,7.82,7.88,7.73,7.77,3971840.0
2009-08-27,7.73,7.86,7.73,7.8,6466710.0
2009-08-28,7.89,7.95,7.63,7.67,14412230.0
2009-08-31,7.67,7.89,7.62,7.82,5607980.0
2009-09-01,7.93,8.11,7.86,7.93,12436060.0
2009-09-02,7.92,8.14,7.79,7.84,7650980.0
2009-09-03,7.93,8.05,7.87,7.95,5459230.0
2009-09-04,8.0,8.3,7.95,8.13,8925700.0
2009-09-07,8.21,8.57,8.12,8.38,8856320.0
2009-09-08,8.55,8.64,8.22,8.33,8266480.0
2009-09-09,8.45,8.45,8.12,8.16,6441830.0
2009-09-10,8.32,8.39,8.04,8.09,5647990.0
2009-09-11,8.21,8.45,8.04,8.32,7871380.0
2009-09-14,8.32,8.46,8.29,8.41,4750220.0
2009-09-15,8.46,8.92,8.44,8.74,11567660.0
2009-09-16,8.9,9.02,8.8,8.95,8946190.0
2009-09-17,9.07,9.07,8.61,8.82,3777430.0
2009-09-18,8.84,8.89,8.72,8.78,2371960.0
2009-09-22,8.88,8.98,8.75,8.79,4309440.0
2009-09-23,8.87,9.25,8.82,9.07,10848260.0
2009-09-24,9.0,9.22,8.75,8.85,14659760.0
2009-09-25,8.8,9.11,8.8,8.94,4866410.0
2009-09-29,9.1,9.14,8.76,8.8,3808120.0
2009-09-30,8.89,9.03,8.76,8.99,4858640.0
2009-10-01,9.07,9.14,8.84,8.88,5669320.0
2009-10-05,8.93,8.93,8.43,8.46,4938710.0
2009-10-06,8.57,8.68,8.26,8.42,6047960.0
2009-10-07,8.5,8.56,8.24,8.28,9880310.0
2009-10-08,8.29,8.41,8.14,8.29,14145100.0
2009-10-09,8.34,8.36,7.94,7.99,14621500.0
2009-10-12,8.04,8.1,7.8,7.96,16046520.0
2009-10-14,8.07,8.45,8.06,8.39,16724150.0
2009-10-15,8.46,8.74,8.4,8.67,8510910.0
2009-10-16,8.75,9.06,8.39,9.0,11703110.0
2009-10-20,9.3,9.64,9.19,9.5,14633010.0
2009-10-21,9.57,9.57,9.13,9.24,5453900.0
2009-10-22,9.14,9.29,8.98,9.07,7277000.0
2009-10-23,9.04,9.46,9.04,9.31,6728640.0
2009-10-26,9.36,9.39,9.01,9.17,8302310.0
2009-10-27,8.96,9.14,8.61,8.75,7292790.0
2009-10-28,8.57,8.85,8.46,8.68,5079700.0
2009-10-29,8.57,9.06,8.43,8.71,6393460.0
2009-10-30,8.93,9.02,8.57,8.57,3957530.0
2009-11-03,8.61,8.61,7.82,7.87,5167260.0
2009-11-04,8.03,8.09,7.86,8.04,3735610.0
2009-11-05,8.05,8.25,7.91,8.2,5515900.0
2009-11-06,8.35,8.39,8.04,8.12,3877450.0
2009-11-09,8.21,8.6,8.16,8.53,6356540.0
2009-11-10,8.92,9.25,8.29,8.36,7747500.0
2009-11-11,8.43,8.64,8.39,8.5,5511310.0
2009-11-12,8.53,8.6,8.21,8.25,3753520.0
2009-11-13,8.25,8.43,8.25,8.28,4568750.0
2009-11-16,8.36,8.48,8.36,8.44,4010910.0
2009-11-17,8.45,8.52,8.37,8.5,2857190.0
2009-11-18,8.57,8.57,8.4,8.43,1564000.0
2009-11-19,8.45,8.47,8.26,8.32,1642990.0
2009-11-20,8.22,8.56,8.17,8.49,3304180.0
2009-11-23,8.57,8.69,8.5,8.57,10633590.0
2009-11-24,8.62,8.86,8.57,8.77,13420560.0
2009-11-25,8.86,8.86,8.66,8.69,3355560.0
2009-11-26,8.61,8.74,8.37,8.45,7815150.0
2009-11-27,8.43,8.43,7.96,8.25,8526440.0
2009-11-30,8.27,8.51,8.27,8.4,2507500.0
2009-12-01,8.04,8.73,8.04,8.69,2881810.0
2009-12-02,8.76,8.93,8.71,8.87,8482820.0
2009-12-03,8.93,9.04,8.64,8.72,4220420.0
2009-12-04,8.74,8.84,8.61,8.68,1478270.0
2009-12-07,8.7,8.8,8.64,8.67,1945730.0
2009-12-08,8.64,8.89,8.64,8.85,2358830.0
2009-12-09,8.81,9.11,8.72,8.92,4557750.0
2009-12-10,8.89,8.96,8.79,8.86,2029740.0
2009-12-11,8.86,8.98,8.72,8.78,2482970.0
2009-12-14,8.82,8.85,8.68,8.73,2352870.0
2009-12-15,8.75,8.78,8.38,8.43,4772700.0
2009-12-16,8.39,8.57,8.34,8.52,4091260.0
2009-12-17,8.5,8.61,8.45,8.57,4602110.0
2009-12-18,8.5,8.59,8.48,8.55,1989250.0
2009-12-21,8.57,8.63,8.49,8.54,1875520.0
2009-12-22,8.71,8.74,8.55,8.61,2194870.0
2009-12-23,8.71,8.74,8.55,8.61,2194870.0
2009-12-24,8.71,8.74,8.55,8.61,2194870.0
2009-12-29,8.71,8.74,8.55,8.61,2194870.0
2009-12-30,8.71,8.74,8.55,8.61,2194870.0
2009-12-31,8.71,8.74,8.55,8.61,2194870.0
2010-01-04,8.49,8.5,8.34,8.42,4941260.0
2010-01-05,8.56,8.62,8.46,8.55,11283330.0
2010-01-06,8.58,8.81,8.58,8.71,7956420.0
2010-01-07,8.75,8.9,8.73,8.78,8362390.0
2010-01-08,8.79,8.98,8.78,8.86,9238320.0
2010-01-11,8.93,9.11,8.86,9.02,5898190.0
2010-01-12,9.04,9.1,8.77,8.83,5051910.0
2010-01-13,8.82,8.92,8.7,8.81,8012040.0
2010-01-14,8.86,9.25,8.83,9.13,8843270.0
2010-01-15,9.19,9.47,9.15,9.34,14162080.0
2010-01-18,9.39,9.79,9.29,9.63,15351450.0
2010-01-19,9.76,10.01,9.46,9.54,13763200.0
2010-01-20,9.57,9.77,9.56,9.66,7610620.0
2010-01-21,9.47,9.86,9.47,9.59,10540440.0
2010-01-22,9.2,9.89,9.2,9.65,8044810.0
2010-01-25,9.5,9.64,9.21,9.3,3830760.0
2010-01-27,9.27,9.31,9.04,9.14,5123390.0
2010-01-28,9.14,9.28,8.81,8.91,8404930.0
2010-01-29,8.83,9.27,8.57,9.11,9673100.0
2010-02-01,9.19,9.37,9.02,9.31,5553970.0
2010-02-02,9.44,9.47,9.25,9.29,3210270.0
2010-02-03,9.33,9.38,9.22,9.25,3754650.0
2010-02-04,9.29,9.4,8.99,9.06,3648300.0
2010-02-05,8.93,9.03,8.77,8.95,2266800.0
2010-02-08,9.06,9.14,8.89,9.05,1616620.0
2010-02-09,9.06,9.07,8.9,8.93,1410170.0
2010-02-10,9.0,9.08,8.92,8.97,1142260.0
2010-02-11,8.96,9.24,8.91,8.94,1639640.0
2010-02-15,8.98,9.09,8.8,8.83,2394830.0
2010-02-16,8.79,9.02,8.79,8.94,3151650.0
2010-02-17,8.98,9.1,8.82,8.96,829560.0
2010-02-18,9.0,9.05,8.86,8.9,584050.0
2010-02-19,8.83,9.04,8.83,8.98,1656000.0
2010-02-22,9.05,9.05,8.87,8.92,501290.0
2010-02-23,8.96,9.01,8.88,8.94,4804250.0
2010-02-24,8.89,9.0,8.89,8.93,4241820.0
2010-02-25,9.02,9.02,8.76,8.83,4504770.0
2010-02-26,8.92,9.29,8.87,9.23,2459590.0
2010-03-02,9.37,9.42,9.12,9.21,2755650.0
2010-03-03,9.21,9.46,9.14,9.36,2254030.0
2010-03-04,9.21,9.55,9.21,9.53,5033030.0
2010-03-05,9.61,9.61,9.32,9.36,745420.0
2010-03-08,9.46,9.52,9.3,9.44,1759770.0
2010-03-09,9.5,9.6,9.39,9.47,1971270.0
2010-03-10,9.48,9.48,9.25,9.31,2109890.0
2010-03-11,9.26,9.35,9.18,9.22,860100.0
2010-03-12,9.36,9.57,9.15,9.47,2297250.0
2010-03-15,9.43,9.54,9.11,9.23,6252780.0
2010-03-16,9.25,9.5,9.18,9.45,5899780.0
2010-03-17,9.45,9.52,9.25,9.3,1462670.0
2010-03-18,9.36,9.5,9.34,9.46,2078820.0
2010-03-19,9.49,9.56,9.14,9.2,4790760.0
2010-03-22,9.21,9.21,9.0,9.15,1061580.0
2010-03-23,9.21,9.36,9.11,9.15,1013030.0
2010-03-25,9.11,9.28,8.93,8.99,4082030.0
2010-03-26,9.0,9.28,9.0,9.23,5367500.0
2010-03-29,9.28,9.5,9.28,9.45,5425470.0
2010-03-30,9.46,9.75,9.36,9.58,4630010.0
2010-03-31,9.71,9.81,9.49,9.53,4677420.0
2010-04-01,9.54,9.68,9.38,9.46,2133260.0
2010-04-05,9.5,9.58,9.42,9.52,2691850.0
2010-04-06,9.57,10.11,9.48,9.99,9807890.0
2010-04-07,10.17,10.21,9.89,9.99,9782710.0
2010-04-08,9.95,10.12,9.9,10.02,4066730.0
2010-04-09,9.52,10.21,9.52,10.07,3501770.0
2010-04-12,10.11,10.17,9.86,9.89,1491690.0
2010-04-13,9.87,9.95,9.76,9.83,880270.0
2010-04-15,9.71,10.07,9.71,9.9,3147800.0
2010-04-16,9.8,10.0,9.67,9.91,1676090.0
2010-04-19,9.82,10.02,9.64,9.91,2354190.0
2010-04-20,10.07,10.14,9.95,10.03,2568910.0
2010-04-21,10.03,10.16,10.03,10.08,3025580.0
2010-04-22,10.06,10.34,9.97,10.26,6333240.0
2010-04-23,10.35,10.58,10.33,10.43,9392460.0
2010-04-26,10.54,10.71,10.44,10.5,3406260.0
2010-04-27,10.47,10.57,10.29,10.35,3153190.0
2010-04-28,10.07,10.28,10.07,10.11,1942940.0
2010-04-29,10.25,10.53,10.15,10.39,4793080.0
2010-04-30,10.45,10.64,10.39,10.44,4969300.0
2010-05-03,10.43,10.51,10.36,10.41,3966370.0
2010-05-04,10.47,10.79,10.14,10.25,8482170.0
2010-05-05,10.07,10.71,9.96,10.63,8731590.0
2010-05-06,10.68,10.68,10.29,10.51,3087350.0
2010-05-07,10.34,10.34,9.89,9.99,7442770.0
2010-05-10,10.14,10.31,10.09,10.14,3211690.0
2010-05-11,10.01,10.29,9.93,9.96,2198340.0
2010-05-12,9.89,10.03,9.68,9.97,3134630.0
2010-05-13,10.04,10.29,10.04,10.2,6828730.0
2010-05-14,10.21,10.43,9.96,10.02,19336770.0
2010-05-17,9.95,10.54,9.72,10.44,6892550.0
2010-05-18,10.54,11.14,10.36,10.98,14966490.0
2010-05-19,11.04,11.43,10.99,11.17,24902300.0
2010-05-20,11.21,11.57,11.16,11.39,15863850.0
2010-05-21,11.17,11.28,10.87,11.15,11224740.0
2010-05-24,11.31,11.45,11.09,11.14,8650490.0
2010-05-25,11.11,11.33,10.84,10.89,11370490.0
2010-05-26,11.0,11.34,11.0,11.22,8010410.0
2010-05-27,11.32,11.77,11.16,11.69,13381360.0
2010-05-28,11.71,11.93,11.6,11.81,5642540.0
2010-05-31,11.79,12.61,11.75,12.33,26481410.0
2010-06-01,12.33,12.68,11.83,11.91,12388160.0
2010-06-02,11.94,12.05,11.65,11.96,5538400.0
2010-06-03,11.99,12.19,11.81,11.94,7057230.0
2010-06-04,12.04,12.36,11.99,12.2,8019690.0
2010-06-07,11.96,12.16,11.79,11.98,6639110.0
2010-06-08,12.04,12.34,11.93,12.21,10352110.0
2010-06-09,12.31,12.34,12.07,12.14,5911980.0
2010-06-10,12.32,12.32,11.87,11.99,4751730.0
2010-06-11,12.14,12.21,11.72,11.86,7496780.0
2010-06-14,11.86,11.94,11.68,11.77,11953760.0
2010-06-15,11.81,12.03,11.69,11.85,3063390.0
2010-06-16,11.89,11.94,11.51,11.56,4559570.0
2010-06-17,11.36,11.66,11.31,11.54,8893650.0
2010-06-18,11.61,11.78,11.5,11.68,3525570.0
2010-06-21,11.79,12.02,11.71,11.9,4189260.0
