,open,high,low,close,volume
2009-05-20,24.13,29.28,23.78,29.28,390014.0
2009-05-21,29.94,34.43,29.54,31.88,410030.0
2009-05-22,30.82,33.55,30.82,32.01,187639.0
2009-05-25,31.96,34.78,31.96,34.08,186942.0
2009-05-26,34.34,36.1,30.86,31.61,272398.0
2009-05-27,32.89,33.9,31.88,33.29,155024.0
2009-05-28,33.2,36.06,33.2,35.0,285130.0
2009-05-29,35.22,36.68,34.78,35.27,195974.0
2009-06-01,36.1,36.98,35.22,35.84,186840.0
2009-06-02,36.72,37.86,36.1,37.12,224705.0
2009-06-03,37.86,39.1,36.59,37.2,243393.0
2009-06-04,37.42,37.42,36.1,37.16,133332.0
2009-06-05,37.42,38.35,36.02,36.37,192410.0
2009-06-08,36.98,36.98,33.46,33.73,145853.0
2009-06-09,33.68,33.81,31.88,33.37,90662.0
2009-06-10,34.03,34.96,32.58,33.07,162732.0
2009-06-11,33.51,34.78,32.14,32.58,155097.0
2009-06-12,32.8,33.2,31.48,31.83,93439.0
2009-06-15,31.26,32.05,30.47,30.73,76137.0
2009-06-16,29.94,30.29,29.5,29.72,111333.0
2009-06-17,30.03,30.51,28.18,28.75,125415.0
2009-06-18,28.88,29.5,27.52,27.78,120975.0
2009-06-19,28.35,29.06,27.3,27.69,86205.0
2009-06-22,28.57,28.88,27.56,27.69,62138.0
2009-06-23,27.3,27.91,26.46,27.17,57676.0
2009-06-24,27.52,27.74,26.9,27.17,85767.0
2009-06-25,27.3,28.05,27.3,27.74,90607.0
2009-06-26,28.18,29.41,28.09,28.71,72243.0
2009-06-29,29.32,30.56,28.66,29.76,139838.0
2009-06-30,30.73,30.73,28.05,28.31,104537.0
2009-07-01,28.84,29.06,27.87,28.35,30867.0
2009-07-02,28.35,29.45,28.22,28.62,75536.0
2009-07-03,28.44,30.34,27.96,28.62,244103.0
2009-07-06,29.01,29.5,27.3,27.52,98977.0
2009-07-07,28.0,28.44,26.64,26.95,44465.0
2009-07-08,26.42,26.95,24.88,25.4,82757.0
2009-07-09,25.54,26.42,24.92,25.49,52981.0
2009-07-10,24.83,26.5,24.66,25.18,63688.0
2009-07-13,24.83,25.1,23.38,23.95,85350.0
2009-07-14,24.3,28.62,24.3,25.14,82343.0
2009-07-15,25.54,27.17,24.92,26.55,77751.0
2009-07-16,27.34,28.18,26.24,26.64,69269.0
2009-07-17,28.05,28.05,27.12,27.56,82606.0
2009-07-20,27.74,29.94,27.74,29.37,180892.0
2009-07-21,29.94,31.0,29.5,30.07,248651.0
2009-07-22,30.38,31.26,28.75,30.47,726621.0
2009-07-23,32.05,33.02,30.2,30.56,1101261.0
2009-07-24,30.82,31.52,30.42,31.26,297301.0
2009-07-27,31.44,32.49,30.86,32.18,368607.0
2009-07-28,32.62,32.62,31.92,32.05,153042.0
2009-07-29,32.1,32.45,28.44,31.61,215299.0
2009-07-30,31.7,36.72,31.26,36.19,1744757.0
2009-07-31,37.03,37.34,34.43,34.83,791767.0
2009-08-03,35.0,36.06,34.08,34.96,434411.0
