,open,high,low,close,volume
2009-05-20,26.28,30.07,26.28,29.55,248083.0
2009-05-21,29.41,33.38,29.22,30.91,431681.0
2009-05-22,30.73,31.54,29.44,30.95,99658.0
2009-05-25,32.13,33.78,30.88,33.38,238954.0
2009-05-26,33.82,34.74,31.06,31.32,167337.0
2009-05-27,31.61,33.19,31.61,32.86,100032.0
2009-05-28,32.83,33.74,32.46,32.86,89315.0
2009-05-29,33.08,35.36,32.64,33.63,223057.0
2009-06-01,35.1,35.1,33.56,34.59,126684.0
2009-06-02,36.02,38.01,35.29,37.46,777526.0
2009-06-03,38.23,38.89,36.21,37.13,261517.0
2009-06-04,36.76,37.83,35.66,37.05,279524.0
2009-06-05,38.74,39.92,36.76,37.27,303265.0
2009-06-08,37.64,37.79,33.56,34.19,101353.0
2009-06-09,33.67,34.55,32.35,34.3,84570.0
2009-06-10,34.41,36.58,33.82,34.11,91399.0
2009-06-11,34.55,36.02,33.19,34.63,112559.0
2009-06-12,34.63,35.18,33.27,33.52,57994.0
2009-06-15,33.52,33.52,31.98,32.13,46364.0
2009-06-16,31.25,32.83,31.06,32.16,59062.0
2009-06-17,34.19,34.19,30.73,31.1,60434.0
2009-06-18,31.61,31.98,28.82,29.3,84182.0
2009-06-19,29.7,30.14,28.75,29.77,57746.0
2009-06-22,29.77,30.11,29.26,29.37,34706.0
2009-06-23,30.51,30.51,28.67,29.15,30702.0
2009-06-24,29.52,30.47,29.26,30.18,42237.0
2009-06-25,30.11,32.64,30.11,32.09,101884.0
2009-06-26,33.52,34.3,32.49,33.97,239295.0
2009-06-29,34.19,37.38,33.63,37.38,298752.0
2009-06-30,39.11,39.11,35.55,35.77,380760.0
2009-07-01,34.7,35.66,34.04,34.26,58116.0
2009-07-02,34.55,35.99,33.97,34.55,123360.0
2009-07-03,34.63,35.1,34.19,34.74,60127.0
2009-07-06,34.74,35.73,33.01,33.01,96903.0
2009-07-07,32.42,32.64,31.61,32.2,49146.0
2009-07-08,31.98,31.98,30.62,30.77,37734.0
2009-07-09,31.54,32.31,31.17,31.54,69753.0
2009-07-10,32.27,32.27,30.14,30.51,43671.0
2009-07-13,30.51,30.51,29.0,29.0,35523.0
2009-07-14,29.04,30.44,29.04,30.29,51984.0
2009-07-15,30.14,31.76,30.14,31.61,39322.0
2009-07-16,31.98,32.68,30.88,31.06,37425.0
2009-07-17,31.72,31.76,30.99,31.47,36600.0
2009-07-20,31.8,32.86,31.65,32.16,77159.0
2009-07-21,32.72,33.45,31.65,32.83,116300.0
2009-07-22,32.97,34.48,32.35,33.12,166444.0
2009-07-23,34.33,34.37,32.75,33.63,80366.0
2009-07-24,34.37,35.1,33.23,34.66,139409.0
2009-07-27,34.74,36.43,34.41,36.43,150512.0
2009-07-28,38.27,38.27,36.39,36.87,309835.0
2009-07-29,37.13,37.13,35.03,35.62,99828.0
2009-07-30,36.24,37.42,35.36,37.42,185722.0
2009-07-31,38.23,39.19,35.55,37.24,388172.0
2009-08-03,37.38,38.6,36.76,37.94,181088.0
2009-08-04,38.19,38.96,36.91,37.57,159328.0
2009-08-05,38.89,39.41,38.27,39.26,521076.0
2009-08-06,38.89,41.24,38.89,39.92,881652.0
2009-08-07,39.7,41.17,38.6,39.07,269967.0
2009-08-10,39.15,40.32,37.49,37.68,137409.0
2009-08-11,37.68,38.96,36.76,38.45,99778.0
2009-08-12,38.23,39.96,37.75,39.63,282796.0
2009-08-13,39.33,41.5,39.33,41.5,63663.0
2009-08-14,41.16,43.6,40.45,40.82,206110.0
2009-08-17,39.36,40.75,38.8,38.88,95267.0
2009-08-18,38.91,40.82,38.28,40.82,82575.0
2009-08-19,42.32,42.32,39.89,40.86,153857.0
2009-08-20,41.2,41.95,40.56,40.79,70757.0
2009-08-21,40.45,41.27,40.26,40.75,59695.0
2009-08-24,40.45,41.95,39.85,40.79,108561.0
2009-08-25,40.6,41.2,40.04,40.19,81908.0
2009-08-26,40.26,40.82,40.15,40.3,118926.0
2009-08-27,40.26,41.95,40.08,40.94,91592.0
2009-08-28,40.82,41.2,40.38,40.6,57734.0
2009-08-31,40.6,41.16,40.08,40.75,105347.0
2009-09-01,40.64,41.72,39.78,40.11,114294.0
2009-09-02,39.7,40.38,39.33,39.55,51240.0
2009-09-03,39.55,41.09,39.36,39.55,42280.0
2009-09-04,39.33,40.45,39.33,39.78,58299.0
2009-09-07,39.7,41.87,39.7,40.45,205989.0
2009-09-08,41.2,41.57,39.44,39.85,171464.0
2009-09-09,39.7,41.12,39.7,40.3,71533.0
2009-09-10,40.45,41.57,39.96,40.15,113995.0
2009-09-11,40.23,40.82,38.99,39.33,72130.0
2009-09-14,39.33,40.45,38.91,39.66,59006.0
2009-09-15,39.93,41.61,39.44,41.31,202973.0
