,open,high,low,close,volume
2009-05-20,48.0,49.1,48.0,49.1,6000.0
2009-05-21,49.55,51.6,49.55,50.0,16047.0
2009-05-22,50.9,52.0,49.25,51.0,11044.0
2009-05-25,53.0,53.9,51.35,53.9,9317.0
2009-05-26,55.5,56.6,52.25,55.5,12762.0
2009-05-27,55.0,57.5,54.1,55.0,3335.0
2009-05-28,54.1,57.5,54.1,56.95,3443.0
2009-05-29,56.0,58.2,56.0,57.35,3985.0
2009-06-01,57.35,57.35,55.1,56.5,1976.0
2009-06-02,57.0,59.2,57.0,59.2,12480.0
2009-06-03,61.0,61.75,57.5,61.0,6658.0
2009-06-04,63.8,64.75,61.6,64.75,5881.0
2009-06-05,65.0,67.0,61.55,61.55,10604.0
2009-06-08,63.5,63.5,58.5,58.5,5342.0
2009-06-09,56.1,58.0,55.65,57.1,3149.0
2009-06-10,55.3,59.9,55.3,57.5,6407.0
2009-06-11,58.8,58.8,55.3,56.1,1335.0
2009-06-12,56.0,57.0,53.3,54.2,11538.0
2009-06-15,54.0,56.95,54.0,56.25,4491.0
2009-06-16,55.0,57.6,54.5,57.25,2855.0
2009-06-17,54.55,59.45,54.55,55.65,4184.0
2009-06-18,53.5,56.75,52.9,53.2,3417.0
2009-06-19,53.0,53.6,50.6,50.75,7878.0
2009-06-22,48.6,51.7,48.6,50.5,5152.0
2009-06-23,50.5,50.8,48.75,50.25,4831.0
2009-06-24,49.5,52.0,49.25,50.05,6538.0
2009-06-25,49.5,50.9,48.6,49.3,1917.0
2009-06-26,49.75,50.0,46.9,47.65,6041.0
2009-06-29,48.0,49.5,45.3,46.1,35828.0
2009-06-30,47.25,48.2,44.6,45.0,6396.0
2009-07-01,45.5,46.25,44.1,45.95,4309.0
2009-07-02,45.0,45.9,44.1,44.95,2652.0
2009-07-03,45.0,46.0,44.15,46.0,8902.0
2009-07-06,45.5,46.3,44.15,44.45,4786.0
2009-07-07,44.0,44.35,42.4,44.05,1151.0
2009-07-08,43.5,44.45,41.6,43.65,2336.0
2009-07-09,43.5,44.4,42.6,43.55,1923.0
2009-07-10,42.55,44.9,42.55,42.9,1828.0
2009-07-13,42.25,42.9,39.25,42.8,5516.0
2009-07-14,42.5,44.5,42.1,44.2,1668.0
2009-07-15,44.5,47.5,43.1,45.85,5372.0
2009-07-16,46.0,47.5,45.5,45.9,798.0
2009-07-17,45.5,47.0,45.05,45.6,3427.0
2009-07-20,46.0,50.2,46.0,49.9,18309.0
2009-07-21,48.7,50.45,48.7,49.3,5334.0
2009-07-22,48.1,52.5,48.05,50.3,7593.0
2009-07-23,50.5,52.7,49.7,50.95,5368.0
2009-07-24,52.1,56.05,50.6,56.05,20207.0
2009-07-27,56.95,61.65,56.1,56.85,30251.0
2009-07-28,58.0,59.0,57.0,58.8,13565.0
2009-07-29,58.8,63.65,58.5,63.0,22760.0
2009-07-30,65.0,66.15,62.7,66.15,13811.0
2009-07-31,69.5,69.5,69.5,69.5,7862.0
2009-08-03,73.0,73.0,73.0,73.0,2312.0
2009-08-04,76.65,76.65,76.65,76.65,1952.0
2009-08-05,80.5,80.5,77.5,80.5,163199.0
2009-08-06,84.55,84.55,84.55,84.55,13154.0
2009-08-07,88.8,88.8,88.8,88.8,8885.0
2009-08-10,93.25,93.25,86.2,92.0,106819.0
2009-08-11,87.0,90.0,84.6,90.0,21396.0
2009-08-12,92.9,92.9,85.25,90.0,8803.0
2009-08-13,92.0,92.0,87.0,89.15,11170.0
