,open,high,low,close,volume
2009-05-20,37.67,40.64,37.67,39.97,9095314.0
2009-05-21,39.97,40.52,38.66,39.32,11630873.0
2009-05-22,39.23,39.34,36.58,37.19,12011844.0
2009-05-25,37.8,37.8,36.08,36.73,6471879.0
2009-05-26,37.13,37.36,35.66,35.87,4664018.0
2009-05-27,36.38,37.15,36.13,36.95,10249604.0
2009-05-28,37.67,37.8,36.53,37.19,15494194.0
2009-05-29,37.64,41.05,37.41,38.97,19950880.0
2009-06-01,40.27,41.27,39.14,39.91,8871502.0
2009-06-02,39.26,40.53,39.26,40.27,8196455.0
2009-06-03,40.92,40.92,39.36,39.96,6429963.0
2009-06-04,39.88,40.07,39.34,39.55,4901646.0
2009-06-05,39.62,40.9,39.41,39.81,9426169.0
2009-06-08,39.81,40.25,37.73,38.0,4860398.0
2009-06-09,38.0,38.4,36.96,38.17,7640416.0
2009-06-10,38.58,38.8,37.76,38.05,7702315.0
2009-06-11,38.06,38.19,36.89,37.17,5149312.0
2009-06-12,37.8,38.05,37.03,37.34,8373749.0
2009-06-15,37.64,37.67,36.01,36.73,7616843.0
2009-06-16,36.56,38.03,36.12,37.54,3907726.0
2009-06-17,37.67,38.06,36.0,36.36,3781614.0
2009-06-18,36.76,36.76,35.85,36.34,4375922.0
2009-06-19,36.99,37.64,35.77,37.4,5443790.0
2009-06-22,37.93,38.06,36.15,36.62,2991794.0
2009-06-23,36.37,36.95,35.4,36.38,6640192.0
2009-06-24,36.74,36.99,35.75,36.5,5031061.0
2009-06-25,37.67,37.67,36.11,36.17,10388028.0
2009-06-26,36.83,37.38,36.04,36.93,3486389.0
2009-06-29,37.28,38.06,36.68,37.68,3075964.0
2009-06-30,38.05,38.19,37.03,37.45,3719648.0
2009-07-01,37.31,37.88,36.89,37.39,2526816.0
2009-07-02,37.93,42.86,37.44,40.32,36860789.0
2009-07-03,39.12,41.38,39.12,41.16,12450023.0
2009-07-06,41.14,41.57,39.78,40.89,12086556.0
2009-07-07,41.42,44.62,41.18,42.2,22700213.0
2009-07-08,41.57,41.95,40.3,40.75,14394023.0
2009-07-09,41.05,42.86,40.92,42.16,12813444.0
2009-07-10,42.35,42.85,40.27,40.45,7023541.0
2009-07-13,40.92,42.08,39.75,41.12,10394784.0
2009-07-14,41.81,42.14,40.95,41.87,5244619.0
2009-07-15,42.07,42.6,41.14,42.43,3739040.0
2009-07-16,42.86,45.27,41.95,43.97,12261102.0
