,open,high,low,close,volume
2009-05-20,341.25,394.38,337.04,381.27,498151.0
2009-05-21,379.17,394.33,362.31,366.7,183879.0
2009-05-22,366.7,387.42,361.13,381.53,154760.0
2009-05-25,381.69,395.13,372.43,382.87,137183.0
2009-05-26,379.17,389.19,352.2,356.46,117707.0
2009-05-27,366.53,385.95,362.31,379.88,90253.0
2009-05-28,389.28,389.28,370.78,375.5,104987.0
2009-05-29,385.06,403.43,371.71,394.08,266155.0
2009-06-01,397.7,409.5,387.63,403.81,149032.0
2009-06-02,408.74,411.18,390.37,406.68,106301.0
2009-06-03,407.73,435.62,407.73,420.03,423304.0
2009-06-04,406.13,431.66,406.13,422.22,257115.0
2009-06-05,427.19,446.49,408.66,425.26,507036.0
2009-06-08,421.3,436.8,384.52,394.16,138871.0
2009-06-09,387.59,405.62,370.78,401.96,112211.0
2009-06-10,404.53,422.77,392.65,396.36,150918.0
2009-06-11,400.23,412.87,393.2,398.88,108253.0
2009-06-12,404.44,412.87,389.32,393.07,96446.0
2009-06-15,390.92,394.33,363.24,369.56,90440.0
2009-06-16,376.64,395.13,359.79,392.06,161437.0
2009-06-17,392.06,392.65,366.99,372.43,113479.0
2009-06-18,372.43,372.43,345.38,359.96,151626.0
2009-06-19,366.53,380.85,356.42,376.6,170089.0
2009-06-22,380.01,451.88,376.89,386.92,115387.0
2009-06-23,385.06,415.4,372.85,411.86,428139.0
2009-06-24,405.33,421.21,404.53,415.1,230096.0
2009-06-25,410.55,423.57,404.44,413.8,234970.0
2009-06-26,417.08,432.08,412.91,415.65,218783.0
2009-06-29,418.77,446.45,414.56,438.95,339737.0
2009-06-30,446.49,480.28,404.44,409.67,598467.0
2009-07-01,417.93,425.85,400.23,409.33,253302.0
2009-07-02,411.18,415.4,396.95,399.39,166107.0
2009-07-03,396.1,408.19,392.65,401.83,122618.0
2009-07-06,405.62,412.03,358.52,361.68,187890.0
2009-07-07,362.31,378.66,362.31,374.36,176865.0
2009-07-08,366.53,387.17,362.31,379.12,234310.0
2009-07-09,383.38,431.41,380.85,425.97,750967.0
2009-07-10,428.04,432.67,391.97,400.19,637423.0
2009-07-13,404.54,404.62,373.55,386.98,256822.0
