,open,high,low,close,volume
2009-05-20,186.65,196.78,180.79,192.68,2603299.0
2009-05-21,193.96,198.65,184.82,186.61,1241602.0
2009-05-22,185.18,191.4,181.12,188.26,1209499.0
2009-05-25,189.57,197.19,188.84,191.88,599953.0
2009-05-26,193.96,193.96,178.59,180.24,476548.0
2009-05-27,183.72,193.09,183.72,192.43,795915.0
2009-05-28,191.22,207.73,191.22,204.65,1902019.0
2009-05-29,209.34,214.31,203.66,207.25,1774610.0
2009-06-01,212.26,221.05,211.09,215.15,1635346.0
2009-06-02,219.58,219.58,202.82,209.92,1209454.0
2009-06-03,215.92,231.62,211.97,225.36,1598139.0
2009-06-04,219.44,230.52,216.76,219.84,1645411.0
2009-06-05,221.05,227.56,219.03,223.24,802514.0
2009-06-08,224.71,224.71,198.36,204.39,685577.0
2009-06-09,198.47,202.02,189.21,200.0,1399721.0
2009-06-10,204.76,206.41,193.89,202.09,710994.0
2009-06-11,197.92,209.04,194.18,197.44,1524391.0
2009-06-12,198.47,204.58,192.5,194.59,1040554.0
2009-06-15,194.59,200.92,191.18,194.51,467742.0
2009-06-16,191.04,197.59,189.61,193.93,721318.0
2009-06-17,194.73,196.89,177.97,180.24,1137739.0
2009-06-18,179.33,179.47,168.38,173.32,1158020.0
2009-06-19,174.93,179.11,170.18,175.01,663474.0
2009-06-22,176.76,182.91,174.31,177.61,787138.0
2009-06-23,171.27,177.31,169.22,172.59,752399.0
2009-06-24,174.2,176.32,171.71,174.71,535497.0
2009-06-25,175.74,179.62,174.93,176.14,988773.0
2009-06-26,177.13,179.87,174.93,177.5,260394.0
2009-06-29,178.59,191.92,176.62,189.24,1048388.0
2009-06-30,191.04,195.79,181.7,183.68,988902.0
2009-07-01,184.08,190.74,179.87,187.85,961214.0
2009-07-02,190.3,190.74,183.17,186.21,374064.0
2009-07-03,184.45,188.84,182.62,187.85,371176.0
2009-07-06,187.49,188.77,169.81,172.34,376103.0
2009-07-07,172.81,175.59,163.95,172.81,542870.0
2009-07-08,171.27,171.79,161.03,165.93,417109.0
2009-07-09,164.69,165.78,159.67,161.91,277611.0
2009-07-10,163.22,171.93,161.17,166.55,684566.0
2009-07-13,166.15,166.15,154.66,157.18,440264.0
2009-07-14,160.59,166.26,159.05,164.8,259878.0
2009-07-15,166.15,184.89,166.15,181.41,800378.0
2009-07-16,186.65,187.41,174.93,180.57,820003.0
2009-07-17,182.77,185.84,179.47,182.99,344170.0
2009-07-20,184.45,189.57,179.62,182.25,476230.0
2009-07-21,182.91,182.91,175.92,177.09,295987.0
2009-07-22,177.86,183.5,173.03,174.68,479763.0
2009-07-23,175.81,179.84,174.68,178.56,301407.0
2009-07-24,180.79,189.21,178.96,186.5,1060666.0
2009-07-27,188.11,191.04,186.06,186.68,591248.0
2009-07-28,188.11,193.89,187.38,190.09,532473.0
2009-07-29,190.3,190.3,177.86,184.45,513121.0
2009-07-30,183.72,188.66,180.06,184.56,437432.0
2009-07-31,185.95,194.99,184.93,188.84,924890.0
2009-08-03,188.47,193.2,186.72,190.96,403222.0
2009-08-04,191.04,202.67,191.04,200.44,1262974.0
2009-08-05,202.02,206.04,196.89,202.16,830497.0
2009-08-06,202.02,209.59,196.93,199.09,767982.0
2009-08-07,197.62,197.62,188.29,190.85,468294.0
2009-08-10,191.11,193.23,180.86,181.81,487499.0
2009-08-11,185.91,188.47,182.25,185.55,492263.0
2009-08-12,186.65,194.7,179.69,187.67,486934.0
2009-08-13,193.31,197.55,188.58,192.1,694833.0
2009-08-14,192.5,193.67,188.95,189.83,170466.0
2009-08-17,186.79,186.79,180.39,181.45,503172.0
2009-08-18,181.45,190.67,179.18,189.06,392301.0
2009-08-19,189.65,194.26,182.99,186.06,401436.0
2009-08-20,188.8,192.46,186.79,190.01,432984.0
2009-08-21,190.3,190.3,184.08,185.91,395207.0
2009-08-24,186.65,192.87,186.65,192.17,510018.0
2009-08-25,191.81,193.23,188.11,190.12,369725.0
2009-08-26,190.6,204.87,190.6,203.26,955884.0
2009-08-27,204.94,217.75,199.2,213.25,2125405.0
2009-08-28,212.23,221.05,212.19,215.78,1530947.0
2009-08-31,215.78,215.78,206.04,207.51,536233.0
2009-09-01,208.6,208.6,196.6,197.73,994516.0
2009-09-02,197.62,199.82,193.96,194.55,751382.0
2009-09-03,195.43,199.42,193.96,194.95,669698.0
2009-09-04,196.89,201.21,194.99,199.78,706953.0
2009-09-07,201.28,202.02,196.89,197.66,543996.0
2009-09-08,199.09,199.89,195.79,196.53,1073138.0
2009-09-09,196.16,198.21,191.18,193.42,625305.0
2009-09-10,219.58,219.58,190.16,192.17,416459.0
2009-09-11,193.53,200.73,188.91,199.45,849889.0
2009-09-14,199.45,200.55,192.13,193.45,640184.0
2009-09-15,194.66,199.01,194.66,198.1,885295.0
2009-09-16,200.33,202.97,198.03,198.69,727920.0
2009-09-17,200.55,201.06,195.61,197.11,298044.0
2009-09-18,196.89,211.02,196.2,208.31,1804877.0
2009-09-22,210.1,211.53,204.39,206.04,1114901.0
2009-09-23,206.41,207.43,196.23,198.14,938948.0
2009-09-24,196.16,196.75,191.77,195.25,1217718.0
2009-09-25,193.96,198.87,191.77,196.16,789881.0
2009-09-29,197.62,200.55,194.84,199.09,536632.0
2009-09-30,199.09,204.54,199.09,201.47,757663.0
2009-10-01,201.28,202.02,197.73,200.52,915792.0
2009-10-05,199.12,199.23,190.78,191.7,523378.0
2009-10-06,193.23,194.62,185.91,191.73,472115.0
2009-10-07,194.33,196.71,191.07,191.81,472900.0
2009-10-08,193.96,204.61,193.23,203.52,1929539.0
2009-10-09,204.94,209.12,202.02,203.59,2010481.0
2009-10-12,204.21,205.6,199.31,203.41,452182.0
2009-10-14,204.94,209.88,204.32,208.09,919338.0
2009-10-15,210.07,212.19,207.14,208.97,966405.0
2009-10-16,209.34,216.8,208.6,215.45,1439977.0
2009-10-20,213.73,222.73,211.2,219.99,1928082.0
2009-10-21,219.58,227.56,215.92,220.79,2255133.0
2009-10-22,219.58,223.17,213.07,215.15,1640496.0
2009-10-23,215.19,221.41,211.17,212.37,552912.0
2009-10-26,212.99,215.78,205.79,206.74,656406.0
2009-10-27,205.02,205.57,189.5,190.85,697393.0
2009-10-28,190.3,193.6,184.52,187.01,892286.0
2009-10-29,184.82,186.13,179.44,183.57,1494175.0
2009-10-30,186.65,192.35,172.99,176.11,1143271.0
2009-11-03,174.28,176.32,165.86,170.14,518796.0
2009-11-04,175.59,179.62,173.18,177.93,463313.0
2009-11-05,177.79,183.35,173.62,182.33,599597.0
2009-11-06,183.79,185.91,178.89,183.39,528509.0
2009-11-09,184.45,187.89,182.99,187.05,476946.0
2009-11-10,188.18,190.96,179.25,180.68,911619.0
2009-11-11,181.34,193.89,180.17,191.22,2432519.0
2009-11-12,192.5,192.5,186.72,188.37,855291.0
2009-11-13,188.4,193.93,188.4,190.41,1038248.0
2009-11-16,192.5,196.89,189.24,195.36,993075.0
2009-11-17,196.16,198.94,195.98,198.1,1029991.0
2009-11-18,197.55,210.8,195.5,207.47,2799566.0
2009-11-19,208.6,212.74,199.89,203.44,1798321.0
2009-11-20,201.28,214.09,198.36,211.64,1570159.0
2009-11-23,213.73,213.73,203.26,204.28,875067.0
2009-11-24,204.28,206.77,199.12,205.46,1327997.0
2009-11-25,208.53,214.31,204.21,212.01,1747836.0
2009-11-26,210.43,210.73,202.02,203.37,1409505.0
2009-11-27,201.28,202.64,191.33,196.49,862969.0
2009-11-30,197.62,204.14,197.62,198.87,314237.0
2009-12-01,200.19,208.82,199.2,207.21,685782.0
2009-12-02,208.6,208.9,200.95,201.69,655922.0
2009-12-03,201.28,208.38,201.28,204.69,928363.0
2009-12-04,204.94,207.83,202.86,204.61,456927.0
2009-12-07,204.21,206.04,199.82,200.84,275530.0
2009-12-08,202.02,203.19,199.27,201.1,408703.0
2009-12-09,201.28,203.77,198.43,199.45,414794.0
2009-12-10,199.09,203.63,199.09,203.0,268838.0
2009-12-11,204.94,204.94,198.47,199.2,349055.0
2009-12-14,200.55,200.55,194.7,196.42,309668.0
2009-12-15,199.45,200.04,194.81,196.2,684271.0
2009-12-16,196.89,198.28,194.7,196.49,288778.0
2009-12-17,196.82,198.94,195.1,198.21,218736.0
2009-12-18,196.16,200.48,191.04,196.89,321140.0
2009-12-21,196.97,199.6,195.79,196.38,232138.0
2009-12-22,197.62,201.14,197.62,198.72,229887.0
2009-12-23,197.62,201.14,197.62,198.72,229887.0
2009-12-24,197.62,201.14,197.62,198.72,229887.0
2009-12-29,197.62,201.14,197.62,198.72,229887.0
2009-12-30,197.62,201.14,197.62,198.72,229887.0
2009-12-31,197.62,201.14,197.62,198.72,229887.0
2010-01-04,205.71,211.09,204.28,209.19,442448.0
2010-01-05,210.07,215.52,210.07,210.95,787380.0
2010-01-06,213.73,218.7,212.34,214.68,811363.0
2010-01-07,216.58,225.44,213.95,219.8,1702246.0
2010-01-08,221.52,224.71,217.64,221.27,1021201.0
2010-01-11,223.9,239.56,221.78,235.87,2941771.0
2010-01-12,234.22,238.5,227.19,229.02,1678200.0
2010-01-13,226.9,231.07,224.78,229.46,676845.0
2010-01-14,230.09,231.29,225.11,226.94,304809.0
2010-01-15,226.9,235.54,226.9,232.98,1509686.0
2010-01-18,233.49,239.13,230.93,236.78,1561703.0
2010-01-19,237.88,238.61,228.51,230.42,739813.0
2010-01-20,230.85,236.71,230.85,233.45,975999.0
2010-01-21,233.49,233.49,223.32,226.17,955735.0
2010-01-22,226.9,229.43,221.05,225.18,871215.0
2010-01-25,222.51,226.17,217.64,218.59,448958.0
2010-01-27,215.92,220.97,203.48,207.4,776464.0
2010-01-28,207.4,213.62,200.41,206.41,710917.0
2010-01-29,205.02,210.73,198.72,208.9,655413.0
2010-02-01,207.87,214.09,203.26,207.87,579566.0
2010-02-02,210.07,217.39,202.2,204.76,371022.0
2010-02-03,205.68,207.76,201.39,203.74,813371.0
2010-02-04,201.28,206.04,196.42,197.44,476724.0
2010-02-05,193.96,195.36,189.1,191.29,300054.0
2010-02-08,194.7,197.99,192.21,195.87,232879.0
2010-02-09,196.23,200.0,193.6,198.8,260213.0
2010-02-10,198.8,200.48,195.79,196.64,385495.0
2010-02-11,196.75,199.2,196.75,197.66,382358.0
2010-02-15,197.15,199.05,194.48,195.72,254609.0
2010-02-16,196.16,197.62,194.37,196.09,350823.0
2010-02-17,197.7,205.9,197.62,202.49,664003.0
2010-02-18,204.72,207.14,203.11,204.69,432662.0
2010-02-19,204.18,207.54,199.49,201.8,565651.0
2010-02-22,202.82,204.18,195.79,196.56,177867.0
2010-02-23,196.53,198.28,193.96,196.2,312717.0
2010-02-24,196.16,197.4,191.77,193.82,410962.0
2010-02-25,199.09,199.09,191.07,192.65,380065.0
2010-02-26,192.5,196.09,191.33,192.57,414301.0
2010-03-02,194.7,201.14,191.04,200.11,370805.0
2010-03-03,201.28,208.24,200.55,206.22,786396.0
2010-03-04,206.41,213.14,205.75,210.03,835275.0
2010-03-05,212.26,215.48,212.26,214.42,492777.0
2010-03-08,219.14,219.58,210.95,212.12,613645.0
2010-03-09,213.65,213.98,209.81,212.01,627765.0
2010-03-10,210.14,214.93,209.85,212.67,196908.0
2010-03-11,212.99,212.99,208.05,210.03,196191.0
2010-03-12,210.1,212.19,208.6,210.07,182006.0
2010-03-15,211.46,214.31,209.04,210.21,497340.0
2010-03-16,210.98,212.96,209.99,212.3,250775.0
2010-03-17,214.46,216.54,210.32,211.75,488440.0
2010-03-18,213.87,215.56,211.57,212.26,317198.0
2010-03-19,211.53,214.09,211.17,211.97,674958.0
2010-03-22,211.17,211.17,205.9,207.14,119993.0
2010-03-23,215.7,215.7,209.15,209.74,286604.0
2010-03-25,214.97,214.97,208.31,211.68,273917.0
2010-03-26,210.8,218.7,210.8,217.13,386231.0
2010-03-29,219.18,221.19,216.11,217.2,505390.0
2010-03-30,218.12,220.79,215.19,216.65,294717.0
2010-03-31,217.09,217.35,213.36,215.34,321789.0
2010-04-01,218.96,218.96,214.61,215.89,192829.0
2010-04-05,217.39,221.78,216.14,220.2,462122.0
2010-04-06,221.78,234.15,219.66,232.28,1122015.0
2010-04-07,233.49,236.78,231.48,233.05,1115031.0
2010-04-08,221.41,234.0,221.41,226.13,388628.0
2010-04-09,226.17,231.26,226.17,228.59,296400.0
2010-04-12,229.79,231.95,226.54,229.39,247921.0
2010-04-13,230.45,230.45,224.74,225.88,273710.0
2010-04-15,226.9,233.31,226.35,227.67,597901.0
2010-04-16,229.1,240.44,228.37,237.26,1395974.0
2010-04-19,237.15,237.15,227.82,230.82,636035.0
2010-04-20,230.56,245.2,230.34,244.32,1282836.0
2010-04-21,245.93,249.26,241.54,243.63,709802.0
2010-04-22,244.54,244.54,240.81,242.24,361325.0
2010-04-23,242.27,248.86,240.55,242.24,775095.0
2010-04-26,242.27,245.86,241.69,243.19,164771.0
2010-04-27,243.74,248.09,242.27,245.16,307540.0
2010-04-28,243.74,248.02,240.04,242.93,431547.0
2010-04-29,242.27,247.69,242.27,246.08,362922.0
2010-04-30,249.59,252.52,240.48,241.87,715698.0
2010-05-03,243.48,243.48,236.42,237.92,276557.0
2010-05-04,240.08,240.08,230.93,232.9,208996.0
2010-05-05,226.17,231.81,226.17,229.39,222350.0
2010-05-06,234.11,234.11,223.35,225.11,464260.0
2010-05-07,221.05,223.17,209.04,209.88,680811.0
2010-05-10,212.26,221.27,212.26,220.24,590828.0
2010-05-11,221.05,221.78,213.69,215.41,448189.0
2010-05-12,215.92,220.75,212.56,218.81,565931.0
2010-05-13,221.71,231.48,220.61,228.77,710547.0
2010-05-14,230.56,233.49,224.05,225.36,486092.0
2010-05-17,223.61,225.44,216.07,220.83,216658.0
2010-05-18,219.58,223.17,217.53,219.62,193351.0
2010-05-19,219.44,219.44,202.75,205.38,697448.0
2010-05-20,205.68,209.19,202.31,206.92,365258.0
2010-05-21,204.94,204.98,198.21,201.28,919508.0
2010-05-24,204.21,213.0,204.21,209.41,329487.0
2010-05-25,207.14,213.95,205.31,207.72,349946.0
2010-05-26,208.6,212.99,204.94,207.94,393536.0
2010-05-27,206.41,213.73,206.41,212.15,668411.0
2010-05-28,212.99,218.85,212.99,217.24,239188.0
2010-05-31,218.78,220.31,213.73,218.92,203237.0
2010-06-01,219.22,219.22,210.07,212.01,338698.0
2010-06-02,210.8,217.02,210.8,216.07,608015.0
2010-06-03,217.02,224.71,217.02,221.85,380064.0
2010-06-04,223.46,223.46,217.86,222.07,403155.0
2010-06-07,215.92,218.05,212.99,215.37,466262.0
2010-06-08,213.91,218.19,213.03,214.17,243879.0
2010-06-09,214.46,215.92,211.49,214.61,170224.0
2010-06-10,213.8,217.17,212.26,215.04,354973.0
2010-06-11,216.03,220.68,216.03,216.98,194960.0
2010-06-14,217.57,218.74,214.86,216.44,383629.0
2010-06-15,216.65,217.39,212.52,213.29,542165.0
2010-06-16,214.17,217.31,211.9,214.86,642954.0
2010-06-17,214.86,216.58,213.0,215.08,1207317.0
2010-06-18,216.65,220.17,214.82,218.45,429610.0
2010-06-21,220.31,227.63,219.77,225.11,629789.0
2010-06-22,226.17,226.17,221.27,222.69,185363.0
2010-06-23,222.51,225.26,221.41,222.33,202153.0
2010-06-24,223.24,223.97,218.12,218.78,343964.0
2010-06-25,219.58,220.83,215.19,216.47,389390.0
2010-06-28,215.37,219.58,215.19,217.97,222819.0
2010-06-29,216.29,219.22,214.02,214.75,234151.0
2010-06-30,212.34,215.19,212.34,214.31,379455.0
2010-07-01,212.99,214.46,209.34,212.67,217245.0
