,open,high,low,close,volume
2009-05-20,198.99,240.5,193.84,220.18,1362484.0
2009-05-21,220.58,229.94,201.86,209.42,1555581.0
2009-05-22,210.49,219.24,204.54,211.29,383669.0
2009-05-25,217.1,227.86,213.56,216.23,679708.0
2009-05-26,217.24,221.75,197.28,200.39,410837.0
2009-05-27,205.87,213.89,205.87,209.05,461297.0
2009-05-28,207.28,215.23,207.28,209.75,283224.0
2009-05-29,216.57,229.94,212.56,221.48,970474.0
2009-06-01,224.59,233.14,223.62,226.79,754026.0
2009-06-02,227.4,230.54,214.7,219.81,357138.0
2009-06-03,224.86,227.93,218.11,225.86,456406.0
2009-06-04,226.53,249.32,221.91,241.87,1491094.0
2009-06-05,246.31,254.0,237.32,240.86,763879.0
2009-06-08,243.94,252.66,222.32,226.06,548676.0
2009-06-09,228.27,237.29,226.93,232.24,688884.0
2009-06-10,235.02,245.31,232.94,237.02,564764.0
2009-06-11,239.9,253.33,231.27,245.61,970629.0
2009-06-12,247.98,257.94,235.48,239.23,1239252.0
2009-06-15,235.28,241.77,226.19,228.27,433949.0
2009-06-16,226.86,237.42,219.91,234.82,429087.0
2009-06-17,236.22,236.62,217.84,219.61,371691.0
2009-06-18,220.58,224.52,206.74,208.81,380010.0
2009-06-19,209.88,219.24,207.98,213.89,306352.0
2009-06-22,218.04,218.04,208.61,210.52,171684.0
2009-06-23,203.2,213.89,202.46,211.79,358827.0
2009-06-24,214.43,221.81,211.96,219.31,416900.0
2009-06-25,221.18,229.94,218.64,222.85,489064.0
2009-06-26,225.93,234.92,224.29,226.96,640532.0
2009-06-29,228.0,240.43,228.0,237.52,1132857.0
2009-06-30,241.97,244.91,222.62,224.59,1531374.0
2009-07-01,226.26,249.99,207.91,241.93,3827241.0
2009-07-02,245.31,245.44,232.64,236.35,1134750.0
2009-07-03,232.48,237.62,229.27,231.74,496093.0
2009-07-06,227.43,233.41,203.2,205.64,1238675.0
2009-07-07,207.21,211.55,201.53,207.95,498317.0
2009-07-08,204.03,214.56,196.85,211.39,746050.0
2009-07-09,212.96,221.38,206.64,218.54,607606.0
2009-07-10,220.58,220.58,200.73,204.64,340079.0
2009-07-13,200.53,204.44,196.72,202.2,440973.0
2009-07-14,205.2,213.83,205.2,212.49,452974.0
2009-07-15,215.23,218.57,211.92,215.97,309365.0
2009-07-16,219.51,221.21,210.08,215.83,367788.0
2009-07-17,219.17,220.38,212.26,216.37,331447.0
2009-07-20,219.91,226.09,216.57,221.98,467420.0
2009-07-21,222.78,223.92,217.44,218.04,236991.0
2009-07-22,220.58,222.58,210.55,212.26,263504.0
2009-07-23,213.96,221.21,212.72,218.51,300387.0
2009-07-24,222.58,226.93,220.41,223.59,375040.0
2009-07-27,225.93,229.87,222.12,226.09,352124.0
2009-07-28,223.99,223.99,212.06,214.36,401634.0
2009-07-29,214.56,217.2,208.55,214.33,349008.0
2009-07-30,214.8,215.9,207.95,209.25,132092.0
2009-07-31,213.49,215.2,208.61,209.68,219416.0
2009-08-03,211.22,211.22,203.87,207.61,258068.0
2009-08-04,207.61,215.36,207.61,211.62,335640.0
2009-08-05,213.23,213.86,208.61,210.35,153021.0
2009-08-06,209.22,211.86,202.53,204.03,267570.0
2009-08-07,201.19,204.54,195.91,197.35,629678.0
2009-08-10,198.19,202.13,188.06,190.5,456005.0
2009-08-11,190.5,192.44,187.16,188.56,143891.0
2009-08-12,186.49,196.52,185.25,195.55,278042.0
2009-08-13,198.79,207.88,197.92,203.23,437099.0
2009-08-14,204.47,208.41,197.85,200.29,222875.0
2009-08-17,195.28,203.73,194.18,195.01,217573.0
2009-08-18,190.5,198.52,190.5,197.45,275518.0
2009-08-19,197.38,202.53,194.51,196.05,158255.0
2009-08-20,199.86,203.87,197.18,199.52,201289.0
2009-08-21,195.55,201.86,195.55,197.85,88095.0
2009-08-24,200.63,204.2,199.52,200.49,236010.0
2009-08-25,198.52,200.49,196.52,197.38,168083.0
2009-08-26,197.92,200.96,196.11,197.48,433020.0
2009-08-27,197.85,205.2,197.58,198.69,538832.0
2009-08-28,199.19,204.54,197.28,198.45,559388.0
2009-08-31,197.12,199.66,195.24,197.78,595864.0
2009-09-01,199.86,208.35,196.62,198.49,970692.0
2009-09-02,197.85,199.99,193.84,195.18,609698.0
2009-09-03,197.18,203.47,194.18,194.68,520533.0
2009-09-04,196.25,197.48,193.84,195.68,243321.0
2009-09-07,197.22,201.86,196.85,199.62,629844.0
2009-09-08,201.19,204.54,196.52,198.02,882793.0
2009-09-09,198.05,199.19,195.51,195.91,233230.0
2009-09-10,198.52,198.86,193.21,194.38,510820.0
2009-09-11,197.18,197.18,191.6,193.61,398861.0
2009-09-14,193.71,197.02,190.6,192.24,392736.0
2009-09-15,196.28,212.82,194.71,210.59,2680144.0
2009-09-16,213.49,216.57,208.65,211.22,2600404.0
2009-09-17,212.36,214.9,208.21,209.72,615562.0
2009-09-18,210.55,220.44,210.55,213.96,1859235.0
2009-09-22,215.7,221.51,212.42,218.97,1295839.0
2009-09-23,222.58,224.45,217.27,218.61,1082392.0
2009-09-24,217.24,218.37,212.39,214.86,851445.0
2009-09-25,213.83,217.64,209.88,211.86,545741.0
2009-09-29,216.8,216.9,213.23,214.09,314848.0
2009-09-30,213.96,215.83,209.98,210.99,980494.0
2009-10-01,212.42,217.24,210.82,212.89,602670.0
2009-10-05,209.22,216.87,209.22,211.09,1873093.0
2009-10-06,214.56,214.56,204.54,211.42,1300404.0
2009-10-07,214.43,217.17,209.55,211.05,696980.0
2009-10-08,211.55,214.23,206.78,208.85,635770.0
2009-10-09,212.56,213.53,209.55,212.39,723550.0
2009-10-12,216.5,216.5,211.32,212.62,688683.0
2009-10-14,215.23,216.23,208.81,213.03,589174.0
2009-10-15,213.89,215.16,212.22,213.26,636970.0
2009-10-16,211.32,227.26,211.32,222.68,1974280.0
2009-10-20,224.52,226.59,217.9,221.31,864819.0
2009-10-21,222.58,225.19,215.93,217.07,1360510.0
2009-10-22,218.84,218.97,209.28,211.42,496536.0
2009-10-23,215.06,215.06,209.28,210.95,310089.0
2009-10-26,213.89,213.89,204.54,210.22,511602.0
2009-10-27,205.94,206.24,190.5,191.2,1579340.0
2009-10-28,189.83,190.43,179.84,185.55,553321.0
2009-10-29,175.49,185.75,169.91,181.04,587799.0
2009-10-30,185.82,189.16,185.15,187.36,613279.0
2009-11-03,184.48,185.82,177.33,182.04,356025.0
2009-11-04,187.16,187.16,180.57,185.29,182995.0
2009-11-05,183.82,187.02,182.08,185.05,175187.0
2009-11-06,187.22,190.5,185.49,188.39,318912.0
2009-11-09,190.5,203.2,188.76,195.24,1083625.0
2009-11-10,197.18,197.18,187.99,189.86,397552.0
2009-11-11,190.27,191.0,187.16,189.4,362998.0
2009-11-12,190.67,193.81,185.95,186.59,488666.0
2009-11-13,185.95,188.49,185.95,187.26,148252.0
2009-11-16,189.16,193.17,186.52,187.26,260299.0
2009-11-17,187.26,191.44,187.22,188.16,310278.0
2009-11-18,187.32,189.16,184.55,185.79,528581.0
2009-11-19,185.69,186.82,183.82,185.72,500347.0
2009-11-20,183.82,188.49,181.84,183.65,192055.0
2009-11-23,183.68,185.49,180.54,183.85,265794.0
2009-11-24,185.15,189.43,182.88,187.09,300569.0
2009-11-25,188.49,204.7,188.49,197.05,2303984.0
2009-11-26,198.59,203.73,194.84,195.98,1079973.0
2009-11-27,193.77,193.84,184.48,190.43,422401.0
2009-11-30,193.84,196.78,191.17,194.88,334020.0
2009-12-01,201.93,207.08,197.92,199.89,1427553.0
2009-12-02,202.16,202.23,191.84,193.74,666880.0
2009-12-03,193.51,196.65,188.29,189.46,410984.0
2009-12-04,188.49,191.5,186.49,187.19,362157.0
2009-12-07,190.1,190.5,187.16,187.22,295179.0
2009-12-08,187.22,190.43,186.59,187.99,234392.0
2009-12-09,187.89,191.17,185.82,186.59,255711.0
2009-12-10,187.56,188.43,185.22,185.55,165959.0
2009-12-11,187.16,189.1,184.62,187.76,374968.0
2009-12-14,187.16,190.77,183.31,184.85,301478.0
