,open,high,low,close,volume
2009-05-20,181.97,199.39,181.43,191.74,1523250.0
2009-05-21,195.52,210.62,190.68,196.49,2305413.0
2009-05-22,196.39,219.13,194.55,215.21,2895528.0
2009-05-25,217.68,247.3,217.68,244.06,2852809.0
2009-05-26,245.85,259.21,235.3,237.91,1921887.0
2009-05-27,241.98,250.4,227.56,238.35,1312855.0
2009-05-28,239.07,241.69,223.59,226.54,1476581.0
2009-05-29,231.72,236.17,215.12,217.3,2636095.0
2009-06-01,218.75,228.43,215.36,218.17,1751987.0
2009-06-02,221.65,226.15,212.36,218.84,1574299.0
2009-06-03,224.56,242.95,221.65,239.17,4620754.0
2009-06-04,239.07,251.66,237.19,249.48,2929546.0
2009-06-05,252.62,257.85,241.98,244.59,1956017.0
2009-06-08,244.98,251.56,209.21,218.65,1988136.0
2009-06-09,216.81,224.51,204.66,214.68,3094344.0
2009-06-10,219.67,231.14,217.88,221.65,2202279.0
2009-06-11,226.3,227.27,211.1,220.01,2738543.0
2009-06-12,222.57,228.72,212.07,214.44,3338335.0
2009-06-15,212.75,222.14,209.55,212.8,1317900.0
2009-06-16,209.75,216.09,208.2,213.38,1080791.0
2009-06-17,214.59,220.49,201.04,204.28,2039794.0
2009-06-18,204.23,209.94,191.94,196.24,1830264.0
2009-06-19,198.37,212.89,197.5,210.86,1625104.0
2009-06-22,215.21,216.42,206.26,211.34,1150597.0
2009-06-23,205.39,215.07,205.15,212.75,803033.0
2009-06-24,215.36,229.25,209.55,226.98,2210720.0
2009-06-25,231.33,239.85,219.43,222.91,2235084.0
2009-06-26,225.62,229.35,220.97,225.33,805217.0
2009-06-29,217.78,230.36,208.0,222.43,2012904.0
2009-06-30,223.68,227.12,206.31,209.75,1853951.0
2009-07-01,209.07,215.6,196.63,204.04,1819932.0
2009-07-02,205.2,216.57,198.62,212.75,1509678.0
2009-07-03,211.0,231.33,209.07,227.75,2314673.0
2009-07-06,230.27,230.27,212.94,222.38,880261.0
2009-07-07,222.62,232.3,219.76,229.49,966811.0
2009-07-08,227.46,229.3,213.47,221.99,773582.0
2009-07-09,223.39,229.39,218.65,222.52,588734.0
2009-07-10,220.68,224.94,206.16,207.91,980312.0
2009-07-13,204.23,212.8,199.53,209.89,438259.0
2009-07-14,215.17,217.68,210.13,212.8,444227.0
2009-07-15,214.01,223.1,214.01,220.59,586566.0
2009-07-16,225.04,227.46,212.07,215.26,637221.0
2009-07-17,217.78,231.09,217.78,223.39,1222661.0
2009-07-20,226.73,241.45,224.56,237.72,1436641.0
2009-07-21,228.09,259.11,228.09,256.4,3923592.0
2009-07-22,237.72,258.43,237.72,242.75,2120348.0
2009-07-23,245.85,265.69,245.85,258.67,3265898.0
2009-07-24,258.67,265.98,258.67,262.45,1328850.0
2009-07-27,248.41,265.89,248.41,255.19,987540.0
2009-07-28,251.08,259.25,237.62,250.06,1721437.0
2009-07-29,242.95,260.9,231.72,237.77,2321165.0
2009-07-30,239.56,246.72,236.22,238.4,1511429.0
2009-07-31,241.98,248.61,238.59,241.78,2234399.0
2009-08-03,242.66,246.77,239.56,242.61,1506663.0
2009-08-04,243.91,250.5,238.59,240.14,1582292.0
2009-08-05,241.93,264.92,241.93,261.14,3743479.0
2009-08-06,256.98,271.98,254.71,257.37,4213780.0
2009-08-07,256.5,262.79,242.95,244.69,1846173.0
2009-08-10,248.41,254.46,239.17,250.3,1776809.0
2009-08-11,246.82,251.66,236.27,238.35,1792873.0
2009-08-12,234.77,245.85,233.46,243.53,1271522.0
2009-08-13,246.82,250.2,245.07,248.32,730140.0
2009-08-14,248.75,251.56,242.17,245.99,600453.0
2009-08-17,229.06,247.79,229.06,239.85,526244.0
2009-08-18,237.23,257.46,237.23,253.16,1900263.0
2009-08-19,241.98,241.98,208.1,216.09,9878060.0
2009-08-20,218.26,220.64,205.49,207.62,4628167.0
2009-08-21,208.1,210.04,199.58,200.65,3726787.0
2009-08-24,202.49,210.71,202.49,205.83,3268997.0
2009-08-25,202.39,212.26,202.39,209.31,2026353.0
2009-08-26,204.81,217.78,204.81,211.29,1739486.0
2009-08-27,212.46,214.88,209.07,212.02,1475352.0
2009-08-28,183.9,215.84,183.9,208.39,1022323.0
2009-08-31,204.23,212.84,204.23,210.04,1482814.0
2009-09-01,212.94,217.3,208.49,209.55,2139772.0
2009-09-02,208.49,214.88,207.13,212.21,1260898.0
2009-09-03,215.55,220.68,212.65,218.7,2150289.0
2009-09-04,219.72,222.09,214.97,216.33,1242334.0
2009-09-07,217.63,219.13,215.26,216.76,647756.0
2009-09-08,216.81,223.49,215.51,217.1,1350147.0
2009-09-09,208.49,218.75,208.49,217.88,529680.0
2009-09-10,219.14,221.56,217.29,218.51,1159579.0
2009-09-11,217.1,224.96,212.35,213.22,1070715.0
2009-09-14,212.2,214.19,206.0,208.23,848852.0
2009-09-15,208.52,215.06,208.47,210.27,838146.0
2009-09-16,212.35,215.16,210.9,212.98,915827.0
2009-09-17,213.8,215.02,209.73,210.9,917001.0
2009-09-18,211.38,217.15,209.25,215.55,1993507.0
2009-09-22,218.07,220.11,214.92,216.71,1053837.0
2009-09-23,217.78,219.62,212.45,213.46,559419.0
2009-09-24,212.3,215.26,210.65,212.83,1083372.0
2009-09-25,212.16,221.85,210.51,220.4,2742560.0
2009-09-29,223.02,231.45,221.22,227.96,3956065.0
2009-09-30,228.25,232.57,226.89,230.87,1809769.0
2009-10-01,235.04,246.67,227.91,229.51,4796230.0
2009-10-05,226.8,230.77,225.92,228.69,1162268.0
2009-10-06,229.61,235.43,223.99,229.12,1954491.0
2009-10-07,230.77,235.52,230.77,232.42,1596874.0
2009-10-08,234.36,235.72,231.74,232.71,1326876.0
2009-10-09,233.78,234.6,231.74,232.81,886552.0
2009-10-12,232.71,237.56,231.79,232.76,1184805.0
2009-10-14,235.52,240.47,232.95,235.96,912943.0
2009-10-15,236.59,238.05,229.8,232.13,775688.0
2009-10-16,230.77,234.65,228.83,232.86,303127.0
2009-10-20,234.65,234.65,230.77,232.95,418220.0
2009-10-21,208.67,235.52,208.67,232.71,492837.0
2009-10-22,230.77,233.78,230.77,232.81,375303.0
2009-10-23,228.98,238.63,225.44,228.01,1123375.0
2009-10-26,230.77,230.77,221.27,222.87,1021112.0
2009-10-27,222.82,222.82,213.32,216.52,580014.0
2009-10-28,204.59,222.92,204.59,213.56,426777.0
2009-10-29,208.47,215.65,208.47,210.17,1012962.0
2009-10-30,210.6,230.19,210.6,217.39,1254482.0
2009-11-03,211.38,228.83,206.63,211.62,596781.0
2009-11-04,213.32,218.17,203.14,210.46,943209.0
2009-11-05,203.87,212.93,203.87,211.43,367479.0
2009-11-06,213.51,223.99,213.51,221.37,938802.0
2009-11-09,222.05,227.67,220.25,225.39,522809.0
2009-11-10,226.02,229.22,215.45,218.99,703671.0
2009-11-11,220.11,225.68,218.17,224.13,332290.0
2009-11-12,220.59,222.53,213.32,215.06,1688319.0
2009-11-13,211.48,218.65,211.48,215.99,270814.0
2009-11-16,216.52,232.71,216.52,222.14,1553543.0
2009-11-17,222.72,237.12,221.56,235.67,2333133.0
2009-11-18,237.51,242.31,235.62,238.05,1827193.0
2009-11-19,238.24,246.48,232.71,239.6,2504109.0
2009-11-20,226.02,249.2,226.02,246.14,1745369.0
