,open,high,low,close,volume
2009-05-20,63.49,71.35,63.0,67.45,2127565.0
2009-05-21,67.95,70.82,64.32,65.45,1318194.0
2009-05-22,65.45,68.17,64.66,67.19,704856.0
2009-05-25,67.19,69.53,66.51,67.98,934115.0
2009-05-26,68.78,73.84,65.75,66.77,2207254.0
2009-05-27,68.78,71.31,67.64,69.34,1652423.0
2009-05-28,70.48,70.7,66.13,67.49,929754.0
2009-05-29,68.02,70.82,67.27,67.91,1345817.0
2009-06-01,69.16,70.48,67.91,68.78,1828586.0
2009-06-02,69.84,70.48,66.59,68.06,1059427.0
2009-06-03,68.29,74.9,67.76,73.5,3438796.0
2009-06-04,75.35,77.7,69.08,76.22,4400425.0
2009-06-05,77.58,78.6,74.29,75.5,3043742.0
2009-06-08,76.07,76.3,67.98,68.29,855261.0
2009-06-09,64.32,72.18,61.6,71.2,1399896.0
2009-06-10,71.54,73.65,67.64,68.89,983122.0
2009-06-11,68.02,73.61,66.51,71.12,1202641.0
2009-06-12,71.8,75.58,69.23,70.18,1691169.0
2009-06-15,69.53,71.23,64.24,64.81,877578.0
2009-06-16,60.5,68.63,60.5,67.3,725524.0
2009-06-17,68.25,69.31,63.11,63.9,659320.0
2009-06-18,65.75,65.75,57.52,58.08,985022.0
2009-06-19,59.75,61.75,57.18,59.22,906928.0
2009-06-22,60.09,61.6,59.1,59.59,570276.0
2009-06-23,58.12,65.49,56.12,63.34,1308587.0
2009-06-24,64.24,64.96,61.41,63.03,778490.0
2009-06-25,64.09,64.85,61.67,62.24,553556.0
2009-06-26,63.41,65.0,62.01,64.81,838750.0
2009-06-29,65.0,65.26,63.49,63.94,393922.0
2009-06-30,64.24,66.81,62.28,63.07,737647.0
2009-07-01,62.73,64.24,61.33,63.45,321527.0
2009-07-02,63.79,69.8,63.41,69.8,1813791.0
2009-07-03,68.21,69.46,65.0,65.64,1053119.0
2009-07-06,66.89,67.95,59.41,60.16,736788.0
2009-07-07,61.75,61.75,56.87,58.46,705158.0
2009-07-08,56.68,63.37,55.25,58.39,1779566.0
2009-07-09,58.95,60.39,56.16,56.5,886900.0
2009-07-10,56.57,57.93,53.51,55.02,624382.0
2009-07-13,53.66,55.36,51.47,52.49,491281.0
2009-07-14,53.62,54.8,52.98,54.3,685202.0
2009-07-15,55.17,59.59,54.91,58.08,2084779.0
2009-07-16,59.33,67.27,58.95,63.15,4325136.0
2009-07-17,64.24,66.43,62.01,62.69,2136759.0
