,open,high,low,close,volume
2009-05-20,72.6,81.41,69.83,77.73,23166946.0
2009-05-21,77.51,84.86,77.51,83.52,37104820.0
2009-05-22,83.88,85.18,79.05,82.73,23744881.0
2009-05-25,83.39,84.1,79.62,80.89,12103826.0
2009-05-26,82.41,84.57,76.16,77.24,25302382.0
2009-05-27,79.03,82.07,79.03,80.3,22320958.0
2009-05-28,80.45,82.41,78.9,79.66,20390732.0
2009-05-29,80.94,83.1,79.47,80.72,26076841.0
2009-06-01,81.92,86.53,79.74,85.89,40669108.0
2009-06-02,87.76,88.72,82.46,84.82,32254406.0
2009-06-03,86.78,87.0,81.99,84.74,22901124.0
2009-06-04,84.42,88.25,84.37,87.19,34057296.0
2009-06-05,88.3,90.02,82.93,83.66,35833637.0
2009-06-08,85.8,85.8,76.87,78.59,33046676.0
2009-06-09,78.39,83.39,73.12,81.7,40025340.0
2009-06-10,82.9,84.37,77.51,79.74,25214751.0
2009-06-11,81.14,81.14,76.21,77.19,29011419.0
2009-06-12,77.02,80.06,74.76,78.22,47986938.0
2009-06-15,76.03,77.02,71.62,72.43,26930263.0
2009-06-16,71.18,75.05,69.71,74.24,23552190.0
2009-06-17,74.07,75.54,69.71,70.61,21905040.0
2009-06-18,71.13,72.01,67.3,70.22,23616752.0
2009-06-19,71.15,73.04,69.56,72.26,18281318.0
2009-06-22,73.53,74.07,68.01,68.55,22868747.0
2009-06-23,66.27,70.0,65.95,67.99,30003360.0
2009-06-24,68.68,69.8,66.57,68.28,23423927.0
2009-06-25,68.85,69.41,65.37,66.1,28459334.0
2009-06-26,67.2,68.46,65.78,67.08,19106186.0
2009-06-29,67.77,77.14,67.77,76.11,88539397.0
2009-06-30,76.48,77.14,68.73,69.58,47973696.0
2009-07-01,68.68,69.85,66.4,68.73,24101981.0
2009-07-02,69.24,70.34,66.71,67.97,18668275.0
2009-07-03,67.2,69.36,66.71,68.8,17566586.0
2009-07-06,69.17,72.85,64.29,65.19,30506079.0
2009-07-07,66.2,66.62,62.3,65.41,19088015.0
2009-07-08,63.87,65.22,60.34,61.49,19488748.0
2009-07-09,61.56,63.7,59.36,63.38,21965893.0
2009-07-10,63.8,64.7,59.94,61.51,13038448.0
2009-07-13,59.85,62.89,58.72,62.37,15286116.0
2009-07-14,63.77,65.86,63.35,65.59,12865634.0
2009-07-15,66.3,70.39,65.73,69.29,16408410.0
2009-07-16,70.88,71.2,66.49,67.06,13299814.0
2009-07-17,66.71,68.68,66.71,68.09,10676785.0
2009-07-20,69.71,69.9,67.94,69.04,9452305.0
2009-07-21,69.17,69.49,66.3,67.52,8046013.0
2009-07-22,68.19,70.25,66.57,67.28,11726633.0
2009-07-23,68.19,69.17,67.4,68.92,8991830.0
2009-07-24,69.66,70.47,68.8,69.44,10513923.0
2009-07-27,70.27,72.58,69.78,72.16,18922220.0
2009-07-28,72.94,73.34,70.47,71.4,14659082.0
2009-07-29,70.88,72.28,67.4,69.51,12907131.0
2009-07-30,69.66,71.72,68.01,70.57,19825794.0
2009-07-31,71.45,72.06,69.17,70.07,8144888.0
2009-08-03,69.93,70.81,67.72,70.49,9334301.0
2009-08-04,70.88,71.2,68.95,69.78,8843799.0
2009-08-05,69.19,70.34,68.21,68.9,6509980.0
2009-08-06,68.8,69.8,66.27,66.69,6400814.0
2009-08-07,65.73,66.32,63.62,64.65,7786889.0
2009-08-10,65.73,66.62,62.3,63.04,5331308.0
2009-08-11,63.28,65.14,62.62,63.94,5772843.0
2009-08-12,63.43,65.0,62.05,64.31,4664619.0
2009-08-13,65.27,67.94,65.02,67.38,7221320.0
2009-08-14,67.45,67.45,65.24,65.59,4773915.0
2009-08-17,64.75,64.75,62.35,62.77,4589607.0
2009-08-18,62.79,65.24,62.13,64.83,5674287.0
2009-08-19,65.83,65.98,62.4,62.77,6174104.0
2009-08-20,63.82,65.44,63.4,64.87,5418621.0
2009-08-21,64.9,66.71,64.26,66.1,7274037.0
2009-08-24,67.57,68.55,66.22,67.43,6105931.0
2009-08-25,66.71,68.11,65.24,66.52,7639541.0
2009-08-26,66.71,70.61,66.71,70.1,13223813.0
2009-08-27,69.9,70.69,68.97,69.51,12205501.0
2009-08-28,69.51,70.1,67.33,69.85,8145775.0
2009-08-31,67.2,71.33,67.2,70.3,9514352.0
2009-09-01,70.74,71.13,67.3,67.77,7512434.0
2009-09-02,66.96,68.19,66.4,67.03,4410109.0
2009-09-03,67.7,67.84,65.81,66.15,3988212.0
2009-09-04,66.59,67.16,65.41,66.49,4048817.0
2009-09-07,67.01,69.14,67.01,68.6,6345237.0
2009-09-08,69.12,69.61,66.86,67.28,5872301.0
2009-09-09,68.87,69.66,67.7,68.5,10247883.0
2009-09-10,69.61,70.49,67.3,67.7,6881570.0
2009-09-11,68.19,68.75,66.59,67.52,4815687.0
2009-09-14,67.2,67.2,65.88,66.42,3639928.0
2009-09-15,60.68,68.04,60.68,67.4,5104249.0
