,open,high,low,close,volume
2009-05-20,119.54,126.02,113.65,123.79,331595.0
2009-05-21,147.22,147.22,126.02,130.95,36765.0
2009-05-22,135.44,135.44,124.84,131.79,43630.0
2009-05-25,141.32,158.15,139.09,158.15,103425.0
2009-05-26,170.18,170.18,142.34,142.34,51820.0
2009-05-27,141.45,145.41,128.37,129.95,25845.0
2009-05-28,130.14,135.44,119.58,121.92,53040.0
2009-05-29,129.55,130.14,122.37,123.96,21920.0
2009-06-01,128.24,128.24,120.95,121.75,11150.0
2009-06-02,122.72,130.73,121.9,127.64,64440.0
2009-06-03,128.37,131.08,124.37,124.86,9205.0
2009-06-04,123.66,129.43,123.66,125.84,18210.0
2009-06-05,124.85,136.61,123.66,131.86,51910.0
2009-06-08,129.67,132.12,126.61,126.72,13330.0
2009-06-09,117.77,131.91,117.77,126.2,26305.0
2009-06-10,138.83,138.83,134.26,138.83,49000.0
2009-06-11,152.71,152.71,129.67,142.27,148920.0
2009-06-12,143.68,144.86,138.07,142.6,43955.0
2009-06-15,141.45,153.11,135.44,144.84,54920.0
2009-06-16,141.32,144.86,141.32,143.74,4660.0
2009-06-17,142.27,147.18,134.26,136.28,6545.0
2009-06-18,130.02,136.62,130.02,135.57,6400.0
2009-06-19,139.55,139.55,137.19,138.07,23435.0
2009-06-22,138.97,138.97,135.44,135.73,585.0
2009-06-23,132.73,137.78,132.5,135.44,40080.0
2009-06-24,131.91,137.79,131.91,135.59,1305.0
2009-06-25,133.08,138.84,129.67,135.57,3520.0
2009-06-26,137.21,140.15,134.86,138.88,2165.0
2009-06-29,135.56,143.92,135.56,140.88,15275.0
2009-06-30,141.33,145.45,141.32,144.68,82335.0
2009-07-01,142.51,144.74,141.33,143.68,14310.0
2009-07-02,142.54,146.38,142.51,143.72,7820.0
2009-07-03,143.09,146.75,143.09,144.25,4025.0
2009-07-06,143.88,148.39,142.09,146.48,32065.0
2009-07-07,145.45,151.69,142.51,150.81,25915.0
2009-07-08,150.75,151.81,148.39,150.71,19905.0
2009-07-09,147.81,155.43,147.81,150.44,20890.0
2009-07-10,151.11,153.11,148.98,149.36,6285.0
2009-07-13,148.44,151.74,148.39,150.6,22830.0
2009-07-14,149.34,153.11,149.34,152.98,4725.0
2009-07-15,152.52,157.11,152.52,155.77,7520.0
2009-07-16,152.1,158.76,152.1,156.86,6040.0
2009-07-17,154.4,163.71,153.26,161.79,24235.0
2009-07-20,158.41,162.53,158.17,162.0,3560.0
2009-07-21,162.41,166.06,158.99,159.56,2550.0
2009-07-22,163.7,163.7,159.03,160.39,3585.0
2009-07-23,159.17,166.06,159.17,164.95,9850.0
2009-07-24,164.88,169.95,164.88,168.1,7430.0
2009-07-27,170.47,171.59,164.91,165.18,2180.0
2009-07-28,170.76,197.86,163.12,196.85,59915.0
2009-07-29,196.8,197.15,176.42,189.52,12455.0
2009-07-30,188.44,188.44,181.38,185.86,2790.0
2009-07-31,194.33,214.94,194.33,208.21,67615.0
2009-08-03,222.0,222.0,196.68,207.9,22930.0
2009-08-04,207.87,211.99,207.87,209.05,3285.0
2009-08-05,211.52,211.99,206.11,209.06,3320.0
2009-08-06,206.22,211.4,202.82,205.36,4225.0
