,open,high,low,close,volume
2009-05-20,1.61,1.83,1.61,1.8,230230.0
2009-05-21,1.86,2.15,1.85,1.99,140580.0
2009-05-22,2.04,2.04,1.85,1.96,100980.0
2009-05-25,1.96,2.11,1.96,2.05,212410.0
2009-05-26,2.14,2.14,1.92,1.93,117040.0
2009-05-27,1.97,2.04,1.94,2.02,67540.0
2009-05-28,1.99,2.06,1.94,1.97,49360.0
2009-05-29,2.04,2.23,1.94,2.09,417930.0
2009-06-01,2.15,2.4,2.12,2.32,583770.0
2009-06-02,2.36,2.49,2.19,2.32,271940.0
2009-06-03,2.3,2.47,2.3,2.37,85050.0
2009-06-04,2.33,2.41,2.31,2.37,125230.0
2009-06-05,2.34,2.4,2.32,2.32,113000.0
2009-06-08,2.33,2.33,2.19,2.26,211410.0
2009-06-09,2.19,2.22,2.06,2.17,105470.0
2009-06-10,2.17,2.28,2.17,2.25,80130.0
2009-06-11,2.22,2.25,2.2,2.21,30000.0
2009-06-12,2.2,2.29,2.15,2.2,170810.0
2009-06-15,2.21,2.22,2.16,2.18,91410.0
2009-06-16,2.15,2.47,2.15,2.34,294830.0
2009-06-17,2.33,2.44,2.28,2.29,233530.0
2009-06-18,2.3,2.3,1.89,2.17,512190.0
2009-06-19,2.24,2.24,2.15,2.17,58620.0
2009-06-22,2.08,2.22,2.08,2.2,71780.0
2009-06-23,1.98,2.21,1.98,2.17,61700.0
2009-06-24,2.13,2.25,2.13,2.21,54410.0
2009-06-25,1.99,2.26,1.99,2.22,1100460.0
2009-06-26,2.21,2.26,2.16,2.21,558590.0
2009-06-29,2.21,2.26,2.16,2.22,167850.0
2009-06-30,2.21,2.26,2.19,2.2,70960.0
2009-07-01,2.19,2.23,2.19,2.23,131830.0
2009-07-02,2.22,2.23,2.21,2.22,20000.0
2009-07-03,2.19,2.24,2.19,2.21,135000.0
2009-07-06,2.22,2.26,2.19,2.21,93920.0
2009-07-07,2.14,2.31,2.13,2.22,198000.0
2009-07-08,2.16,2.26,2.15,2.21,82460.0
2009-07-09,2.12,2.25,2.12,2.21,46000.0
2009-07-10,2.21,2.25,2.21,2.22,38410.0
2009-07-13,2.12,2.22,2.12,2.19,62000.0
2009-07-14,2.23,2.23,2.2,2.22,47000.0
2009-07-15,2.22,2.29,2.22,2.26,43050.0
2009-07-16,2.26,2.29,2.23,2.28,85480.0
2009-07-17,2.28,2.4,2.28,2.37,117470.0
2009-07-20,2.4,2.44,2.23,2.27,31720.0
2009-07-21,2.3,2.3,2.24,2.25,46000.0
2009-07-22,2.25,2.3,2.25,2.25,21000.0
2009-07-23,2.25,2.29,2.21,2.23,40860.0
2009-07-24,2.19,2.33,2.19,2.3,61220.0
2009-07-27,2.44,2.74,2.4,2.55,863530.0
2009-07-28,2.58,2.66,2.56,2.6,302220.0
2009-07-29,2.58,2.59,2.44,2.47,70030.0
