,open,high,low,close,volume
2009-05-20,23.97,25.36,23.97,24.77,311857.0
2009-05-21,24.97,26.22,24.14,24.58,365007.0
2009-05-22,24.41,25.58,23.86,24.61,174202.0
2009-05-25,24.41,27.08,24.41,26.72,324292.0
2009-05-26,27.19,27.74,24.91,25.05,155927.0
2009-05-27,25.77,26.36,25.25,25.38,96999.0
2009-05-28,25.58,26.44,25.19,25.61,124645.0
2009-05-29,26.05,27.35,25.83,26.58,255692.0
2009-06-01,27.44,29.07,26.72,27.85,648432.0
2009-06-02,28.3,28.85,27.08,27.94,662892.0
2009-06-03,28.85,28.85,27.08,27.66,366836.0
2009-06-04,27.6,28.16,26.66,27.13,421753.0
2009-06-05,27.69,27.74,26.63,26.74,164486.0
2009-06-08,27.08,27.63,24.19,24.72,179842.0
2009-06-09,23.36,25.19,23.14,24.64,147010.0
2009-06-10,24.94,26.0,24.89,25.3,118861.0
2009-06-11,25.47,25.47,24.25,24.69,64778.0
2009-06-12,24.69,25.19,23.75,24.03,107706.0
2009-06-15,24.3,24.86,23.22,23.39,84398.0
2009-06-16,23.3,24.28,22.94,24.08,66283.0
2009-06-17,24.25,24.39,23.03,23.17,60715.0
2009-06-18,22.78,23.22,22.08,22.19,86210.0
2009-06-19,22.61,23.3,21.94,22.56,61338.0
2009-06-22,22.56,22.75,21.14,22.22,44364.0
2009-06-23,22.19,22.75,21.67,22.61,55406.0
2009-06-24,22.89,23.58,22.42,22.89,76793.0
2009-06-25,22.92,23.86,22.92,23.53,61413.0
2009-06-26,23.64,24.28,23.3,23.86,32111.0
2009-06-29,24.19,24.41,23.91,24.16,39270.0
2009-06-30,24.33,26.13,24.08,25.61,401186.0
2009-07-01,26.52,27.74,26.33,26.63,1004292.0
2009-07-02,26.91,28.69,26.36,28.27,739817.0
2009-07-03,28.3,28.99,27.77,28.52,308600.0
2009-07-06,28.96,30.52,26.77,27.24,313736.0
2009-07-07,27.33,28.08,26.94,27.83,128704.0
2009-07-08,27.19,28.71,26.72,27.58,234428.0
2009-07-09,27.8,28.44,27.19,27.6,83272.0
2009-07-10,27.47,28.1,26.97,27.3,98393.0
2009-07-13,27.22,27.49,26.11,26.52,136931.0
2009-07-14,27.44,27.52,26.66,26.86,170938.0
2009-07-15,27.6,28.3,26.8,27.88,338273.0
2009-07-16,28.3,29.91,27.85,28.91,546449.0
2009-07-17,29.96,29.96,29.16,29.49,223368.0
2009-07-20,29.93,31.04,29.38,30.71,497682.0
2009-07-21,31.15,31.15,29.8,30.3,365317.0
2009-07-22,30.71,30.92,27.57,29.04,220774.0
2009-07-23,29.8,30.07,29.13,29.8,105386.0
2009-07-24,30.21,30.21,29.42,29.86,111631.0
2009-07-27,30.01,30.74,29.48,30.01,136162.0
2009-07-28,30.27,30.42,29.36,30.04,121695.0
2009-07-29,29.92,30.39,29.19,29.3,106006.0
2009-07-30,29.36,29.54,28.78,29.1,60557.0
2009-07-31,29.68,30.21,29.33,29.89,221428.0
2009-08-03,30.18,30.51,28.8,29.57,154220.0
2009-08-04,29.57,30.51,29.39,29.86,137305.0
2009-08-05,29.8,30.21,29.63,29.86,48901.0
2009-08-06,29.92,31.91,29.68,30.07,387924.0
2009-08-07,29.86,30.98,29.04,29.36,120329.0
2009-08-10,29.42,30.04,28.28,28.83,89247.0
2009-08-11,29.04,29.04,28.25,28.83,61341.0
2009-08-12,28.57,28.78,28.16,28.39,81804.0
2009-08-13,29.24,30.33,28.45,29.89,157316.0
2009-08-14,30.36,31.09,30.15,30.45,276218.0
2009-08-17,29.63,31.09,29.63,30.36,167525.0
2009-08-18,30.74,30.92,30.07,30.21,70713.0
2009-08-19,29.89,30.92,29.89,30.12,98519.0
2009-08-20,30.24,30.77,29.8,30.48,118527.0
2009-08-21,29.92,30.51,29.51,30.42,158005.0
2009-08-24,31.09,31.68,30.77,31.09,558181.0
2009-08-25,31.42,31.83,30.92,31.39,361179.0
2009-08-26,31.97,32.21,31.42,31.68,406061.0
2009-08-27,31.68,34.85,31.68,34.14,1215151.0
2009-08-28,34.76,35.73,33.53,34.44,539714.0
2009-08-31,34.32,35.43,32.27,34.67,191468.0
2009-09-01,34.61,36.58,34.32,34.73,302012.0
2009-09-02,34.11,35.49,34.03,35.08,159483.0
2009-09-03,35.76,35.9,34.61,34.91,145484.0
2009-09-04,34.85,35.43,34.73,35.02,76699.0
2009-09-07,35.49,36.26,35.2,35.46,133499.0
2009-09-08,36.02,40.1,35.29,37.84,1009408.0
2009-09-09,37.78,39.54,37.14,37.66,409478.0
2009-09-10,38.57,39.66,37.31,37.66,390970.0
2009-09-11,38.04,38.34,35.79,36.17,181319.0
2009-09-14,36.31,37.66,35.93,36.78,258469.0
2009-09-15,37.14,37.49,36.52,36.75,72973.0
2009-09-16,36.99,37.63,35.84,36.4,128494.0
2009-09-17,36.96,37.11,35.79,36.26,89014.0
2009-09-18,36.26,36.78,35.82,35.96,62709.0
2009-09-22,35.96,37.11,35.79,36.37,146673.0
2009-09-23,36.2,36.9,35.38,35.67,77517.0
2009-09-24,35.08,35.79,34.61,35.4,68974.0
2009-09-25,35.17,35.61,34.32,35.17,49837.0
2009-09-29,35.2,36.9,35.2,36.37,160223.0
2009-09-30,36.78,36.78,36.11,36.26,52647.0
2009-10-01,36.34,38.07,35.79,37.25,257555.0
2009-10-05,36.52,36.93,35.26,35.58,88209.0
2009-10-06,34.03,36.61,33.97,35.08,117870.0
2009-10-07,34.67,35.79,34.67,34.94,95265.0
2009-10-08,34.91,35.55,34.61,34.88,95679.0
2009-10-09,35.2,35.38,34.08,34.29,74772.0
2009-10-12,35.05,35.08,34.17,34.47,63412.0
2009-10-14,34.47,36.14,34.47,35.46,162866.0
2009-10-15,36.02,37.81,35.49,37.43,320407.0
2009-10-16,37.52,39.6,37.34,38.9,471937.0
2009-10-20,39.6,41.36,39.39,39.72,389365.0
2009-10-21,38.72,39.89,38.72,39.42,115980.0
2009-10-22,38.72,39.51,37.6,38.07,74139.0
2009-10-23,38.54,41.24,38.13,39.63,604488.0
2009-10-26,39.89,40.77,38.72,39.07,248988.0
2009-10-27,38.87,38.98,35.2,36.37,209457.0
2009-10-28,36.93,37.11,36.08,36.58,166719.0
2009-10-29,36.23,37.25,35.2,36.72,106980.0
2009-10-30,37.49,38.02,36.78,36.99,129641.0
2009-11-03,36.7,37.25,36.26,36.64,115898.0
2009-11-04,36.67,37.46,36.52,37.28,92077.0
2009-11-05,37.55,38.1,36.75,37.34,152850.0
2009-11-06,37.69,39.01,37.55,38.69,124006.0
2009-11-09,39.04,39.69,38.6,39.07,79590.0
2009-11-10,39.78,39.78,38.63,39.04,50021.0
2009-11-11,38.75,39.13,38.48,38.75,33945.0
2009-11-12,38.48,39.72,37.31,39.07,36707.0
2009-11-13,39.31,39.89,37.25,39.04,50197.0
2009-11-16,39.01,39.19,38.57,38.84,41800.0
2009-11-17,38.72,39.83,38.54,39.19,101353.0
2009-11-18,39.31,39.31,38.72,39.07,45677.0
2009-11-19,37.6,38.72,34.61,38.16,77193.0
2009-11-20,38.66,38.66,36.72,37.55,42354.0
2009-11-23,37.55,40.07,37.55,38.69,208522.0
2009-11-24,38.57,40.48,38.57,40.13,313077.0
2009-11-25,41.01,41.36,39.25,39.48,723984.0
2009-11-26,39.83,42.74,39.6,41.33,1410849.0
