,open,high,low,close,volume
2009-05-20,47.64,49.67,46.32,48.04,2987467.0
2009-05-21,48.53,51.97,48.04,49.23,3911309.0
2009-05-22,49.58,51.57,47.69,50.95,3788867.0
2009-05-25,51.17,52.36,49.85,51.26,2731950.0
2009-05-26,52.05,53.33,47.56,48.08,4129871.0
2009-05-27,49.41,51.53,48.35,50.95,3484763.0
2009-05-28,52.1,54.22,50.91,51.22,5675966.0
2009-05-29,51.39,54.39,51.39,52.94,6016347.0
2009-06-01,52.94,55.58,51.3,53.07,3773547.0
2009-06-02,53.16,54.17,51.0,51.88,2519708.0
2009-06-03,52.63,55.58,51.83,52.45,7390173.0
2009-06-04,52.05,55.01,51.61,54.75,7053781.0
2009-06-05,56.47,57.17,54.08,54.92,12686532.0
2009-06-08,55.14,55.94,48.66,49.45,5670634.0
2009-06-09,49.28,52.76,47.2,51.75,5532949.0
2009-06-10,53.03,54.7,51.0,52.14,6681470.0
2009-06-11,52.67,53.69,50.47,51.13,3979438.0
2009-06-12,52.05,52.45,48.97,49.32,2872609.0
2009-06-15,48.53,49.32,44.78,45.44,5139939.0
2009-06-16,44.95,47.82,43.67,47.11,5622520.0
2009-06-17,47.47,48.61,43.94,44.64,3433998.0
2009-06-18,44.64,45.83,41.29,42.48,3185081.0
2009-06-19,43.67,44.33,41.56,43.41,2511963.0
2009-06-22,44.11,44.78,42.57,42.97,3409268.0
2009-06-23,41.6,43.19,41.6,42.83,2150129.0
2009-06-24,43.67,45.75,42.79,45.39,3880759.0
2009-06-25,46.23,46.23,42.88,43.28,4588712.0
2009-06-26,44.11,44.64,43.63,44.29,1993755.0
2009-06-29,44.91,45.7,44.33,44.95,1902394.0
2009-06-30,45.7,45.7,42.17,42.53,1923846.0
2009-07-01,42.53,45.57,41.16,45.17,3760738.0
2009-07-02,45.48,46.41,43.76,45.7,3933690.0
2009-07-03,44.47,45.83,44.47,45.35,1370287.0
2009-07-06,45.61,46.67,43.67,44.42,4016262.0
2009-07-07,44.56,48.48,43.58,47.91,8414551.0
2009-07-08,48.44,51.17,46.23,46.81,7616392.0
2009-07-09,47.16,47.38,45.7,46.58,2080304.0
2009-07-10,46.85,47.11,43.32,44.38,995647.0
2009-07-13,43.85,44.56,42.61,43.58,1537559.0
2009-07-14,44.38,46.63,44.2,46.06,1754941.0
2009-07-15,46.76,48.88,46.14,48.48,3150452.0
2009-07-16,49.41,52.58,49.19,51.79,7013778.0
2009-07-17,53.2,54.04,52.23,53.42,7077212.0
2009-07-20,53.69,54.13,50.78,52.72,3159036.0
2009-07-21,52.94,53.78,51.7,52.8,2171430.0
2009-07-22,53.82,54.92,51.61,53.95,3656777.0
2009-07-23,54.7,56.55,54.7,55.72,6129479.0
2009-07-24,57.48,60.35,57.13,58.54,14843250.0
2009-07-27,59.29,59.29,57.44,58.41,3767669.0
2009-07-28,58.67,61.85,57.53,60.88,4868594.0
2009-07-29,61.76,63.13,57.97,60.57,6894878.0
2009-07-30,60.83,63.52,59.29,62.51,5044759.0
2009-07-31,63.35,64.72,62.2,63.57,4309293.0
2009-08-03,64.1,64.19,62.16,63.3,1968369.0
2009-08-04,63.88,63.88,60.66,61.5,1934969.0
2009-08-05,62.02,62.02,59.77,61.58,2140418.0
2009-08-06,61.05,62.91,58.76,59.73,2496402.0
2009-08-07,54.53,59.73,54.53,58.63,2358857.0
2009-08-10,60.0,60.35,57.44,59.11,1836618.0
2009-08-11,57.83,61.72,57.83,60.88,3441250.0
2009-08-12,59.55,61.1,59.02,60.35,1482483.0
2009-08-13,60.88,62.55,60.88,62.07,1669880.0
2009-08-14,62.47,66.88,61.1,66.17,7556577.0
2009-08-17,64.85,65.86,62.73,63.35,4779288.0
2009-08-18,63.52,69.35,63.08,68.11,9089095.0
2009-08-19,68.64,69.13,65.07,66.44,5986904.0
2009-08-20,67.32,67.98,64.63,65.02,3300661.0
2009-08-21,65.51,66.83,64.32,65.47,4790228.0
2009-08-24,67.23,67.23,65.6,65.91,1384249.0
2009-08-25,65.73,67.89,65.47,66.26,3080436.0
